Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2001-11-29,40.2,43.4,40.15,41.7,123700.0,0.0,1.0,12.80866891140559,13.828264446641855,12.792737731167522,13.286604318547589,371100.0
2001-11-30,41.7,42.85,41.65,42.85,55100.0,0.0,1.0,13.286604318547589,13.653021464023121,13.27067313830952,13.653021464023121,165300.0
2001-12-03,42.7,42.7,41.35,41.35,42500.0,0.0,1.0,13.605227923308922,13.605227923308922,13.175086056881122,13.175086056881122,127500.0
2001-12-04,41.35,41.35,39.7,39.7,31800.0,0.0,1.0,13.175086056881122,13.175086056881122,12.649357109024923,12.649357109024923,95400.0
2001-12-05,40.3,44.35,40.3,44.0,199400.0,0.0,1.0,12.840531271881721,14.130956871165122,12.840531271881721,14.019438609498655,598200.0
2001-12-06,44.2,44.2,43.71,43.72,52400.0,0.0,1.0,14.083163330450923,14.083163330450923,13.927037764117868,13.930224000165481,157200.0
2001-12-07,44.0,44.0,43.4,44.0,71700.0,0.0,1.0,14.019438609498655,14.019438609498655,13.828264446641855,14.019438609498655,215100.0
2001-12-10,43.9,43.92,43.76,43.85,39700.0,0.0,1.0,13.98757624902252,13.993948721117748,13.942968944355934,13.971645068784454,119100.0
2001-12-11,43.8,44.13,43.76,43.76,126200.0,0.0,1.0,13.955713888546388,14.060859678117628,13.942968944355934,13.942968944355934,378600.0
2001-12-12,43.75,43.75,42.11,42.3,38200.0,0.0,1.0,13.939782708308321,13.939782708308321,13.417239996499735,13.477778481404387,114600.0
2001-12-13,42.25,42.8,41.9,41.9,37900.0,0.0,1.0,13.461847301166321,13.637090283785055,13.350329039499854,13.350329039499854,113700.0
2001-12-14,41.85,41.85,40.55,40.89,77800.0,0.0,1.0,13.334397859261788,13.334397859261788,12.920187173072055,13.028519198690908,233400.0
2001-12-17,40.99,42.0,40.99,41.0,35400.0,0.0,1.0,13.060381559167043,13.382191399975989,13.060381559167043,13.063567795214656,106200.0
2001-12-18,41.05,41.6,41.0,41.0,33800.0,0.0,1.0,13.07949897545272,13.254741958071456,13.063567795214656,13.063567795214656,101400.0
2001-12-19,41.0,41.05,40.74,41.05,52600.0,0.0,1.0,13.063567795214656,13.07949897545272,12.98072565797671,13.07949897545272,157800.0
