Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,53.5,53.94,51.94,52.0,2698900.0,0.0,1.0,29.490683326248636,29.733223525567315,28.63076807411877,28.663841737662228,2698900.0
2000-01-04,51.63,53.0,51.5,52.0,3141100.0,0.0,1.0,28.459887479144246,29.2150694633865,28.38822787480009,28.663841737662228,3141100.0
2000-01-05,51.94,51.94,50.69,51.56,3008800.0,0.0,1.0,28.63076807411877,28.63076807411877,27.941733416963427,28.42130153834355,3008800.0
2000-01-06,51.88,52.94,51.31,52.19,2121700.0,0.0,1.0,28.597694410575315,29.181995799843044,28.28349460691248,28.768575005549838,2121700.0
2000-01-07,53.38,53.81,52.5,53.38,1892300.0,0.0,1.0,29.424535999161726,29.661563921223163,28.939455600524365,29.424535999161726,1892300.0
2000-01-10,53.0,54.75,52.88,54.69,1722200.0,0.0,1.0,29.2150694633865,30.17971798340398,29.14892213629959,30.14664431986052,1722200.0
2000-01-11,54.13,54.38,53.31,53.63,1087900.0,0.0,1.0,29.837956793454932,29.975763724886,29.385950058361026,29.562342930592795,1087900.0
2000-01-12,53.63,53.88,52.75,53.13,1108900.0,0.0,1.0,29.562342930592795,29.700149862023864,29.07726253195543,29.286729067730658,1108900.0
2000-01-13,53.13,53.13,52.44,52.81,1314600.0,0.0,1.0,29.286729067730658,29.286729067730658,28.906381936980907,29.11033619549889,1314600.0
2000-01-14,51.88,52.88,51.0,52.25,2138500.0,0.0,1.0,28.597694410575315,29.14892213629959,28.112614011937954,28.801648669093296,2138500.0
2000-01-18,51.75,52.06,49.06,49.25,2826300.0,0.0,1.0,28.52603480623116,28.696915401205683,27.043232224032863,27.147965491920473,2826300.0
2000-01-19,49.38,54.5,49.31,54.06,4264400.0,0.0,1.0,27.219625096264632,30.04191105197291,27.18103915546393,29.79937085265423,4264400.0
2000-01-20,53.38,54.0,50.38,50.81,3220200.0,0.0,1.0,29.424535999161726,29.766297189110773,27.770852821988903,28.007880744050343,3220200.0
2000-01-21,51.56,51.56,50.0,50.56,2826200.0,0.0,1.0,28.42130153834355,28.42130153834355,27.56138628621368,27.870073812619275,2826200.0
2000-01-24,51.0,51.0,49.75,50.0,2919500.0,0.0,1.0,28.112614011937954,28.112614011937954,27.42357935478261,27.56138628621368,2919500.0
2000-01-25,50.5,51.31,50.19,51.06,2439700.0,0.0,1.0,27.837000149075816,28.28349460691248,27.66611955410129,28.145687675481412,2439700.0
2000-01-26,51.88,51.88,50.06,51.0,1759300.0,0.0,1.0,28.597694410575315,28.597694410575315,27.594459949757137,28.112614011937954,1759300.0
2000-01-27,51.25,51.69,47.56,50.19,2568300.0,0.0,1.0,28.250420943369022,28.4929611426877,26.21639063544645,27.66611955410129,2568300.0
2000-01-28,49.94,50.0,48.25,48.94,1732100.0,0.0,1.0,27.52831262267022,27.56138628621368,26.5967377661962,26.977084896945946,1732100.0
2000-01-31,48.94,48.94,46.81,47.44,2152300.0,0.0,1.0,26.977084896945946,26.977084896945946,25.80296984115325,26.15024330835954,2152300.0
2000-02-01,47.5,48.63,46.69,48.19,1747500.0,0.0,1.0,26.183316971902997,26.806204301971427,25.736822514066333,26.563664102652744,1747500.0
2000-02-02,48.25,48.25,44.25,45.56,2998300.0,0.0,1.0,26.5967377661962,26.5967377661962,24.391826863299105,25.113935183997906,2998300.0
2000-02-03,46.0,49.0,45.81,48.63,3202300.0,0.0,1.0,25.356475383316585,27.010158560489405,25.251742115428975,26.806204301971427,3202300.0
2000-02-04,48.56,49.25,47.88,48.0,1296600.0,0.0,1.0,26.767618361170726,27.147965491920473,26.39278350767822,26.458930834765134,1296600.0
2000-02-07,48.0,48.25,46.5,46.5,1554500.0,0.0,1.0,26.458930834765134,26.5967377661962,25.632089246178722,25.632089246178722,1554500.0
2000-02-08,47.0,47.0,46.0,46.56,2684900.0,0.0,1.0,25.90770310904086,25.90770310904086,25.356475383316585,25.66516290972218,2684900.0
2000-02-09,46.56,46.94,44.81,45.0,2266800.0,0.0,1.0,25.66516290972218,25.8746294454974,24.7005143897047,24.80524765759231,2266800.0
2000-02-10,45.19,47.88,45.06,47.38,2229900.0,0.0,1.0,24.90998092547992,26.39278350767822,24.83832132113577,26.117169644816084,2229900.0
2000-02-11,47.0,47.0,45.5,45.81,1208300.0,0.0,1.0,25.90770310904086,25.90770310904086,25.080861520454448,25.251742115428975,1208300.0
2000-02-14,45.94,47.75,45.63,46.31,1729900.0,0.0,1.0,25.323401719773127,26.321123903334065,25.152521124798604,25.527355978291112,1729900.0
