Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2012-10-01,35.78,37.3,35.44,37.27,10551300.0,0.0,1.0,33.3576087179,34.774701095,33.0406275283,34.7467321665,10551300.0
2012-10-02,37.18,38.55,36.3,38.33,9899000.0,0.0,1.0,34.662825381,35.9400731156,33.8424034785,35.73496764,9899000.0
2012-10-03,38.56,40.35,38.56,39.09,6480600.0,0.0,1.0,35.9493960918,37.6182088253,35.9493960918,36.4435138285,6480600.0
2012-10-04,39.09,39.38,38.39,38.57,3147300.0,0.0,1.0,36.4435138285,36.7138801373,35.790905497,35.9587190679,3147300.0
2012-10-05,38.7,38.99,36.97,38.24,7520000.0,0.0,1.0,36.0799177581,36.3502840669,34.4670428816,35.6510608545,7520000.0
2012-10-08,36.64,38.535,36.56,38.23,3698600.0,0.0,1.0,34.1593846681,35.9260886514,34.0848008588,35.6417378783,3698600.0
2012-10-09,38.09,38.5799,37.24,37.5,3872400.0,0.0,1.0,35.511216212,35.9679488143,34.718763238,34.9611606183,3872400.0
2012-10-10,36.97,37.64,36.73,37.06,4325900.0,0.0,1.0,34.4670428816,35.0916822846,34.2432914536,34.550949667,4325900.0
2012-10-11,37.15,37.21,35.75,36.45,5293000.0,0.0,1.0,34.6348564525,34.6907943095,33.3296397894,33.982248121,5293000.0
2012-10-12,36.23,36.5,35.98,36.48,2703100.0,0.0,1.0,33.7771426454,34.0288630018,33.5440682412,34.0102170495,2703100.0
2012-10-15,35.78,36.58,35.375,36.55,2831300.0,0.0,1.0,33.3576087179,34.1034468111,32.9800281833,34.0754778826,2831300.0
2012-10-16,36.99,38.0,36.55,37.84,3530900.0,0.0,1.0,34.4856888339,35.4273094265,34.0754778826,35.2781418079,3530900.0
2012-10-17,37.91,39.0,37.82,38.82,3869800.0,0.0,1.0,35.3434026411,36.359607043,35.2594958556,36.1917934721,3869800.0
2012-10-18,37.26,39.0,36.91,38.56,3614600.0,0.0,1.0,34.7374091903,36.359607043,34.4111050246,35.9493960918,3614600.0
2012-10-19,38.76,39.1,38.22,38.8,1514300.0,0.0,1.0,36.1358556151,36.4528368047,35.6324149022,36.1731475197,1514300.0
2012-10-22,38.6,38.97,38.35,38.9,1435300.0,0.0,1.0,35.9866879964,36.3316381145,35.7536135923,36.2663772814,1435300.0
2012-10-23,38.16,38.61,37.93,38.09,1848600.0,0.0,1.0,35.5764770452,35.9960109726,35.3620485934,35.511216212,1848600.0
2012-10-24,38.15,38.57,37.55,38.32,2251600.0,0.0,1.0,35.567154069,35.9587190679,35.0077754991,35.7256446638,2251600.0
2012-10-25,39.75,42.45,39.75,41.16,7659600.0,0.0,1.0,37.0588302554,39.5760338199,37.0588302554,38.3733698946,7659600.0
2012-10-26,40.98,42.58,40.92,41.86,3076600.0,0.0,1.0,38.2055563237,39.6972325101,38.1496184667,39.0259782262,3076600.0
2012-10-31,41.76,42.0,40.77,41.51,2729900.0,0.0,1.0,38.9327484645,39.1564998925,38.0097738242,38.6996740604,2729900.0
2012-11-01,41.51,41.83,40.965,41.28,2295400.0,0.0,1.0,38.6996740604,38.9980092977,38.1915718594,38.4852456086,2295400.0
2012-11-02,42.19,43.0,41.35,41.5,1864100.0,0.0,1.0,39.3336364396,40.088797509,38.5505064418,38.6903510842,1864100.0
2012-11-05,41.5,42.51,41.17,41.88,1663900.0,0.0,1.0,38.6903510842,39.6319716769,38.3826928708,39.0446241785,1663900.0
2012-11-06,42.52,42.79,41.66,41.72,2102000.0,0.0,1.0,39.6412946531,39.8930150095,38.8395187029,38.8954565599,2102000.0
2012-11-07,41.6,41.83,40.85,40.98,2292200.0,0.0,1.0,38.7835808459,38.9980092977,38.0843576335,38.2055563237,2292200.0
2012-11-08,40.98,42.34,40.39,41.76,1589400.0,0.0,1.0,38.2055563237,39.4734810821,37.6555007299,38.9327484645,1589400.0
2012-11-09,42.09,43.35,41.87,43.06,3040300.0,0.0,1.0,39.240406678,40.4151016747,39.0353012023,40.144735366,3040300.0
2012-11-12,43.06,44.97,42.7,42.85,1072700.0,0.0,1.0,40.144735366,41.9254238135,39.809108224,39.9489528665,1072700.0
2012-11-13,42.41,43.19,42.2,42.83,1392100.0,0.0,1.0,39.5387419152,40.2659340561,39.3429594158,39.9303069142,1392100.0
2012-11-14,42.77,42.77,41.39,41.51,1523400.0,0.0,1.0,39.8743690572,39.8743690572,38.5877983464,38.6996740604,1523400.0
2012-11-15,41.5,41.97,40.99,41.4,2118000.0,0.0,1.0,38.6903510842,39.128530964,38.2148792998,38.5971213226,2118000.0
2012-11-16,41.5,41.64,40.94,41.03,2192300.0,0.0,1.0,38.6903510842,38.8208727506,38.168264419,38.2521712045,2192300.0
2012-11-19,41.46,42.28,41.2,41.74,1741100.0,0.0,1.0,38.6530591796,39.4175432251,38.4106617993,38.9141025122,1741100.0
2012-11-20,41.79,42.34,41.7,42.25,1526200.0,0.0,1.0,38.960717393,39.4734810821,38.8768106075,39.3895742966,1526200.0
2012-11-21,42.3,42.7,42.11,42.66,796400.0,0.0,1.0,39.4361891774,39.809108224,39.2590526303,39.7718163194,796400.0
2012-11-23,42.73,42.91,42.43,42.86,364900.0,0.0,1.0,39.8370771525,40.0048907235,39.5573878676,39.9582758427,364900.0
2012-11-26,42.65,43.27,42.6101,43.1,1697200.0,0.0,1.0,39.7624933432,40.3405178654,39.7252946683,40.1820272706,1697200.0
2012-11-27,45.0,45.0,43.451,43.57,6803800.0,0.0,1.0,41.953392742,41.953392742,40.509263734,40.6202071504,6803800.0
2012-11-28,42.38,44.27,42.38,44.15,3446300.0,0.0,1.0,39.5107729868,41.2728154819,39.5107729868,41.1609397679,3446300.0
2012-11-29,44.3,45.21,44.16,44.79,1909000.0,0.0,1.0,41.3007844104,42.1491752414,41.1702627441,41.7576102425,1909000.0
2012-11-30,44.83,45.98,44.73,45.9,2852600.0,0.0,1.0,41.7949021471,42.8670444061,41.7016723855,42.7924605968,2852600.0
2012-12-03,45.81,45.8763,44.28,44.72,2737400.0,0.0,1.0,42.7085538113,42.7703651433,41.2821384581,41.6923494093,2737400.0
2012-12-04,44.31,45.0,43.95,44.0,1392800.0,0.0,1.0,41.3101073866,41.953392742,40.9744802446,41.0210951255,1392800.0
2012-12-05,44.04,44.32,43.75,44.07,1065400.0,0.0,1.0,41.0583870301,41.3194303627,40.7880207213,41.0863559586,1065400.0
2012-12-06,43.83,44.19,43.25,43.88,2269300.0,0.125,1.0,40.9790089419,41.3155921776,40.4367359511,41.0257566135,2269300.0
2012-12-07,44.0,45.97,43.98,45.55,4140200.0,0.0,1.0,41.1379510254,42.9798092873,41.1192519568,42.5871288456,4140200.0
2012-12-10,45.56,45.88,45.07,45.25,1026300.0,0.0,1.0,42.59647838,42.8956634783,42.1383511981,42.3066428159,1026300.0
2012-12-11,45.49,45.59,44.85,45.03,1050800.0,0.0,1.0,42.5310316397,42.6245269829,41.932661443,42.1009530608,1050800.0
2012-12-12,45.27,45.64,44.85,45.22,1218200.0,0.0,1.0,42.3253418846,42.6712746546,41.932661443,42.278594213,1218200.0
2012-12-13,45.02,45.53,44.6,45.0,1064900.0,0.0,1.0,42.0916035265,42.568429777,41.6989230849,42.0729044578,1064900.0
2012-12-14,45.0,46.09,44.7,45.9,2476600.0,0.0,1.0,42.0729044578,43.0920036991,41.7924184281,42.914362547,2476600.0
2012-12-17,46.06,46.74,45.36,46.33,2063600.0,0.0,1.0,43.0639550962,43.6997234302,42.4094876935,43.3163925229,2063600.0
2012-12-18,46.33,47.0,45.32,45.73,3918900.0,0.0,1.0,43.3163925229,43.9428113226,42.3720895562,42.7554204635,3918900.0
2012-12-19,45.62,45.62,44.84,44.96,1314900.0,0.0,1.0,42.6525755859,42.6525755859,41.9233119086,42.0355063205,1314900.0
2012-12-20,44.99,45.72,44.71,45.37,1821000.0,0.0,1.0,42.0635549235,42.7460709292,41.8017679624,42.4188372278,1821000.0
2012-12-21,44.86,45.1,44.35,44.73,2796800.0,0.0,1.0,41.9420109773,42.1663998011,41.4651847268,41.8204670311,2796800.0
2012-12-24,44.61,45.42,44.424,45.12,474200.0,0.0,1.0,41.7082726192,42.4655848994,41.5343712808,42.1850988697,474200.0
2012-12-26,45.23,45.23,44.275,45.06,1354100.0,0.0,1.0,42.2879437473,42.2879437473,41.3950632193,42.1290016638,1354100.0
2012-12-27,45.33,46.48,45.12,46.23,2266200.0,0.0,1.0,42.3814390905,43.4566355378,42.1850988697,43.2228971797,2266200.0
2012-12-28,45.74,46.28,45.25,45.35,1599400.0,0.0,1.0,42.7647699978,43.2696448513,42.3066428159,42.4001381592,1599400.0
2012-12-31,45.0,46.65,44.6,46.49,1980000.0,0.0,1.0,42.0729044578,43.6155776213,41.6989230849,43.4659850721,1980000.0
2013-01-02,47.06,47.31,45.93,46.02,2444500.0,0.0,1.0,43.9989085286,44.2326468867,42.94241115,43.0265569589,2444500.0
2013-01-03,46.04,46.65,45.53,46.11,1998700.0,0.0,1.0,43.0452560275,43.6155776213,42.568429777,43.1107027678,1998700.0
2013-01-04,46.23,46.8,45.86,46.75,1671900.0,0.0,1.0,43.2228971797,43.7558206361,42.8769644097,43.7090729645,1671900.0
2013-01-07,46.26,47.17,46.25,46.66,1597300.0,0.0,1.0,43.2509457827,44.1017534061,43.2415962483,43.6249271556,1597300.0
