Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,50.94,52.88,49.69,52.44,4568800.0,0.0,1.0,22.9748639525,23.8498391404,22.41109128,23.6513911596,9137600.0
2000-01-04,50.69,52.19,49.69,49.81,3418900.0,0.0,1.0,22.862109418,23.5386366251,22.41109128,22.4652134565,6837800.0
2000-01-05,49.75,50.0,46.06,48.06,4963900.0,0.0,1.0,22.4381523682,22.5509069028,20.7738954388,21.6759317149,9927800.0
2000-01-06,48.56,50.88,47.0,48.0,6259000.0,0.0,1.0,21.901440784,22.9478028642,21.1978524886,21.6488706266,12518000.0
2000-01-07,47.25,53.0,47.25,53.0,4322400.0,0.0,1.0,21.3106070231,23.9039613169,21.3106070231,23.9039613169,8644800.0
2000-01-10,53.75,57.25,53.0,56.69,4028900.0,0.0,1.0,24.2422249205,25.8207884037,23.9039613169,25.5682182463,8057800.0
2000-01-11,55.88,57.75,52.81,52.81,2822200.0,0.0,1.0,25.2028935545,26.0462974727,23.8182678707,23.8182678707,5644400.0
2000-01-12,52.81,56.5,50.5,54.69,3789800.0,0.0,1.0,23.8182678707,25.4825248001,22.7764159718,24.6661819702,7579600.0
2000-01-13,55.16,56.5,54.0,56.19,1749500.0,0.0,1.0,24.8781604951,25.4825248001,24.354979455,25.3427091773,3499000.0
2000-01-14,57.69,60.06,57.38,59.63,4167600.0,0.0,1.0,26.0192363844,27.0881493716,25.8794207616,26.8942115722,8335200.0
2000-01-18,59.69,61.19,58.63,60.38,2869300.0,0.0,1.0,26.9212726605,27.5977998676,26.4431934342,27.2324751758,5738600.0
2000-01-19,60.75,60.88,58.63,59.5,2842000.0,0.0,1.0,27.3993518869,27.4579842448,26.4431934342,26.8355792143,5684000.0
2000-01-20,64.88,72.69,64.88,70.38,13753400.0,0.0,1.0,29.262056797,32.7845084552,29.262056797,31.7426565563,27506800.0
2000-01-21,70.94,73.06,69.31,70.81,5743900.0,0.0,1.0,31.9952267136,32.9513851663,31.2600671486,31.9365943557,11487800.0
2000-01-24,70.81,72.13,69.5,69.56,3559900.0,0.0,1.0,31.9365943557,32.5319382979,31.3457605948,31.3728216831,7119800.0
2000-01-25,71.0,71.5,65.75,71.0,4832700.0,0.0,1.0,32.0222878019,32.2477968709,29.6544425771,32.0222878019,9665400.0
2000-01-26,70.0,70.81,66.81,67.06,1957500.0,0.0,1.0,31.5712696639,31.9365943557,30.1325218035,30.245276338,3915000.0
2000-01-27,67.59,69.25,64.63,65.81,2793800.0,0.0,1.0,30.4843159511,31.2330060603,29.1493022625,29.6815036654,5587600.0
2000-01-28,65.06,67.25,62.31,63.38,3150700.0,0.0,1.0,29.3432400619,30.3309697842,28.1029401822,28.5855295899,6301400.0
2000-01-31,63.5,66.5,62.0,65.75,3979700.0,0.0,1.0,28.6396517665,29.9927061807,27.9631245594,29.6544425771,7959400.0
2000-02-01,66.0,69.19,63.06,68.94,2991200.0,0.0,1.0,29.7671971116,31.205944972,28.4412037858,31.0931904375,5982400.0
2000-02-02,69.25,70.63,67.63,69.31,3148700.0,0.0,1.0,31.2330060603,31.8554110908,30.5023566767,31.2600671486,6297400.0
2000-02-03,70.5,75.38,70.5,75.06,5637200.0,0.0,1.0,31.7967787329,33.9977472466,31.7967787329,33.8534214424,11274400.0
2000-02-04,72.0,75.0,68.13,72.5,11292600.0,0.0,1.0,32.47330594,33.8263603541,30.7278657457,32.698815009,22585200.0
2000-02-07,72.81,76.5,72.81,76.44,4982500.0,0.0,1.0,32.8386306318,34.5028875612,32.8386306318,34.4758264729,9965000.0
2000-02-08,76.88,79.06,74.0,77.06,3996300.0,0.0,1.0,34.6742744537,35.6574939946,33.3753422161,34.7554577185,7992600.0
2000-02-09,76.63,78.38,74.0,74.0,2321900.0,0.0,1.0,34.5615199192,35.3508016608,33.3753422161,33.3753422161,4643800.0
2000-02-10,73.78,76.88,72.69,76.25,2112700.0,0.0,1.0,33.2761182257,34.6742744537,32.7845084552,34.3901330267,4225400.0
2000-02-11,75.63,75.88,72.75,73.31,2711200.0,0.0,1.0,34.1105017811,34.2232563156,32.8115695435,33.0641397008,5422400.0
2000-02-14,74.0,75.0,72.31,74.69,2004900.0,0.0,1.0,33.3753422161,33.8263603541,32.6131215628,33.6865447313,4009800.0
2000-02-15,73.41,74.88,70.5,74.0,2674800.0,0.0,1.0,33.1092415146,33.7722381776,31.7967787329,33.3753422161,5349600.0
2000-02-16,74.0,79.63,73.38,76.56,3455800.0,0.0,1.0,33.3753422161,35.9145743333,33.0957109705,34.5299486495,6911600.0
2000-02-17,77.63,80.0,75.25,80.0,2334400.0,0.0,1.0,35.0125380572,36.0814510444,33.9391148887,36.0814510444,4668800.0
2000-02-18,78.56,80.0,72.88,74.31,3759700.0,0.0,1.0,35.4319849256,36.0814510444,32.8702019015,33.5151578389,7519400.0
2000-02-22,74.38,74.38,68.75,70.13,3849700.0,0.0,1.0,33.5467291085,33.5467291085,31.0074969913,31.6299020218,7699400.0
2000-02-23,70.63,74.25,70.25,73.0,3296800.0,0.0,1.0,31.8554110908,33.4880967506,31.6840241984,32.924324078,6593600.0
2000-02-24,74.25,77.44,73.25,77.44,3013600.0,0.0,1.0,33.4880967506,34.926844611,33.0370786125,34.926844611,6027200.0
2000-02-25,78.25,79.0,72.0,72.31,3184600.0,0.0,1.0,35.2921693028,35.6304329064,32.47330594,32.6131215628,6369200.0
2000-02-28,71.88,72.56,67.5,71.5,4470100.0,0.0,1.0,32.4191837634,32.7258760973,30.4437243187,32.2477968709,8940200.0
2000-02-29,77.25,80.5,75.75,79.75,5207600.0,0.0,1.0,34.8411511648,36.3069601134,34.1646239577,35.9686965099,10415200.0
2000-03-01,83.75,85.38,81.63,84.63,4618900.0,0.0,1.0,37.7727690621,38.5079286272,36.8166106094,38.1696650236,9237800.0
