Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2009-08-06,16.5,16.91,15.56,16.18,24197800.0,0.0,1.0,14.9120607476,15.2826028631,14.0625251656,14.6228571452,24197800.0
2009-08-07,16.15,16.76,16.03,16.43,2454300.0,0.0,1.0,14.5957443075,15.1470386745,14.4872929566,14.8487974595,2454300.0
2009-08-10,16.63,16.63,15.61,15.97,2421000.0,0.0,1.0,15.029549711,15.029549711,14.1077132284,14.4330672811,2421000.0
2009-08-11,15.98,16.0,15.5,15.67,2305400.0,0.0,1.0,14.4421048937,14.4601801188,14.0082994901,14.1619389039,2305400.0
2009-08-12,16.15,16.2,15.66,16.0,1451300.0,0.0,1.0,14.5957443075,14.6409323703,14.1529012913,14.4601801188,1451300.0
2009-08-13,16.0,16.72,16.0,16.55,1150600.0,0.0,1.0,14.4601801188,15.1108882242,14.4601801188,14.9572488104,1150600.0
2009-08-14,16.5,17.0,16.25,16.6,637800.0,0.0,1.0,14.9120607476,15.3639413763,14.6861204332,15.0024368733,637800.0
2009-08-17,16.27,16.37,16.2,16.22,254400.0,0.0,1.0,14.7041956584,14.7945717841,14.6409323703,14.6590075955,254400.0
2009-08-18,16.48,17.2,16.35,17.07,1446700.0,0.0,1.0,14.8939855224,15.5446936278,14.7764965589,15.4272046643,1446700.0
2009-08-19,16.84,17.94,16.8,17.89,2070800.0,0.0,1.0,15.2193395751,16.2134769583,15.1831891248,16.1682888954,2070800.0
2009-08-20,17.95,17.95,17.29,17.76,1882100.0,0.0,1.0,16.2225145708,16.2225145708,15.6260321409,16.0507999319,1882100.0
2009-08-21,17.79,17.97,17.58,17.82,863600.0,0.0,1.0,16.0779127696,16.240589796,15.8881229056,16.1050256074,863600.0
2009-08-24,17.52,17.85,17.3,17.5,1021600.0,0.0,1.0,15.8338972301,16.1321384451,15.6350697535,15.815822005,1021600.0
2009-08-25,17.65,17.9,17.55,17.85,530800.0,0.0,1.0,15.9513861936,16.177326508,15.8610100679,16.1321384451,530800.0
2009-08-26,17.69,17.85,17.15,17.85,708600.0,0.0,1.0,15.9875366439,16.1321384451,15.4995055649,16.1321384451,708600.0
2009-08-27,17.85,18.21,17.55,18.16,1161100.0,0.0,1.0,16.1321384451,16.4574924978,15.8610100679,16.4123044349,1161100.0
2009-08-28,18.1,19.0,18.0,18.47,1295000.0,0.0,1.0,16.3580787594,17.1714638911,16.2677026337,16.6924704247,1295000.0
2009-08-31,18.35,18.4,17.81,18.2,1004800.0,0.0,1.0,16.5840190738,16.6292071367,16.0959879948,16.4484548852,1004800.0
2009-09-01,18.25,18.44,16.94,17.85,1383500.0,0.0,1.0,16.4936429481,16.665357587,15.3097157008,16.1321384451,1383500.0
2009-09-02,17.76,18.25,17.48,17.68,1293400.0,0.0,1.0,16.0507999319,16.4936429481,15.7977467798,15.9784990313,1293400.0
2009-09-03,17.97,17.97,17.0,17.45,3657700.0,0.0,1.0,16.240589796,16.240589796,15.3639413763,15.7706339421,3657700.0
2009-09-04,17.75,17.9989,17.49,17.76,1158600.0,0.0,1.0,16.0417623193,16.2667084963,15.8067843924,16.0507999319,1158600.0
2009-09-08,17.76,17.93,17.45,17.7,574900.0,0.0,1.0,16.0507999319,16.2044393457,15.7706339421,15.9965742565,574900.0
2009-09-09,17.85,17.85,17.22,17.26,551200.0,0.0,1.0,16.1321384451,16.1321384451,15.5627688529,15.5989193032,551200.0
2009-09-10,17.01,17.46,16.95,17.05,415200.0,0.0,1.0,15.3729789888,15.7796715547,15.3187533134,15.4091294391,415200.0
2009-09-11,17.0,17.33,16.54,16.88,620300.0,0.0,1.0,15.3639413763,15.6621825912,14.9482111979,15.2554900254,620300.0
2009-09-14,16.64,16.8999,16.31,16.65,1614500.0,0.0,1.0,15.0385873236,15.2734748744,14.7403461086,15.0476249362,1614500.0
2009-09-15,17.25,17.35,16.63,17.18,1986900.0,0.0,1.0,15.5898816906,15.6802578164,15.029549711,15.5266184026,1986900.0
2009-09-16,17.4,17.75,17.11,17.58,2021100.0,0.0,1.0,15.7254458792,16.0417623193,15.4633551146,15.8881229056,2021100.0
2009-09-17,17.66,17.9,16.53,16.64,1446400.0,0.0,1.0,15.9604238062,16.177326508,14.9391735853,15.0385873236,1446400.0
2009-09-18,16.57,17.02,16.18,16.2,899900.0,0.0,1.0,14.9753240356,15.3820166014,14.6228571452,14.6409323703,899900.0
2009-09-21,16.28,16.63,15.87,16.61,553000.0,0.0,1.0,14.7132332709,15.029549711,14.3426911554,15.0114744859,553000.0
2009-09-22,16.96,17.37,16.82,17.25,1114100.0,0.0,1.0,15.327790926,15.6983330415,15.2012643499,15.5898816906,1114100.0
2009-09-23,17.62,17.79,17.3,17.4,530300.0,0.0,1.0,15.9242733559,16.0779127696,15.6350697535,15.7254458792,530300.0
