Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,72.25,72.38,71.38,71.38,420200.0,0.0,1.0,44.95579541748379,45.036684737958154,44.41445919584765,44.41445919584765,420200.0
2000-01-04,68.63,70.94,68.31,70.44,642700.0,0.0,1.0,42.70333895504377,44.14067995731903,42.50422678156841,43.82956718626378,642700.0
2000-01-05,70.13,73.88,70.13,73.0,477700.0,0.0,1.0,43.636677268209525,45.97002305112391,43.636677268209525,45.422464574066666,477700.0
2000-01-06,72.0,75.44,71.88,75.31,536100.0,0.0,1.0,44.80023903195617,46.94069489681629,44.725571966902905,46.85980557634193,536100.0
2000-01-07,75.31,76.63,74.63,75.56,679900.0,0.0,1.0,46.85980557634193,47.68114329192779,46.436692207706784,47.01536196186955,679900.0
2000-01-10,75.81,78.13,75.63,78.0,883400.0,0.0,1.0,47.17091834739718,48.614481605093545,47.05891774981728,48.53359228461918,883400.0
2000-01-11,77.75,78.5,76.88,77.56,724100.0,0.0,1.0,48.37803589909155,48.84470505567443,47.836699677455414,48.25981304609056,724100.0
2000-01-12,77.31,77.31,75.94,76.88,603400.0,0.0,1.0,48.10425666056293,48.10425666056293,47.251807667871546,47.836699677455414,603400.0
2000-01-13,76.88,77.19,74.38,76.25,374800.0,0.0,1.0,47.836699677455414,48.02958959550967,46.28113582217916,47.4446975859258,374800.0
2000-01-14,76.5,76.63,74.25,76.5,349300.0,0.0,1.0,47.60025397145343,47.68114329192779,46.2002465017048,47.60025397145343,349300.0
2000-01-18,74.69,75.69,73.25,74.94,490200.0,0.0,1.0,46.474025740233415,47.096251282343914,45.57802095959429,46.62958212576104,490200.0
2000-01-19,73.0,73.25,67.13,68.69,1630200.0,0.0,1.0,45.422464574066666,45.57802095959429,41.77000064187801,42.7406724875704,1630200.0
2000-01-20,68.25,68.25,66.38,66.5,815700.0,0.0,1.0,42.46689324904178,42.46689324904178,41.30333148529514,41.3779985503484,815700.0
2000-01-21,67.25,69.5,67.25,69.5,473700.0,0.0,1.0,41.84466770693128,43.24467517667991,41.84466770693128,43.24467517667991,473700.0
2000-01-24,69.25,69.31,67.13,67.31,261900.0,0.0,1.0,43.08911879115228,43.12645232367892,41.77000064187801,41.882001239457914,261900.0
2000-01-25,67.31,68.38,66.88,68.25,382200.0,0.0,1.0,41.882001239457914,42.547782569516144,41.61444425635039,42.46689324904178,382200.0
2000-01-26,68.25,70.69,67.31,68.88,425700.0,0.0,1.0,42.46689324904178,43.985123571791405,41.882001239457914,42.858895340571394,425700.0
2000-01-27,69.13,70.56,67.63,68.44,289100.0,0.0,1.0,43.01445172609902,43.90423425131704,42.08111341293327,42.585116102042775,289100.0
2000-01-28,68.44,68.44,66.5,66.5,259800.0,0.0,1.0,42.585116102042775,42.585116102042775,41.3779985503484,41.3779985503484,259800.0
2000-01-31,66.5,68.5,65.38,67.75,303900.0,0.0,1.0,41.3779985503484,42.622449634569406,40.68110594318464,42.15578047798653,303900.0
2000-02-01,67.25,67.25,66.13,67.06,293300.0,0.0,1.0,41.84466770693128,41.84466770693128,41.147775099767514,41.72644485393028,293300.0
2000-02-02,67.31,67.38,66.19,66.63,261800.0,0.0,1.0,41.882001239457914,41.925557027405645,41.185108632294146,41.458887870822764,261800.0
2000-02-03,66.13,67.75,66.0,66.06,363500.0,0.0,1.0,41.147775099767514,42.15578047798653,41.06688577929315,41.10421931181978,363500.0
2000-02-04,66.0,67.94,64.5,67.13,418800.0,0.0,1.0,41.06688577929315,42.274003330987526,40.133547466127396,41.77000064187801,418800.0
2000-02-07,67.13,67.13,64.31,65.81,291400.0,0.0,1.0,41.77000064187801,41.77000064187801,40.0153246131264,40.94866292629216,291400.0
2000-02-08,65.56,66.0,64.5,65.75,207200.0,0.0,1.0,40.79310654076453,41.06688577929315,40.133547466127396,40.91132939376553,207200.0
2000-02-09,65.5,65.5,64.0,64.63,182400.0,0.0,1.0,40.7557730082379,40.7557730082379,39.82243469507215,40.21443678660176,182400.0
2000-02-10,64.63,65.06,63.38,65.0,247100.0,0.0,1.0,40.21443678660176,40.481993769709284,39.436654858963635,40.444660237182646,247100.0
