Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,57.75,57.88,54.88,57.5,8641244.0,0.0,1.0,19.5637650965,19.6078047409,18.5915052554,19.4790734728,19442799.0
2000-01-04,56.75,58.63,55.0,57.38,5122444.0,0.0,1.0,19.2249986014,19.8618796123,18.6321572348,19.4384214933,11525499.0
2000-01-05,57.0,58.38,52.5,56.69,4938444.0,0.0,1.0,19.3096902252,19.7771879885,17.7852409969,19.2046726117,11111499.0
2000-01-06,56.19,58.13,55.38,56.5,2652444.0,0.0,1.0,19.0352893641,19.6924963647,18.760888503,19.1403069776,5967999.0
2000-01-07,56.5,58.25,56.25,58.25,2549600.0,0.0,1.0,19.1403069776,19.7331483441,19.0556153538,19.7331483441,5736600.0
2000-01-10,59.06,59.69,56.88,57.63,1686400.0,0.0,1.0,20.0075492052,20.2209720972,19.2690382457,19.5231131171,3794400.0
2000-01-11,57.06,57.25,55.5,55.88,2337644.0,0.0,1.0,19.3300162149,19.394381849,18.8015404824,18.9302717506,5259699.0
2000-01-12,55.0,56.13,53.06,54.44,1816267.0,0.0,1.0,18.6321572348,19.0149633744,17.9749502342,18.4424479975,4086600.75
2000-01-13,54.44,55.56,53.0,53.0,1221067.0,0.0,1.0,18.4424479975,18.8218664721,17.9546242445,17.9546242445,2747400.75
2000-01-14,55.31,55.63,54.63,54.81,1964178.0,0.0,1.0,18.7371748483,18.8455801268,18.5068136316,18.5677916007,4419400.5
2000-01-18,54.19,54.75,53.69,54.56,1088978.0,0.0,1.0,18.3577563737,18.547465611,18.1883731261,18.4830999769,2450200.5
2000-01-19,54.94,58.0,54.69,56.75,2585867.0,0.0,1.0,18.6118312451,19.6484567203,18.5271396213,19.2249986014,5818200.75
2000-01-20,57.0,57.0,54.75,54.88,2067378.0,0.0,1.0,19.3096902252,19.3096902252,18.547465611,18.5915052554,4651600.5
2000-01-21,55.0,55.13,53.38,54.05,2437467.0,0.0,1.0,18.6321572348,18.6761968792,18.0833555126,18.3103290644,5484300.75
2000-01-24,54.94,55.13,51.19,51.63,1382444.0,0.0,1.0,18.6118312451,18.6761968792,17.3414568882,17.4905141461,3110499.0
2000-01-25,51.63,53.5,50.75,53.5,1552267.0,0.0,1.0,17.4905141461,18.124007492,17.1923996303,18.124007492,3492600.75
2000-01-26,53.25,53.44,51.63,51.81,1123778.0,0.0,1.0,18.0393158682,18.1036815023,17.4905141461,17.5514921152,2528500.5
2000-01-27,52.06,52.63,50.19,51.13,963867.0,0.0,1.0,17.636183739,17.8292806412,17.002690393,17.3211308985,2168700.75
2000-01-28,51.25,51.25,48.75,50.0,1505067.0,0.0,1.0,17.3617828779,17.3617828779,16.5148666399,16.9383247589,3386400.75
2000-01-31,49.25,49.44,47.25,47.75,1746444.0,0.0,1.0,16.6842498875,16.7486155216,16.0067168972,16.1761001448,3929499.0
2000-02-01,47.75,50.25,47.25,49.69,2692800.0,0.0,1.0,16.1761001448,17.0230163827,16.0067168972,16.8333071454,6058800.0
2000-02-02,49.5,50.0,47.75,49.75,1512267.0,0.0,1.0,16.7689415113,16.9383247589,16.1761001448,16.8536331351,3402600.75
2000-02-03,50.5,52.38,50.0,52.06,2310578.0,0.0,1.0,17.1077080065,17.7445890174,16.9383247589,17.636183739,5198800.5
2000-02-04,56.88,57.06,53.94,56.88,4108400.0,0.0,1.0,19.2690382457,19.3300162149,18.2730647499,19.2690382457,9243900.0
2000-02-07,55.63,55.88,53.94,55.0,1726000.0,0.0,1.0,18.8455801268,18.9302717506,18.2730647499,18.6321572348,3883500.0
2000-02-08,55.0,57.75,55.0,57.25,1671600.0,0.0,1.0,18.6321572348,19.5637650965,18.6321572348,19.394381849,3761100.0
2000-02-09,57.88,57.88,54.0,54.81,1396000.0,0.0,1.0,19.6078047409,19.6078047409,18.2933907396,18.5677916007,3141000.0
2000-02-10,54.88,55.38,53.81,54.44,1264000.0,0.0,1.0,18.5915052554,18.760888503,18.2290251055,18.4424479975,2844000.0
2000-02-11,54.94,54.94,53.38,53.69,1005467.0,0.0,1.0,18.6118312451,18.6118312451,18.0833555126,18.1883731261,2262300.75
2000-02-14,54.0,54.25,52.81,53.0,1325467.0,0.0,1.0,18.2933907396,18.3780823634,17.8902586104,17.9546242445,2982300.75
2000-02-15,53.0,53.44,52.69,53.06,1194044.0,0.0,1.0,17.9546242445,18.1036815023,17.8496066309,17.9749502342,2686599.0
2000-02-16,53.0,55.81,52.88,55.0,2016178.0,0.0,1.0,17.9546242445,18.9065580959,17.913972265,18.6321572348,4536400.5
2000-02-17,55.88,55.88,54.25,54.44,1724578.0,0.0,1.0,18.9302717506,18.9302717506,18.3780823634,18.4424479975,3880300.5
2000-02-18,54.38,57.75,54.38,56.13,2459467.0,0.0,1.0,18.4221220078,19.5637650965,18.4221220078,19.0149633744,5533800.75
2000-02-22,54.88,55.06,51.75,53.75,1675067.0,0.0,1.0,18.5915052554,18.6524832245,17.5311661255,18.2086991158,3768900.75
2000-02-23,56.0,56.06,53.13,53.75,1064178.0,0.0,1.0,18.97092373,18.9912497197,17.9986638888,18.2086991158,2394400.5
2000-02-24,53.81,53.81,50.06,51.75,1877644.0,0.0,1.0,18.2290251055,18.2290251055,16.9586507486,17.5311661255,4224699.0
2000-02-25,51.75,52.0,47.5,48.0,2426400.0,0.0,1.0,17.5311661255,17.6158577493,16.091408521,16.2607917686,5459400.0
2000-02-28,48.19,52.06,47.25,51.69,2243644.0,0.0,1.0,16.3251574026,17.636183739,16.0067168972,17.5108401358,5048199.0
2000-02-29,53.5,55.06,53.25,54.63,2341778.0,0.0,1.0,18.124007492,18.6524832245,18.0393158682,18.5068136316,5269000.5
2000-03-01,54.63,55.69,54.5,55.0,1852400.0,0.0,1.0,18.5068136316,18.8659061165,18.4627739872,18.6321572348,4167900.0
2000-03-02,55.88,57.88,53.63,57.06,2973600.0,0.0,1.0,18.9302717506,19.6078047409,18.1680471364,19.3300162149,6690600.0
2000-03-03,58.25,62.94,58.06,60.5,3866178.0,0.0,1.0,19.7331483441,21.3219632065,19.6687827101,20.4953729583,8698900.5
2000-03-06,63.5,63.94,61.0,61.0,2722800.0,0.0,1.0,21.5116724438,21.6607297017,20.6647562059,20.6647562059,6126300.0
2000-03-07,63.0,63.0,58.38,58.69,1960978.0,0.0,1.0,21.3422891962,21.3422891962,19.7771879885,19.882205602,4412200.5
2000-03-08,59.0,60.94,58.94,60.94,996800.0,0.0,1.0,19.9872232155,20.6444302162,19.9668972258,20.6444302162,2242800.0
2000-03-09,60.63,64.69,59.69,64.0,1495467.0,0.0,1.0,20.5394126027,21.9148045731,20.2209720972,21.6810556914,3364800.75
2000-03-10,64.38,64.38,61.63,62.38,1138800.0,0.0,1.0,21.8097869596,21.8097869596,20.8781790978,21.1322539692,2562300.0
2000-03-13,60.0,62.31,60.0,61.44,1137244.0,0.0,1.0,20.3259897107,21.1085403146,20.3259897107,20.8138134638,2558799.0
2000-03-14,61.44,63.63,60.88,62.69,1178578.0,0.0,1.0,20.8138134638,21.5557120882,20.6241042265,21.2372715827,2651800.5
2000-03-15,62.94,67.5,61.75,66.13,1843467.0,0.0,1.0,21.3219632065,22.8667384245,20.9188310773,22.4026283261,4147800.75
2000-03-16,68.94,75.31,68.5,74.5,5097244.0,0.0,1.0,23.3545621776,25.5125047519,23.2055049197,25.2381038908,11468799.0
2000-03-17,76.5,79.25,72.88,74.5,3735244.0,0.0,1.0,25.9156368811,26.8472447429,24.6893021686,25.2381038908,8404299.0
2000-03-20,74.25,74.25,69.88,70.88,1843600.0,0.0,1.0,25.153412267,25.153412267,23.6730026831,24.0117691782,4148100.0
2000-03-21,70.38,74.44,68.88,73.5,1988667.0,0.0,1.0,23.8423859306,25.2177779011,23.3342361879,24.8993373956,4474500.75
2000-03-22,73.38,76.88,72.5,76.5,1824800.0,0.0,1.0,24.8586854162,26.0443681493,24.5605709004,25.9156368811,4105800.0
2000-03-23,76.0,81.0,74.75,80.75,2651244.0,0.0,1.0,25.7462536336,27.4400861094,25.3227955146,27.3553944856,5965299.0
2000-03-24,80.0,81.94,77.87,77.94,1884444.0,0.0,1.0,27.1013196143,27.7585266149,26.3797469795,26.4034606342,4239999.0
2000-03-27,77.69,77.75,73.88,75.63,1159467.0,0.0,1.0,26.3187690104,26.3390950001,25.0280686638,25.6209100303,2608800.75
2000-03-28,75.25,82.31,74.63,82.0,3337378.0,0.0,1.0,25.4921787622,27.8838702181,25.2821435352,27.7788526046,7509100.5
2000-03-29,81.25,83.0,79.0,83.0,2054667.0,0.0,1.0,27.5247777332,28.1176190998,26.7625531191,28.1176190998,4623000.75
2000-03-30,81.0,85.5,80.75,83.94,3647644.0,0.0,1.0,27.4400861094,28.9645353377,27.3553944856,28.4360596053,8207199.0
2000-03-31,84.0,86.25,81.0,86.0,1985067.0,0.0,1.0,28.456385595,29.2186102091,27.4400861094,29.1339185853,4466400.75
