Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,26.19,26.25,26.0,26.19,776300.0,0.0,1.0,19.86575214680724,19.911263606479192,19.721632524512724,19.86575214680724,776300.0
2000-01-04,25.5,26.0,25.5,25.5,633300.0,0.0,1.0,19.342370360579785,19.721632524512724,19.342370360579785,19.342370360579785,633300.0
2000-01-05,25.75,25.94,25.25,25.69,749800.0,0.0,1.0,19.532001442546257,19.67612106484077,19.152739278613318,19.486489982874303,749800.0
2000-01-06,25.69,27.31,25.63,26.75,427900.0,0.0,1.0,19.486489982874303,20.715299394017016,19.44097852320235,20.290525770412128,427900.0
2000-01-07,27.0,28.38,26.94,28.25,896300.0,0.0,1.0,20.4801568523786,21.526920424833502,20.434645392706646,21.42831226221094,896300.0
2000-01-10,28.13,28.19,27.56,27.63,513600.0,0.0,1.0,21.337289342867034,21.382800802538988,20.904930475983488,20.9580271789341,513600.0
2000-01-11,27.88,28.19,27.13,27.19,572300.0,0.0,1.0,21.147658260900567,21.382800802538988,20.57876501500116,20.624276474673113,572300.0
2000-01-12,26.69,26.75,26.13,26.31,839900.0,0.0,1.0,20.245014310740178,20.290525770412128,19.820240687135286,19.956775066151142,839900.0
2000-01-13,26.44,28.5,26.38,28.13,680700.0,0.0,1.0,20.05538322877371,21.61794334417741,20.009871769101753,21.337289342867034,680700.0
2000-01-14,28.0,28.0,26.88,27.38,631700.0,0.0,1.0,21.23868118024447,21.23868118024447,20.389133933034692,20.768396096967628,631700.0
2000-01-18,27.19,27.94,26.75,27.44,904700.0,0.0,1.0,20.624276474673113,21.19316972057252,20.290525770412128,20.813907556639585,904700.0
2000-01-19,27.19,28.63,27.0,28.38,888800.0,0.0,1.0,20.624276474673113,21.71655150679997,20.4801568523786,21.526920424833502,888800.0
2000-01-20,28.38,28.63,27.63,27.81,752100.0,0.0,1.0,21.526920424833502,21.71655150679997,20.9580271789341,21.094561557949955,752100.0
2000-01-21,29.0,29.44,28.38,28.81,1278900.0,0.0,1.0,21.997205508110344,22.33095621237133,21.526920424833502,21.85308588581583,1278900.0
2000-01-24,28.69,28.69,27.13,27.88,857100.0,0.0,1.0,21.762062966471927,21.762062966471927,20.57876501500116,21.147658260900567,857100.0
2000-01-25,27.63,28.0,26.81,27.19,677300.0,0.0,1.0,20.9580271789341,21.23868118024447,20.33603723008408,20.624276474673113,677300.0
2000-01-26,27.38,27.88,26.81,26.81,706500.0,0.0,1.0,20.768396096967628,21.147658260900567,20.33603723008408,20.33603723008408,706500.0
2000-01-27,26.94,27.88,26.69,27.88,850800.0,0.0,1.0,20.434645392706646,21.147658260900567,20.245014310740178,21.147658260900567,850800.0
2000-01-28,27.63,27.63,26.38,26.5,810600.0,0.0,1.0,20.9580271789341,20.9580271789341,20.009871769101753,20.10089468844566,810600.0
2000-01-31,26.44,26.81,25.81,26.19,751100.0,0.0,1.0,20.05538322877371,20.33603723008408,19.577512902218206,19.86575214680724,751100.0
2000-02-01,26.31,27.13,26.13,27.13,469300.0,0.0,1.0,19.956775066151142,20.57876501500116,19.820240687135286,20.57876501500116,469300.0
2000-02-02,26.88,26.88,26.0,26.31,816100.0,0.0,1.0,20.389133933034692,20.389133933034692,19.721632524512724,19.956775066151142,816100.0
2000-02-03,26.31,26.31,25.63,26.0,660200.0,0.0,1.0,19.956775066151142,19.956775066151142,19.44097852320235,19.721632524512724,660200.0
2000-02-04,26.25,26.44,25.94,26.0,667000.0,0.0,1.0,19.911263606479192,20.05538322877371,19.67612106484077,19.721632524512724,667000.0
2000-02-07,26.25,26.44,25.94,26.0,552500.0,0.0,1.0,19.911263606479192,20.05538322877371,19.67612106484077,19.721632524512724,552500.0
2000-02-08,26.0,26.0,25.25,25.69,780600.0,0.0,1.0,19.721632524512724,19.721632524512724,19.152739278613318,19.486489982874303,780600.0
2000-02-09,25.44,25.94,24.75,25.88,1487800.0,0.0,1.0,19.296858900907836,19.67612106484077,18.773477114680382,19.630609605168818,1487800.0
2000-02-10,25.81,25.94,24.81,25.13,853200.0,0.0,1.0,19.577512902218206,19.67612106484077,18.818988574352332,19.06171635926941,853200.0
2000-02-11,25.38,25.44,24.81,25.0,732700.0,0.0,1.0,19.251347441235882,19.296858900907836,18.818988574352332,18.96310819664685,732700.0
2000-02-14,25.19,25.88,25.0,25.81,767800.0,0.0,1.0,19.107227818941368,19.630609605168818,18.96310819664685,19.577512902218206,767800.0
2000-02-15,25.38,25.5,24.0,25.13,810500.0,0.0,1.0,19.251347441235882,19.342370360579785,18.204583868780976,19.06171635926941,810500.0
2000-02-16,25.0,25.75,24.81,25.44,894400.0,0.0,1.0,18.96310819664685,19.532001442546257,18.818988574352332,19.296858900907836,894400.0
2000-02-17,25.5,26.44,25.0,26.31,887100.0,0.0,1.0,19.342370360579785,20.05538322877371,18.96310819664685,19.956775066151142,887100.0
2000-02-18,26.56,31.88,26.56,30.56,4358000.0,0.0,1.0,20.146406148117613,24.18175557236406,20.146406148117613,23.180503459581107,4358000.0
2000-02-22,30.25,30.25,28.31,29.06,1977400.0,0.0,1.0,22.945360917942686,22.945360917942686,21.47382372188289,22.042716967782297,1977400.0
2000-02-23,28.81,30.63,28.69,30.0,2633800.0,0.0,1.0,21.85308588581583,23.23360016253172,21.762062966471927,22.75572983597622,2633800.0
