Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,64.25,64.88,63.63,64.44,3568500.0,0.0,1.0,31.1651653899,31.470753782,30.8644276071,31.2573269684,3568500.0
2000-01-04,60.88,61.06,58.94,59.56,10592000.0,0.0,1.0,29.5333567282,29.6206761141,28.5922477917,28.8930145652,10592000.0
2000-01-05,60.0,60.25,58.5,58.94,7222700.0,0.245,1.0,29.2231234146,29.3448864288,28.4925453292,28.7068482343,7222700.0
2000-01-06,59.0,60.06,58.25,59.75,7321900.0,0.0,1.0,28.7417446846,29.2581217925,28.3763835233,29.1071058458,7321900.0
2000-01-07,61.5,69.5,61.25,68.5,10913500.0,0.0,1.0,29.9602096603,33.8574727055,29.8384201901,33.3703148249,10913500.0
2000-01-10,68.63,68.63,66.75,67.75,7113400.0,0.0,1.0,33.4360198614,33.4360198614,32.5200980001,33.0072904795,7113400.0
2000-01-11,67.75,68.0,66.5,66.81,5687500.0,0.0,1.0,33.0091699764,33.1309750317,32.4001447001,32.5511829686,5687500.0
2000-01-12,66.81,67.63,66.56,66.63,3727900.0,0.0,1.0,32.5457848994,32.9452392269,32.4240000435,32.4580998031,3727900.0
2000-01-13,67.25,67.31,65.06,65.38,4402000.0,0.0,1.0,32.7545464785,32.7837698657,31.6878928459,31.843750911,4402000.0
2000-01-14,67.38,67.38,65.75,67.19,4535900.0,0.0,1.0,32.8205893948,32.8205893948,32.0266214412,32.728040983,4535900.0
2000-01-18,65.63,66.63,65.0,65.31,3782300.0,0.0,1.0,31.9717142527,32.4588651631,31.6648091791,31.8158259613,3782300.0
2000-01-19,65.31,66.06,63.69,64.06,4188400.0,0.0,1.0,31.8198000865,32.185208907,31.0305170343,31.2107853857,4188400.0
2000-01-20,64.25,64.44,61.44,61.88,4610500.0,0.0,1.0,31.2947016344,31.3872462774,29.9260150726,30.1403289827,4610500.0
2000-01-21,61.0,61.88,59.5,61.19,5863700.0,0.0,1.0,29.7126818893,30.1413238575,28.9820421707,29.8052295869,5863700.0
2000-01-24,63.0,63.13,58.0,58.69,5113200.0,0.0,1.0,30.6850899217,30.7484083612,28.2497653248,28.5858401191,5113200.0
2000-01-25,59.38,60.75,59.19,59.88,6337700.0,0.0,1.0,28.9194440906,29.586666024,28.8269096619,29.1629557451,6337700.0
2000-01-26,59.88,61.75,59.5,61.5,6858700.0,0.0,1.0,29.174189294,30.0852736958,28.9890491482,29.9634709683,6858700.0
2000-01-27,62.5,62.81,61.81,62.25,7669300.0,0.0,1.0,30.4482884675,30.5993119783,30.1121393628,30.3264953136,7669300.0
2000-01-28,63.38,65.75,62.88,64.25,7592600.0,0.0,1.0,30.8708050999,32.0251725358,30.6272676662,31.2945602346,7592600.0
2000-01-31,64.25,67.0,62.19,66.25,5492700.0,0.0,1.0,31.297686424,32.6372761153,30.2942119643,32.2719334722,5492700.0
2000-02-01,64.25,65.25,63.25,64.63,4424100.0,0.0,1.0,31.2956317784,31.7827233236,30.8085402332,31.4807265656,4424100.0
2000-02-02,65.0,65.19,64.38,64.81,3455700.0,0.0,1.0,31.6663729752,31.7589362192,31.3643244945,31.5738097311,3455700.0
2000-02-03,65.25,65.56,63.81,65.38,3094300.0,0.0,1.0,31.7804335721,31.9314210725,31.0790722794,31.843750911,3094300.0
2000-02-04,64.69,64.88,63.94,64.69,3108900.0,0.0,1.0,31.5086515152,31.601195089,31.1433479345,31.5086515152,3108900.0
2000-02-07,64.25,64.69,62.63,64.25,3378500.0,0.0,1.0,31.2945602346,31.5088731763,30.5054989493,31.2945602346,3378500.0
2000-02-08,64.44,64.5,62.31,63.75,4707000.0,0.0,1.0,31.3886421277,31.4178680515,30.3511218339,31.0525440044,4707000.0
2000-02-09,63.25,63.5,62.0,62.5,3549100.0,0.0,1.0,30.8128734699,30.9346634836,30.2039234013,30.4475034288,3549100.0
2000-02-10,62.63,62.63,60.38,61.38,4034400.0,0.0,1.0,30.5071900893,30.5071900893,29.4112108829,29.8983127524,4034400.0
2000-02-11,60.38,60.75,59.75,60.0,3590300.0,0.0,1.0,29.4132253494,29.5934653855,29.1063301528,29.228113961,3590300.0
2000-02-14,60.13,61.88,60.13,61.13,3320500.0,0.0,1.0,29.290190215,30.142640454,29.290190215,29.7773046373,3320500.0
2000-02-15,61.5,62.25,60.69,62.06,4936100.0,0.0,1.0,29.960600179,30.325973352,29.5659971523,30.2334121482,4936100.0
2000-02-16,62.06,63.81,62.0,63.56,4526600.0,0.0,1.0,30.2288253566,31.0812334193,30.1995999373,30.9594608389,4526600.0
2000-02-17,64.25,64.25,63.0,63.5,4479600.0,0.0,1.0,31.2968689903,31.2968689903,30.6879804886,30.9315358893,4479600.0
2000-02-18,62.75,62.75,59.75,59.75,6121400.0,0.0,1.0,30.5685504908,30.5685504908,29.1071058458,29.1071058458,6121400.0
2000-02-22,60.5,61.0,59.38,59.94,5817400.0,0.0,1.0,29.4729969167,29.7165754036,28.927381106,29.2001890113,5817400.0
2000-02-23,60.5,60.94,59.63,59.94,4156400.0,0.0,1.0,29.4729969167,29.6873459851,29.0491703494,29.2001890113,4156400.0
2000-02-24,59.13,59.63,57.25,57.88,6051200.0,0.0,1.0,28.8037991436,29.0473624714,27.8880010311,28.1948908241,6051200.0
2000-02-25,58.0,58.19,55.38,56.63,5300100.0,0.0,1.0,28.2477738311,28.3403096419,26.9717537028,27.580541932,5300100.0
2000-02-28,55.5,57.19,55.5,56.31,5603400.0,0.0,1.0,27.0370146,27.8603038735,27.0370146,27.4316088672,5603400.0
