Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,285.5,286.0,254.1,273.1,1927400.0,0.0,1.0,88.3868333143,88.5416263674,78.6658295803,84.5479655977,5782200.0
2000-01-04,266.5,273.0,254.0,255.2,1119700.0,0.0,1.0,82.5046972969,84.5170069871,78.6348709697,79.0063742971,3359100.0
2000-01-05,246.0,250.0,232.1,247.2,2488400.0,0.0,1.0,76.1581821202,77.3965265449,71.8549352443,76.5296854476,7465200.0
2000-01-06,243.1,246.8,229.5,229.9,1499900.0,0.0,1.0,75.2603824123,76.4058510052,71.0500113683,71.1738458107,4499700.0
2000-01-07,224.5,266.5,221.8,266.5,1884000.0,0.0,1.0,69.5020808374,82.5046972969,68.6661983507,82.5046972969,5652000.0
2000-01-10,284.0,304.9,280.4,295.6,3493400.0,0.0,1.0,87.9224541551,94.3928037742,86.8079441728,91.5136529867,10480200.0
2000-01-11,290.6,307.0,262.3,268.0,2207000.0,0.0,1.0,89.9657224558,95.0429345972,81.204435651,82.9690764562,6621000.0
2000-01-12,274.0,295.8,267.0,284.5,2866600.0,0.0,1.0,84.8265930933,91.575570208,82.65949035,88.0772472081,8599800.0
2000-01-13,291.9,300.0,276.6,284.6,2103400.0,0.0,1.0,90.3681843939,92.8758318539,85.6315169693,88.1082058188,6310200.0
2000-01-14,296.4,301.6,290.0,295.3,1703900.0,0.0,1.0,91.7613218717,93.3711696238,89.7799707921,91.4207771549,5111700.0
2000-01-18,301.0,332.1,299.0,328.5,3064800.0,0.0,1.0,93.1854179601,102.813545862,92.5662457478,101.69903588,9194400.0
2000-01-19,319.5,330.6,292.9,318.1,6563300.0,0.0,1.0,98.9127609244,102.349166703,90.6777705001,98.4793403758,19689900.0
2000-01-20,323.0,323.8,314.5,318.9,1879000.0,0.0,1.0,99.9963122961,100.243981181,97.3648303935,98.7270092607,5637000.0
2000-01-21,321.0,321.6,310.4,312.4,1189800.0,0.0,1.0,99.3771400837,99.5628917474,96.0955273582,96.7146995706,3569400.0
2000-01-24,315.0,315.0,286.0,287.6,2581800.0,0.0,1.0,97.5196234466,97.5196234466,88.5416263674,89.0369641373,7745400.0
2000-01-25,293.4,295.0,272.5,282.8,2486000.0,0.0,1.0,90.8325635531,91.327901323,84.362213934,87.5509508276,7458000.0
2000-01-26,283.8,294.0,279.0,286.6,1783300.0,0.0,1.0,87.8605369338,91.0183152169,86.3745236242,88.7273780311,5349900.0
2000-01-27,290.6,294.0,273.3,281.4,1755300.0,0.0,1.0,89.9657224558,91.0183152169,84.6098828189,87.117530279,5265900.0
2000-01-28,278.3,290.0,272.4,284.0,2381100.0,0.0,1.0,86.1578133498,89.7799707921,84.3312553234,87.9224541551,7143300.0
2000-01-31,281.7,289.5,266.0,289.3,1744600.0,0.0,1.0,87.2104061108,89.625177739,82.3499042438,89.5632605178,5233800.0
2000-02-01,289.5,299.4,276.1,296.8,1796500.0,0.0,1.0,89.625177739,92.6900801902,85.4767239162,91.8851563142,5389500.0
2000-02-02,300.0,326.9,297.0,315.4,3491800.0,0.0,1.0,92.8758318539,101.20369811,91.9470735354,97.6434578891,10475400.0
2000-02-03,319.0,330.3,313.3,323.6,2325300.0,0.0,1.0,98.7579678714,102.256290871,96.9933270661,100.18206396,6975900.0
2000-02-04,327.5,327.6,306.0,311.0,2757800.0,0.0,1.0,101.389449774,101.420408384,94.733348491,96.2812790219,8273400.0
2000-02-07,314.8,342.3,310.5,339.3,2263300.0,0.0,1.0,97.4577062254,105.971324145,96.1264859688,105.042565827,6789900.0
2000-02-08,341.4,351.3,334.7,335.0,2095500.0,0.0,1.0,105.69269665,108.757599101,103.618469738,103.71134557,6286500.0
2000-02-09,338.0,345.8,330.0,336.9,1574700.0,0.0,1.0,104.640103889,107.054875517,102.163415039,104.299559172,4724100.0
2000-02-10,339.3,354.9,336.5,349.0,1981200.0,0.0,1.0,105.042565827,109.872109083,104.175724729,108.045551057,5943600.0
2000-02-11,351.3,354.3,336.0,337.1,1574000.0,0.0,1.0,108.757599101,109.686357419,104.020931676,104.361476393,4722000.0
2000-02-14,172.8,173.3,160.0,171.8,1133800.0,0.0,2.0,106.992958296,107.302544402,99.0675539775,106.373786083,1700700.0
2000-02-15,174.5,176.3,165.1,174.4,2261467.0,0.0,1.0,108.045551057,109.160061039,102.225332261,107.983633836,3392200.5
2000-02-16,175.6,187.3,172.5,186.3,2899067.0,0.0,1.0,108.72664049,115.970955375,106.807206632,115.351783163,4348600.5
2000-02-17,188.1,193.5,179.5,190.3,3190667.0,0.0,1.0,116.466293145,119.809823092,111.141412119,117.828472012,4786000.5
2000-02-18,195.3,195.3,187.0,190.0,3124200.0,0.0,1.0,120.924333074,120.924333074,115.785203711,117.642720348,4686300.0
2000-02-22,188.5,190.0,179.5,188.0,2657867.0,0.0,1.0,116.71396203,117.642720348,111.141412119,116.404375924,3986800.5
2000-02-23,189.1,191.0,183.8,186.0,1779800.0,0.0,1.0,117.085465357,118.261892561,113.803852632,115.166031499,2669700.0
2000-02-24,188.9,190.6,184.0,186.9,2487667.0,0.0,1.0,116.961630915,118.014223676,113.927687074,115.72328649,3731500.5
2000-02-25,187.5,197.9,181.6,191.0,3171800.0,0.0,1.0,116.094789817,122.534180826,112.441673764,118.261892561,4757700.0
2000-02-28,192.9,193.3,180.0,181.5,2235200.0,0.0,1.0,119.438319764,119.685988649,111.450998225,112.379756543,3352800.0
2000-02-29,192.7,198.4,190.0,197.4,2673800.0,0.0,1.0,119.314485322,122.843766932,117.642720348,122.22459472,4010700.0
2000-03-01,200.5,208.5,197.5,206.0,2561667.0,0.0,1.0,124.144028578,129.097406277,122.286511941,127.549475746,3842500.5
