Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,31.12,31.12,30.5,30.69,59900.0,0.0,1.0,14.6245207662,14.6245207662,14.3331582059,14.4224467325,59900.0
2000-01-04,30.69,30.75,30.13,30.19,95800.0,0.0,1.0,14.4223688767,14.4505651013,14.1592041139,14.1874003385,95800.0
2000-01-05,30.31,30.44,30.13,30.38,101000.0,0.0,1.0,14.2485124009,14.3096244634,14.1638956991,14.2814188961,101000.0
2000-01-06,30.56,31.13,30.31,31.0,143100.0,0.0,1.0,14.3660355979,14.633988487,14.2485124009,14.5728764246,143100.0
2000-01-07,30.94,32.25,30.94,32.13,139000.0,0.0,1.0,14.5446708573,15.1604924094,14.5446708573,15.1040812749,139000.0
2000-01-10,32.13,32.44,31.94,32.38,189100.0,0.0,1.0,15.1040812749,15.2498100391,15.0147636452,15.2216044719,189100.0
2000-01-11,32.38,32.44,31.88,32.06,85300.0,0.0,1.0,15.2216044719,15.2498100391,14.9865580779,15.0711747797,85300.0
2000-01-12,32.19,32.19,31.44,31.56,61100.0,0.0,1.0,15.1322868422,15.1322868422,14.7797172513,14.8361283858,61100.0
2000-01-13,31.56,31.81,31.5,31.75,40800.0,0.0,1.0,14.8408011821,14.9583613943,14.8125867312,14.9301469434,40800.0
2000-01-14,31.63,31.88,31.25,31.56,64400.0,0.0,1.0,14.869034881,14.9865580779,14.6903996216,14.8361283858,64400.0
2000-01-18,31.63,31.63,31.13,31.25,73000.0,0.0,1.0,14.8737929721,14.8737929721,14.6386713633,14.6951005494,73000.0
2000-01-19,31.13,31.38,31.0,31.25,100500.0,0.0,1.0,14.6386713633,14.7562321677,14.577539745,14.6951005494,100500.0
2000-01-20,31.06,31.31,30.81,30.88,158700.0,0.0,1.0,14.6010819919,14.7186051888,14.4835587949,14.51646529,158700.0
2000-01-21,30.88,31.0,30.25,30.56,272300.0,0.0,1.0,14.51646529,14.5728764246,14.2203068337,14.3660355979,272300.0
2000-01-24,30.75,31.0,30.44,30.44,117100.0,0.0,1.0,14.4553532276,14.5728764246,14.3096244634,14.3096244634,117100.0
2000-01-25,30.69,30.75,30.44,30.56,135300.0,0.0,1.0,14.4271476603,14.4553532276,14.3096244634,14.3660355979,135300.0
2000-01-26,30.5,31.0,30.5,30.69,119700.0,0.0,1.0,14.3331582059,14.5681280126,14.3331582059,14.4224467325,119700.0
2000-01-27,30.63,30.69,30.5,30.56,118600.0,0.0,1.0,14.3989420931,14.4271476603,14.3378300306,14.3660355979,118600.0
2000-01-28,30.56,30.69,30.13,30.44,228200.0,0.0,1.0,14.3660355979,14.4271476603,14.1638956991,14.3096244634,228200.0
2000-01-31,30.5,30.5,30.0,30.0,127900.0,0.0,1.0,14.3378300306,14.3378300306,14.1027836367,14.1027836367,127900.0
2000-02-01,30.13,30.44,29.0,29.81,2240200.0,0.0,1.0,14.1686470898,14.3144247399,13.6372640426,14.0181669349,2240200.0
2000-02-02,30.13,30.13,29.75,29.94,428800.0,0.0,1.0,14.1638956991,14.1638956991,13.9852604397,14.0745780694,428800.0
2000-02-03,30.0,30.25,29.94,30.19,149400.0,0.0,1.0,14.098112294,14.2155965631,14.0699160694,14.1874003385,149400.0
2000-02-04,29.94,30.56,29.88,29.94,506300.0,0.0,1.0,14.0745780694,14.3660355979,14.0463725021,14.0745780694,506300.0
2000-02-07,29.88,30.19,29.63,30.0,105800.0,0.0,1.0,14.0463725021,14.1921012664,13.9288493052,14.1027836367,105800.0
2000-02-08,30.0,30.56,29.94,30.56,76500.0,0.0,1.0,14.1027836367,14.3660355979,14.0745780694,14.3660355979,76500.0
2000-02-09,30.31,30.94,30.31,30.56,91700.0,0.0,1.0,14.2485124009,14.5446708573,14.2485124009,14.3660355979,91700.0
2000-02-10,30.44,30.56,30.25,30.31,68600.0,0.0,1.0,14.3143455536,14.3707752995,14.2249984558,14.2532133288,68600.0
2000-02-11,30.44,30.63,29.94,30.06,84900.0,0.0,1.0,14.3096244634,14.3989420931,14.0745780694,14.130989204,84900.0
2000-02-14,30.13,30.31,30.0,30.13,124600.0,0.0,1.0,14.1638956991,14.2485124009,14.1027836367,14.1638956991,124600.0
2000-02-15,30.38,30.38,29.94,30.0,153100.0,0.0,1.0,14.2814188961,14.2814188961,14.0745780694,14.1027836367,153100.0
2000-02-16,30.0,30.19,30.0,30.19,102300.0,0.0,1.0,14.098112294,14.1874003385,14.098112294,14.1874003385,102300.0
2000-02-17,30.25,30.63,30.25,30.5,144900.0,0.0,1.0,14.2203068337,14.3989420931,14.2203068337,14.3378300306,144900.0
2000-02-18,30.25,30.44,29.88,30.13,80000.0,0.0,1.0,14.2203068337,14.3096244634,14.0463725021,14.1638956991,80000.0
2000-02-22,29.94,30.19,29.88,30.06,93400.0,0.0,1.0,14.0745780694,14.1921012664,14.0463725021,14.130989204,93400.0
2000-02-23,30.19,30.38,30.0,30.38,73300.0,0.0,1.0,14.1921012664,14.2814188961,14.1027836367,14.2814188961,73300.0
2000-02-24,30.38,30.5,30.38,30.44,45500.0,0.0,1.0,14.2814188961,14.3378300306,14.2814188961,14.3096244634,45500.0
2000-02-25,30.5,30.63,30.38,30.5,113900.0,0.0,1.0,14.3378300306,14.3989420931,14.2814188961,14.3378300306,113900.0
2000-02-28,30.5,30.5,30.31,30.38,83000.0,0.0,1.0,14.3378300306,14.3378300306,14.2485124009,14.2814188961,83000.0
2000-02-29,30.5,30.56,30.31,30.31,105900.0,0.0,1.0,14.3425604266,14.3707752995,14.2532133288,14.2532133288,105900.0
2000-03-01,30.5,30.5,30.31,30.38,84800.0,0.0,1.0,14.3378300306,14.3378300306,14.2485124009,14.2814188961,84800.0
2000-03-02,30.31,30.5,30.31,30.38,64200.0,0.0,1.0,14.2485124009,14.3378300306,14.2485124009,14.2814188961,64200.0
2000-03-03,30.38,30.5,30.38,30.38,160000.0,0.0,1.0,14.2814188961,14.3378300306,14.2814188961,14.2814188961,160000.0
2000-03-06,30.31,30.5,30.25,30.31,60600.0,0.0,1.0,14.2532133288,14.3425604266,14.2249984558,14.2532133288,60600.0
