Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,55.63,55.63,52.0,53.0,12614250.0,0.0,1.0,288.669841287,288.669841287,269.833394696,275.02249844,1681900.0
2000-01-04,52.0,52.19,49.75,49.75,18024000.0,0.0,1.0,269.833394696,270.819324407,258.157911272,258.157911272,2403200.0
2000-01-05,50.88,52.0,49.5,51.75,13068750.0,0.0,1.0,264.021598503,269.833394696,256.860635336,268.53611876,1742500.0
2000-01-06,51.31,54.69,51.25,54.25,13974000.0,0.0,1.0,266.252913113,283.792083768,265.941566888,281.50887812,1863200.0
2000-01-07,54.0,54.94,52.81,54.0,10458750.0,0.0,1.0,280.211602184,285.089359704,274.036568729,280.211602184,1394500.0
2000-01-10,54.94,54.94,53.56,53.81,6377250.0,0.0,1.0,285.089359704,285.089359704,277.928396537,279.225672473,850300.0
2000-01-11,53.38,54.38,52.88,53.13,7474500.0,0.0,1.0,276.994357863,282.183461607,274.399805991,275.697081927,996600.0
2000-01-12,53.56,55.0,53.44,55.0,8592750.0,0.0,1.0,277.928396537,285.400705929,277.305704088,285.400705929,1145700.0
2000-01-13,55.0,56.06,54.69,55.63,9284250.0,0.0,1.0,285.400705929,290.901155897,283.792083768,288.669841287,1237900.0
2000-01-14,56.5,58.56,56.44,58.0,16690500.0,0.0,1.0,293.184361545,303.873915258,292.87301532,300.968017161,2225400.0
2000-01-18,58.06,58.94,57.19,58.5,11787750.0,0.0,1.0,301.279363386,305.845774681,296.764843128,303.562569033,1571700.0
2000-01-19,58.0,60.13,57.88,59.75,14664000.0,0.0,1.0,300.968017161,312.020808136,300.345324712,310.048948713,1955200.0
2000-01-20,59.88,60.06,57.19,58.61,10186500.0,0.0,1.0,310.7235322,311.657570874,296.764843128,304.133370445,1358200.0
2000-01-21,58.19,58.5,55.88,56.44,11609250.0,0.0,1.0,301.953946872,303.562569033,289.967117223,292.87301532,1547900.0
2000-01-24,57.0,57.0,54.63,55.19,8574000.0,0.0,1.0,295.778913417,295.778913417,283.480737543,286.38663564,1143200.0
2000-01-25,56.81,57.5,55.13,55.88,11563500.0,0.0,1.0,294.792983705,298.373465289,286.075289415,289.967117223,1541800.0
2000-01-26,56.5,58.56,56.31,58.13,10007250.0,0.0,1.0,293.184361545,303.873915258,292.198431833,301.642600648,1334300.0
2000-01-27,58.63,59.5,57.75,59.0,10868250.0,0.0,1.0,304.23715252,308.751672777,299.670741225,306.157120905,1449100.0
2000-01-28,57.5,58.5,56.0,56.13,9053250.0,0.0,1.0,298.373465289,303.562569033,290.589809673,291.264393159,1207100.0
2000-01-31,56.63,57.94,56.25,57.0,10203000.0,0.0,1.0,293.858945032,300.656670936,291.887085609,295.778913417,1360400.0
2000-02-01,57.56,58.5,57.44,58.25,8980500.0,0.0,1.0,298.684811514,303.562569033,298.062119064,302.265293097,1197400.0
2000-02-02,58.31,58.63,57.0,57.75,9891750.0,0.0,1.0,302.576639322,304.23715252,295.778913417,299.670741225,1318900.0
2000-02-03,57.81,58.0,55.0,56.31,14251500.0,0.16,1.0,300.834460634,301.823191779,286.211647377,293.028688432,1900200.0
2000-02-04,56.88,57.75,54.19,54.75,10996500.0,0.0,1.0,295.994881869,300.522229746,281.996530388,284.910685343,1466200.0
2000-02-07,55.31,56.19,54.19,54.38,9330750.0,0.0,1.0,287.824840298,292.404226656,281.996530388,282.985261534,1244100.0
2000-02-08,55.31,56.19,55.13,56.0,9903750.0,0.0,1.0,287.824840298,292.404226656,286.888147634,291.415495511,1320500.0
2000-02-09,55.13,55.75,53.94,54.19,9489000.0,0.0,1.0,286.888147634,290.114533477,280.695568355,281.996530388,1265200.0
2000-02-10,54.5,55.19,53.0,53.69,8432250.0,0.0,1.0,283.60972331,287.200378522,275.803951109,279.394606321,1124300.0
2000-02-11,54.19,55.19,52.88,54.0,9947250.0,0.0,1.0,281.996530388,287.200378522,275.179489332,281.007799243,1326300.0
2000-02-14,54.25,54.56,52.06,54.0,8652750.0,0.0,1.0,282.308761276,283.921954198,270.912333862,281.007799243,1153700.0
2000-02-15,52.88,54.94,52.69,54.88,10523250.0,0.0,1.0,275.179489332,285.899416489,274.190758187,285.587185601,1403100.0
2000-02-16,54.13,54.88,53.06,53.63,6827250.0,0.0,1.0,281.6842995,285.587185601,276.116181997,279.082375433,910300.0
2000-02-17,54.25,54.75,52.19,52.5,9655500.0,0.0,1.0,282.308761276,284.910685343,271.58883412,273.202027041,1287400.0
2000-02-18,52.44,52.69,49.94,51.44,15293250.0,0.0,1.0,272.889796153,274.190758187,259.880175818,267.685948019,2039100.0
2000-02-22,51.38,52.38,50.0,51.0,14605500.0,0.0,1.0,267.373717131,272.577565265,260.192406706,265.39625484,1947400.0
2000-02-23,50.88,51.69,50.5,50.94,11664750.0,0.0,1.0,264.771793064,268.986910053,262.794330773,265.084023952,1555300.0
2000-02-24,50.0,50.38,48.0,49.25,23674500.0,0.0,1.0,260.192406706,262.169868997,249.784710438,256.289520606,3156600.0
2000-02-25,49.38,50.69,47.13,48.0,14136750.0,0.0,1.0,256.966020863,263.783061919,245.257362561,249.784710438,1884900.0
2000-02-28,49.5,50.63,49.0,49.0,24188250.0,0.0,1.0,257.590482639,263.470831031,254.988558572,254.988558572,3225100.0
2000-02-29,50.5,52.13,50.31,51.75,19107750.0,0.0,1.0,262.794330773,271.276603232,261.805599628,269.299140941,2547700.0
2000-03-01,53.25,53.25,51.25,51.63,12539250.0,0.0,1.0,277.104913142,277.104913142,266.697216874,268.674679165,1671900.0
2000-03-02,51.94,52.0,50.0,51.5,8709750.0,0.0,1.0,270.287872086,270.600102974,260.192406706,267.998178907,1161300.0
2000-03-03,53.5,53.81,52.88,53.44,13884750.0,0.0,1.0,278.405875176,280.019068097,275.179489332,278.093644288,1851300.0
2000-03-06,54.0,54.25,51.06,52.19,9312750.0,0.0,1.0,281.007799243,282.308761276,265.708485728,271.58883412,1241700.0
2000-03-07,52.81,52.88,50.38,50.38,8590500.0,0.0,1.0,274.815219963,275.179489332,262.169868997,262.169868997,1145400.0
2000-03-08,50.75,50.94,49.19,50.5,8855250.0,0.0,1.0,264.095292807,265.084023952,255.977289718,262.794330773,1180700.0
2000-03-09,49.06,50.38,48.5,50.38,11304750.0,0.0,1.0,255.30078946,262.169868997,252.386634505,262.169868997,1507300.0
2000-03-10,49.81,50.69,48.75,49.0,9203250.0,0.0,1.0,259.203675561,263.783061919,253.687596539,254.988558572,1227100.0
2000-03-13,47.94,49.94,47.75,49.94,14466000.0,0.0,1.0,249.47247955,259.880175818,248.483748404,259.880175818,1928800.0
2000-03-14,50.13,50.38,49.25,49.75,8940750.0,0.0,1.0,260.868906964,262.169868997,256.289520606,258.891444673,1192100.0
2000-03-15,49.31,52.25,48.88,52.25,17850000.0,0.0,1.0,256.601751494,271.901065008,254.364096796,271.901065008,2380000.0
2000-03-16,53.63,57.0,52.75,56.13,25743000.0,0.0,1.0,279.082375433,296.619343645,274.502989075,292.091995768,3432400.0
2000-03-17,56.56,57.75,56.13,57.0,14703000.0,0.0,1.0,294.329650466,300.522229746,292.091995768,296.619343645,1960400.0
2000-03-20,56.13,57.44,55.31,56.19,10260000.0,0.0,1.0,292.091995768,298.909036824,287.824840298,292.404226656,1368000.0
2000-03-21,56.31,58.19,55.63,58.06,15505500.0,0.0,1.0,293.028688432,302.811922925,289.490071701,302.135422667,2067400.0
2000-03-22,58.25,59.0,57.63,58.75,11173500.0,0.0,1.0,303.124153813,307.027039913,299.89776797,305.72607788,1489800.0
2000-03-23,58.75,61.81,58.13,61.69,16413750.0,0.0,1.0,305.72607788,321.64985317,302.499692037,321.025391394,2188500.0
2000-03-24,61.81,62.38,59.63,60.56,13773000.0,0.0,1.0,321.64985317,324.616046607,310.305464238,315.145043002,1836400.0
2000-03-27,60.56,61.69,58.31,60.06,9654750.0,0.0,1.0,315.145043002,321.025391394,303.436384701,312.543118935,1287300.0
2000-03-28,59.13,61.88,59.06,61.0,10744500.0,0.0,1.0,307.703540171,322.01412254,307.339270801,317.434736182,1432600.0
2000-03-29,61.0,61.38,59.5,60.75,8457750.0,0.0,1.0,317.434736182,319.412198472,309.62896398,316.133774148,1127700.0
2000-03-30,60.13,61.0,58.69,61.0,8744250.0,0.0,1.0,312.907388305,317.434736182,305.413846992,317.434736182,1165900.0
2000-03-31,60.06,60.75,59.13,59.88,8743500.0,0.0,1.0,312.543118935,316.133774148,307.703540171,311.606426271,1165800.0
2000-04-03,60.0,62.44,59.88,62.0,12267000.0,0.0,1.0,312.230888047,324.928277495,311.606426271,322.638584316,1635600.0
2000-04-04,62.0,63.19,56.0,59.0,17784000.0,0.0,1.0,322.638584316,328.831163595,291.415495511,307.027039913,2371200.0
2000-04-05,58.75,59.5,58.0,58.69,9321750.0,0.0,1.0,305.72607788,309.62896398,301.823191779,305.413846992,1242900.0
2000-04-06,59.5,59.88,58.81,59.31,6380250.0,0.0,1.0,309.62896398,311.606426271,306.038308768,308.640232835,850700.0
2000-04-07,59.75,60.0,58.81,59.0,7097250.0,0.0,1.0,310.929926014,312.230888047,306.038308768,307.027039913,946300.0
2000-04-10,59.0,62.63,58.88,62.25,11776500.0,0.0,1.0,307.027039913,325.91700864,306.402578137,323.939546349,1570200.0
2000-04-11,62.13,63.44,61.38,63.44,11481000.0,0.0,1.0,323.315084573,330.132125629,319.412198472,330.132125629,1530800.0
2000-04-12,64.19,65.44,62.56,63.0,15852000.0,0.0,1.0,334.035011729,340.539821897,325.552739271,327.84243245,2113600.0
2000-04-13,63.0,63.0,61.5,62.56,10857750.0,0.0,1.0,327.84243245,327.84243245,320.036660249,325.552739271,1447700.0
2000-04-14,60.94,60.94,57.06,58.0,16262250.0,0.0,1.0,317.122505293,317.122505293,296.931574533,301.823191779,2168300.0
2000-04-17,57.25,59.81,56.75,59.25,14929500.0,0.0,1.0,297.920305679,311.242156902,295.318381611,308.328001947,1990600.0
2000-04-18,59.63,63.0,59.31,62.13,11214750.0,0.0,1.0,310.305464238,327.84243245,308.640232835,323.315084573,1495300.0
2000-04-19,62.06,62.13,57.56,59.63,17874750.0,0.0,1.0,322.950815204,323.315084573,299.5334986,310.305464238,2383300.0
2000-04-20,60.88,61.25,59.75,61.25,7788000.0,0.0,1.0,316.810274405,318.735698215,310.929926014,318.735698215,1038400.0
2000-04-24,60.63,62.13,60.5,61.81,8076750.0,0.0,1.0,315.509312372,323.315084573,314.832812114,321.64985317,1076900.0
2000-04-25,62.31,64.5,62.25,64.5,9528750.0,0.0,1.0,324.251777237,335.648204651,323.939546349,335.648204651,1270500.0
2000-04-26,63.44,64.13,62.0,62.5,8420250.0,0.0,1.0,330.132125629,333.722780841,322.638584316,325.240508383,1122700.0
2000-04-27,61.38,61.94,60.19,61.5,8393250.0,0.16,1.0,320.243189558,323.164926054,314.034499503,320.86927595,1119100.0
2000-04-28,62.63,62.69,58.94,59.0,8301000.0,0.0,1.0,326.764922809,327.077966005,307.512766252,307.825809448,1106800.0
2000-05-01,60.19,62.0,59.06,60.31,6715500.0,0.0,1.0,314.034499503,323.47796925,308.138852644,314.660585895,895400.0
2000-05-02,60.38,61.75,59.81,61.13,6216750.0,0.0,1.0,315.025802957,322.1736226,312.051892595,318.938842908,828900.0
2000-05-03,60.81,62.63,59.75,60.13,8917500.0,0.0,1.0,317.269279195,326.764922809,311.738849399,313.721456307,1189000.0
2000-05-04,59.81,60.38,58.06,58.63,9378000.0,0.0,1.0,312.051892595,315.025802957,302.921466043,305.895376406,1250400.0
2000-05-05,57.94,59.94,57.94,59.56,6004500.0,0.0,1.0,302.295379651,312.730152853,302.295379651,310.747545944,800600.0
2000-05-08,59.31,60.44,59.0,59.75,7297500.0,0.0,1.0,309.443199294,315.338846153,307.825809448,311.738849399,973000.0
2000-05-09,60.38,60.88,58.88,59.5,7103250.0,0.0,1.0,315.025802957,317.634496258,307.199723056,310.434502748,947100.0
2000-05-10,58.44,59.19,56.38,56.44,9642000.0,0.0,1.0,304.904072952,308.817112902,294.156256554,294.46929975,1285600.0
2000-05-11,57.69,59.44,57.0,58.88,8346750.0,0.0,1.0,300.991033001,310.121459552,297.391036246,307.199723056,1112900.0
2000-05-12,58.88,60.94,58.31,60.19,8757750.0,0.0,1.0,307.199723056,317.947539454,304.225812693,314.034499503,1167700.0
2000-05-15,60.31,63.06,59.94,62.88,9148500.0,0.0,1.0,314.660585895,329.008399047,312.730152853,328.069269459,1219800.0
2000-05-16,63.19,63.38,61.25,61.69,8654250.0,0.0,1.0,329.686659305,330.67796276,319.5649293,321.860579404,1153900.0
2000-05-17,61.63,62.5,60.88,61.06,7072500.0,0.0,1.0,321.547536208,326.086662551,317.634496258,318.573625846,943000.0
2000-05-18,62.0,63.06,61.38,61.56,8104500.0,0.0,1.0,323.47796925,329.008399047,320.243189558,321.182319146,1080600.0
2000-05-19,60.88,61.38,60.19,60.94,7655250.0,0.0,1.0,317.634496258,320.243189558,314.034499503,317.947539454,1020700.0
2000-05-22,61.38,61.63,59.56,61.31,6417750.0,0.0,1.0,320.243189558,321.547536208,310.747545944,319.877972496,855700.0
2000-05-23,61.0,63.25,61.0,62.31,8094000.0,0.0,1.0,318.26058265,329.999702501,318.26058265,325.095359097,1079200.0
2000-05-24,61.88,63.19,60.31,61.38,12551250.0,0.0,1.0,322.851882858,329.686659305,314.660585895,320.243189558,1673500.0
2000-05-25,60.13,61.0,58.13,58.56,11628000.0,0.0,1.0,313.721456307,318.26058265,303.286683105,305.530159344,1550400.0
2000-05-26,58.06,58.69,57.06,58.25,8882250.0,0.0,1.0,302.921466043,306.208419602,297.704079442,303.912769497,1184300.0
2000-05-30,59.5,60.81,59.25,60.31,7086000.0,0.0,1.0,310.434502748,317.269279195,309.130156098,314.660585895,944800.0
