Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,48.88,49.0,48.5,48.63,2527500.0,0.0,1.0,14.9946761486,15.0314879559,14.8781054257,14.9179848835,5055000.0
2000-01-04,48.13,49.75,48.0,48.0,3090700.0,0.0,1.0,14.7579411588,15.2546763484,14.718079693,14.718079693,6181400.0
2000-01-05,48.06,49.88,48.0,49.81,3199300.0,0.0,1.0,14.7418756437,15.3001405974,14.7234713046,15.2786688684,6398600.0
2000-01-06,51.0,52.25,50.56,51.63,2570300.0,0.0,1.0,15.6374256087,16.0206958442,15.5025144858,15.8305938074,5140600.0
2000-01-07,52.88,55.0,52.75,53.31,3180100.0,0.0,1.0,16.2146119356,16.8646682386,16.1747499925,16.3464629782,6360200.0
2000-01-10,54.06,54.56,51.5,51.56,1841100.0,0.0,1.0,16.5761981668,16.7295111354,15.7912357675,15.8096333237,3682200.0
2000-01-11,51.63,53.19,50.75,50.75,1972800.0,0.0,1.0,15.8289063016,16.3071765676,15.5591128183,15.5591128183,3945600.0
2000-01-12,51.5,52.31,51.13,51.63,1700500.0,0.0,1.0,15.7907337029,16.0390928155,15.6772857132,15.8305938074,3401000.0
2000-01-13,53.19,53.38,52.06,52.19,1564700.0,0.0,1.0,16.3131669906,16.3714392547,15.9666003672,16.0064708637,3129400.0
2000-01-14,52.06,52.88,51.88,51.94,1522200.0,0.0,1.0,15.9627410549,16.2141710907,15.9075490958,15.9259464155,3044400.0
2000-01-18,51.56,51.75,49.88,49.94,2027100.0,0.325,1.0,15.9067979862,15.9654149687,15.3885004568,15.4070110829,4054200.0
2000-01-19,49.94,50.69,49.31,49.31,1712300.0,0.0,1.0,15.4135649553,15.6450462072,15.2191207038,15.2191207038,3424600.0
2000-01-20,49.56,49.94,47.06,47.13,2139600.0,0.0,1.0,15.2920119629,15.4092630635,14.5206231431,14.5422220301,4279200.0
2000-01-21,47.19,47.94,45.63,47.38,2500000.0,0.0,1.0,14.5610341696,14.7924555645,14.0796776681,14.619660923,5000000.0
2000-01-24,47.0,47.25,45.06,45.31,2692800.0,0.0,1.0,14.5060116405,14.5831712769,13.9072528622,13.9844124986,5385600.0
2000-01-25,44.81,45.0,42.56,43.63,3042100.0,0.0,1.0,13.8328297067,13.8914826333,13.138255575,13.4685641621,6084200.0
2000-01-26,43.38,45.69,43.38,44.94,2094100.0,0.0,1.0,13.3866967571,14.0995429883,13.3866967571,13.8680994068,4188200.0
2000-01-27,44.94,45.56,44.0,44.56,1670400.0,0.0,1.0,13.8690591785,14.0603991138,13.5789631476,13.751786315,3340800.0
2000-01-28,44.13,45.19,43.5,43.5,2425800.0,0.0,1.0,13.615110719,13.9421448763,13.4207413614,13.4207413614,4851600.0
