Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,56.19,56.19,54.06,54.13,524300.0,0.0,1.0,14.2123908236,14.2123908236,13.6736402905,13.6913457071,1048600.0
2000-01-04,53.81,53.88,52.0,52.19,754600.0,0.0,1.0,13.6057174143,13.6234167308,13.14806366,13.1961046619,1509200.0
2000-01-05,52.19,53.38,52.13,52.94,377500.0,0.0,1.0,13.1983452404,13.4992847084,13.1831718218,13.3880129723,755000.0
2000-01-06,52.75,53.75,52.75,53.56,317400.0,0.0,1.0,13.3411421323,13.5940547793,13.3411421323,13.5460013764,634800.0
2000-01-07,53.75,57.0,53.63,56.81,422400.0,0.0,1.0,13.5933168534,14.4152383376,13.5629689832,14.3671875431,844800.0
2000-01-10,57.0,57.13,55.75,56.0,444000.0,0.0,1.0,14.4129648465,14.4458365207,14.096891056,14.1601058141,888000.0
2000-01-11,56.0,56.38,55.5,55.81,662700.0,0.0,1.0,14.1581571739,14.2542303833,14.0317450562,14.1101205692,1325400.0
2000-01-12,55.81,57.13,55.56,56.5,568700.0,0.0,1.0,14.1141408742,14.4479639517,14.0509168065,14.2886393011,1137400.0
2000-01-13,56.75,57.75,56.63,57.31,575600.0,0.0,1.0,14.3470062979,14.5998169816,14.3166690159,14.4885802808,1151200.0
2000-01-14,57.5,57.75,56.69,57.19,766500.0,0.0,1.0,14.5383982132,14.6016086402,14.3335964297,14.4600172837,1533000.0
2000-01-18,56.38,56.75,55.19,55.94,871400.0,0.0,1.0,14.2570892905,14.3506530194,13.9561681082,14.1458243155,1742800.0
2000-01-19,56.19,56.88,56.0,56.81,1104000.0,0.0,1.0,14.2103902138,14.3848904674,14.1623394194,14.3671875431,2208000.0
2000-01-20,56.88,56.88,55.81,56.13,898200.0,0.0,1.0,14.3808175692,14.3808175692,14.1102923441,14.1911970843,1796400.0
2000-01-21,57.25,57.25,55.88,55.88,855400.0,0.0,1.0,14.4780033334,14.4780033334,14.131542817,14.131542817,1710800.0
2000-01-24,56.13,58.0,55.0,55.31,369800.0,0.0,1.0,14.1961181193,14.6690691417,13.9103241861,13.9887278315,739600.0
2000-01-25,55.31,55.88,55.0,55.19,318400.0,0.0,1.0,13.9833622422,14.1274684884,13.9049886697,13.9530240851,636800.0
2000-01-26,55.19,56.5,54.88,55.88,324100.0,0.0,1.0,13.9570481043,14.2883351675,13.8786519291,14.131542817,648200.0
2000-01-27,55.75,56.94,55.63,56.38,693700.0,0.0,1.0,14.0936707551,14.3945042654,14.0633346028,14.2529355547,1387400.0
2000-01-28,56.13,56.13,54.5,54.88,696400.0,0.0,1.0,14.1904943344,14.1904943344,13.7784062217,13.8744758431,1392800.0
2000-01-31,55.13,56.25,55.0,56.0,321100.0,0.0,1.0,13.9401184559,14.2233205722,13.9072467817,14.1601058141,642200.0
2000-02-01,56.25,57.5,55.5,57.0,567400.0,0.0,1.0,14.220426354,14.5364358286,14.0308206693,14.4100320388,1134800.0
2000-02-02,57.25,57.38,56.06,56.19,467100.0,0.0,1.0,14.4781582689,14.5110344361,14.1772148918,14.210091059,934200.0
2000-02-03,56.19,57.06,55.5,56.19,530600.0,0.0,1.0,14.210091059,14.430108486,14.035594479,14.210091059,1061200.0
2000-02-04,57.25,57.25,56.44,57.25,556700.0,0.0,1.0,14.4742987822,14.4742987822,14.2695095768,14.4742987822,1113400.0
2000-02-07,57.38,57.38,55.38,55.81,623700.0,0.0,1.0,14.5070546185,14.5070546185,14.001406148,14.1101205692,1247400.0
2000-02-08,55.56,55.75,54.25,54.88,511200.0,0.0,1.0,14.0463899023,14.094424713,13.7152025234,13.8744758431,1022400.0
2000-02-09,54.0,54.0,51.88,52.38,681600.0,0.0,1.0,13.6557627905,13.6557627905,13.1196476587,13.2460899068,1363200.0
2000-02-10,51.5,51.94,50.0,50.0,592100.0,0.0,1.0,13.0256549766,13.136942126,12.6462669676,12.6462669676,1184200.0
2000-02-11,50.0,50.19,46.75,49.38,1308000.0,0.0,1.0,12.6387502372,12.6867774881,11.8172314718,12.4820297343,2616000.0
2000-02-14,49.44,49.69,48.25,48.94,551000.0,0.0,1.0,12.5013479853,12.5645627303,12.2004457987,12.3749184951,1102000.0
2000-02-15,48.56,51.06,48.38,50.88,628200.0,0.0,1.0,12.2740834806,12.9059864604,12.228586466,12.8604894459,1256400.0
2000-02-16,50.75,52.13,50.69,52.06,976800.0,0.0,1.0,12.8362032172,13.1852467726,12.8210274104,13.1675416647,1953600.0
2000-02-17,52.25,53.25,52.13,53.06,697600.0,0.0,1.0,13.2126403547,13.4655138543,13.1822955348,13.4174678894,1395200.0
2000-02-18,52.94,53.0,50.44,51.06,810400.0,0.0,1.0,13.3858309857,13.4010019313,12.7537082531,12.9104746908,1620800.0
2000-02-22,50.69,51.06,50.06,50.63,449200.0,0.0,1.0,12.8210686165,12.9146530589,12.6617221334,12.8058927609,898400.0
2000-02-23,50.0,50.81,49.38,50.75,295700.0,0.0,1.0,12.6422920678,12.8470971993,12.4855276461,12.8319264488,591400.0
2000-02-24,50.25,50.25,48.5,49.44,381700.0,0.0,1.0,12.7083022269,12.7083022269,12.2657245374,12.5034519821,763400.0
2000-02-25,49.63,50.69,49.25,49.5,443300.0,0.0,1.0,12.5506083362,12.8186648512,12.4545126045,12.5177334806,886600.0
2000-02-28,49.25,50.94,49.19,49.75,645400.0,0.0,1.0,12.4555479606,12.8829566114,12.4403736889,12.5820002241,1290800.0
2000-02-29,49.5,49.56,48.88,49.19,637800.0,0.0,1.0,12.5175781523,12.5327509743,12.3607923249,12.4391852386,1275600.0
2000-03-01,47.63,49.5,47.56,48.88,587400.0,0.0,1.0,12.0445405104,12.5174208537,12.0268391071,12.3606369966,1174800.0
2000-03-02,49.13,49.25,46.69,48.06,540200.0,0.0,1.0,12.4241400394,12.4544859952,11.8071056064,12.1535552676,1080400.0
2000-03-03,47.25,49.0,46.94,47.63,459700.0,0.0,1.0,11.9457597635,12.3881953103,11.8673854667,12.0418314823,919400.0
2000-03-06,47.63,47.63,45.0,45.38,442700.0,0.0,1.0,12.0441387843,12.0441387843,11.3790939596,11.4751840864,885400.0
2000-03-07,46.75,46.88,45.31,45.81,683500.0,0.0,1.0,11.8199586655,11.8528269998,11.4558786553,11.5822953255,1367000.0
2000-03-08,43.88,46.13,43.25,44.75,927900.0,0.0,1.0,11.0980488042,11.6671146613,10.9387103642,11.3180876023,1855800.0
2000-03-09,45.63,46.0,44.56,45.5,773400.0,0.0,1.0,11.5366149323,11.6301618866,11.2660872536,11.5037470835,1546800.0
2000-03-10,45.63,45.94,44.81,45.31,368300.0,0.0,1.0,11.5418447381,11.6202574461,11.334430478,11.4609025878,736600.0
2000-03-13,44.5,45.5,44.25,45.13,417300.0,0.0,1.0,11.25411839,11.5070199269,11.1908930058,11.4134463582,834600.0
