Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,19.63,20.13,19.25,19.94,1131200.0,0.0,1.0,15.1046809671,15.4894155816,14.81228266,15.3432164281,1131200.0
2000-01-04,20.13,20.19,19.38,19.44,1434900.0,0.0,1.0,15.4894155816,15.5355837353,14.9123136598,14.9584818135,1434900.0
2000-01-05,19.38,20.0,19.38,20.0,2005100.0,0.0,1.0,14.9123136598,15.3893845818,14.9123136598,15.3893845818,2005100.0
2000-01-06,19.69,20.56,19.69,20.56,1534300.0,0.0,1.0,15.1508491208,15.8202873501,15.1508491208,15.8202873501,1534300.0
2000-01-07,20.94,21.13,20.0,20.81,3658800.0,0.0,1.0,16.1126856572,16.2588848107,15.3893845818,16.0126546574,3658800.0
2000-01-10,21.5,21.63,20.69,20.69,751400.0,0.0,1.0,16.5435884255,16.6436194252,15.9203183499,15.9203183499,751400.0
2000-01-11,21.0,21.13,20.44,20.81,867000.0,0.0,1.0,16.1588538109,16.2588848107,15.7279510426,16.0126546574,867000.0
2000-01-12,21.38,21.5,21.13,21.5,1051600.0,0.0,1.0,16.451252118,16.5435884255,16.2588848107,16.5435884255,1051600.0
2000-01-13,21.44,21.5,20.94,21.13,604300.0,0.0,1.0,16.4974202717,16.5435884255,16.1126856572,16.2588848107,604300.0
2000-01-14,21.25,21.5,21.0,21.31,575900.0,0.0,1.0,16.3512211182,16.5435884255,16.1588538109,16.3973892719,575900.0
2000-01-18,21.38,22.56,21.25,22.19,1021300.0,0.0,1.0,16.451252118,17.3592258083,16.3512211182,17.0745221935,1021300.0
2000-01-19,21.94,22.19,21.63,22.06,991100.0,0.0,1.0,16.8821548863,17.0745221935,16.6436194252,16.9744911937,991100.0
2000-01-20,22.13,22.5,21.94,22.44,830100.0,0.0,1.0,17.0283540398,17.3130576545,16.8821548863,17.2668895008,830100.0
2000-01-21,22.5,24.0,22.38,23.56,1470400.0,0.0,1.0,17.3130576545,18.4672614982,17.2207213471,18.1286950374,1470400.0
2000-01-24,23.63,23.63,23.0,23.19,859800.0,0.0,1.0,18.1825578834,18.1825578834,17.6977922691,17.8439914226,859800.0
2000-01-25,23.25,25.94,23.25,25.56,2883200.0,0.0,1.0,17.8901595764,19.9600318026,17.8901595764,19.6676334956,2883200.0
2000-01-26,25.63,26.19,25.5,25.69,1543700.0,0.0,1.0,19.7214963416,20.1523991099,19.6214653418,19.7676644953,1543700.0
