Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,46.0,47.13,45.88,46.88,1532600.0,0.0,1.0,30.3952396894,31.14190536,30.3159477598,30.97671384,1532600.0
2000-01-04,47.5,47.56,46.19,46.31,1061600.0,0.0,1.0,31.3863888097,31.4260347745,30.5207852447,30.6000771743,1061600.0
2000-01-05,46.31,48.56,46.31,48.25,1674400.0,0.0,1.0,30.6000771743,32.0868008547,30.6000771743,31.8819633699,1674400.0
2000-01-06,47.81,49.31,47.13,48.56,1437300.0,0.0,1.0,31.5912262946,32.5823754149,31.14190536,32.0868008547,1437300.0
2000-01-07,47.0,48.56,47.0,48.0,1813900.0,0.0,1.0,31.0560057696,32.0868008547,31.0560057696,31.7167718498,1813900.0
2000-01-10,48.5,50.81,48.44,50.13,1888900.0,0.0,1.0,32.0471548899,33.5735245352,32.0075089251,33.1242036007,1888900.0
2000-01-11,50.13,50.56,49.56,50.5,1161700.0,0.0,1.0,33.1242036007,33.4083330152,32.7475669349,33.3686870503,1161700.0
2000-01-12,50.38,50.44,48.06,48.19,1642100.0,0.0,1.0,33.2893951207,33.3290410855,31.7564178146,31.8423174051,1642100.0
2000-01-13,48.19,50.44,48.0,50.0,1667000.0,0.0,1.0,31.8423174051,33.3290410855,31.7167718498,33.0383040102,1667000.0
2000-01-14,49.75,51.25,49.5,50.56,1841200.0,0.0,1.0,32.8731124902,33.8642616105,32.7079209701,33.4083330152,1841200.0
2000-01-18,49.5,50.25,49.38,50.0,1199900.0,0.0,1.0,32.7079209701,33.2034955303,32.6286290405,33.0383040102,1199900.0
2000-01-19,50.0,51.13,49.88,50.25,1419200.0,0.0,1.0,33.0383040102,33.7849696809,32.9590120806,33.2034955303,1419200.0
2000-01-20,50.56,50.88,49.19,49.19,628600.0,0.0,1.0,33.4083330152,33.6197781608,32.5030834853,32.5030834853,628600.0
2000-01-21,50.63,50.63,46.0,46.63,1776500.0,0.0,1.0,33.4545866408,33.4545866408,30.3952396894,30.8115223199,1776500.0
2000-01-24,46.0,46.0,42.75,43.13,4527700.0,0.0,1.0,30.3952396894,30.3952396894,28.2477499288,28.4988410392,4527700.0
2000-01-25,43.25,44.06,41.88,42.25,3590500.0,0.0,1.0,28.5781329689,29.1133534938,27.672883439,27.9173668887,3590500.0
2000-01-26,42.38,45.25,41.88,43.94,3154800.0,0.0,1.0,28.0032664791,29.8996651293,27.672883439,29.0340615642,3154800.0
2000-01-27,42.5,43.75,42.31,42.75,2367700.0,0.0,1.0,28.0825584087,28.908516009,27.9570128535,28.2477499288,2367700.0
2000-01-28,42.5,44.5,42.0,44.5,3433600.0,0.0,1.0,28.0825584087,29.4040905691,27.7521753686,29.4040905691,3433600.0
2000-01-31,44.5,45.5,43.75,45.06,2468500.0,0.0,1.0,29.4040905691,30.0648566493,28.908516009,29.774119574,2468500.0
2000-02-01,45.06,45.44,44.25,45.06,1648400.0,0.0,1.0,29.774119574,30.0252106845,29.2388990491,29.774119574,1648400.0
2000-02-02,46.0,46.0,44.94,45.0,1648300.0,0.0,1.0,30.3952396894,30.3952396894,29.6948276444,29.7344736092,1648300.0
2000-02-03,44.88,47.63,44.63,47.25,1303700.0,0.0,1.0,29.6551816796,31.4722884002,29.4899901595,31.2211972897,1303700.0
2000-02-04,48.25,48.25,46.13,46.63,1572600.0,0.0,1.0,31.8819633699,31.8819633699,30.4811392798,30.8115223199,1572600.0
2000-02-07,46.63,46.69,42.75,43.06,1274900.0,0.0,1.0,30.8115223199,30.8511682848,28.2477499288,28.4525874136,1274900.0
2000-02-08,44.25,44.25,40.5,42.75,3870000.0,0.0,1.0,29.2388990491,29.2388990491,26.7610262483,28.2477499288,3870000.0
