Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,30.88,30.91,30.25,30.53,323000.0,0.0,1.0,15.0494230997,15.0640436532,14.7423914756,14.8788499752,323000.0
2000-01-04,30.13,30.5,29.75,30.5,472100.0,0.0,1.0,14.6801839065,14.8604583189,14.4950372127,14.8604583189,472100.0
2000-01-05,30.38,31.19,30.38,30.88,333000.0,0.0,1.0,14.8072054899,15.2019993163,14.8072054899,15.0509053827,333000.0
2000-01-06,30.75,31.52,30.69,31.0,574200.0,0.0,1.0,14.9869009562,15.3621827037,14.9576582226,15.1087456794,574200.0
2000-01-07,31.06,31.63,31.0,31.63,302900.0,0.0,1.0,15.1344666695,15.4122080089,15.1052307391,15.4122080089,302900.0
2000-01-10,31.5,31.69,30.75,30.75,352500.0,0.0,1.0,15.354790155,15.4474063496,14.9891999132,14.9891999132,352500.0
2000-01-11,30.88,31.0,30.13,30.5,296200.0,0.0,1.0,15.0456050127,15.1040723897,14.6801839065,14.8604583189,296200.0
2000-01-12,30.38,31.5,30.13,30.75,754500.0,0.0,1.0,14.8088420606,15.354790155,14.6869786467,14.9891999132,754500.0
2000-01-13,30.91,31.25,30.06,31.13,156400.0,0.0,1.0,15.0707271944,15.2365003179,14.6562943858,15.1779921567,156400.0
2000-01-14,31.13,31.63,30.38,30.38,251600.0,0.0,1.0,15.1757810563,15.4195295474,14.8101583197,14.8101583197,251600.0
2000-01-18,30.38,30.75,29.31,29.5,367300.0,0.0,1.0,14.8018356936,14.9821082152,14.28050705,14.373079426,367300.0
2000-01-19,29.69,30.63,29.5,29.88,775700.0,0.0,1.0,14.4644314231,14.9223824348,14.3718668569,14.5569959893,775700.0
2000-01-20,29.69,30.19,28.94,28.94,342900.0,0.0,1.0,14.4719774757,14.7156955201,14.1064004091,14.1064004091,342900.0
2000-01-21,30.0,30.31,29.63,30.06,664600.0,0.0,1.0,14.6197148413,14.770785228,14.4394050249,14.648954271,664600.0
2000-01-24,30.25,30.25,29.63,29.72,384000.0,0.0,1.0,14.7417139388,14.7417139388,14.4395697192,14.483429364,384000.0
2000-01-25,29.63,30.13,29.44,29.56,266300.0,0.0,1.0,14.4439862296,14.6877254505,14.3513653256,14.4098627387,266300.0
2000-01-26,29.63,30.44,29.63,30.31,397200.0,0.0,1.0,14.4461606232,14.8410776028,14.4461606232,14.7776958654,397200.0
2000-01-27,30.25,30.44,29.0,29.13,194200.0,0.0,1.0,14.7493252197,14.8419656095,14.1398489709,14.2032345008,194200.0
2000-01-28,29.0,29.0,27.38,27.63,268800.0,0.0,1.0,14.1302236947,14.1302236947,13.3408801642,13.4626924374,268800.0
2000-01-31,27.66,29.5,27.5,28.75,303200.0,0.0,1.0,13.4831119737,14.3800362699,13.4051185567,14.0144421274,303200.0
2000-02-01,28.75,30.13,28.25,29.06,449100.0,0.0,1.0,14.0105055788,14.6830098466,13.7668446123,14.1615753781,449100.0
2000-02-02,28.81,28.81,27.75,28.56,259700.0,0.0,1.0,14.0367379775,14.0367379775,13.5202873612,13.9149335868,259700.0
2000-02-03,28.63,30.0,28.38,29.5,392800.0,0.0,1.0,13.9491953887,14.6166909417,13.8273896308,14.373079426,392800.0
2000-02-04,29.44,30.5,29.38,29.88,659700.0,0.0,1.0,14.3426359413,14.8590487843,14.3134050257,14.5569959893,659700.0
2000-02-07,29.88,30.03,28.75,28.81,761500.0,0.0,1.0,14.5635489346,14.63665912,14.0127855378,14.0420296119,761500.0
2000-02-08,28.75,29.75,28.75,28.75,414800.0,0.0,1.0,14.0144421274,14.501900984,14.0144421274,14.0144421274,414800.0
2000-02-09,28.63,30.0,28.63,29.28,559100.0,0.0,1.0,13.955096373,14.6228742993,13.955096373,14.2719253161,559100.0
2000-02-10,29.09,29.13,28.81,28.97,474400.0,0.0,1.0,14.1740660871,14.193556037,14.0376364376,14.1155962373,474400.0
2000-02-11,29.06,29.06,28.56,28.88,294200.0,0.0,1.0,14.1573086157,14.1573086157,13.9137210621,14.0696170964,294200.0
2000-02-14,28.88,29.06,28.69,28.72,373100.0,0.0,1.0,14.0740228971,14.1617418764,13.9814306412,13.9960504711,373100.0
2000-02-15,28.88,30.19,28.69,30.19,543000.0,0.0,1.0,14.0748866502,14.7133250682,13.9822887117,14.7133250682,543000.0
2000-02-16,30.13,30.44,29.94,30.31,465800.0,0.0,1.0,14.6882840741,14.8394081386,14.5956596475,14.7760335309,465800.0
2000-02-17,30.34,31.06,30.25,30.75,329600.0,0.0,1.0,14.7893439144,15.1403105465,14.7454730854,14.9891999132,329600.0
2000-02-18,30.81,30.88,30.0,30.69,590500.0,0.0,1.0,15.0108815726,15.0449861396,14.6162430113,14.9524166005,590500.0
2000-02-22,30.5,31.5,30.31,30.56,401500.0,0.0,1.0,14.8679931205,15.3554683048,14.7753728355,14.8972416315,401500.0
2000-02-23,30.56,31.31,30.5,30.88,536300.0,0.0,1.0,14.8884746244,15.2538658537,14.859243326,15.0443748822,536300.0
2000-02-24,30.81,31.0,30.19,30.19,389600.0,0.0,1.0,15.0154867622,15.1080847007,14.7133250682,14.7133250682,389600.0
2000-02-25,30.19,30.75,29.75,29.75,309100.0,0.0,1.0,14.7163017346,14.9892771891,14.5018210203,14.5018210203,309100.0
2000-02-28,29.91,30.69,29.88,29.94,297800.0,0.0,1.0,14.5791562766,14.9593549358,14.5645332513,14.593779302,297800.0
2000-02-29,29.91,30.31,29.88,29.88,347700.0,0.0,1.0,14.5716114472,14.7664842181,14.5569959893,14.5569959893,347700.0
2000-03-01,29.88,30.38,29.69,30.38,543600.0,0.0,1.0,14.5664098286,14.8101583197,14.473785402,14.8101583197,543600.0
2000-03-02,30.13,32.25,30.0,31.75,771800.0,0.0,1.0,14.6869076985,15.7203044566,14.6235390294,15.4765788061,771800.0
2000-03-03,32.06,32.25,31.0,31.81,284200.0,0.0,1.0,15.6260160728,15.7186219073,15.1093729962,15.5041662906,284200.0
2000-03-06,31.69,31.94,29.0,29.38,408600.0,0.0,1.0,15.4489067838,15.5707820346,14.1375290859,14.322779467,408600.0
2000-03-07,29.56,29.59,27.5,28.06,431600.0,0.0,1.0,14.4051763401,14.4197959372,13.4012973394,13.6741964852,431600.0
2000-03-08,28.25,28.36,26.25,26.69,361000.0,0.0,1.0,13.7629057351,13.8164958105,12.7885407273,13.002901029,361000.0
2000-03-09,26.69,28.13,26.19,28.13,690200.0,0.0,1.0,13.0137286915,13.7158556798,12.7699345984,13.7158556798,690200.0
2000-03-10,28.0,28.0,26.88,26.88,526000.0,0.0,1.0,13.6404784486,13.6404784486,13.0948593107,13.0948593107,526000.0
2000-03-13,26.38,27.56,26.38,27.38,408600.0,0.0,1.0,12.8605118446,13.4357735571,12.8605118446,13.3480217705,408600.0
2000-03-14,27.38,27.5,26.5,27.22,306900.0,0.0,1.0,13.3475790469,13.4060782976,12.9185845413,13.2695800459,306900.0
2000-03-15,27.19,28.88,27.13,28.75,347400.0,0.0,1.0,13.2540063111,14.0778117788,13.2247587797,14.0144421274,347400.0
2000-03-16,28.84,32.25,28.75,32.19,592900.0,0.0,1.0,14.0554305532,15.7173243877,14.0115682526,15.6880828539,592900.0
2000-03-17,32.0,32.5,30.81,31.0,818600.0,0.0,1.0,15.5961245723,15.8398140187,15.0161436897,15.1087456794,818600.0
2000-03-20,30.63,32.38,30.63,31.94,434100.0,0.0,1.0,14.930002849,15.7830066031,14.930002849,15.5685370878,434100.0
2000-03-21,31.97,33.88,31.81,32.56,348700.0,0.0,1.0,15.5843925483,16.5154588531,15.5063974651,15.8719994173,348700.0
2000-03-22,32.56,32.75,31.75,32.06,316100.0,0.19,1.0,15.9607681291,16.0539052896,15.5637097082,15.7156703385,316100.0
2000-03-23,31.94,32.63,31.25,32.56,381300.0,0.0,1.0,15.6599757035,15.9982782469,15.3216731601,15.963957699,381300.0
2000-03-24,32.37,34.12,32.0,34.0,201400.0,0.0,1.0,15.8727594255,16.7308789495,15.6913284404,16.6720364679,201400.0
2000-03-27,33.5,34.0,31.81,32.13,196700.0,0.0,1.0,16.429240265,16.6744528063,15.6004218755,15.7573579019,196700.0
2000-03-28,32.13,33.38,31.13,33.0,376600.0,0.0,1.0,15.7490177553,16.3617246397,15.2588522478,16.1754617468,376600.0
