Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,64.0,64.0,62.0,62.25,1217400.0,0.0,1.0,22.0331968134,22.0331968134,21.344659413,21.430726588,2434800.0
2000-01-04,61.25,61.94,60.5,60.63,1179200.0,0.0,1.0,21.0883295111,21.3258959986,20.8301050681,20.8748639715,2358400.0
2000-01-05,60.75,61.25,58.5,58.63,1584700.0,0.0,1.0,20.9170125999,21.0891690822,20.1423084296,20.187069115,3169400.0
2000-01-06,58.0,60.0,57.88,58.44,2901100.0,0.0,1.0,19.9649005405,20.6533453867,19.9235938497,20.1163584067,5802200.0
2000-01-07,59.13,62.31,58.0,61.94,2785100.0,0.0,1.0,20.3517035037,21.4462141944,19.9627736041,21.3188654662,5570200.0
2000-01-10,63.5,63.63,61.75,63.63,1524800.0,0.0,1.0,21.8648170165,21.909579634,21.2622433192,21.909579634,3049600.0
2000-01-11,63.0,64.81,62.94,63.94,1925400.0,0.0,1.0,21.6851199593,22.3081368978,21.6644674641,22.0086757174,3850800.0
2000-01-12,63.25,64.44,62.81,64.38,1166300.0,0.0,1.0,21.7689089841,22.1784742283,21.6174730956,22.1578238798,2332600.0
2000-01-13,64.13,65.69,63.81,64.81,1321500.0,0.0,1.0,22.0729226519,22.6098594886,21.9627817623,22.3069720422,2643000.0
2000-01-14,66.0,66.75,62.06,63.31,2347900.0,0.0,1.0,22.7202995647,22.978484787,21.36396653,21.7942752339,4695800.0
2000-01-18,63.06,63.63,62.06,63.0,1451000.0,0.0,1.0,21.7123946683,21.908653231,21.3680814005,21.6917358723,2902000.0
2000-01-19,63.0,63.25,61.13,61.5,1235100.0,0.0,1.0,21.6860518722,21.7721076336,21.0423547769,21.1697173038,2470200.0
2000-01-20,61.38,63.75,60.5,61.94,1541000.0,0.0,1.0,21.1261214452,21.941841677,20.8232379836,21.3188654662,3082000.0
2000-01-21,63.25,63.25,60.38,61.31,1821100.0,0.0,1.0,21.7722624394,21.7722624394,20.7843352741,21.1044649827,3642200.0
2000-01-24,62.75,63.0,60.5,60.69,1512400.0,0.158,1.0,21.995635364,22.0832673774,21.2069472433,21.2735475735,3024800.0
2000-01-25,61.75,61.81,59.25,59.63,964500.0,0.0,1.0,21.6451073103,21.6661389936,20.7687871763,20.9019878367,1929000.0
2000-01-26,59.75,60.63,58.94,60.19,684000.0,0.0,1.0,20.9440512031,21.2525158903,20.6601234797,21.0982835467,1368000.0
2000-01-27,59.75,61.31,59.75,60.31,1037600.0,0.0,1.0,20.9440512031,21.4908749668,20.9440512031,21.1403469132,2075200.0
2000-01-28,60.56,61.13,58.5,59.5,1569200.0,0.0,1.0,21.2279789266,21.4277799171,20.5058911361,20.8564191897,3138400.0
2000-01-31,58.75,59.69,58.5,59.25,1705900.0,0.0,1.0,20.5935231495,20.9230195199,20.5058911361,20.7687871763,3411800.0
2000-02-01,59.25,60.19,58.44,59.63,1545400.0,0.0,1.0,20.7687871763,21.0982835467,20.4848594529,20.9019878367,3090800.0
2000-02-02,60.5,61.56,59.75,61.31,1505200.0,0.0,1.0,21.2069472433,21.5785069802,20.9440512031,21.4908749668,3010400.0
2000-02-03,61.0,61.75,58.38,60.0,2134300.0,0.0,1.0,21.3822112701,21.6451073103,20.4638277697,21.0316832165,4268600.0
2000-02-04,56.25,59.56,55.0,56.25,3248900.0,0.0,1.0,19.7172030155,20.8774508729,19.2790429485,19.7172030155,6497800.0
2000-02-07,56.25,56.81,53.56,56.38,2953100.0,0.0,1.0,19.7172030155,19.9134987255,18.7742825513,19.7627716625,5906200.0
2000-02-08,56.38,59.38,56.38,58.69,2727800.0,0.0,1.0,19.7627716625,20.8143558233,19.7627716625,20.5724914663,5455600.0
