Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,49.75,49.88,48.75,49.19,721300.0,0.0,1.0,31.2998410792,31.3816296087,30.670698545,30.94752126,721300.0
2000-01-04,48.75,49.0,47.56,47.88,614000.0,0.0,1.0,30.670698545,30.8279841785,29.9220189292,30.1233445402,614000.0
2000-01-05,48.12,50.25,47.5,49.12,743400.0,0.0,1.0,30.2743387484,31.6144123464,29.8842703772,30.9034812826,743400.0
2000-01-06,47.56,50.5,47.06,49.56,1038500.0,0.0,1.0,29.9220189292,31.7716979799,29.6074476621,31.1803039977,1038500.0
2000-01-07,49.75,52.88,49.19,52.31,1013300.0,0.0,1.0,31.2998410792,33.2690572114,30.94752126,32.9104459669,1013300.0
2000-01-10,52.81,53.25,51.38,51.75,445400.0,0.0,1.0,33.225017234,33.5018399491,32.3253434101,32.5581261477,445400.0
2000-01-11,50.94,52.75,50.38,52.25,882600.0,0.0,1.0,32.048520695,33.187268682,31.6962008758,32.8726974149,882600.0
2000-01-12,52.0,52.62,51.0,52.19,657500.0,0.0,1.0,32.7154117813,33.1054801525,32.086269247,32.8349488628,657500.0
2000-01-13,52.81,56.38,52.0,55.0,2040300.0,0.0,1.0,33.225017234,35.4710560813,32.7154117813,34.6028393841,2040300.0
2000-01-14,54.12,55.5,53.75,54.25,938500.0,0.0,1.0,34.0491939539,34.9174106512,33.8164112162,34.1309824834,938500.0
2000-01-18,52.88,53.75,52.19,52.75,733900.0,0.0,1.0,33.2690572114,33.8164112162,32.8349488628,33.187268682,733900.0
2000-01-19,53.25,53.25,50.25,51.94,1142200.0,0.0,1.0,33.5018399491,33.5018399491,31.6144123464,32.6776632292,1142200.0
2000-01-20,53.5,53.5,50.62,52.0,851000.0,0.0,1.0,33.6591255827,33.6591255827,31.847195084,32.7154117813,851000.0
2000-01-21,52.0,52.0,49.88,50.62,1225200.0,0.0,1.0,32.7154117813,32.7154117813,31.3816296087,31.847195084,1225200.0
2000-01-24,50.5,50.56,48.5,48.88,1138800.0,0.0,1.0,31.7716979799,31.809446532,30.5134129114,30.7524870744,1138800.0
2000-01-25,48.88,49.94,45.94,47.25,1151600.0,0.0,1.0,30.7524870744,31.4193781607,28.9028080237,29.7269847436,1151600.0
2000-01-26,47.44,48.12,47.38,47.81,579500.0,0.0,1.0,29.8465218251,30.2743387484,29.808773273,30.0793045628,579500.0
2000-01-27,49.75,49.75,46.75,47.25,1877800.0,0.2,1.0,31.432327179,31.432327179,29.5369104647,29.8528132504,1877800.0
2000-01-28,48.0,48.0,45.0,46.88,1265100.0,0.0,1.0,30.326667429,30.326667429,28.4312507147,29.619045189,1265100.0
2000-01-31,46.88,48.38,46.88,47.75,1083400.0,0.0,1.0,29.619045189,30.5667535462,29.619045189,30.1687160362,1083400.0
2000-02-01,47.69,48.19,47.12,48.0,1054000.0,0.0,1.0,30.1308077019,30.4467104876,29.7706785262,30.326667429,1054000.0
2000-02-02,47.94,49.94,47.88,48.31,1077300.0,0.0,1.0,30.2887590947,31.5523702376,30.2508507604,30.5225271562,1077300.0
