Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,46.25,46.25,44.56,45.0,1102400.0,0.0,1.0,27.1991810849,27.1991810849,26.2053083058,26.4640680826,1102400.0
2000-01-04,44.63,44.63,42.94,43.13,665700.0,0.0,1.0,26.2551322403,26.2551322403,25.2609316244,25.3727056581,665700.0
2000-01-05,42.63,43.5,42.63,43.0,774000.0,0.0,1.0,25.0748007389,25.5865313662,25.0748007389,25.2924333045,774000.0
2000-01-06,43.0,44.5,43.0,44.25,573100.0,0.0,1.0,25.291802885,26.1740750786,25.291802885,26.027029713,573100.0
2000-01-07,44.38,44.5,43.88,44.19,490800.0,0.0,1.0,26.1015812501,26.1721578556,25.8075120607,25.9898349582,490800.0
2000-01-10,42.75,44.0,42.44,42.75,592100.0,0.0,1.0,25.1436542851,25.8788488548,24.9613260318,25.1436542851,592100.0
2000-01-11,42.25,42.25,41.44,41.63,646700.0,0.0,1.0,24.8540521882,24.8540521882,24.3775603001,24.4893300022,646700.0
2000-01-12,41.63,42.5,41.56,42.38,572700.0,0.0,1.0,24.4794672492,24.991048717,24.4383055219,24.9204857559,572700.0
2000-01-13,42.5,43.25,42.44,42.81,1152500.0,0.0,1.0,24.998506989,25.4396571123,24.9632149791,25.18084904,1152500.0
2000-01-14,43.75,44.38,43.56,44.06,698400.0,0.0,1.0,25.7331079975,26.1036647526,25.6213527856,25.9154454484,698400.0
2000-01-18,44.0,44.0,42.5,43.06,462200.0,0.0,1.0,25.8825739576,25.8825739576,25.0002134818,25.3296280594,462200.0
2000-01-19,43.25,44.13,43.13,43.19,986900.0,0.0,1.0,25.4393090962,25.9569181599,25.368726042,25.4040175691,986900.0
2000-01-20,43.19,43.19,41.31,41.31,734800.0,0.0,1.0,25.4032409902,25.4032409902,24.297473612,24.297473612,734800.0
2000-01-21,41.31,41.38,40.56,40.81,646900.0,0.0,1.0,24.2939601158,24.3351263518,23.8528933018,23.9999155732,646900.0
2000-01-24,41.06,41.31,40.06,40.44,491400.0,0.0,1.0,24.1507180461,24.2977633338,23.5625368955,23.7860457327,491400.0
2000-01-25,40.19,41.0,40.06,40.38,513900.0,0.0,1.0,23.6371055176,24.1134940588,23.5606480974,23.7488509779,513900.0
2000-01-26,40.0,42.38,39.94,42.19,501700.0,0.0,1.0,23.5211201625,24.9206268121,23.4858384822,24.8089014914,501700.0
2000-01-27,42.31,43.0,42.13,42.88,454100.0,0.0,1.0,24.882822597,25.2886166786,24.7769632714,25.2180437948,454100.0
2000-01-28,42.88,43.06,42.13,42.5,1044000.0,0.0,1.0,25.2183588563,25.3242195045,24.7772728222,24.9948752657,1044000.0
2000-01-31,42.88,44.44,42.75,44.19,542400.0,0.0,1.0,25.219373682,26.1368695529,25.1429156927,25.9898349582,542400.0
2000-02-01,44.25,44.5,43.88,44.06,713300.0,0.0,1.0,26.0272006603,26.1742469917,25.8095720898,25.9154454484,713300.0
2000-02-02,44.06,44.13,43.75,43.81,673800.0,0.0,1.0,25.9137028729,25.9548730772,25.7313776825,25.766666429,673800.0
