Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,48.44,49.0,46.75,46.75,777867.0,0.0,1.0,13.7006977348,13.8590873039,13.222700642,13.222700642,4667202.0
2000-01-04,45.63,47.13,42.0,43.25,354467.0,0.0,1.0,12.9059215037,13.3301792783,11.8792176891,12.2327658346,2126802.0
2000-01-05,42.75,43.0,40.88,42.06,276267.0,0.0,1.0,12.0913465764,12.1620562055,11.5624385507,11.8961880001,1657602.0
2000-01-06,41.75,45.13,41.38,43.75,367667.0,0.0,1.0,11.80850806,12.7645022454,11.7038578089,12.3741850928,2206002.0
2000-01-07,43.88,43.88,41.63,42.38,246200.0,0.0,1.0,12.4109540999,12.4109540999,11.774567438,11.9866963253,1477200.0
2000-01-10,45.69,49.25,44.88,47.81,780067.0,0.0,1.0,12.9228918146,13.929796933,12.6937926163,13.5225094694,4680402.0
2000-01-11,48.5,48.75,43.0,43.44,704667.0,0.0,1.0,13.7176680457,13.7883776748,12.1620562055,12.2865051527,4228002.0
2000-01-12,43.88,46.88,42.88,45.19,510000.0,0.0,1.0,12.4109540999,13.2594696492,12.1281155835,12.7814725564,3060000.0
2000-01-13,45.94,47.94,45.81,47.75,241200.0,0.0,1.0,12.9936014437,13.5592784766,12.9568324366,13.5055391584,1447200.0
2000-01-14,48.56,49.63,48.0,48.81,328600.0,0.0,1.0,13.7346383567,14.0372755693,13.5762487875,13.8053479858,1971600.0
2000-01-18,48.13,49.38,46.94,48.5,570867.0,0.0,1.0,13.6130177947,13.9665659402,13.2764399601,13.7176680457,3425202.0
2000-01-19,49.0,52.0,48.88,51.44,607667.0,0.0,1.0,13.8590873039,14.7076028532,13.825146682,14.549213284,3646002.0
2000-01-20,52.03,52.38,49.38,49.88,280400.0,0.0,1.0,14.7160880087,14.8150814894,13.9665659402,14.1079851984,1682400.0
2000-01-21,50.38,50.75,48.81,49.63,271800.0,0.0,1.0,14.2494044566,14.3540547077,13.8053479858,14.0372755693,1630800.0
2000-01-24,50.0,50.44,48.19,48.5,202467.0,0.0,1.0,14.1419258204,14.2663747676,13.6299881057,13.7176680457,1214802.0
2000-01-25,47.75,48.0,44.63,45.69,249600.0,0.0,1.0,13.5055391584,13.5762487875,12.6230829872,12.9228918146,1497600.0
2000-01-26,45.56,47.0,44.88,46.56,175000.0,0.0,1.0,12.8861228075,13.2934102711,12.6937926163,13.1689613239,1050000.0
2000-01-27,46.88,49.73,46.31,46.56,163000.0,0.0,1.0,13.2594696492,14.0655594209,13.0982516948,13.1689613239,978000.0
2000-01-28,46.31,46.31,42.88,43.0,179467.0,0.0,1.0,13.0982516948,13.0982516948,12.1281155835,12.1620562055,1076802.0
2000-01-31,43.53,43.56,40.75,43.13,300600.0,0.0,1.0,12.3119606192,12.3204457747,11.5256695436,12.1988252126,1803600.0
2000-02-01,43.06,44.56,41.88,44.25,156800.0,0.0,1.0,12.1790265165,12.6032842911,11.8452770671,12.515604351,940800.0
2000-02-02,45.63,48.0,44.88,46.88,197400.0,0.0,1.0,12.9059215037,13.5762487875,12.6937926163,13.2594696492,1184400.0
2000-02-03,48.34,48.5,45.75,48.31,179200.0,0.0,1.0,13.6724138831,13.7176680457,12.9398621256,13.6639287276,1075200.0
2000-02-04,48.41,49.38,48.19,48.5,187200.0,0.0,1.0,13.6922125793,13.9665659402,13.6299881057,13.7176680457,1123200.0
2000-02-07,49.44,49.5,47.0,47.63,190267.0,0.0,1.0,13.9835362512,14.0005065621,13.2934102711,13.4715985365,1141602.0
