Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,50.69,50.81,49.44,49.75,4914267.0,0.0,1.0,29.2905406353,29.3598810353,28.568244802,28.7473741686,7371400.5
2000-01-04,48.63,50.13,44.88,46.38,6386267.0,0.0,1.0,28.1001971019,28.966952102,25.9333096018,26.8000646018,9579400.5
2000-01-05,45.69,46.13,43.63,44.56,7552000.0,0.0,1.0,26.4013573018,26.6556054352,25.2110137684,25.7484018684,11328000.0
2000-01-06,44.13,48.44,44.0,46.69,6217400.0,0.0,1.0,25.4999321017,27.9904081353,25.4248133351,26.9791939685,9326100.0
2000-01-07,46.44,46.5,44.19,44.94,4776867.0,0.0,1.0,26.8347348018,26.8694050018,25.5346023018,25.9679798018,7165300.5
2000-01-10,48.38,51.69,47.31,50.31,8348667.0,0.0,1.0,27.9557379353,29.868377302,27.3374527019,29.070962702,12523000.5
2000-01-11,51.06,51.25,45.94,46.75,8259800.0,0.0,1.0,29.504340202,29.6141291687,26.5458164685,27.0138641685,12389700.0
2000-01-12,46.88,48.69,45.25,48.0,4618867.0,0.0,1.0,27.0889829352,28.1348673019,26.1471091685,27.7361600019,6928300.5
2000-01-13,48.88,50.63,48.31,50.56,3200800.0,0.0,1.0,28.2446562686,29.2558704353,27.9152893686,29.2154218687,4801200.0
2000-01-14,51.63,52.44,50.56,51.63,9211600.0,0.0,1.0,29.833707102,30.3017548021,29.2154218687,29.833707102,13817400.0
2000-01-18,51.06,52.63,50.0,51.69,7676467.0,0.0,1.0,29.504340202,30.4115437688,28.8918333353,29.868377302,11514700.5
2000-01-19,52.88,55.38,52.38,54.56,25619267.0,0.0,1.0,30.5560029354,32.0005946022,30.2670846021,31.5267685355,38428900.5
2000-01-20,54.69,55.69,52.5,53.13,10010867.0,0.0,1.0,31.6018873022,32.1797239689,30.3364250021,30.7004621021,15016300.5
2000-01-21,54.5,54.75,52.13,52.88,8032867.0,0.0,1.0,31.4920983355,31.6365575022,30.1226254354,30.5560029354,12049300.5
2000-01-24,53.13,53.88,51.38,51.69,3875867.0,0.0,1.0,30.7004621021,31.1338396021,29.6892479354,29.868377302,5813800.5
2000-01-25,50.81,50.88,47.81,48.69,7230667.0,0.0,1.0,29.3598810353,29.400329602,27.6263710352,28.1348673019,10846000.5
2000-01-26,48.25,50.0,47.81,49.94,4667200.0,0.0,1.0,27.8806191686,28.8918333353,27.6263710352,28.8571631353,7000800.0
2000-01-27,50.19,52.75,49.25,49.31,6775267.0,0.0,1.0,29.001622302,30.4808841688,28.4584558353,28.4931260353,10162900.5
2000-01-28,49.13,49.13,45.63,45.63,6533467.0,0.0,1.0,28.3891154353,28.3891154353,26.3666871018,26.3666871018,9800200.5
2000-01-31,46.13,46.13,43.63,46.0,4454867.0,0.0,1.0,26.6556054352,26.6556054352,25.2110137684,26.5804866685,6682300.5
2000-02-01,45.75,47.44,44.31,47.25,5541600.0,0.0,1.0,26.4360275018,27.4125714685,25.6039427018,27.3027825019,8312400.0
2000-02-02,49.13,51.0,47.63,49.94,7045600.0,0.0,1.0,28.3891154353,29.469670002,27.5223604352,28.8571631353,10568400.0
2000-02-03,50.69,51.69,48.81,51.63,5893467.0,0.0,1.0,29.2905406353,29.868377302,28.2042077019,29.833707102,8840200.5
2000-02-04,52.0,52.94,51.31,51.81,3980267.0,0.0,1.0,30.0475066687,30.5906731354,29.6487993687,29.9377177021,5970400.5
2000-02-07,52.38,52.44,50.13,51.06,3474267.0,0.0,1.0,30.2670846021,30.3017548021,28.966952102,29.504340202,5211400.5
2000-02-08,51.5,51.63,50.31,50.94,4553600.0,0.0,1.0,29.7585883354,29.833707102,29.070962702,29.434999802,6830400.0
2000-02-09,50.56,50.69,48.25,48.5,4088200.0,0.0,1.0,29.2154218687,29.2905406353,27.8806191686,28.0250783353,6132300.0
2000-02-10,48.56,50.0,48.38,50.0,4055400.0,0.0,1.0,28.0597485353,28.8918333353,27.9557379353,28.8918333353,6083100.0
2000-02-11,50.06,50.36,49.0,49.66,2725200.0,0.0,1.0,28.9265035353,29.0998545353,28.3139966686,28.6953688686,4087800.0
2000-02-14,49.56,49.63,46.94,47.31,4420200.0,0.0,1.0,28.637585202,28.6780337686,27.1236531352,27.3374527019,6630300.0
2000-02-15,47.56,49.75,46.94,48.81,3347400.0,0.0,1.0,27.4819118686,28.7473741686,27.1236531352,28.2042077019,5021100.0
2000-02-16,48.2,48.25,46.0,46.25,4540600.0,0.0,1.0,27.8517273352,27.8806191686,26.5804866685,26.7249458352,6810900.0
2000-02-17,46.88,47.19,44.13,45.94,5088067.0,0.0,1.0,27.0889829352,27.2681123019,25.4999321017,26.5458164685,7632100.5
