Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,30.94,31.0,29.5,29.5,1615200.0,0.0,1.0,17.8962576561,17.9309627453,17.0633355157,17.0633355157,1615200.0
2000-01-04,29.56,30.0,29.56,29.88,456400.0,0.0,1.0,17.0980406049,17.3525445922,17.0980406049,17.2831344139,456400.0
2000-01-05,29.81,31.0,29.69,30.75,1842300.0,0.0,1.0,17.2426451432,17.9309627453,17.1732349648,17.786358207,1842300.0
2000-01-06,30.69,31.13,30.13,30.44,366500.0,0.0,1.0,17.7516531179,18.0061571052,17.4277389521,17.6070485796,366500.0
2000-01-07,30.88,31.25,30.63,31.13,531300.0,0.0,1.0,17.8615525669,18.0755672836,17.7169480287,18.0061571052,531300.0
2000-01-10,30.94,31.31,30.44,30.69,257800.0,0.0,1.0,17.8962576561,18.1102723728,17.6070485796,17.7516531179,257800.0
2000-01-11,30.56,31.56,30.56,31.5,1471100.0,0.0,1.0,17.676458758,18.254876911,17.676458758,18.2201718218,1471100.0
2000-01-12,31.31,31.5,31.06,31.31,1518200.0,0.0,1.0,18.1102723728,18.2201718218,17.9656678345,18.1102723728,1518200.0
2000-01-13,31.56,32.0,31.31,31.63,492700.0,0.0,1.0,18.254876911,18.5093808984,18.1102723728,18.2953661817,492700.0
2000-01-14,31.63,31.63,30.88,31.19,276700.0,0.0,1.0,18.2953661817,18.2953661817,17.8615525669,18.0408621944,276700.0
2000-01-18,31.0,31.0,30.44,30.56,418900.0,0.0,1.0,17.9309627453,17.9309627453,17.6070485796,17.676458758,418900.0
2000-01-19,30.63,31.13,30.5,30.88,512300.0,0.0,1.0,17.7169480287,18.0061571052,17.6417536688,17.8615525669,512300.0
2000-01-20,30.94,31.13,30.31,30.94,391500.0,0.0,1.0,17.8962576561,18.0061571052,17.5318542197,17.8962576561,391500.0
2000-01-21,31.0,31.63,30.63,31.38,567300.0,0.0,1.0,17.9309627453,18.2953661817,17.7169480287,18.1507616435,567300.0
2000-01-24,31.5,32.06,31.25,31.25,657300.0,0.0,1.0,18.2201718218,18.5440859876,18.0755672836,18.0755672836,657300.0
2000-01-25,31.31,31.31,30.5,30.69,714500.0,0.0,1.0,18.1102723728,18.1102723728,17.6417536688,17.7516531179,714500.0
2000-01-26,30.88,30.88,30.0,30.44,1105700.0,0.0,1.0,17.8615525669,17.8615525669,17.3525445922,17.6070485796,1105700.0
2000-01-27,30.69,30.69,29.94,30.0,572300.0,0.0,1.0,17.7516531179,17.7516531179,17.3178395031,17.3525445922,572300.0
2000-01-28,29.75,30.25,29.44,29.5,514300.0,0.0,1.0,17.207940054,17.4971491305,17.0286304265,17.0633355157,514300.0
2000-01-31,29.75,30.38,29.31,30.0,982200.0,0.0,1.0,17.207940054,17.5723434904,16.9534360666,17.3525445922,982200.0
2000-02-01,26.13,26.63,22.75,23.5,4026100.0,0.0,1.0,15.1140663398,15.4032754164,13.1590129824,13.5928265973,4026100.0
2000-02-02,23.0,23.0,20.31,21.38,6256700.0,0.0,1.0,13.3036175207,13.3036175207,11.7476726889,12.3665801127,6256700.0
2000-02-03,21.19,22.31,21.06,21.94,5044000.0,0.0,1.0,12.2566806637,12.9045089951,12.1814863038,12.6904942785,5044000.0
2000-02-04,21.88,22.0,20.13,20.38,3314200.0,0.365,1.0,12.8824507719,12.9531040668,11.8520902211,11.9992845855,3314200.0
2000-02-07,20.38,20.56,20.06,20.31,698100.0,0.0,1.0,11.9992845855,12.1052645279,11.8108757991,11.9580701635,698100.0
2000-02-08,20.38,20.69,20.25,20.31,807100.0,0.0,1.0,11.9992845855,12.1818055974,11.922743516,11.9580701635,807100.0
2000-02-09,20.31,20.38,19.81,19.94,1282000.0,0.0,1.0,11.9580701635,11.9992845855,11.6636814347,11.7402225042,1282000.0
2000-02-10,19.94,19.94,18.06,18.75,2792300.0,0.0,1.0,11.7402225042,11.7402225042,10.6333208839,11.0395773297,2792300.0
2000-02-11,18.81,18.81,18.06,18.63,1121200.0,0.0,1.0,11.0749039771,11.0749039771,10.6333208839,10.9689240348,1121200.0
2000-02-14,18.75,19.38,18.63,19.19,714400.0,0.0,1.0,11.0395773297,11.4105071279,10.9689240348,11.298639411,714400.0
2000-02-15,19.5,19.75,19.25,19.38,746200.0,0.0,1.0,11.4811604229,11.6283547873,11.3339660585,11.4105071279,746200.0
2000-02-16,19.13,19.31,18.5,18.69,920000.0,0.0,1.0,11.2633127636,11.3692927059,10.8923829653,11.0042506822,920000.0
2000-02-17,18.69,18.69,18.0,18.38,1281500.0,0.0,1.0,11.0042506822,11.0042506822,10.5979942365,10.8217296704,1281500.0
2000-02-18,18.31,18.5,17.94,18.31,907200.0,0.0,1.0,10.7805152483,10.8923829653,10.562667589,10.7805152483,907200.0
2000-02-22,18.31,18.38,17.94,18.25,685400.0,0.0,1.0,10.7805152483,10.8217296704,10.562667589,10.7451886009,685400.0
2000-02-23,18.44,18.44,17.5,17.56,1077400.0,0.0,1.0,10.8570563178,10.8570563178,10.3036055077,10.3389321551,1077400.0
2000-02-24,17.69,17.69,16.88,17.0,697500.0,0.0,1.0,10.4154732246,10.4154732246,9.93856348399,10.0092167789,697500.0
2000-02-25,17.0,17.0,16.19,16.44,757300.0,0.0,1.0,10.0092167789,10.0092167789,9.53230703826,9.67950140266,757300.0
2000-02-28,16.69,16.69,16.06,16.5,816200.0,0.0,1.0,9.82669576705,9.82669576705,9.45576596878,9.71482805011,816200.0
2000-02-29,16.63,16.94,16.56,16.75,914200.0,0.0,1.0,9.7913691196,9.97389013145,9.75015469757,9.86202241451,914200.0
2000-03-01,16.75,17.0,16.69,16.94,487000.0,0.0,1.0,9.86202241451,10.0092167789,9.82669576705,9.97389013145,487000.0
2000-03-02,16.94,17.25,16.88,16.88,1122500.0,0.0,1.0,9.97389013145,10.1564111433,9.93856348399,9.93856348399,1122500.0
2000-03-03,17.0,17.13,16.81,17.06,899300.0,0.0,1.0,10.0092167789,10.0857578484,9.89734906196,10.0445434264,899300.0
2000-03-06,17.75,18.0,17.0,17.31,1817500.0,0.0,1.0,10.4507998721,10.5979942365,10.0092167789,10.1917377908,1817500.0
2000-03-07,17.31,17.5,17.13,17.25,842300.0,0.0,1.0,10.1917377908,10.3036055077,10.0857578484,10.1564111433,842300.0
2000-03-08,17.25,17.38,17.06,17.19,850000.0,0.0,1.0,10.1564111433,10.2329522128,10.0445434264,10.1210844958,850000.0
2000-03-09,17.19,17.25,16.88,17.13,589200.0,0.0,1.0,10.1210844958,10.1564111433,9.93856348399,10.0857578484,589200.0
2000-03-10,17.06,17.38,17.06,17.19,450800.0,0.0,1.0,10.0445434264,10.2329522128,10.0445434264,10.1210844958,450800.0
2000-03-13,17.25,17.44,17.13,17.19,537800.0,0.0,1.0,10.1564111433,10.2682788602,10.0857578484,10.1210844958,537800.0
2000-03-14,17.25,17.5,17.06,17.5,1938700.0,0.0,1.0,10.1564111433,10.3036055077,10.0445434264,10.3036055077,1938700.0
2000-03-15,17.5,18.88,17.31,17.88,2766700.0,0.0,1.0,10.3036055077,11.1161183992,10.1917377908,10.5273409416,2766700.0
2000-03-16,19.13,19.63,18.75,19.44,455000.0,0.0,1.0,11.2633127636,11.5577014923,11.0395773297,11.4458337754,455000.0
2000-03-17,19.5,19.69,19.0,19.06,819300.0,0.0,1.0,11.4811604229,11.5930281398,11.1867716941,11.2220983415,819300.0
2000-03-20,19.25,19.56,19.19,19.44,579900.0,0.0,1.0,11.3339660585,11.5164870703,11.298639411,11.4458337754,579900.0
2000-03-21,19.31,19.63,19.13,19.38,431100.0,0.0,1.0,11.3692927059,11.5577014923,11.2633127636,11.4105071279,431100.0
2000-03-22,19.38,19.56,18.44,18.88,1017200.0,0.0,1.0,11.4105071279,11.5164870703,10.8570563178,11.1161183992,1017200.0
2000-03-23,19.06,19.13,18.5,19.0,709900.0,0.0,1.0,11.2220983415,11.2633127636,10.8923829653,11.1867716941,709900.0
2000-03-24,19.0,19.31,18.81,19.06,328400.0,0.0,1.0,11.1867716941,11.3692927059,11.0749039771,11.2220983415,328400.0
2000-03-27,19.25,19.75,19.0,19.0,625600.0,0.0,1.0,11.3339660585,11.6283547873,11.1867716941,11.1867716941,625600.0
2000-03-28,19.06,19.38,18.75,18.94,835300.0,0.0,1.0,11.2220983415,11.4105071279,11.0395773297,11.1514450466,835300.0
2000-03-29,18.69,19.25,18.63,18.88,851200.0,0.0,1.0,11.0042506822,11.3339660585,10.9689240348,11.1161183992,851200.0
2000-03-30,19.25,19.38,18.63,18.75,946900.0,0.0,1.0,11.3339660585,11.4105071279,10.9689240348,11.0395773297,946900.0
2000-03-31,18.75,18.75,18.0,18.13,2418300.0,0.0,1.0,11.0395773297,11.0395773297,10.5979942365,10.674535306,2418300.0
2000-04-03,18.19,18.25,17.88,18.0,1082900.0,0.0,1.0,10.7098619534,10.7451886009,10.5273409416,10.5979942365,1082900.0
