Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,10.25,10.31,10.19,10.19,145100.0,0.0,1.0,3.63278076379,3.65404582192,3.61151570567,3.61151570567,290200.0
2000-01-04,10.06,10.44,9.938,10.0,195300.0,0.0,1.0,3.56500170714,3.69966379946,3.52176808803,3.54373927151,390600.0
2000-01-05,10.0,10.19,9.938,10.19,179600.0,0.0,1.0,3.53998879689,3.60724858403,3.51804086635,3.60724858403,359200.0
2000-01-06,10.25,10.81,10.25,10.56,48000.0,0.0,1.0,3.62767128967,3.82586601379,3.62767128967,3.73738622624,96000.0
2000-01-07,10.56,11.0,10.56,10.88,49300.0,0.0,1.0,3.74023397557,3.89607705789,3.74023397557,3.85357439907,98600.0
2000-01-10,11.0,11.06,10.75,10.94,33400.0,0.0,1.0,3.89418007678,3.91542105902,3.80567598413,3.87293909455,66800.0
2000-01-11,10.94,10.94,10.63,10.69,31800.0,0.0,1.0,3.88031953352,3.88031953352,3.77036532371,3.79164678367,63600.0
2000-01-12,10.69,11.13,10.56,11.0,219400.0,0.0,1.0,3.7826115923,3.9383037439,3.73661163842,3.89230379002,438800.0
2000-01-13,11.0,11.75,10.94,11.56,69300.0,0.0,1.0,3.89722872122,4.1629488613,3.87597111001,4.09563309248,138600.0
2000-01-14,11.56,11.75,11.38,11.5,145300.0,0.0,1.0,4.0975358843,4.16488292738,4.03373342243,4.07626839701,290600.0
2000-01-18,11.63,11.94,11.5,11.69,37400.0,0.0,1.0,4.12277513999,4.23266854441,4.0766908091,4.14404483117,74800.0
2000-01-19,11.56,11.75,11.5,11.5,22500.0,0.0,1.0,4.0975358843,4.16488292738,4.07626839701,4.07626839701,45000.0
2000-01-20,11.63,11.94,11.63,11.81,43600.0,0.0,1.0,4.11902321788,4.22881661406,4.11902321788,4.18277422211,87200.0
2000-01-21,11.81,12.13,11.81,11.88,125500.0,0.0,1.0,4.17737883979,4.29056776686,4.17737883979,4.20213891758,251000.0
2000-01-24,12.0,12.19,11.81,11.88,52400.0,0.0,1.0,4.24458476524,4.31179069069,4.17737883979,4.20213891758,104800.0
2000-01-25,11.75,11.94,11.63,11.75,72800.0,0.0,1.0,4.16340952664,4.23073274452,4.12088959956,4.16340952664,145600.0
2000-01-26,11.5,11.75,10.75,10.81,118600.0,0.0,1.0,4.07894649319,4.16761924305,3.81292824364,3.8342097036,237200.0
2000-01-27,10.94,11.56,10.94,11.5,40100.0,0.0,1.0,3.87777184898,4.0975358843,3.87777184898,4.07626839701,80200.0
2000-01-28,11.38,12.19,11.38,12.13,65900.0,0.0,1.0,4.03648449295,4.32379138568,4.03648449295,4.30250939362,131800.0
2000-01-31,12.06,12.19,11.94,12.13,36000.0,0.0,1.0,4.27768040289,4.32379138568,4.23511641878,4.30250939362,72000.0
2000-02-01,12.19,12.25,11.75,11.94,58600.0,0.0,1.0,4.31977863166,4.34104087267,4.16385553093,4.23118596079,117200.0
2000-02-02,12.06,12.44,11.94,12.13,42600.0,0.0,1.0,4.27768040289,4.41246635257,4.23511641878,4.30250939362,85200.0
2000-02-03,12.13,12.44,12.13,12.25,41500.0,0.0,1.0,4.29520011126,4.40497027074,4.29520011126,4.33769178589,83000.0
2000-02-04,12.19,12.19,11.88,12.06,83900.0,0.0,1.0,4.31594263165,4.31594263165,4.20618527186,4.26991535174,167800.0
2000-02-07,12.06,12.06,11.69,11.88,71800.0,0.0,1.0,4.26580768906,4.26580768906,4.13493299213,4.20213891758,143600.0
