Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,39.63,39.63,37.0,37.25,982600.0,0.0,1.0,24.0117674942,24.0117674942,22.4182537796,22.5697284673,982600.0
2000-01-04,37.0,37.31,35.69,35.88,1007000.0,0.0,1.0,22.4164266664,22.6042399709,21.6227639925,21.7378753727,1007000.0
2000-01-05,35.81,37.0,35.13,35.44,1016800.0,0.225,1.0,22.1857018455,22.9229535963,21.7644151307,21.9564723095,1016800.0
2000-01-06,35.13,36.5,35.06,36.31,743500.0,0.0,1.0,21.7644151307,22.6131839531,21.7210473807,22.4954714886,743500.0
2000-01-07,36.63,37.19,36.38,37.0,526700.0,0.0,1.0,22.6937240603,23.0406660607,22.5388392387,22.9229535963,526700.0
2000-01-10,36.75,37.5,35.56,35.81,562600.0,0.0,1.0,22.7680687747,23.2327232394,22.0308170239,22.1857018455,562600.0
2000-01-11,35.63,37.0,35.63,36.19,902500.0,0.0,1.0,22.0741847739,22.9229535963,22.0741847739,22.4211267743,902500.0
2000-01-12,36.19,36.63,35.31,35.75,693800.0,0.0,1.0,22.4211267743,22.6937240603,21.8759322023,22.1485294883,693800.0
2000-01-13,35.94,36.94,35.88,36.38,709300.0,0.0,1.0,22.2662419527,22.8857812391,22.2290695955,22.5388392387,709300.0
2000-01-14,34.38,36.0,34.38,35.31,801000.0,0.0,1.0,21.2997606659,22.3034143099,21.2997606659,21.8759322023,801000.0
2000-01-18,33.56,35.38,33.44,35.13,861400.0,0.0,1.0,20.7917384511,21.9192999523,20.7173937367,21.7644151307,861400.0
2000-01-19,33.63,34.44,33.13,33.5,772600.0,0.0,1.0,20.8351062011,21.3369330231,20.5253365579,20.7545660939,772600.0
2000-01-20,33.38,33.75,32.06,32.19,1178000.0,0.0,1.0,20.6802213795,20.9094509155,19.8624295215,19.9429696287,1178000.0
2000-01-21,32.31,33.44,32.0,33.06,1127800.0,0.0,1.0,20.0173143431,20.7173937367,19.8252571643,20.4819688079,1127800.0
2000-01-24,32.88,33.19,30.38,31.25,800400.0,0.0,1.0,20.3704517363,20.5625089151,18.8216035204,19.3606026995,800400.0
2000-01-25,31.19,31.63,30.06,30.44,771600.0,0.0,1.0,19.3234303424,19.5960276284,18.6233509487,18.8587758776,771600.0
2000-01-26,30.75,31.75,30.5,31.0,718800.0,0.0,1.0,19.0508330563,19.6703723427,18.8959482347,19.2057178779,718800.0
