Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,94.38,94.44,91.56,93.25,1187100.0,0.0,1.0,36.9078591641,36.9313225203,35.8050814269,36.4659659574,1187100.0
2000-01-04,91.56,94.25,90.38,92.63,1731200.0,0.0,1.0,35.8050814269,36.8570218926,35.3436354233,36.2235112775,1731200.0
2000-01-05,77.25,87.13,77.25,86.13,4331400.0,0.0,1.0,30.2090709942,34.0727036339,30.2090709942,33.6816476987,4331400.0
2000-01-06,86.63,89.0,85.13,87.38,1419200.0,0.0,1.0,33.8771756663,34.8039782328,33.2905917635,34.1704676177,1419200.0
2000-01-07,87.94,87.94,85.0,87.19,1104200.0,0.0,1.0,34.3894589415,34.3894589415,33.239754492,34.0961669901,1104200.0
2000-01-10,87.31,92.63,87.31,92.0,978900.0,0.0,1.0,34.1430937023,36.2235112775,34.1430937023,35.9771460384,978900.0
2000-01-11,93.0,93.75,89.25,90.19,832600.0,0.0,1.0,36.3682019736,36.661493925,34.9017422166,35.2693347957,832600.0
2000-01-12,90.0,90.31,87.38,90.19,600900.0,0.0,1.0,35.195034168,35.3162615079,34.1704676177,35.2693347957,600900.0
2000-01-13,90.44,91.94,89.94,91.94,516400.0,0.0,1.0,35.3670987795,35.9536826823,35.1715708119,35.9536826823,516400.0
2000-01-14,92.19,94.94,92.13,93.25,853000.0,0.0,1.0,36.0514466661,37.1268504879,36.0279833099,36.4659659574,853000.0
2000-01-18,92.38,93.81,91.31,91.31,444500.0,0.0,1.0,36.1257472937,36.6849572811,35.7073174431,35.7073174431,444500.0
2000-01-19,90.44,91.81,89.81,90.81,653900.0,0.0,1.0,35.3670987795,35.9028454107,35.1207335403,35.5117894755,653900.0
2000-01-20,91.06,91.63,84.13,87.5,1402400.0,0.0,1.0,35.6095534593,35.8324553423,32.8995358283,34.21739433,1402400.0
2000-01-21,89.0,91.44,88.5,89.31,966600.0,0.0,1.0,34.8039782328,35.7581547147,34.6084502652,34.9252055727,966600.0
2000-01-24,89.38,91.31,88.63,89.13,541600.0,0.0,1.0,34.9525794881,35.7073174431,34.6592875367,34.8548155043,541600.0
2000-01-25,88.94,88.94,86.19,88.75,624100.0,0.0,1.0,34.7805148767,34.7805148767,33.7051110549,34.706214249,624100.0
2000-01-26,88.75,90.94,87.19,87.94,859400.0,0.0,1.0,34.706214249,35.5626267471,34.0961669901,34.3894589415,859400.0
2000-01-27,87.94,90.81,87.88,89.56,912000.0,0.0,1.0,34.3894589415,35.5117894755,34.3659955853,35.0229695565,912000.0
2000-01-28,89.44,89.94,88.56,89.25,640500.0,0.0,1.0,34.9760428443,35.1715708119,34.6319136213,34.9017422166,640500.0
2000-01-31,88.5,91.88,87.75,91.88,1060800.0,0.0,1.0,34.6084502652,35.9302193261,34.3151583138,35.9302193261,1060800.0
2000-02-01,90.5,91.69,88.94,89.19,1696700.0,0.0,1.0,35.3905621356,35.8559186985,34.7805148767,34.8782788605,1696700.0
2000-02-02,89.25,89.31,85.44,85.94,975600.0,0.0,1.0,34.9017422166,34.9252055727,33.4118191035,33.6073470711,975600.0
2000-02-03,87.19,89.94,87.13,88.13,758900.0,0.0,1.0,34.0961669901,35.1715708119,34.0727036339,34.4637595691,758900.0
2000-02-04,92.06,92.38,89.63,92.06,612200.0,0.0,1.0,36.0006093945,36.1257472937,35.0503434719,36.0006093945,612200.0
2000-02-07,92.31,92.94,89.94,90.0,747400.0,0.0,1.0,36.0983733783,36.3447386175,35.1715708119,35.195034168,747400.0
2000-02-08,90.06,90.88,88.94,89.69,613300.0,0.0,1.0,35.2184975241,35.5391633909,34.7805148767,35.0738068281,613300.0
2000-02-09,88.0,89.44,87.38,87.5,659900.0,0.0,1.0,34.4129222976,34.9760428443,34.1704676177,34.21739433,659900.0
2000-02-10,87.69,87.88,85.94,87.06,605300.0,0.0,1.0,34.2916949577,34.3659955853,33.6073470711,34.0453297185,605300.0
2000-02-11,86.81,86.81,82.63,83.81,639500.0,0.0,1.0,33.9475657347,33.9475657347,32.3129519255,32.7743979291,639500.0
2000-02-14,84.0,85.31,83.75,84.38,456100.0,0.0,1.0,32.8486985568,33.3609818319,32.750934573,32.9972998121,456100.0
2000-02-15,84.31,85.06,82.25,83.81,444000.0,0.0,1.0,32.9699258967,33.2632178481,32.1643506702,32.7743979291,444000.0
2000-02-16,83.56,83.63,80.31,81.75,1043900.0,0.0,1.0,32.6766339453,32.7040078607,31.4057021559,31.9688227026,1043900.0
2000-02-17,81.75,81.75,80.0,80.19,789100.0,0.0,1.0,31.9688227026,31.9688227026,31.284474816,31.3587754437,789100.0
2000-02-18,81.31,81.31,79.81,80.13,721700.0,0.0,1.0,31.7967580911,31.7967580911,31.2101741883,31.3353120876,721700.0
2000-02-22,80.38,81.31,80.13,80.75,569700.0,0.0,1.0,31.4330760714,31.7967580911,31.3353120876,31.5777667674,569700.0
2000-02-23,80.0,81.25,80.0,80.94,493300.0,0.0,1.0,31.284474816,31.773294735,31.284474816,31.6520673951,493300.0
2000-02-24,80.94,80.94,78.31,79.94,1106900.0,0.0,1.0,31.6520673951,31.6520673951,30.6235902855,31.2610114599,1106900.0
2000-02-25,79.75,80.13,77.5,78.25,703500.0,0.0,1.0,31.1867108322,31.3353120876,30.306834978,30.6001269294,703500.0
2000-02-28,78.44,78.44,74.94,75.69,870800.0,0.0,1.0,30.6744275571,30.6744275571,29.3057317839,29.5990237353,870800.0
2000-02-29,76.19,78.88,75.94,78.81,1102900.0,0.0,1.0,29.7945517029,30.8464921686,29.6967877191,30.8191182531,1102900.0
2000-03-01,77.81,77.88,74.94,75.0,991300.0,0.0,1.0,30.4280623179,30.4554362334,29.3057317839,29.32919514,991300.0
2000-03-02,75.56,76.63,74.06,75.75,1063200.0,0.0,1.0,29.5481864637,29.9666163144,28.9616025609,29.6224870914,1063200.0
2000-03-03,76.75,78.75,75.81,76.88,855300.0,0.0,1.0,30.0135430266,30.795654897,29.6459504475,30.0643802982,855300.0
2000-03-06,76.94,77.25,75.38,76.69,716200.0,0.0,1.0,30.0878436543,30.2090709942,29.4777963954,29.9900796705,716200.0
2000-03-07,76.94,78.13,76.31,77.5,965700.0,0.0,1.0,30.0878436543,30.5532002172,29.8414784151,30.306834978,965700.0
2000-03-08,76.75,77.31,75.94,77.19,887500.0,0.0,1.0,30.0135430266,30.2325343503,29.6967877191,30.1856076381,887500.0
2000-03-09,77.19,81.0,76.81,79.81,948500.0,0.0,1.0,30.1856076381,31.6755307512,30.0370063827,31.2101741883,948500.0
2000-03-10,79.56,81.31,77.25,80.69,572200.0,0.0,1.0,31.1124102045,31.7967580911,30.2090709942,31.5543034113,572200.0
2000-03-13,80.69,80.69,77.81,79.75,693100.0,0.0,1.0,31.5543034113,31.5543034113,30.4280623179,31.1867108322,693100.0
2000-03-14,80.0,81.56,77.94,79.06,832600.0,0.0,1.0,31.284474816,31.8945220749,30.4788995895,30.9168822369,832600.0
2000-03-15,78.81,78.81,75.13,76.81,793600.0,0.0,1.0,30.8191182531,30.8191182531,29.3800324116,30.0370063827,793600.0
2000-03-16,77.0,77.56,75.0,75.56,1286100.0,0.0,1.0,30.1113070104,30.3302983341,29.32919514,29.5481864637,1286100.0
