Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,109.9,110.3,107.8,108.1,26538000.0,0.0,1.0,46.2300752366,46.3983375669,45.3466980028,45.4728947505,53076000.0
2000-01-04,105.5,107.0,101.8,102.0,25402800.0,0.0,1.0,44.3791896038,45.0101733423,42.822763049,42.9068942141,50805600.0
2000-01-05,100.1,105.7,97.25,102.8,34262000.0,0.0,1.0,42.1076481454,44.463320769,40.9087790424,43.2434188746,68524000.0
2000-01-06,100.8,101.9,98.63,100.0,24121300.0,0.0,1.0,42.4021072234,42.8648286316,41.4892840818,42.0655825629,48242600.0
2000-01-07,99.38,106.0,99.38,105.9,31130300.0,0.0,1.0,41.804775951,44.5895175167,41.804775951,44.5474519341,62260600.0
2000-01-10,108.5,110.0,106.1,109.8,25291500.0,0.0,1.0,45.6411570807,46.2721408192,44.6315830992,46.188009654,50583000.0
2000-01-11,108.1,109.6,105.0,106.5,21605100.0,0.0,1.0,45.4728947505,46.1038784889,44.168861691,44.7998454295,43210200.0
2000-01-12,106.9,107.5,103.5,103.8,20378900.0,0.0,1.0,44.9681077597,45.2205012551,43.5378779526,43.6640747003,40757800.0
2000-01-13,106.0,106.5,103.8,106.2,17247200.0,0.0,1.0,44.5895175167,44.7998454295,43.6640747003,44.6736486818,34494400.0
2000-01-14,108.3,109.3,105.0,107.6,21811500.0,0.0,1.0,45.5570259156,45.9776817412,44.168861691,45.2625668377,43623000.0
2000-01-18,107.5,112.5,107.3,112.0,29784300.0,0.0,1.0,45.2205012551,47.3237803832,45.13637009,47.1134524704,59568600.0
2000-01-19,111.7,113.0,109.1,112.3,22798500.0,0.0,1.0,46.9872557227,47.5341082961,45.8935505761,47.2396492181,45597000.0
2000-01-20,113.4,115.1,111.4,112.4,20865600.0,0.0,1.0,47.7023706263,48.4174855299,46.861058975,47.2817148007,41731200.0
2000-01-21,114.9,115.4,112.4,115.3,22487300.0,0.0,1.0,48.3333543648,48.5436822776,47.2817148007,48.501616695,44974600.0
2000-01-24,115.8,115.8,108.5,109.1,21893900.0,0.0,1.0,48.7119446078,48.7119446078,45.6411570807,45.8935505761,43787800.0
2000-01-25,108.5,112.9,107.1,112.1,27689900.0,0.0,1.0,45.6411570807,47.4920427135,45.0522389248,47.155518053,55379800.0
2000-01-26,111.4,111.8,107.0,107.2,17654400.0,0.0,1.0,46.861058975,47.0293213053,45.0101733423,45.0943045074,35308800.0
2000-01-27,108.8,110.6,103.8,106.6,23954300.0,0.0,1.0,45.7673538284,46.5245343145,43.6640747003,44.841911012,47908600.0
2000-01-28,106.6,109.4,103.0,103.9,24782200.0,0.0,1.0,44.841911012,46.0197473238,43.3275500398,43.7061402828,49564400.0
2000-01-31,102.9,109.6,100.0,109.5,33457300.0,0.0,1.0,43.2854844572,46.1038784889,42.0655825629,46.0618129064,66914600.0
2000-02-01,109.8,118.1,109.6,117.8,43631500.0,0.0,1.0,46.188009654,49.6794530068,46.1038784889,49.5532562591,87263000.0
2000-02-02,116.1,117.8,113.0,113.9,34224600.0,0.0,1.0,48.8381413555,49.5532562591,47.5341082961,47.9126985391,68449200.0
2000-02-03,114.9,118.6,114.5,117.8,24337600.0,0.0,1.0,48.3333543648,49.8897809196,48.1650920345,49.5532562591,48675200.0
2000-02-04,119.6,121.6,118.6,121.1,26485000.0,0.0,1.0,50.3104367452,51.1517483965,49.8897809196,50.9414204836,52970000.0
2000-02-07,124.1,125.4,122.6,125.2,24466700.0,0.0,1.0,52.2033879605,52.7502405339,51.5724042221,52.6661093687,48933400.0
2000-02-08,127.9,128.0,123.7,125.8,36050400.0,0.0,1.0,53.8018800979,53.8439456805,52.0351256303,52.9185028641,72100800.0
2000-02-09,133.3,135.0,126.4,128.8,53903800.0,0.0,1.0,56.0734215563,56.7885364599,53.1708963595,54.180470341,107807600.0
2000-02-10,130.6,136.3,128.6,135.9,32157000.0,0.0,1.0,54.9376508271,57.3353890332,54.0963391759,57.167126703,64314000.0
2000-02-11,133.1,133.6,128.1,130.9,37735500.0,0.0,1.0,55.9892903912,56.199618304,53.8860112631,55.0638475748,75471000.0
2000-02-14,132.9,132.9,126.9,130.5,24551900.0,0.0,1.0,55.9051592261,55.9051592261,53.3812242723,54.8955852446,49103800.0
2000-02-15,129.8,130.1,125.3,128.0,30683600.0,0.0,1.0,54.6011261666,54.7273229143,52.7081749513,53.8439456805,61367200.0
2000-02-16,127.9,129.5,126.8,127.2,23137000.0,0.0,1.0,53.8018800979,54.4749294189,53.3391586897,53.50742102,46274000.0
2000-02-17,128.9,130.6,127.6,130.5,19828300.0,0.0,1.0,54.2225359236,54.9376508271,53.6756833502,54.8955852446,39656600.0
2000-02-18,130.7,130.8,125.6,125.8,20800000.0,0.0,1.0,54.9797164097,55.0217819922,52.834371699,52.9185028641,41600000.0
