Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,75.38,77.75,75.0,77.56,1293700.0,0.0,1.0,14.1173476016,14.5612068987,14.0461802881,14.525623242,1293700.0
2000-01-04,76.56,78.31,75.56,75.56,1931400.0,0.0,1.0,14.3360314826,14.6637229024,14.1487792428,14.1487792428,1931400.0
2000-01-05,72.0,72.63,70.0,71.25,1940100.0,0.0,1.0,13.4864316143,13.604437891,13.1118085139,13.3459479517,1940100.0
2000-01-06,75.25,75.88,74.0,75.0,1975300.0,0.0,1.0,14.0928236187,14.2108100489,13.8587235585,14.0460036066,1975300.0
2000-01-07,74.75,74.75,73.75,74.25,816600.0,0.0,1.0,13.9957346703,13.9957346703,13.8085007617,13.902117716,816600.0
2000-01-10,79.75,82.5,78.31,81.75,2344700.0,0.0,1.0,14.9322417935,15.4471466829,14.6626188695,15.3067180767,2344700.0
2000-01-11,83.0,83.0,78.31,78.38,1820700.0,0.0,1.0,15.5434215881,15.5434215881,14.6651246333,14.6782335431,1820700.0
2000-01-12,78.5,78.88,76.63,77.0,672300.0,0.0,1.0,14.7038121696,14.7749898591,14.3535430134,14.4228476058,672300.0
2000-01-13,77.75,80.19,77.75,79.38,942300.0,0.0,1.0,14.5580257744,15.0148950078,14.5580257744,14.8632294016,942300.0
2000-01-14,78.63,80.81,78.63,80.06,611600.0,0.0,1.0,14.723766521,15.1319798113,14.723766521,14.9915394592,611600.0
2000-01-18,79.5,80.25,78.06,78.81,680100.0,0.0,1.0,14.8877961854,15.0282470928,14.6181304432,14.7585813506,680100.0
2000-01-19,77.38,84.88,77.38,83.75,1694000.0,0.0,1.0,14.4906750261,15.8951731224,14.4906750261,15.6835620759,1694000.0
2000-01-20,84.5,85.0,83.56,84.06,897400.0,0.0,1.0,15.8276435899,15.9212982857,15.6515727618,15.7452274576,897400.0
2000-01-21,85.19,86.88,84.69,85.69,1019900.0,0.0,1.0,15.9530703623,16.2695475182,15.8594380676,16.0467026569,1019900.0
2000-01-24,85.94,86.5,82.44,83.0,898200.0,0.0,1.0,16.0972121354,16.2021043718,15.441635658,15.5465278944,898200.0
2000-01-25,82.5,82.75,80.0,81.19,864300.0,0.0,1.0,15.4492579301,15.4960738632,14.9810985989,15.2039424405,864300.0
2000-01-26,82.69,82.69,81.13,81.13,514400.0,0.0,1.0,15.4842315676,15.4842315676,15.1921115864,15.1921115864,514400.0
2000-01-27,80.88,83.5,80.88,82.81,635500.0,0.0,1.0,15.1440427329,15.6346138502,15.1440427329,15.5054176399,635500.0
2000-01-28,82.0,82.13,77.63,77.88,752800.0,0.0,1.0,15.3537411968,15.3780824938,14.5354991355,14.5823093221,752800.0
