Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,40.0,40.19,36.94,37.81,3251500.0,0.0,1.0,16.6733326204,16.7525309503,15.3978226749,15.7604676594,6503000.0
2000-01-04,37.5,38.19,36.88,37.5,2833500.0,0.0,1.0,15.6312493316,15.9188643193,15.372812676,15.6312493316,5667000.0
2000-01-05,37.63,39.94,37.56,39.75,2847000.0,0.0,1.0,15.6854376626,16.6483226214,15.6562593305,16.5691242915,5694000.0
2000-01-06,39.38,39.38,36.19,36.75,3601600.0,0.0,1.0,16.4148959647,16.4148959647,15.0851976883,15.3186243449,7203200.0
2000-01-07,37.0,37.75,35.31,37.63,3483500.0,0.0,1.0,15.4228326738,15.7354576605,14.7183843706,15.6854376626,6967000.0
2000-01-10,39.38,39.94,36.38,37.56,4393200.0,0.0,1.0,16.4148959647,16.6483226214,15.1643960182,15.6562593305,8786400.0
2000-01-11,37.63,38.88,37.44,37.69,3254200.0,0.0,1.0,15.6854376626,16.206479307,15.6062393326,15.7104476615,6508400.0
2000-01-12,37.75,38.06,36.63,37.63,2311900.0,0.0,1.0,15.7354576605,15.8646759883,15.2686043471,15.6854376626,4623800.0
2000-01-13,37.63,37.69,36.56,36.88,2561500.0,0.0,1.0,15.6854376626,15.7104476615,15.239426015,15.372812676,5123000.0
2000-01-14,36.81,36.81,34.63,35.88,6575100.0,0.0,1.0,15.3436343439,15.3436343439,14.4349377161,14.9559793605,13150200.0
2000-01-18,35.63,36.44,35.38,36.0,2743500.0,0.0,1.0,14.8517710316,15.1894060171,14.7475627027,15.0059993583,5487000.0
2000-01-19,35.94,36.25,35.44,35.81,2135400.0,0.0,1.0,14.9809893594,15.1102076872,14.7725727016,14.9268010284,4270800.0
2000-01-20,35.5,35.56,32.63,33.72,4566000.0,0.058,1.0,14.8230352449,14.8480882623,13.6246659167,14.0797957313,9132000.0
2000-01-21,34.0,34.94,33.69,34.5,3956800.0,0.0,1.0,14.1967098121,14.5892070833,14.0672692226,14.4054849564,7913600.0
2000-01-24,34.75,35.19,34.06,34.44,3458800.0,0.0,1.0,14.5098725285,14.6935946555,14.2217628294,14.380431939,6917600.0
2000-01-25,34.5,34.94,33.94,34.0,1723500.0,0.0,1.0,14.4054849564,14.5892070833,14.1716567947,14.1967098121,3447000.0
2000-01-26,34.19,34.88,33.69,34.06,1706100.0,0.0,1.0,14.2760443669,14.564154066,14.0672692226,14.2217628294,3412200.0
2000-01-27,34.5,34.5,33.0,33.44,1392700.0,0.0,1.0,14.4054849564,14.4054849564,13.7791595235,13.9628816505,2785400.0
2000-01-28,33.63,35.75,33.19,34.81,2217200.0,0.0,1.0,14.0422162053,14.9274228171,13.8584940783,14.5349255458,4434400.0
2000-01-31,34.88,35.0,34.31,34.94,1682400.0,0.0,1.0,14.564154066,14.6142601007,14.3261504015,14.5892070833,3364800.0
2000-02-01,34.81,35.06,34.06,35.06,1696700.0,0.0,1.0,14.5349255458,14.639313118,14.2217628294,14.639313118,3393400.0
2000-02-02,35.5,37.63,35.31,36.75,3690000.0,0.0,1.0,14.8230352449,15.7124173596,14.7437006901,15.3449731057,7380000.0
2000-02-03,36.94,38.94,36.44,37.75,2287100.0,0.0,1.0,15.4243076605,16.2594082377,15.2155325162,15.7625233943,4574200.0
2000-02-04,37.5,37.5,36.31,36.5,2581100.0,0.0,1.0,15.6581358221,15.6581358221,15.1612509787,15.2405855335,5162200.0
2000-02-07,37.56,37.56,36.13,36.44,2418300.0,0.0,1.0,15.6831888394,15.6831888394,15.0860919268,15.2155325162,4836600.0
2000-02-08,39.0,40.88,37.5,40.0,7800100.0,0.0,1.0,16.284461255,17.0694557976,15.6581358221,16.7020115436,15600200.0
2000-02-09,40.0,40.0,38.81,39.0,4088800.0,0.0,1.0,16.7020115436,16.7020115436,16.2051267002,16.284461255,8177600.0
2000-02-10,40.75,41.5,40.0,40.63,4961600.0,0.0,1.0,17.01517426,17.3283369765,16.7020115436,16.9650682254,9923200.0
2000-02-11,40.69,40.69,39.56,39.63,2421600.0,0.0,1.0,16.9901212427,16.9901212427,16.5182894166,16.5475179368,4843200.0
2000-02-14,39.69,40.06,38.81,39.88,2232000.0,0.0,1.0,16.5725709541,16.7270645609,16.2051267002,16.651905509,4464000.0
2000-02-15,39.94,39.94,39.0,39.38,2277000.0,0.0,1.0,16.6769585263,16.6769585263,16.284461255,16.4431303647,4554000.0
2000-02-16,38.88,39.13,38.56,38.81,2508100.0,0.0,1.0,16.2343552204,16.3387427925,16.100739128,16.2051267002,5016200.0
2000-02-17,38.88,39.19,38.19,38.25,2381500.0,0.0,1.0,16.2343552204,16.3637958098,15.9462455213,15.9712985386,4763000.0
