Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,43.62,43.81,42.56,42.88,1345600.0,0.0,1.0,14.9563691412,15.0215160953,14.5929177132,14.7026388991,2691200.0
2000-01-04,42.5,43.0,42.44,42.81,1685300.0,0.0,1.0,14.5723449909,14.7437843437,14.5517722686,14.6786373897,3370600.0
2000-01-05,42.94,44.31,42.44,44.25,3106900.0,0.0,1.0,14.7232116214,15.1929554482,14.5517722686,15.1723827258,6213800.0
2000-01-06,44.63,46.88,44.44,46.06,3040700.0,0.0,1.0,15.302676634,16.0741537217,15.2375296799,15.7929931831,6081400.0
2000-01-07,46.06,47.44,45.69,46.0,2056500.0,0.0,1.0,15.7929931831,16.2661657969,15.666128062,15.7724204607,4113000.0
2000-01-10,46.0,47.44,45.69,46.94,1578300.0,0.0,1.0,15.7724204607,16.2661657969,15.666128062,16.0947264441,3156600.0
2000-01-11,46.44,47.38,46.38,46.94,1588200.0,0.0,1.0,15.9232870912,16.2455930746,15.9027143689,16.0947264441,3176400.0
2000-01-12,46.44,46.56,45.81,46.06,1506900.0,0.0,1.0,15.9232870912,15.9644325359,15.7072735067,15.7929931831,3013800.0
2000-01-13,46.31,47.06,45.81,46.25,1001400.0,0.0,1.0,15.8787128595,16.1358718887,15.7072735067,15.8581401372,2002800.0
2000-01-14,47.0,48.31,46.75,48.13,1494700.0,0.0,1.0,16.1152991664,16.5644702708,16.02957949,16.5027521038,2989400.0
2000-01-18,47.69,47.69,45.44,47.13,1520200.0,0.0,1.0,16.3518854733,16.3518854733,15.5804083856,16.1598733981,3040400.0
2000-01-19,47.0,47.81,45.38,46.38,1002000.0,0.0,1.0,16.1152991664,16.393030918,15.5598356632,15.9027143689,2004000.0
2000-01-20,46.63,46.75,45.13,45.56,1082300.0,0.0,1.0,15.9884340453,16.02957949,15.4741159868,15.6215538302,2164600.0
2000-01-21,45.56,45.56,43.81,44.19,1329800.0,0.0,1.0,15.6215538302,15.6215538302,15.0215160953,15.1518100035,2659600.0
2000-01-24,44.25,44.88,43.81,44.88,826700.0,0.0,1.0,15.1723827258,15.3883963104,15.0215160953,15.3883963104,1653400.0
2000-01-25,44.88,45.31,42.88,44.5,1540200.0,0.0,1.0,15.3883963104,15.5358341538,14.7026388991,15.2581024022,3080400.0
2000-01-26,44.63,46.06,44.56,45.63,1232600.0,0.0,1.0,15.302676634,15.7929931831,15.2786751246,15.6455553396,2465200.0
2000-01-27,45.75,46.0,45.25,45.81,733400.0,0.0,1.0,15.6867007843,15.7724204607,15.5152614315,15.7072735067,1466800.0
2000-01-28,45.38,45.44,44.0,44.75,1303000.0,0.0,1.0,15.5598356632,15.5804083856,15.0866630494,15.3438220787,2606000.0
2000-01-31,44.63,44.63,43.5,43.69,913200.0,0.0,1.0,15.302676634,15.302676634,14.9152236966,14.9803706506,1826400.0
2000-02-01,43.63,43.63,42.28,42.75,1569900.0,0.0,1.0,14.9597979283,14.9597979283,14.4969116757,14.6580646673,3139800.0
2000-02-02,43.75,44.5,42.56,42.63,1584300.0,0.0,1.0,15.000943373,15.2581024022,14.5929177132,14.6169192226,3168600.0
2000-02-03,42.69,43.0,40.38,41.25,2030000.0,0.0,1.0,14.637491945,14.7437843437,13.8454421349,14.1437466088,4060000.0
2000-02-04,40.5,41.0,39.81,40.88,1476800.0,0.0,1.0,13.8865875796,14.0580269324,13.6500012727,14.0168814877,2953600.0
2000-02-07,40.88,41.56,40.06,41.31,1008600.0,0.0,1.0,14.0168814877,14.2500390076,13.7357209491,14.1643193312,2017200.0
2000-02-08,41.75,41.81,36.25,40.06,5148000.0,0.0,1.0,14.3151859616,14.335758684,12.4293530805,13.7357209491,10296000.0
2000-02-09,40.19,41.0,39.63,40.0,2049300.0,0.0,1.0,13.7802951808,14.0580269324,13.5882831056,13.7151482267,4098600.0
2000-02-10,40.0,40.19,37.13,37.5,1201000.0,0.0,1.0,13.7151482267,13.7802951808,12.7310863415,12.8579514626,2402000.0
2000-02-11,37.88,37.88,35.94,36.19,1504500.0,0.0,1.0,12.9882453707,12.9882453707,12.3230606817,12.4087803581,3009000.0
2000-02-14,36.31,39.13,35.69,39.0,1558900.0,0.0,1.0,12.4499258028,13.4168437528,12.2373410053,13.3722695211,3117800.0
2000-02-15,40.0,41.13,39.63,40.44,1310800.0,0.0,1.0,13.7151482267,14.1026011641,13.5882831056,13.8660148572,2621600.0
2000-02-16,40.69,41.63,39.0,39.31,1368400.0,0.0,1.0,13.9517345336,14.274040517,13.3722695211,13.4785619198,2736800.0
2000-02-17,40.0,40.63,39.5,39.81,1014000.0,0.0,1.0,13.7151482267,13.9311618113,13.5437088739,13.6500012727,2028000.0
2000-02-18,39.56,40.38,38.0,38.5,587100.0,0.0,1.0,13.5642815962,13.8454421349,13.0293908154,13.2008301682,1174200.0
2000-02-22,38.25,40.5,38.0,40.0,943200.0,0.0,1.0,13.1151104918,13.8865875796,13.0293908154,13.7151482267,1886400.0
2000-02-23,39.5,39.88,38.25,38.5,654200.0,0.0,1.0,13.5437088739,13.674002782,13.1151104918,13.2008301682,1308400.0
2000-02-24,38.25,38.31,36.19,37.0,734600.0,0.0,1.0,13.1151104918,13.1356832142,12.4087803581,12.6865121097,1469200.0
2000-02-25,36.75,39.06,36.5,36.94,1123200.0,0.0,1.0,12.6007924333,13.3928422434,12.5150727569,12.6659393874,2246400.0
2000-02-28,36.69,37.44,36.56,36.94,911300.0,0.0,1.0,12.580219711,12.8373787402,12.5356454792,12.6659393874,1822600.0
2000-02-29,37.0,37.06,35.56,35.75,2050700.0,0.0,1.0,12.6865121097,12.7070848321,12.1927667736,12.2579137276,4101400.0
2000-03-01,35.88,37.25,34.81,37.0,1856300.0,0.0,1.0,12.3024879594,12.7722317861,11.9356077443,12.6865121097,3712600.0
2000-03-02,35.0,35.06,34.0,34.56,1790600.0,0.0,1.0,12.0007546984,12.0213274207,11.6578759927,11.8498880679,3581200.0
2000-03-03,34.44,35.5,33.94,34.88,2265400.0,0.0,1.0,11.8087426232,12.1721940512,11.6373032704,11.9596092537,4530800.0
2000-03-06,34.81,35.81,34.06,34.19,1241700.0,0.0,1.0,11.9356077443,12.27848645,11.6784487151,11.7230229468,2483400.0
2000-03-07,34.19,34.19,30.31,30.38,3196500.0,0.0,1.0,11.7230229468,11.7230229468,10.3926535688,10.4166550782,6393000.0
2000-03-08,31.0,35.25,31.0,35.25,2891100.0,0.0,1.0,10.6292398757,12.0864743748,10.6292398757,12.0864743748,5782200.0
2000-03-09,35.5,35.69,34.88,35.69,1917700.0,0.0,1.0,12.1721940512,12.2373410053,11.9596092537,12.2373410053,3835400.0
2000-03-10,35.94,36.44,35.06,35.5,660500.0,0.0,1.0,12.3230606817,12.4945000346,12.0213274207,12.1721940512,1321000.0
2000-03-13,35.56,35.69,34.31,35.31,762900.0,0.0,1.0,12.1927667736,12.2373410053,11.7641683915,12.1070470971,1525800.0
2000-03-14,35.94,36.13,34.5,34.56,1073700.0,0.0,1.0,12.3230606817,12.3882076358,11.8293153456,11.8498880679,2147400.0
2000-03-15,34.56,40.0,34.19,37.5,2381700.0,0.0,1.0,11.8498880679,13.7151482267,11.7230229468,12.8579514626,4763400.0
2000-03-16,38.0,41.5,38.0,39.5,1897400.0,0.0,1.0,13.0293908154,14.2294662852,13.0293908154,13.5437088739,3794800.0
2000-03-17,39.5,39.88,37.88,38.19,1376800.0,0.0,1.0,13.5437088739,13.674002782,12.9882453707,13.0945377695,2753600.0
