Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,29.13,29.88,29.06,29.88,8404800.0,0.0,1.0,23.2074121932,23.8049253805,23.1516442957,23.8049253805,8404800.0
2000-01-04,30.06,31.88,30.0,31.63,16056100.0,0.0,1.0,23.9482979443,25.3982614259,23.9004969504,25.199090618,16056100.0
2000-01-05,32.13,33.0,31.63,32.75,19829900.0,0.0,1.0,25.5939264188,26.2869459017,25.1956393597,26.0878023722,19829900.0
2000-01-06,33.0,33.13,31.63,31.63,7905600.0,0.0,1.0,26.2905466454,26.3941154655,25.199090618,25.199090618,7905600.0
2000-01-07,32.0,32.13,30.81,31.13,6775600.0,0.0,1.0,25.4899187081,25.5934715029,24.5420123561,24.7969115432,6775600.0
2000-01-10,35.0,35.94,34.0,35.88,33976400.0,0.0,1.0,27.8825008053,28.6313451127,27.0858579252,28.5835465399,33976400.0
2000-01-11,35.56,36.75,35.25,36.25,20141000.0,0.0,1.0,28.3240481657,29.2719001713,28.0771287357,28.8736430261,20141000.0
2000-01-12,35.88,35.94,33.31,33.69,13105000.0,0.0,1.0,28.5796897885,28.6274819119,26.5325938365,26.8352772847,13105000.0
2000-01-13,34.44,35.0,33.81,34.81,8735100.0,0.0,1.0,27.4347259427,27.8808190474,26.9328711998,27.7294660297,8735100.0
2000-01-14,34.81,35.0,33.44,33.56,8154000.0,0.0,1.0,27.7350728305,27.8864564512,26.6435172494,26.7391279572,8154000.0
2000-01-18,33.75,34.81,33.06,34.5,8104200.0,0.0,1.0,26.8820978267,27.7263948251,26.3325082711,27.4794777784,8104200.0
2000-01-19,34.31,34.94,34.06,34.75,6553300.0,0.0,1.0,27.3308931732,27.8327428584,27.1317464727,27.681391366,6553300.0
2000-01-20,35.0,35.44,33.44,33.63,7214300.0,0.0,1.0,27.8784445951,28.22891647,26.6358624931,26.7872026209,7214300.0
2000-01-21,33.56,33.63,32.69,32.75,8286700.0,0.0,1.0,26.7304759857,26.7862308522,26.0375226452,26.0853125307,8286700.0
2000-01-24,33.0,34.0,32.38,33.31,8345600.0,0.0,1.0,26.2902453977,27.0869195007,25.7963074539,26.5372143696,8345600.0
2000-01-25,38.0,38.0,36.5,37.5,29920500.0,0.0,1.0,30.2719106451,30.2719106451,29.0769668038,29.8735960313,29920500.0
2000-01-26,37.44,37.44,36.38,36.63,10403900.0,0.0,1.0,29.8167805197,29.8167805197,28.972608849,29.1717059411,10403900.0
2000-01-27,36.88,37.63,36.63,37.13,9821500.0,0.0,1.0,29.3763980967,29.9738031556,29.177263077,29.5755331163,9821500.0
2000-01-28,36.81,37.5,36.44,36.75,7503200.0,0.0,1.0,29.3252701526,29.8749695931,29.030503786,29.2774702013,7503200.0
2000-01-31,36.06,36.44,35.81,36.31,7911500.0,0.0,1.0,28.7321358956,29.0349149206,28.5329391686,28.9313326226,7911500.0
2000-02-01,36.0,36.44,35.94,36.0,7239400.0,0.0,1.0,28.6813443712,29.0318941358,28.6335421306,28.6813443712,7239400.0
2000-02-02,35.94,37.94,35.81,37.25,9414200.0,0.0,1.0,28.628195088,30.2213055548,28.5246429077,29.6716824437,9414200.0
2000-02-03,37.63,38.5,37.56,37.88,10911500.0,0.0,1.0,29.9725323694,30.6654928573,29.9167769278,30.1716589463,10911500.0
2000-02-04,38.0,38.25,37.06,38.13,6274900.0,0.0,1.0,30.2700172119,30.469162062,29.5212325756,30.3735725339,6274900.0
2000-02-07,38.0,38.44,37.56,38.0,6155400.0,0.0,1.0,30.2678082738,30.6182776327,29.9173389148,30.2678082738,6155400.0
2000-02-08,37.63,37.94,37.0,37.56,5782000.0,0.0,1.0,29.977435257,30.224392603,29.4755541991,29.921670695,5782000.0
2000-02-09,37.31,39.0,37.13,37.69,6160200.0,0.0,1.0,29.7246908511,31.0711054193,29.5812857492,30.0274349552,6160200.0
2000-02-10,36.88,37.88,36.88,36.94,5677600.0,0.0,1.0,29.3739058424,30.1703783435,29.3739058424,29.4216941924,5677600.0
2000-02-11,37.06,38.63,36.81,37.88,7249200.0,0.0,1.0,29.5185237738,30.7690386773,29.3193971968,30.1716589463,7249200.0
2000-02-14,37.0,37.38,36.63,37.0,5203200.0,0.0,1.0,29.4793837889,29.7821450278,29.184589951,29.4793837889,5203200.0
2000-02-15,36.56,37.19,35.38,36.88,7084900.0,0.0,1.0,29.1187508126,29.6205235974,28.1789224221,29.3736195287,7084900.0
2000-02-16,36.56,37.25,36.56,36.94,4476600.0,0.0,1.0,29.119034642,29.6686006678,29.119034642,29.4216941924,4476600.0
2000-02-17,36.69,36.88,35.69,36.5,4757700.0,0.0,1.0,29.2269088262,29.3782610387,28.430318234,29.0755566137,4757700.0
2000-02-18,36.38,36.38,35.31,35.5,6495800.0,0.0,1.0,28.9784810026,28.9784810026,28.1261727378,28.2775171961,6495800.0
2000-02-22,35.31,35.44,32.63,33.38,12748100.0,0.0,1.0,28.1224252776,28.2259629521,25.9879562959,26.5852890334,12748100.0
2000-02-23,33.5,34.63,32.63,34.13,8374300.0,0.0,1.0,26.6796776421,27.5796190073,25.9868024317,27.1814148634,8374300.0
2000-02-24,34.0,34.06,32.44,33.19,8341200.0,0.0,1.0,27.0863576811,27.1341571358,25.8435718581,26.4410650422,8341200.0
2000-02-25,32.88,33.06,31.0,31.0,8443200.0,0.0,1.0,26.1885458925,26.3319138444,24.6911472831,24.6911472831,8443200.0
2000-02-28,32.31,32.94,32.0,32.75,7946100.0,0.0,1.0,25.73485337,26.2366471683,25.4879389613,26.0853125307,7946100.0
2000-02-29,32.5,34.0,32.25,34.0,5508100.0,0.0,1.0,25.8903273506,27.085265536,25.6911709863,27.085265536,5508100.0
2000-03-01,33.81,34.75,33.19,34.69,7252600.0,0.0,1.0,26.9323274057,27.6811114271,26.4384485831,27.6333167023,7252600.0
2000-03-02,34.44,34.63,33.81,34.5,6590200.0,0.0,1.0,27.4316873823,27.5830236367,26.9298882228,27.4794777784,6590200.0
2000-03-03,36.38,36.5,34.88,36.5,14564200.0,0.0,1.0,28.9799657426,29.0755566137,27.7850798544,29.0755566137,14564200.0
2000-03-06,35.88,36.75,35.56,36.0,7343200.0,0.0,1.0,28.58573989,29.278872379,28.3307946067,28.6813443712,7343200.0
2000-03-07,36.38,36.38,35.44,36.0,7590400.0,0.0,1.0,28.9840918952,28.9840918952,28.2351901255,28.6813443712,7590400.0
2000-03-08,35.88,35.94,34.88,34.94,6296500.0,0.0,1.0,28.5840888037,28.6318882833,27.7874308103,27.8352302899,6296500.0
2000-03-09,35.13,36.25,34.63,36.25,5624700.0,0.0,1.0,27.9815470209,28.8736430261,27.5832898757,28.8736430261,5624700.0
2000-03-10,35.5,35.75,34.69,35.13,7064100.0,0.0,1.0,28.2741425271,28.4732562069,27.6290142046,27.979454281,7064100.0
2000-03-13,33.13,35.5,33.0,34.94,5249000.0,0.0,1.0,26.3932793218,28.2813587662,26.2897137827,27.8352302899,5249000.0
2000-03-14,34.75,34.75,33.81,34.13,5591200.0,0.0,1.0,27.6751880018,27.6751880018,26.9265642113,27.1814148634,5591200.0
2000-03-15,34.0,34.94,33.63,34.81,6645000.0,0.0,1.0,27.0842242175,27.8330233576,26.7894841304,27.7294660297,6645000.0
2000-03-16,35.0,35.5,33.75,35.31,8337700.0,0.0,1.0,27.8863002598,28.2846759778,26.8903609648,28.1332932049,8337700.0
2000-03-17,34.75,36.94,34.56,36.81,8756300.0,0.0,1.0,27.6843978283,29.4291123964,27.5330298977,29.325544865,8756300.0
2000-03-20,37.81,39.5,37.69,39.44,16990800.0,0.0,1.0,30.122989444,31.4694018259,30.0273861979,31.4216002029,16990800.0
2000-03-21,39.5,40.06,38.63,39.19,13366200.0,0.0,1.0,31.4666399925,31.9127493189,30.7735772888,31.2196866153,13366200.0
2000-03-22,39.94,41.44,39.75,40.5,13730100.0,0.0,1.0,31.8215434201,33.0166439491,31.6701640197,32.2677142842,13730100.0
2000-03-23,39.88,41.94,39.81,41.56,8166300.0,0.0,1.0,31.7752520505,33.4166015797,31.7194780374,33.1138283656,8166300.0
2000-03-24,41.56,41.75,41.06,41.44,6632400.0,0.0,1.0,33.1036473026,33.2549873649,32.7053839809,33.0080641054,6632400.0
2000-03-27,41.5,42.19,40.0,41.75,5799400.0,0.0,1.0,33.0589023426,33.6085563816,31.8640022579,33.2580523567,5799400.0
2000-03-28,41.25,42.5,40.63,40.94,7594900.0,0.0,1.0,32.8608057975,33.8565877913,32.3668979285,32.613851863,7594900.0
2000-03-29,41.0,41.19,40.25,40.81,5164000.0,0.0,1.0,32.6594362096,32.8107848165,32.0620074985,32.5080876028,5164000.0
2000-03-30,40.0,41.0,39.75,40.25,5420300.0,0.0,1.0,31.8666342327,32.6633000885,31.6674677687,32.0658006966,5420300.0
2000-03-31,41.5,41.5,40.25,41.25,5359900.0,0.0,1.0,33.0630149029,33.0630149029,32.06714096,32.8638401143,5359900.0
2000-04-03,41.44,41.88,41.06,41.81,4872100.0,0.0,1.0,33.0113825335,33.3618894909,32.7086719794,33.3061270204,4872100.0
2000-04-04,41.75,41.94,38.38,41.13,7052100.0,0.0,1.0,33.2518761709,33.4032020744,30.5678325135,32.7580758541,7052100.0
2000-04-05,40.13,40.75,39.25,40.0,5141700.0,0.0,1.0,31.9674447422,32.4613349923,31.2664392258,31.8638871091,5141700.0
2000-04-06,40.38,41.25,40.0,40.44,3616600.0,0.0,1.0,32.1622353336,32.8551809686,31.8595694241,32.2100246878,3616600.0
2000-04-07,40.94,41.38,40.5,41.0,3299000.0,0.0,1.0,32.6141285854,32.9646468213,32.2636103495,32.6619265267,3299000.0
2000-04-10,40.75,41.38,40.31,41.31,3666700.0,0.0,1.0,32.4657595547,32.9676841809,32.1152090221,32.911914778,3666700.0
2000-04-11,41.94,42.5,41.75,42.5,6925500.0,0.0,1.0,33.4080996036,33.8541781868,33.2567515129,33.8541781868,6925500.0
2000-04-12,42.63,43.63,40.0,40.06,8416900.0,0.0,1.0,33.9592344077,34.7558385458,31.8641655245,31.9119617728,8416900.0
2000-04-13,40.75,40.75,39.25,39.25,5080000.0,0.0,1.0,32.4627075699,32.4627075699,31.267761279,31.267761279,5080000.0
2000-04-14,38.75,39.5,37.69,38.88,8250800.0,0.0,1.0,30.8740882841,31.4716512832,30.0295325788,30.9776658706,8250800.0
2000-04-17,37.5,38.75,37.06,38.75,6539200.0,0.0,1.0,29.8776280999,30.8735490366,29.5270639302,30.8735490366,6539200.0
2000-04-18,38.5,39.75,38.0,39.5,4276800.0,0.0,1.0,30.6729742371,31.668850024,30.2746239223,31.4696748666,4276800.0
2000-04-19,40.69,41.5,40.0,40.94,8581800.0,0.0,1.0,32.4146954642,33.0599621962,31.8650238036,32.613851863,8581800.0
2000-04-20,41.13,42.5,40.81,42.25,5440500.0,0.0,1.0,32.7695409502,33.861062251,32.5145870698,33.6618795319,5440500.0
2000-04-24,41.13,41.44,40.13,40.25,3845300.0,0.0,1.0,32.7668666498,33.0138330651,31.9702007939,32.0658006966,3845300.0
2000-04-25,40.56,40.56,39.69,40.5,3750500.0,0.0,1.0,32.3155183054,32.3155183054,31.6223599986,32.2677142842,3750500.0
2000-04-26,41.0,42.5,40.75,42.38,6004500.0,0.0,1.0,32.6587820489,33.8536155385,32.459643134,33.7580288593,6004500.0
2000-04-27,41.0,42.25,40.88,41.63,4676200.0,0.0,1.0,32.6600534279,33.6557867641,32.5644630276,33.1619030293,4676200.0
2000-04-28,42.5,43.63,42.25,43.63,11734900.0,0.0,1.0,33.8561576021,34.7563330866,33.6570037338,34.7563330866,11734900.0
2000-05-01,43.56,43.88,42.0,42.0,8921900.0,0.0,1.0,34.7027646794,34.9576977533,33.4599659443,33.4599659443,8921900.0
2000-05-02,41.5,43.06,40.31,43.0,9299400.0,0.0,1.0,33.0629586633,34.3058072299,32.1148882823,34.258005362,9299400.0
2000-05-03,41.06,42.0,39.63,41.25,6515700.0,0.0,1.0,32.712467275,33.46136448,31.5731874843,32.8638401143,6515700.0
2000-05-04,41.88,41.94,39.38,39.69,7129600.0,0.0,1.0,33.3582787645,33.4060699948,31.3669775011,31.6138988577,7129600.0
2000-05-05,39.63,40.44,39.25,39.56,3472400.0,0.0,1.0,31.5735190568,32.2188521488,31.2707701988,31.5177495303,3472400.0
