Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,29.25,29.44,28.75,28.81,1021800.0,0.0,1.0,12.1003253448,12.1789257488,11.8934821765,11.9183033567,1021800.0
2000-01-04,28.75,28.94,27.75,27.88,848400.0,0.0,1.0,11.8841733886,11.9627122736,11.470810836,11.5245479678,848400.0
2000-01-05,27.81,28.0,27.13,27.38,963000.0,0.0,1.0,11.500692827,11.5792664206,11.2194820711,11.3228683784,963000.0
2000-01-06,27.5,27.75,27.38,27.5,1613600.0,0.0,1.0,11.3708873283,11.4742590312,11.3212689108,11.3708873283,1613600.0
2000-01-07,28.0,28.38,27.94,28.13,2096600.0,0.0,1.0,11.5805586917,11.7377234168,11.5557432088,11.6343255713,2096600.0
2000-01-10,28.13,28.31,28.0,28.19,726200.0,0.0,1.0,11.6341858426,11.7086313972,11.5804196087,11.6590010274,726200.0
2000-01-11,28.19,28.69,28.19,28.5,1247400.0,0.0,1.0,11.6556750833,11.8624092991,11.6556750833,11.7838502971,1247400.0
2000-01-12,28.38,28.69,28.25,28.31,1294800.0,0.0,1.0,11.7359670419,11.8641611851,11.6822082077,11.7070199773,1294800.0
2000-01-13,28.5,29.06,28.44,28.75,713800.0,0.0,1.0,11.7861051,12.0176917265,11.7612922471,11.8894919868,713800.0
2000-01-14,28.75,29.0,28.5,28.5,556800.0,0.0,1.0,11.887217405,11.9905845128,11.7838502971,11.7838502971,556800.0
2000-01-18,28.25,28.25,27.75,27.75,604600.0,0.0,1.0,11.6833133246,11.6833133246,11.476529018,11.476529018,604600.0
2000-01-19,27.75,29.13,27.75,28.31,863000.0,0.0,1.0,11.4754434606,12.0461141625,11.4754434606,11.7070199773,863000.0
2000-01-20,28.31,28.31,28.0,28.0,777800.0,0.0,1.0,11.7104018834,11.7104018834,11.5821707077,11.5821707077,777800.0
2000-01-21,28.13,28.44,27.88,28.06,1477000.0,0.0,1.0,11.630319716,11.7584888988,11.5269574718,11.6013782876,1477000.0
2000-01-24,28.13,28.31,27.75,27.75,1250800.0,0.0,1.0,11.633685091,11.7081274414,11.476529018,11.476529018,1250800.0
2000-01-25,27.75,27.94,27.0,27.13,1941800.0,0.0,1.0,11.4778038573,11.5563906225,11.1675929423,11.2213628342,1941800.0
2000-01-26,27.0,27.0,25.81,25.81,1562200.0,0.0,1.0,11.161754662,11.161754662,10.6698106602,10.6698106602,1562200.0
2000-01-27,25.94,26.31,25.56,26.13,1412600.0,0.0,1.0,10.72980861,10.8828552247,10.5726256003,10.8084001148,1412600.0
2000-01-28,25.88,25.94,25.5,25.56,1197400.0,0.0,1.0,10.7061517622,10.730972825,10.5489516977,10.5737727605,1197400.0
2000-01-31,25.56,25.56,25.13,25.19,1374400.0,0.0,1.0,10.5731665665,10.5731665665,10.3952924811,10.4201121209,1374400.0
2000-02-01,25.19,26.19,25.19,26.0,1133000.0,0.0,1.0,10.4211463752,10.8348480971,10.4211463752,10.75624477,1133000.0
2000-02-02,25.94,26.19,25.81,25.94,719400.0,0.0,1.0,10.7274334,10.8308203835,10.6736721687,10.7274334,719400.0
2000-02-03,26.0,26.63,25.88,26.13,994200.0,0.0,1.0,10.7546269799,11.0152198644,10.70499024,10.8084001148,994200.0
2000-02-04,26.0,26.19,26.0,26.0,1587400.0,0.0,1.0,10.75624477,10.8348480971,10.75624477,10.75624477,1587400.0
2000-02-07,26.0,26.31,26.0,26.19,573000.0,0.0,1.0,10.7544846252,10.8827111726,10.7544846252,10.8330750898,573000.0
2000-02-08,26.19,26.88,26.19,26.5,901400.0,0.0,1.0,10.8297373197,11.1150568597,10.8297373197,10.9579243594,901400.0
2000-02-09,26.5,26.5,26.13,26.13,1431800.0,0.0,1.0,10.9614467295,10.9614467295,10.8084001148,10.8084001148,1431800.0
2000-02-10,26.13,26.25,25.19,25.63,1462200.0,0.0,1.0,10.8038476306,10.8534634635,10.4151902723,10.5971149932,1462200.0
2000-02-11,25.5,25.56,24.69,25.19,3325600.0,0.0,1.0,10.5483469267,10.5731665665,10.213281789,10.4201121209,3325600.0
2000-02-14,25.13,26.25,25.13,26.25,1730000.0,0.0,1.0,10.3892519425,10.8522826697,10.3892519425,10.8522826697,1730000.0
2000-02-15,28.5,28.5,26.81,27.19,2092000.0,0.0,1.0,11.787866299,11.787866299,11.0888665079,11.2460380586,2092000.0
2000-02-16,26.94,27.06,26.44,26.75,2229600.0,0.0,1.0,11.2195244179,11.2695000277,11.01129271,11.1403963689,2229600.0
2000-02-17,26.63,27.5,26.63,27.25,3514000.0,0.0,1.0,11.0840177163,11.4461317011,11.0840177163,11.3420759583,3514000.0
2000-02-18,27.25,27.88,27.0,27.13,1694400.0,0.0,1.0,11.3481951873,11.6105571311,11.2440833049,11.2982214838,1694400.0
2000-02-22,26.75,27.63,26.63,27.44,875000.0,0.0,1.0,11.1411313528,11.5076433375,11.0911524458,11.4285100681,875000.0
2000-02-23,27.63,27.88,27.06,27.25,4051800.0,0.0,1.0,11.5002406873,11.60429643,11.2629935939,11.3420759583,4051800.0
2000-02-24,27.25,27.31,26.94,27.13,932400.0,0.0,1.0,11.3481951873,11.3731820391,11.2190964531,11.2982214838,932400.0
2000-02-25,27.13,27.38,26.69,26.75,1386600.0,0.0,1.0,11.2986524668,11.4027683208,11.115408564,11.1403963689,1386600.0
2000-02-28,26.75,26.88,26.31,26.56,817600.0,0.0,1.0,11.1427105352,11.1968620256,10.9594285675,11.0635660491,817600.0
2000-02-29,26.31,26.38,25.88,26.19,1885600.0,0.0,1.0,10.9502457278,10.9793797909,10.77127934,10.9003016196,1885600.0
2000-03-01,26.06,26.5,25.94,26.5,864600.0,0.0,1.0,10.8515361109,11.0347546792,10.8015674105,11.0347546792,864600.0
2000-03-02,26.38,26.44,26.0,26.06,1007000.0,0.0,1.0,10.9855417048,11.0105277739,10.8272966006,10.8522826697,1007000.0
2000-03-03,26.06,26.81,26.0,26.44,750200.0,0.0,1.0,10.8477640938,11.1599599138,10.8227884282,11.0059433093,750200.0
2000-03-06,26.44,26.63,26.0,26.06,548200.0,0.0,1.0,11.0105277739,11.0896503259,10.8272966006,10.8522826697,548200.0
2000-03-07,25.88,26.13,25.5,25.69,633800.0,0.0,1.0,10.7777476894,10.8818603989,10.6194963709,10.6986220301,633800.0
2000-03-08,25.69,26.38,25.56,25.75,811000.0,0.0,1.0,10.6928560265,10.9800522374,10.6387465955,10.7178296101,811000.0
2000-03-09,26.0,26.69,25.81,26.56,923200.0,0.0,1.0,10.8302980902,11.1177175396,10.7511536042,11.0635660491,923200.0
2000-03-10,26.81,26.81,26.0,26.25,604400.0,0.0,1.0,11.1622673999,11.1622673999,10.8250261991,10.9291129895,604400.0
2000-03-13,26.5,28.0,26.38,26.88,1164400.0,0.0,1.0,11.030245757,11.6545992904,10.9802974743,11.1884153188,1164400.0
2000-03-14,27.44,28.0,27.06,27.44,860200.0,0.0,1.0,11.4285100681,11.6617449674,11.2702435292,11.4285100681,860200.0
2000-03-15,27.44,29.0,27.06,28.75,1028000.0,0.0,1.0,11.4210742293,12.0703772832,11.2629106649,11.9663223066,1028000.0
2000-03-16,28.75,29.31,28.56,29.06,2121000.0,0.0,1.0,11.9716893248,12.2048770125,11.8925720736,12.1007753662,2121000.0
2000-03-17,29.0,29.13,28.31,28.69,1204400.0,0.0,1.0,12.076205196,12.1303399089,11.7888747965,11.9471147266,1204400.0
2000-03-20,28.63,29.19,28.31,28.69,921000.0,0.0,1.0,11.9221294745,12.1553251611,11.7888747965,11.9471147266,921000.0
2000-03-21,28.56,28.94,28.5,28.69,1031400.0,0.0,1.0,11.8929800137,12.0512199438,11.8679947616,11.9471147266,1031400.0
2000-03-22,28.75,29.63,28.75,29.56,1603600.0,0.0,1.0,11.9746850114,12.3412145004,11.9746850114,12.3120587456,1603600.0
2000-03-23,29.94,30.5,29.63,30.0,894800.0,0.0,1.0,12.4695416936,12.7027729344,12.3404315425,12.4945307551,894800.0
2000-03-24,30.44,30.5,29.75,29.88,1814600.0,0.0,1.0,12.6699959834,12.6949696943,12.3827983084,12.4369080153,1814600.0
2000-03-27,30.0,30.25,29.88,29.88,589800.0,0.0,1.0,12.486855437,12.5909125657,12.4369080153,12.4369080153,589800.0
2000-03-28,29.88,30.13,29.31,29.5,576600.0,0.0,1.0,12.4414722572,12.5455675739,12.204134935,12.2832473757,576600.0
2000-03-29,29.38,29.56,28.19,28.69,828400.0,0.0,1.0,12.2344451261,12.3094008825,11.7389042922,11.9471147266,828400.0
2000-03-30,28.56,28.69,28.38,28.44,1074200.0,0.0,1.0,11.8914370582,11.9455647479,11.8164910263,11.8414730369,1074200.0
