Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,30.44,30.44,28.19,28.94,647000.0,0.0,1.0,16.0922215353,16.0922215353,14.9027504954,15.299240842,647000.0
2000-01-04,27.5,28.69,27.38,27.5,1361800.0,0.0,1.0,14.5424217897,15.1717120417,14.4789639492,14.5424217897,1361800.0
2000-01-05,27.25,28.13,27.13,27.5,544000.0,0.0,1.0,14.4066329824,14.8718747081,14.3431909289,14.5388039272,544000.0
2000-01-06,27.88,29.94,27.63,29.69,1120700.0,0.0,1.0,14.7443791656,15.8338132073,14.6121662965,15.7016003382,1120700.0
2000-01-07,29.69,31.38,29.69,30.69,1597600.0,0.0,1.0,15.6997118101,16.5933633075,15.6997118101,16.2284996784,1597600.0
2000-01-10,30.13,30.19,28.44,29.0,995300.0,0.0,1.0,15.9351967836,15.966929668,15.0413872063,15.337560794,995300.0
2000-01-11,29.5,30.63,29.0,30.38,1200600.0,0.0,1.0,15.6002757251,16.1978456088,15.3358642721,16.0656398823,1200600.0
2000-01-12,29.5,30.56,28.56,28.56,753100.0,0.0,1.0,15.6048813696,16.1655991409,15.1076410819,15.1076410819,753100.0
2000-01-13,28.75,30.19,28.75,29.75,745000.0,0.0,1.0,15.2015893677,15.9629907134,15.2015893677,15.7303403022,745000.0
2000-01-14,30.0,31.06,29.69,30.63,979900.0,0.0,1.0,15.8717436783,16.4325452883,15.7077356603,16.2050502956,979900.0
2000-01-18,31.25,32.94,31.06,32.88,1102700.0,0.0,1.0,16.5256978281,17.4194075667,16.4252215853,17.3876782268,1102700.0
2000-01-19,33.0,33.19,32.13,32.88,1284900.0,0.0,1.0,17.4511369065,17.5516131493,16.991061479,17.3876782268,1284900.0
2000-01-20,32.5,32.63,31.5,32.06,675100.0,0.0,1.0,17.189295381,17.2580525626,16.6603939847,16.9565787667,675100.0
2000-01-21,32.13,33.31,31.25,31.63,1778300.0,0.0,1.0,16.996443878,17.6206519009,16.5309328101,16.7319489531,1778300.0
2000-01-24,31.88,31.88,29.81,30.06,1010900.0,0.0,1.0,16.855463045,16.855463045,15.761021122,15.8932000982,1010900.0
2000-01-25,30.13,30.75,29.38,29.88,1004500.0,0.0,1.0,15.9295739148,16.2573646824,15.533052825,15.7974002182,1004500.0
2000-01-26,30.06,30.44,29.06,29.19,860400.0,0.0,1.0,15.8933477856,16.0942616964,15.3646269677,15.4333606741,860400.0
2000-01-27,29.25,29.88,27.56,28.38,1362900.0,0.0,1.0,15.4621613991,15.7951925677,14.5687920738,15.0022612139,1362900.0
2000-01-28,27.63,28.81,27.63,27.75,602300.0,0.125,1.0,14.679845423,15.3067805515,14.679845423,14.7436015378,602300.0
2000-01-31,27.69,28.25,27.06,27.81,1091400.0,0.0,1.0,14.7085989279,15.0060642728,14.3739504149,14.7723415018,1091400.0
2000-02-01,28.13,29.0,28.13,28.75,608800.0,0.0,1.0,14.9411892069,15.4032878422,14.9411892069,15.270500878,608800.0
2000-02-02,29.44,29.75,28.44,28.5,755200.0,0.0,1.0,15.6388520904,15.8035275031,15.1076410819,15.1395137424,755200.0
2000-02-03,28.75,28.75,27.44,27.75,945400.0,0.0,1.0,15.2749024941,15.2749024941,14.5788982413,14.7436015378,945400.0
2000-02-04,27.75,28.25,27.5,27.75,736000.0,0.0,1.0,14.7436015378,15.0092520159,14.6107762987,14.7436015378,736000.0
