Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,44.75,44.94,43.63,43.88,589900.0,0.0,1.0,26.5750943911,26.6879271941,25.9099747103,26.0584389248,589900.0
2000-01-04,43.88,44.0,42.94,43.06,326500.0,0.0,1.0,26.0584389248,26.1297017477,25.5002134783,25.5714763013,326500.0
2000-01-05,42.94,43.69,42.94,43.31,751900.0,0.0,1.0,25.5002134783,25.9456061218,25.5002134783,25.7199405158,751900.0
2000-01-06,43.0,44.25,43.0,43.44,802500.0,0.0,1.0,25.5358448898,26.2781659622,25.5358448898,25.7971419073,802500.0
2000-01-07,43.5,44.75,43.31,44.63,1407300.0,0.0,1.0,25.8327733188,26.5750943911,25.7199405158,26.5038315682,1407300.0
2000-01-10,44.75,45.81,44.75,45.56,709500.0,0.0,1.0,26.5750943911,27.2045826605,26.5750943911,27.056118446,709500.0
2000-01-11,45.44,46.56,45.13,45.75,535900.0,0.0,1.0,26.9848556231,27.6499753039,26.8007599971,27.168951249,535900.0
2000-01-12,45.75,46.5,45.5,46.19,337700.0,0.0,1.0,27.168951249,27.6143438925,27.0204870346,27.4302482665,337700.0
2000-01-13,46.19,46.44,45.69,45.69,380900.0,0.0,1.0,27.4302482665,27.578712481,27.1333198376,27.1333198376,380900.0
2000-01-14,45.44,45.94,45.13,45.31,784300.0,0.0,1.0,26.9848556231,27.281784052,26.8007599971,26.9076542316,784300.0
2000-01-18,45.44,46.13,45.25,45.75,1255900.0,0.0,1.0,26.9848556231,27.394616855,26.8720228201,27.168951249,1255900.0
2000-01-19,45.88,46.31,45.69,45.81,1241800.0,0.0,1.0,27.2461526406,27.5015110895,27.1333198376,27.2045826605,1241800.0
2000-01-20,46.5,47.0,44.69,44.75,1280500.0,0.0,1.0,27.6143438925,27.9112723214,26.5394629797,26.5750943911,1280500.0
2000-01-21,45.25,45.31,43.88,44.38,670500.0,0.0,1.0,26.8720228201,26.9076542316,26.0584389248,26.3553673537,670500.0
2000-01-24,44.5,44.88,42.88,43.31,665600.0,0.0,1.0,26.4266301767,26.6522957827,25.4645820669,25.7199405158,665600.0
2000-01-25,43.19,43.69,42.0,43.31,854900.0,0.0,1.0,25.6486776928,25.9456061218,24.9419880319,25.7199405158,854900.0
2000-01-26,43.44,43.63,42.25,42.88,662900.0,0.0,1.0,25.7971419073,25.9099747103,25.0904522464,25.4645820669,662900.0
2000-01-27,43.13,43.19,41.81,42.06,497400.0,0.0,1.0,25.6130462813,25.6486776928,24.8291552289,24.9776194434,497400.0
2000-01-28,42.13,42.19,40.88,41.0,718100.0,0.0,1.0,25.0191894234,25.0548208349,24.2768683511,24.348131174,718100.0
2000-01-31,41.0,41.0,39.88,40.31,963800.0,0.0,1.0,24.348131174,24.348131174,23.6830114932,23.938369942,963800.0
2000-02-01,40.31,40.88,39.88,40.63,605600.0,0.0,1.0,23.938369942,24.2768683511,23.6830114932,24.1284041366,605600.0
2000-02-02,40.75,41.19,40.56,40.69,809800.0,0.0,1.0,24.1996669595,24.460963977,24.0868341565,24.1640355481,809800.0
2000-02-03,40.63,40.88,40.19,40.69,544700.0,0.0,1.0,24.1284041366,24.2768683511,23.8671071191,24.1640355481,544700.0
2000-02-04,40.56,41.25,40.13,40.69,1669500.0,0.0,1.0,24.0868341565,24.4965953885,23.8314757076,24.1640355481,1669500.0
2000-02-07,40.75,41.19,40.38,40.81,873300.0,0.0,1.0,24.1996669595,24.460963977,23.9799399221,24.235298371,873300.0
2000-02-08,40.81,40.81,40.0,40.06,897900.0,0.0,1.0,24.235298371,24.235298371,23.7542743161,23.7899057276,897900.0
