Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,31.38,31.38,29.88,30.06,572300.0,0.0,1.0,13.8259514928,13.8259514928,13.1650551499,13.2443627111,572300.0
2000-01-04,29.56,30.13,29.56,30.13,561200.0,0.0,1.0,13.0330607613,13.2843748558,13.0330607613,13.2843748558,561200.0
2000-01-05,30.31,31.44,30.31,31.19,378200.0,0.0,1.0,13.358846361,13.8568831933,13.358846361,13.7466980534,378200.0
2000-01-06,31.0,31.38,30.69,30.94,288500.0,0.0,1.0,13.6624405256,13.829915603,13.5258161203,13.6359970923,288500.0
2000-01-07,31.0,31.25,30.88,31.25,567300.0,0.0,1.0,13.6593527427,13.7695088132,13.6064778288,13.7695088132,567300.0
2000-01-10,31.94,32.13,31.31,31.44,632800.0,0.0,1.0,14.0698705506,14.1535673385,13.7923496224,13.8496158457,632800.0
2000-01-11,31.31,31.44,31.0,31.44,359700.0,0.0,1.0,13.7923496224,13.8496158457,13.6557917054,13.8496158457,359700.0
2000-01-12,31.31,31.94,31.25,31.56,1021700.0,0.0,1.0,13.8017191504,14.0794286063,13.7752706308,13.9119213155,1021700.0
2000-01-13,31.69,31.75,31.19,31.5,321400.0,0.0,1.0,13.9689710857,13.9954191219,13.7485707846,13.8852189713,321400.0
2000-01-14,31.56,31.75,31.0,31.19,409900.0,0.0,1.0,13.9058343111,13.989551311,13.659089469,13.742806469,409900.0
2000-01-18,31.19,31.31,30.5,30.81,251200.0,0.0,1.0,13.7501154521,13.8030174673,13.4459288647,13.582592404,251200.0
2000-01-19,31.0,32.13,30.88,31.88,581500.0,0.0,1.0,13.6577297405,14.1555760181,13.6048611092,14.0454330363,581500.0
2000-01-20,32.0,34.06,31.88,33.88,985800.0,0.0,1.0,14.0983333121,15.005913519,14.0454645621,14.9266103941,985800.0
2000-01-21,34.75,37.5,33.88,37.19,1231300.0,0.0,1.0,15.3112466886,16.5229280812,14.9279147571,16.3863385424,1231300.0
2000-01-24,39.0,41.31,37.38,37.56,1822600.0,0.0,1.0,17.1901672568,18.2083540866,16.4761141554,16.5554533888,1822600.0
2000-01-25,37.63,38.0,35.25,35.75,773400.0,0.0,1.0,16.5828653058,16.745917662,15.5340420417,15.7543830636,773400.0
2000-01-26,35.81,35.88,35.38,35.88,443300.0,0.0,1.0,15.7769475863,15.8077877519,15.5875008546,15.8077877519,443300.0
2000-01-27,35.75,35.75,34.5,35.0,963600.0,0.0,1.0,15.7555910268,15.7555910268,15.2046962356,15.4250541521,963600.0
2000-01-28,34.5,34.69,33.25,33.25,394300.0,0.0,1.0,15.2014638466,15.2851820533,14.650686171,14.650686171,394300.0
2000-01-31,33.63,35.0,33.38,34.75,906000.0,0.0,1.0,14.8245344402,15.4284479752,14.7143312403,15.3182447754,906000.0
2000-02-01,34.88,35.31,34.69,34.75,637000.0,0.0,1.0,15.3755504393,15.565099943,15.2917960074,15.3182447754,637000.0
2000-02-02,34.44,34.56,33.62,33.69,386000.0,0.0,1.0,15.1770132316,15.2298948108,14.8156557737,14.8465033616,386000.0
2000-02-03,33.69,34.56,33.69,34.25,623600.0,0.0,1.0,14.8489046235,15.2323580822,14.8489046235,15.0957252406,623600.0
2000-02-04,34.31,34.38,33.13,33.25,546600.0,0.0,1.0,15.1177456399,15.1485891897,14.5978115141,14.650686171,546600.0
2000-02-07,33.25,33.25,32.63,33.0,372800.0,0.0,1.0,14.6540576791,14.6540576791,14.3808090848,14.5438767943,372800.0
2000-02-08,33.19,33.25,32.94,33.0,580600.0,0.0,1.0,14.6276142667,14.6540576791,14.5174333819,14.5438767943,580600.0
2000-02-09,33.0,33.38,32.38,32.38,521800.0,0.0,1.0,14.5411499335,14.7085934782,14.2679525711,14.2679525711,521800.0
2000-02-10,32.63,32.69,31.88,32.19,662500.0,0.0,1.0,14.381776947,14.4082221391,14.0512120463,14.1878455386,662500.0
2000-02-11,32.19,32.69,32.19,32.5,327200.0,0.0,1.0,14.1847535441,14.4050821173,14.1847535441,14.3213572595,327200.0
2000-02-14,32.75,33.38,32.44,32.69,509800.0,0.0,1.0,14.4278970806,14.7054413603,14.2913276731,14.401464292,509800.0
2000-02-15,32.81,33.25,32.63,33.0,517600.0,0.0,1.0,14.4601393218,14.6540576791,14.3808090848,14.5438767943,517600.0
2000-02-16,33.06,33.25,32.5,32.56,377800.0,0.0,1.0,14.5683922143,14.6521186063,14.3216196904,14.3480596037,377800.0
2000-02-17,33.0,33.19,32.38,32.5,475400.0,0.0,1.0,14.5416858327,14.6254106905,14.2684784019,14.3213572595,475400.0
2000-02-18,32.5,32.56,32.06,32.13,328000.0,0.0,1.0,14.3286785124,14.3551314574,14.1346902495,14.1655520186,328000.0
2000-02-22,32.38,32.5,31.69,31.81,324800.0,0.0,1.0,14.2699308335,14.3228150737,13.9658464519,14.0187306922,324800.0
2000-02-23,31.56,31.63,30.75,30.88,302100.0,0.0,1.0,13.9089812905,13.9398313758,13.5520017327,13.6092947481,302100.0
2000-02-24,31.06,31.19,29.81,30.06,620100.0,0.0,1.0,13.684960273,13.742237956,13.1342133206,13.2443627111,620100.0
