Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,33.12,33.5,32.06,32.38,358800.0,0.0,1.0,14.1311675938,14.2933005553,13.6789019643,13.8154349845,717600.0
2000-01-04,32.69,32.69,31.38,31.69,740100.0,0.0,1.0,13.9477013479,13.9477013479,13.3887692963,13.5210356597,1480200.0
2000-01-05,31.88,32.0,31.5,31.81,427000.0,0.0,1.0,13.6021021404,13.653302023,13.4399691789,13.5722355423,854000.0
2000-01-06,31.88,34.5,31.75,33.88,260500.0,0.0,1.0,13.6021021404,14.7199662436,13.546635601,14.4554335169,521000.0
2000-01-07,34.0,35.25,33.75,34.06,272600.0,0.0,1.0,14.5066333995,15.0399655097,14.3999669774,14.5322333408,545200.0
2000-01-10,34.13,34.25,32.94,33.63,190900.0,0.0,1.0,14.5620999389,14.6132998215,14.0543677699,14.3487670948,381800.0
2000-01-11,33.63,34.19,33.38,34.13,270200.0,0.0,1.0,14.3487670948,14.5876998802,14.2421006728,14.5620999389,540400.0
2000-01-12,34.0,34.0,33.5,33.63,185400.0,0.0,1.0,14.5066333995,14.5066333995,14.2933005553,14.3487670948,370800.0
2000-01-13,33.81,34.56,33.75,34.38,403700.0,0.0,1.0,14.4255669187,14.7455661849,14.3999669774,14.668766361,807400.0
2000-01-14,34.38,34.75,33.5,34.56,357200.0,0.0,1.0,14.668766361,14.8266326656,14.2933005553,14.7455661849,714400.0
2000-01-18,34.56,37.38,34.56,37.38,482300.0,0.0,1.0,14.7455661849,15.9487634256,14.7455661849,15.9487634256,964600.0
2000-01-19,37.38,38.5,37.38,38.38,546900.0,0.0,1.0,15.9487634256,16.4266289964,15.9487634256,16.3754291139,1093800.0
2000-01-20,38.13,39.75,38.13,38.94,595700.0,0.0,1.0,16.2687626918,16.9599611067,16.2687626918,16.6143618993,1191400.0
2000-01-21,39.5,41.75,39.5,41.31,593600.0,0.0,1.0,16.8532946847,17.8132924832,16.8532946847,17.6255595803,1187200.0
2000-01-24,41.5,42.06,39.25,40.25,1011000.0,0.0,1.0,17.7066260611,17.9455588465,16.7466282626,17.1732939508,2022000.0
2000-01-25,40.0,40.06,39.13,39.25,297800.0,0.0,1.0,17.0666275288,17.0922274701,16.69542838,16.7466282626,595600.0
2000-01-26,39.31,40.31,38.25,38.25,334100.0,0.0,1.0,16.7722282039,17.1988938921,16.3199625744,16.3199625744,668200.0
2000-01-27,38.38,39.5,36.94,37.56,368700.0,0.0,1.0,16.3754291139,16.8532946847,15.7610305228,16.0255632495,737400.0
2000-01-28,37.5,38.13,37.0,37.56,293600.0,0.0,1.0,15.9999633082,16.2687626918,15.7866304641,16.0255632495,587200.0
2000-01-31,37.5,37.5,35.13,35.13,477000.0,0.0,1.0,15.9999633082,15.9999633082,14.9887656271,14.9887656271,954000.0
2000-02-01,35.13,36.44,35.13,36.06,467200.0,0.0,1.0,14.9887656271,15.5476976787,14.9887656271,15.3855647172,934400.0
2000-02-02,36.31,36.81,35.63,35.63,278000.0,0.0,1.0,15.4922311392,15.7055639834,15.2020984713,15.2020984713,556000.0
2000-02-03,36.25,36.31,35.63,35.94,204900.0,0.0,1.0,15.466631198,15.4922311392,15.2020984713,15.3343648346,409800.0
2000-02-04,35.94,36.0,35.63,36.0,233200.0,0.0,1.0,15.3343648346,15.3599647759,15.2020984713,15.3599647759,466400.0
2000-02-07,35.75,37.0,35.75,36.0,267800.0,0.0,1.0,15.2532983538,15.7866304641,15.2532983538,15.3599647759,535600.0
2000-02-08,36.0,36.13,35.13,36.0,133300.0,0.0,1.0,15.3599647759,15.4154313154,14.9887656271,15.3599647759,266600.0
2000-02-09,36.0,36.63,35.25,35.31,503400.0,0.0,1.0,15.3599647759,15.6287641595,15.0399655097,15.065565451,1006800.0
2000-02-10,35.5,37.94,35.5,37.13,310700.0,0.0,1.0,15.1466319318,16.187696211,15.1466319318,15.8420970036,621400.0
2000-02-11,37.5,37.5,36.0,36.0,188400.0,0.0,1.0,15.9999633082,15.9999633082,15.3599647759,15.3599647759,376800.0
2000-02-14,36.38,37.63,36.0,37.19,280000.0,0.0,1.0,15.5220977374,16.0554298477,15.3599647759,15.8676969449,560000.0
2000-02-15,37.19,38.38,37.13,38.06,476600.0,0.0,1.0,15.8676969449,16.3754291139,15.8420970036,16.2388960936,953200.0
2000-02-16,37.69,38.94,37.63,38.88,192900.0,0.0,1.0,16.081029789,16.6143618993,16.0554298477,16.588761958,385800.0
2000-02-17,39.0,39.0,38.25,38.63,319900.0,0.0,1.0,16.6399618406,16.6399618406,16.3199625744,16.4820955359,639800.0
2000-02-18,38.38,38.88,37.94,38.13,452500.0,0.0,1.0,16.3754291139,16.588761958,16.187696211,16.2687626918,905000.0
2000-02-22,38.44,38.44,37.06,38.31,334600.0,0.0,1.0,16.4010290552,16.4010290552,15.8122304054,16.3455625157,669200.0
2000-02-23,38.06,38.13,36.0,36.88,188900.0,0.0,1.0,16.2388960936,16.2687626918,15.3599647759,15.7354305815,377800.0
2000-02-24,36.63,37.13,35.75,36.44,368500.0,0.0,1.0,15.6287641595,15.8420970036,15.2532983538,15.5476976787,737000.0
2000-02-25,36.88,36.88,35.75,35.94,448400.0,0.0,1.0,15.7354305815,15.7354305815,15.2532983538,15.3343648346,896800.0
2000-02-28,35.25,36.88,35.25,36.69,227500.0,0.0,1.0,15.0399655097,15.7354305815,15.0399655097,15.6543641008,455000.0
2000-02-29,36.63,37.5,36.25,37.25,400800.0,0.0,1.0,15.6287641595,15.9999633082,15.466631198,15.8932968862,801600.0
2000-03-01,37.5,39.0,37.25,38.88,315300.0,0.0,1.0,15.9999633082,16.6399618406,15.8932968862,16.588761958,630600.0
2000-03-02,39.75,41.25,39.63,41.0,662300.0,0.0,1.0,16.9599611067,17.599959639,16.9087612241,17.493293217,1324600.0
2000-03-03,40.88,40.94,39.13,39.94,391800.0,0.0,1.0,17.4420933344,17.4676932757,16.69542838,17.0410275875,783600.0
2000-03-06,40.13,40.75,39.25,40.63,155400.0,0.0,1.0,17.1220940682,17.3866267949,16.7466282626,17.3354269124,310800.0
2000-03-07,40.38,45.25,40.25,45.25,694100.0,0.0,1.0,17.2287604903,19.3066223919,17.1732939508,19.3066223919,1388200.0
2000-03-08,44.63,45.13,42.88,44.25,765000.0,0.0,1.0,19.0420896652,19.2554225093,18.2954247108,18.8799567037,1530000.0
2000-03-09,44.0,44.38,42.75,44.31,287200.0,0.0,1.0,18.7732902817,18.9354232432,18.2399581714,18.905556645,574400.0
2000-03-10,44.19,44.81,43.25,44.06,483400.0,0.0,1.0,18.8543567624,19.1188894891,18.4532910155,18.7988902229,966800.0
2000-03-13,42.75,44.31,42.5,44.25,201500.0,0.05,1.0,18.2605682936,18.9269188559,18.1537813445,18.9012899881,403000.0
2000-03-14,44.0,44.81,43.56,44.38,392500.0,0.0,1.0,18.794503039,19.1404927541,18.6065580086,18.9568192016,785000.0
2000-03-15,44.13,44.38,42.56,42.94,315300.0,0.0,1.0,18.8500322526,18.9568192016,18.1794102123,18.3417263749,630600.0
2000-03-16,42.5,44.25,42.38,44.06,274600.0,0.0,1.0,18.1537813445,18.9012899881,18.102523609,18.8201319068,549200.0
2000-03-17,43.0,43.88,42.56,43.38,220900.0,0.0,1.0,18.3673552427,18.7432453035,18.1794102123,18.5296714053,441800.0
2000-03-20,43.0,43.0,41.75,42.25,129100.0,0.0,1.0,18.3673552427,18.3673552427,17.8334204973,18.0469943954,258200.0
2000-03-21,42.0,43.75,41.88,43.19,198600.0,0.0,1.0,17.9402074463,18.6877160899,17.8889497108,18.448513324,397200.0
2000-03-22,43.0,43.38,42.69,42.94,271500.0,0.0,1.0,18.3673552427,18.5296714053,18.2349394258,18.3417263749,543000.0
2000-03-23,43.06,43.06,42.06,42.63,168100.0,0.0,1.0,18.3929841105,18.3929841105,17.9658363141,18.209310558,336200.0
2000-03-24,42.5,43.44,41.63,42.5,184000.0,0.0,1.0,18.1537813445,18.5553002731,17.7821627617,18.1537813445,368000.0
2000-03-27,42.31,42.94,41.5,41.81,236600.0,0.0,1.0,18.0726232632,18.3417263749,17.7266335482,17.859049365,473200.0
2000-03-28,41.56,44.0,41.5,42.5,311500.0,0.0,1.0,17.752262416,18.794503039,17.7266335482,18.1537813445,623000.0
2000-03-29,42.75,45.0,42.75,44.63,494700.0,0.0,1.0,18.2605682936,19.2216508354,18.2605682936,19.0636061507,989400.0
2000-03-30,44.81,47.5,44.81,47.25,1262200.0,0.0,1.0,19.1404927541,20.2895203262,19.1404927541,20.1827333771,2524400.0
2000-03-31,47.75,48.56,46.75,48.56,535100.0,0.0,1.0,20.3963072753,20.7422969904,19.969159479,20.7422969904,1070200.0
2000-04-03,48.38,49.81,48.25,49.06,412400.0,0.0,1.0,20.665410387,21.2762317358,20.6098811735,20.9558708885,824800.0
2000-04-04,49.0,49.0,45.75,47.5,542200.0,0.0,1.0,20.9302420207,20.9302420207,19.5420116826,20.2895203262,1084400.0
2000-04-05,47.25,47.75,46.72,47.25,295200.0,0.0,1.0,20.1827333771,20.3963072753,19.9563450451,20.1827333771,590400.0
2000-04-06,47.0,48.25,46.13,48.25,421700.0,0.0,1.0,20.0759464281,20.6098811735,19.7043278452,20.6098811735,843400.0
2000-04-07,48.63,48.69,47.06,47.38,258300.0,0.0,1.0,20.7721973361,20.7978262039,20.1015752958,20.2382625907,516600.0
2000-04-10,47.13,47.13,45.38,45.63,432100.0,0.0,1.0,20.1314756416,20.1314756416,19.383966998,19.4907539471,864200.0
2000-04-11,46.25,46.75,45.56,45.69,627300.0,0.0,1.0,19.7555855808,19.969159479,19.4608536013,19.5163828149,1254600.0
2000-04-12,45.69,46.88,45.63,46.25,485800.0,0.0,1.0,19.5163828149,20.0246886925,19.4907539471,19.7555855808,971600.0
2000-04-13,46.63,48.0,46.5,47.75,314000.0,0.0,1.0,19.9179017434,20.5030942244,19.8623725299,20.3963072753,628000.0
2000-04-14,47.38,47.69,46.25,46.88,345000.0,0.0,1.0,20.2382625907,20.3706784075,19.7555855808,20.0246886925,690000.0
2000-04-17,46.13,46.25,43.88,44.31,451800.0,0.0,1.0,19.7043278452,19.7555855808,18.7432453035,18.9269188559,903600.0
2000-04-18,44.19,44.69,43.75,44.44,310400.0,0.0,1.0,18.8756611203,19.0892350185,18.6877160899,18.9824480694,620800.0
2000-04-19,44.5,46.06,44.38,45.94,816300.0,0.0,1.0,19.0080769372,19.6744274995,18.9568192016,19.6231697639,1632600.0
2000-04-20,45.75,45.75,44.88,45.5,488400.0,0.0,1.0,19.5420116826,19.5420116826,19.1703930998,19.4352247335,976800.0
2000-04-24,45.44,45.44,44.69,45.06,241500.0,0.0,1.0,19.4095958658,19.4095958658,19.0892350185,19.2472797032,483000.0
2000-04-25,45.31,46.31,45.25,46.25,378100.0,0.0,1.0,19.3540666522,19.7812144486,19.3284377845,19.7555855808,756200.0
2000-04-26,46.25,47.0,46.06,46.88,305700.0,0.0,1.0,19.7555855808,20.0759464281,19.6744274995,20.0246886925,611400.0
2000-04-27,46.88,48.31,46.25,47.81,289300.0,0.0,1.0,20.0246886925,20.6355100413,19.7555855808,20.4219361431,578600.0
2000-04-28,47.63,48.25,46.5,48.13,431000.0,0.0,1.0,20.3450495398,20.6098811735,19.8623725299,20.5586234379,862000.0
2000-05-01,47.75,48.81,47.5,47.88,704000.0,0.0,1.0,20.3963072753,20.8490839394,20.2895203262,20.4518364888,1408000.0
2000-05-02,47.63,48.0,47.13,47.13,375500.0,0.0,1.0,20.3450495398,20.5030942244,20.1314756416,20.1314756416,751000.0
2000-05-03,47.63,47.75,46.38,46.63,290600.0,0.0,1.0,20.3450495398,20.3963072753,19.8111147943,19.9179017434,581200.0
2000-05-04,46.25,49.63,46.25,49.0,910500.0,0.0,1.0,19.7555855808,21.1993451324,19.7555855808,20.9302420207,1821000.0
2000-05-05,48.88,50.0,48.5,49.69,654700.0,0.0,1.0,20.8789842852,21.3573898171,20.7166681226,21.2249740002,1309400.0
2000-05-08,49.94,52.25,49.06,50.94,551800.0,0.0,1.0,21.3317609493,22.3184723589,20.9558708885,21.7589087456,1103600.0
2000-05-09,50.94,51.44,49.5,50.13,294000.0,0.0,1.0,21.7589087456,21.9724826438,21.1438159189,21.4129190306,588000.0
2000-05-10,49.5,49.75,48.88,49.06,285100.0,0.0,1.0,21.1438159189,21.250602868,20.8789842852,20.9558708885,570200.0
2000-05-11,50.0,51.63,50.0,51.5,587200.0,0.0,1.0,21.3573898171,22.0536407251,21.3573898171,21.9981115116,1174400.0
2000-05-12,51.5,53.25,50.88,52.69,857200.0,0.0,1.0,21.9981115116,22.7456201552,21.7332798779,22.5064173892,1714400.0
2000-05-15,52.75,56.5,52.75,56.25,951900.0,0.0,1.0,22.532046257,24.1338504933,22.532046257,24.0270635442,1903800.0
2000-05-16,56.25,56.25,53.75,55.88,893100.0,0.0,1.0,24.0270635442,24.0270635442,22.9591940534,23.8690188596,1786200.0
2000-05-17,55.5,57.94,55.0,57.0,442200.0,0.0,1.0,23.706702697,24.74894332,23.4931287988,24.3474243915,884400.0
2000-05-18,57.0,59.0,57.0,58.5,503500.0,0.0,1.0,24.3474243915,25.2017199842,24.3474243915,24.988146086,1007000.0
2000-05-19,58.5,58.94,57.75,57.88,295100.0,0.0,1.0,24.988146086,25.1760911164,24.6677852387,24.7233144523,590200.0
2000-05-22,57.75,58.5,57.38,57.88,380500.0,0.0,1.0,24.6677852387,24.988146086,24.5097405541,24.7233144523,761000.0
2000-05-23,57.88,58.38,57.38,57.81,562100.0,0.0,1.0,24.7233144523,24.9368883504,24.5097405541,24.6934141065,1124200.0
2000-05-24,58.0,59.5,57.38,59.5,648600.0,0.0,1.0,24.7745721878,25.4152938823,24.5097405541,25.4152938823,1297200.0
2000-05-25,58.5,58.69,57.13,58.69,650800.0,0.0,1.0,24.988146086,25.0693041673,24.402953605,25.0693041673,1301600.0
2000-05-26,57.5,57.5,55.0,55.63,2196600.0,0.0,1.0,24.5609982896,24.5609982896,23.4931287988,23.7622319105,4393200.0
2000-05-30,56.5,57.0,55.75,56.63,1156700.0,0.0,1.0,24.1338504933,24.3474243915,23.813489646,24.1893797068,2313400.0
2000-05-31,56.88,60.0,56.5,59.75,1142500.0,0.0,1.0,24.2961666559,25.6288677805,24.1338504933,25.5220808314,2285000.0
2000-06-01,59.88,60.5,59.38,60.0,760900.0,0.0,1.0,25.5776100449,25.8424416787,25.3640361468,25.6288677805,1521800.0
2000-06-02,59.63,59.75,58.38,58.63,568100.0,0.0,1.0,25.4708230959,25.5220808314,24.9368883504,25.0436752995,1136200.0
2000-06-05,58.63,59.13,57.25,57.56,419500.0,0.0,1.0,25.0436752995,25.2572491977,24.4542113406,24.5866271574,839000.0
2000-06-06,57.5,58.63,57.38,58.13,542600.0,0.0,1.0,24.5609982896,25.0436752995,24.5097405541,24.8301014013,1085200.0
2000-06-07,58.25,59.25,57.44,58.5,689700.0,0.0,1.0,24.8813591369,25.3085069332,24.5353694219,24.988146086,1379400.0
2000-06-08,58.25,59.63,57.63,59.0,477000.0,0.0,1.0,24.8813591369,25.4708230959,24.6165275032,25.2017199842,954000.0
2000-06-09,59.38,59.38,58.25,58.63,373800.0,0.0,1.0,25.3640361468,25.3640361468,24.8813591369,25.0436752995,747600.0
