Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,25.5,25.56,24.81,25.06,755000.0,0.27,1.0,16.1585688682,16.1965890303,15.7213370047,15.8797543466,755000.0
2000-01-04,24.88,25.63,24.88,25.31,715400.0,0.0,1.0,15.7729490271,16.2484197574,15.7729490271,16.0455522458,715400.0
2000-01-05,25.94,27.5,25.81,27.0,1330000.0,0.0,1.0,16.4344175899,17.4227634435,16.3520554355,17.1059859263,1330000.0
2000-01-06,26.69,26.88,26.13,26.88,1210100.0,0.0,1.0,16.9107449248,17.0311286466,16.5559297447,17.0311286466,1210100.0
2000-01-07,27.0,28.0,27.0,28.0,2816800.0,0.0,1.0,17.1067903864,17.7403752155,17.1067903864,17.7403752155,2816800.0
2000-01-10,27.94,28.06,27.63,28.0,912200.0,0.0,1.0,17.7023601257,17.7783903052,17.5059488287,17.7403752155,912200.0
2000-01-11,28.0,28.06,27.75,27.94,960100.0,0.0,1.0,17.7427275211,17.7807476515,17.5843103111,17.7047073907,960100.0
2000-01-12,27.81,28.19,27.81,27.94,618300.0,0.0,1.0,17.6211597611,17.861937924,17.6211597611,17.7035312379,618300.0
2000-01-13,27.81,28.0,27.69,27.75,848500.0,0.0,1.0,17.6218073124,17.742200818,17.5457693089,17.5837883107,848500.0
2000-01-14,27.5,27.63,27.25,27.5,712800.0,0.0,1.0,17.4272014059,17.5095845398,17.2687723022,17.4272014059,712800.0
2000-01-18,27.25,27.5,26.75,27.0,1032700.0,0.0,1.0,17.2724908147,17.4309540332,16.9555643778,17.1140275963,1032700.0
2000-01-19,26.56,27.38,26.56,27.25,1014000.0,0.0,1.0,16.8333035284,17.3530064235,16.8333035284,17.2706145011,1014000.0
2000-01-20,26.88,26.94,26.69,26.81,787500.0,0.0,1.0,17.0386561695,17.0766888841,16.9182192397,16.994284669,787500.0
2000-01-21,27.0,27.5,26.88,27.44,1016200.0,0.0,1.0,17.1115033004,17.4283829912,17.0354521746,17.3903574283,1016200.0
2000-01-24,27.63,29.31,27.56,28.5,1592700.0,0.0,1.0,17.5113705031,18.5761226727,17.4670058294,18.0627600195,1592700.0
2000-01-25,28.5,29.06,28.5,28.88,2807400.0,0.0,1.0,18.0614268493,18.4163180435,18.0614268493,18.3022458739,2807400.0
2000-01-26,28.94,29.06,28.81,29.0,896900.0,0.0,1.0,18.3379146557,18.4139530026,18.2555397799,18.3759338291,896900.0
2000-01-27,28.81,29.56,28.69,29.0,1649600.0,0.0,1.0,18.2555397799,18.7307794479,18.179501433,18.3759338291,1649600.0
2000-01-28,29.0,29.0,28.25,28.25,869500.0,0.0,1.0,18.3815582416,18.3815582416,17.9061731147,17.9061731147,869500.0
