Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,47.94,48.31,46.38,46.44,251200.0,0.0,1.0,13.5798640008,13.6846731306,13.1379660484,13.1549621235,502400.0
2000-01-04,46.44,47.06,45.19,45.31,206200.0,0.0,1.0,13.1624620394,13.3381882768,12.8081752704,12.8421868003,412400.0
2000-01-05,45.88,47.44,45.81,46.75,299300.0,0.0,1.0,13.0008800831,13.4429326753,12.9810443899,13.2474094134,598600.0
2000-01-06,47.56,50.75,47.5,50.56,253000.0,0.0,1.0,13.4733923803,14.3770955277,13.4563948289,14.3232699484,506000.0
2000-01-07,50.56,50.63,49.75,50.44,415300.0,0.0,1.0,14.3204612882,14.3402878762,14.0910393411,14.2864728516,830600.0
2000-01-10,50.19,50.19,48.56,48.88,255500.0,0.0,1.0,14.2159557473,14.2159557473,13.7542699958,13.8449076894,511000.0
2000-01-11,49.13,49.56,48.25,48.31,225900.0,0.0,1.0,13.9208650169,14.0427044624,13.6715191749,13.6885200278,451800.0
2000-01-12,48.38,50.13,48.38,49.88,225400.0,0.0,1.0,13.7051628206,14.2009055849,13.7051628206,14.13008519,450800.0
2000-01-13,49.88,49.88,49.31,49.31,132600.0,0.0,1.0,14.1352267839,14.1352267839,13.9736975284,13.9736975284,265200.0
2000-01-14,49.19,49.19,48.44,48.5,139600.0,0.0,1.0,13.9392448239,13.9392448239,13.7267131382,13.743715673,279200.0
2000-01-18,48.56,48.56,47.19,47.31,237500.0,0.0,1.0,13.7574786117,13.7574786117,13.3693454631,13.4033425272,475000.0
2000-01-19,47.13,47.19,44.63,45.75,450800.0,0.0,1.0,13.3527555675,13.3697546198,12.6444617224,12.961777365,901600.0
2000-01-20,46.0,46.19,44.06,44.88,441600.0,0.0,1.0,13.0306653346,13.084487648,12.4811111879,12.7133969613,883200.0
2000-01-21,44.25,44.56,43.38,43.69,486700.0,0.0,1.0,12.5409332048,12.6287905899,12.2943657045,12.3822230896,973400.0
2000-01-24,43.75,44.25,43.5,43.63,383800.0,0.0,1.0,12.4006722531,12.5423942217,12.3298112688,12.3666589806,767600.0
2000-01-25,43.75,43.75,40.25,41.06,488000.0,0.0,1.0,12.3994722889,12.3994722889,11.4075145058,11.6370818785,976000.0
2000-01-26,41.56,42.5,41.44,42.38,428200.0,0.0,1.0,11.7727700877,12.0390454458,11.7387774888,12.0050528469,856400.0
2000-01-27,41.0,43.44,41.0,42.81,522200.0,0.0,1.0,11.6208257445,12.3124065937,11.6208257445,12.1338426859,1044400.0
2000-01-28,37.75,41.0,37.69,39.94,630600.0,0.0,1.0,10.6946745082,11.6154080752,10.6776763501,11.315107281,1261200.0
2000-01-31,40.0,40.0,38.31,39.88,533600.0,0.0,1.0,11.3307008351,11.3307008351,10.8519787248,11.2967087326,1067200.0
2000-02-01,40.06,40.25,39.13,39.69,797900.0,0.0,1.0,11.3463092537,11.4001235013,11.0829026734,11.2415130873,1595800.0
2000-02-02,39.69,39.75,39.5,39.75,350300.0,0.0,1.0,11.2429155427,11.2599116358,11.1890945814,11.2599116358,700600.0
2000-02-03,39.75,40.5,39.63,40.13,294000.0,0.0,1.0,11.2654422064,11.4779977197,11.2314333243,11.3731369998,588000.0
2000-02-04,40.19,40.19,39.94,40.06,273100.0,0.0,1.0,11.3887428095,11.3887428095,11.3178996718,11.3519043779,546200.0
2000-02-07,39.81,40.19,39.81,39.88,282100.0,0.0,1.0,11.2768800061,11.3845216641,11.2768800061,11.2967087326,564200.0
2000-02-08,39.75,40.19,39.75,39.94,315400.0,0.0,1.0,11.2612797802,11.38593294,11.2612797802,11.315107281,630800.0
