Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,52.75,53.19,52.13,52.38,2582177.0,0.0,1.0,15.3455959239,15.4735971032,15.1652306259,15.2379585687,4056600.067
2000-01-04,51.81,52.25,50.31,50.63,4660980.0,0.0,1.0,15.0700919602,15.198075756,14.6337835652,14.7268626895,7322399.58
2000-01-05,51.0,51.5,50.75,50.81,3207002.0,0.0,1.0,14.8405620154,14.9860577214,14.7678141624,14.7852736471,5038200.142
2000-01-06,51.0,51.81,50.38,50.88,2892998.0,0.0,1.0,14.8347817554,15.070392995,14.6544373497,14.7998763865,4544899.858
2000-01-07,52.5,55.0,52.13,54.63,5898154.0,0.0,1.0,15.2753394966,16.0027366155,15.167684723,15.8950818419,9265999.934
2000-01-10,54.75,55.19,53.0,53.63,3154679.0,0.0,1.0,15.9288780756,16.056890977,15.419735854,15.6030270538,4956000.709
2000-01-11,52.5,53.5,51.75,52.19,2693253.0,0.0,1.0,15.2697116225,15.5605632725,15.0515728851,15.179547611,4231100.463
2000-01-12,52.44,54.5,52.44,53.69,3131190.0,0.0,1.0,15.2540232139,15.8532468565,15.2540232139,15.6176297932,4919099.49
2000-01-13,54.38,54.38,52.88,53.06,2500700.0,0.0,1.0,15.8190820965,15.8190820965,15.3827337489,15.4350955506,3928599.7
2000-01-14,52.56,52.94,51.13,51.75,4756652.0,0.0,1.0,15.291074446,15.4016263541,14.8750501603,15.0554243261,7472700.292
2000-01-18,53.75,55.0,53.13,54.25,4948822.0,0.0,1.0,15.6400722521,16.0037948626,15.4596658373,15.7855612963,7774599.362
2000-01-19,54.5,54.88,52.81,53.44,2874602.0,0.0,1.0,15.8529486759,15.9634829969,15.3613618271,15.5446160961,4515999.742
2000-01-20,53.5,53.69,51.5,52.22,4339465.0,0.0,1.0,15.5665845222,15.6218677196,14.9846561288,15.1941503504,6817299.515
2000-01-21,51.94,52.0,50.31,50.44,5732018.0,0.0,1.0,15.1121850931,15.1296423728,14.6379289956,14.6757531016,9005000.278
2000-01-24,51.81,51.94,50.38,51.13,5042648.0,0.0,1.0,15.070691086,15.1085059836,14.6547272132,14.8728900835,7922000.008
2000-01-25,51.19,51.25,49.13,50.13,4154997.0,0.0,1.0,14.8891473923,14.9065990204,14.2899748268,14.5808352954,6527500.287
2000-01-26,49.13,49.25,47.31,48.0,9246849.0,0.0,1.0,14.2963389461,14.3312577467,13.766737137,13.9675202405,14526799.779
2000-01-27,49.31,50.0,48.69,49.94,6861680.0,0.0,1.0,14.3464312102,14.5471823263,14.1660461494,14.5297257075,10779699.28
2000-01-28,49.13,49.88,48.81,49.0,3837810.0,0.508,1.0,14.4365006271,14.6568827861,14.342470906,14.3983010529,6029199.51
2000-01-31,49.81,50.19,49.13,49.75,3154933.0,0.0,1.0,14.6349710993,14.7466211499,14.435176272,14.617342144,4956399.743
2000-02-01,49.63,50.0,48.5,49.81,4719605.0,0.0,1.0,14.5863439378,14.6950875859,14.2542349583,14.6392462531,7414499.455
2000-02-02,49.94,50.56,47.94,48.63,6361362.0,0.0,1.0,14.6736931634,14.8558655655,14.0860402534,14.2887805074,9993699.702
2000-02-03,47.88,48.88,47.81,48.75,4003883.0,0.0,1.0,14.0696360738,14.3634881222,14.0490664304,14.3252873559,6290100.193
2000-02-04,48.88,49.0,48.0,48.06,2743730.0,0.0,1.0,14.3617790122,14.3970370621,14.1032199792,14.1208490042,4310399.83
2000-02-07,48.5,48.5,47.19,47.94,2376066.0,0.0,1.0,14.2488651346,14.2488651346,13.8639988804,14.0843421557,3732799.686
2000-02-08,48.38,48.88,48.0,48.13,3339656.0,0.0,1.0,14.2162143283,14.3631367583,14.1045532815,14.1427531133,5246599.576
2000-02-09,47.63,47.75,47.13,47.19,2872820.0,0.0,1.0,13.994581261,14.0298394964,13.8476719469,13.8653010646,4513200.22
2000-02-10,47.06,47.25,46.06,47.0,3694398.0,0.0,1.0,13.8318266148,13.8876712186,13.5379076472,13.8141914767,5803899.258
2000-02-11,47.19,47.19,45.19,46.13,3372693.0,0.0,1.0,13.8627322107,13.8627322107,13.2752038271,13.5513421674,5298500.703
2000-02-14,46.0,47.13,45.0,47.06,3634755.0,0.0,1.0,13.5173084135,13.8493640333,13.2234538828,13.8287942161,5710200.105
2000-02-15,46.88,46.88,45.44,46.38,2931254.0,0.0,1.0,13.7786134355,13.7786134355,13.3553795757,13.6316572342,4605000.034
2000-02-16,45.69,46.44,45.25,46.31,3760471.0,0.0,1.0,13.4275452447,13.6479580032,13.2982364264,13.609753125,5907699.941
2000-02-17,45.81,46.63,45.25,45.88,3883705.0,0.0,1.0,13.457764325,13.6986586002,13.2932511614,13.4783284704,6101300.555
2000-02-18,45.19,45.44,43.38,43.38,5795544.0,0.0,1.0,13.2801008274,13.3535689665,12.7481915002,12.7481915002,9104799.624
2000-02-22,44.38,44.88,43.5,44.06,4673838.0,0.0,1.0,13.0393481171,13.1862537966,12.780794121,12.9453284821,7342599.498
2000-02-23,44.19,44.25,43.0,43.0,2420051.0,0.0,1.0,12.9884388252,13.0060741801,12.6386709546,12.6386709546,3801900.121
2000-02-24,43.0,43.25,41.19,42.5,5534118.0,0.0,1.0,12.6396158378,12.7131019764,12.1075761944,12.4926435606,8694099.378
2000-02-25,42.38,44.25,42.25,42.94,5209102.0,0.0,1.0,12.4522258713,13.001675196,12.4140288594,12.6167668455,8183499.242
2000-02-28,44.25,44.25,42.56,42.69,5844621.0,0.0,1.0,13.0021334463,13.0021334463,12.5055547904,12.5437531485,9181899.591
2000-02-29,43.25,43.31,41.19,41.63,4875302.0,0.0,1.0,12.7057074554,12.7233338704,12.1005338749,12.2297942513,7659099.442
2000-03-01,41.88,42.19,41.06,41.59,6130681.0,0.0,1.0,12.3077182467,12.3988212233,12.0667361798,12.2224928816,9631299.851
2000-03-02,41.5,41.81,41.13,41.38,3418396.0,0.0,1.0,12.1920346303,12.2831076601,12.0833345625,12.1567805543,5370300.116
2000-03-03,41.38,43.19,41.31,42.69,5297008.0,0.0,1.0,12.1588312318,12.6906699106,12.1382628851,12.5437531485,8321599.568
2000-03-06,42.88,43.63,41.5,41.94,4476894.0,0.0,1.0,12.6009454703,12.8213444699,12.195411311,12.3247120574,7033200.474
2000-03-07,42.0,42.44,40.63,41.13,4395417.0,0.0,1.0,12.3393680526,12.4686376227,11.9368696185,12.0837668573,6905200.107
2000-03-08,41.13,42.63,40.25,42.56,4986887.0,0.0,1.0,12.0870075263,12.5278174288,11.8283990502,12.5072463,7834399.477
2000-03-09,42.06,42.19,40.81,41.63,3761171.0,0.0,1.0,12.3561168919,12.3943074577,11.9888999134,12.2297942513,5908799.641
2000-03-10,40.81,41.81,40.63,41.06,3830490.0,0.0,1.0,11.9956791926,12.2896188935,11.9427700465,12.0691641179,6017699.79
2000-03-13,40.56,42.63,40.5,42.56,3779758.0,0.0,1.0,11.9194997633,12.5278174288,11.9018673672,12.5072463,5937999.818
2000-03-14,41.94,41.94,40.25,41.0,6227435.0,0.0,1.0,12.3234654821,12.3234654821,11.8268833013,12.0472600088,9783300.385
2000-03-15,41.0,44.06,40.88,44.06,9524825.0,0.0,1.0,12.0462657233,12.9453284821,12.0110083602,12.9453284821,14963500.075
2000-03-16,44.0,44.38,42.75,43.81,9314831.0,0.0,1.0,12.9281408479,13.0397929734,12.5608641192,12.8723147851,14633599.501
2000-03-17,44.44,46.0,44.25,44.63,7679376.0,0.0,1.0,13.0574338729,13.515795638,13.0016077605,13.1132599853,12064299.696
2000-03-20,44.06,44.25,43.13,43.75,4907320.0,0.0,1.0,12.9488181196,13.0046573262,12.6754998979,12.8577120457,7709399.72
2000-03-21,43.06,45.94,42.75,45.81,5762699.0,0.0,1.0,12.655490722,13.5019332042,12.5643805938,13.463725731,9053200.129
2000-03-22,44.75,45.25,43.25,44.0,5892043.0,0.0,1.0,13.1511358406,13.2980759059,12.7103156448,12.9307257427,9256399.553
2000-03-23,43.81,45.25,43.69,44.5,7906174.0,0.0,1.0,12.8739899983,13.2971478526,12.8387268437,13.0767531368,12420599.354
2000-03-24,44.0,45.25,44.0,44.63,4064036.0,0.0,1.0,12.9281523494,13.2954294048,12.9281523494,13.1132599853,6384600.556
2000-03-27,44.19,45.06,43.94,44.19,3644876.0,0.0,1.0,12.9818353306,13.2374179678,12.9083920441,12.9818353306,5726100.196
2000-03-28,43.88,44.75,43.69,44.5,3293762.0,0.0,1.0,12.8945601717,13.150218042,12.8387268437,13.0767531368,5174500.102
2000-03-29,44.69,45.75,44.69,44.81,3824507.0,0.0,1.0,13.136397555,13.4479791484,13.136397555,13.1716709429,6008300.497
2000-03-30,45.75,46.63,45.19,46.63,6263272.0,0.0,1.0,13.4460367811,13.7046709312,13.2814514128,13.7046709312,9839600.312
2000-03-31,46.56,46.69,45.69,45.94,3244621.0,0.0,1.0,13.6824298847,13.7206325454,13.4267659242,13.5002325795,5097299.591
2000-04-03,46.75,48.0,46.75,47.0,5916932.0,0.0,1.0,13.7407117348,14.1081104443,13.7407117348,13.8141914767,9295500.172
2000-04-04,48.75,49.81,46.69,49.06,8764799.0,0.0,1.0,14.329086866,14.6406526522,13.7235910928,14.420205162,13769499.229
2000-04-05,48.69,49.63,48.0,49.31,5010567.0,0.0,1.0,14.3109881615,14.5872734126,14.1081830305,14.493218859,7871600.757
2000-04-06,49.88,50.31,49.63,49.94,5195290.0,0.0,1.0,14.6581210394,14.7844841518,14.5846541136,14.6757531016,8161800.59
2000-04-07,50.19,50.38,48.13,48.38,2851687.0,0.0,1.0,14.7476092644,14.8034380303,14.1423079078,14.2157668103,4480000.277
2000-04-10,49.75,52.0,49.5,51.06,6476321.0,0.0,1.0,14.6193626758,15.2805398822,14.5458985417,15.0043147382,10174300.291
2000-04-11,50.69,52.81,50.63,51.94,5240356.0,0.0,1.0,14.8926153087,15.5154668466,14.874987435,15.2598626778,8232599.276
2000-04-12,52.94,54.69,52.81,53.63,6503692.0,0.0,1.0,15.5536355954,16.0677810863,15.5154419303,15.7563558175,10217300.132
2000-04-13,53.75,54.94,52.5,54.44,6497454.0,0.0,1.0,15.7945431613,16.1442270006,15.4272282041,15.9973010177,10207500.234
2000-04-14,55.0,56.0,50.25,52.25,12108339.0,0.0,1.0,16.1629268251,16.456798222,14.7670376902,15.3547804839,19022200.569
2000-04-17,53.88,57.25,52.0,57.06,13683004.0,0.0,1.0,15.8365710758,16.8270915756,15.2839958415,16.7712462061,21495999.284
2000-04-18,56.0,56.13,54.38,55.38,6083641.0,0.0,1.0,16.4569550689,16.4951587146,15.9808788687,16.2747530664,9557400.011
2000-04-19,54.94,55.44,54.25,55.0,4113686.0,0.0,1.0,16.1475977217,16.294554381,15.9447975319,16.1652325208,6462600.706
