Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,42.38,42.81,41.69,42.69,1734000.0,0.0,1.0,39.187108462,39.5847124412,38.5490927744,39.4737531911,1734000.0
2000-01-04,42.5,43.19,41.0,41.5,1571900.0,0.0,1.0,39.298067712,39.9360833995,37.9110770868,38.3734072952,1571900.0
2000-01-05,41.88,43.25,41.38,43.25,2239400.0,0.0,1.0,38.7247782536,39.9915630245,38.2624480452,39.9915630245,2239400.0
2000-01-06,42.5,47.31,42.44,47.25,4630500.0,0.0,1.0,39.298067712,43.7456843165,39.242588087,43.6902046915,4630500.0
2000-01-07,47.25,47.5,44.25,47.5,3532800.0,0.0,1.0,43.6902046915,43.9213697957,40.9162234413,43.9213697957,3532800.0
2000-01-10,47.44,47.44,45.75,46.5,1437300.0,0.0,1.0,43.8658901707,43.8658901707,42.3032140664,42.996709379,1437300.0
2000-01-11,45.94,46.56,45.5,45.63,1055100.0,0.0,1.0,42.4788995456,43.052189004,42.0720489622,42.1922548164,1055100.0
2000-01-12,44.88,45.44,44.13,45.25,1050900.0,0.0,1.0,41.4987595038,42.0165693372,40.8052641913,41.840883858,1050900.0
2000-01-13,46.63,47.88,45.75,47.0,1900200.0,0.0,1.0,43.1169152331,44.2727407541,42.3032140664,43.4590395873,1900200.0
2000-01-14,47.19,47.94,45.69,46.56,1291100.0,0.0,1.0,43.6347250665,44.3282203791,42.2477344414,43.052189004,1291100.0
2000-01-18,46.0,46.38,43.13,44.19,2412200.0,0.0,1.0,42.5343791706,42.885750129,39.8806037745,40.8607438163,2412200.0
2000-01-19,43.94,45.88,43.81,44.25,1876500.0,0.0,1.0,40.6295787121,42.4234199206,40.5093728579,40.9162234413,1876500.0
2000-01-20,42.88,43.63,41.81,42.5,2111300.0,0.0,1.0,39.6494386703,40.3429339829,38.6600520244,39.298067712,2111300.0
2000-01-21,42.31,42.31,41.0,41.75,2363300.0,0.0,1.0,39.1223822328,39.1223822328,37.9110770868,38.6045723994,2363300.0
2000-01-24,41.69,41.75,40.25,41.0,1742000.0,0.0,1.0,38.5490927744,38.6045723994,37.2175817743,37.9110770868,1742000.0
2000-01-25,40.88,41.31,40.25,40.25,1686500.0,0.0,1.0,37.8001178368,38.197721816,37.2175817743,37.2175817743,1686500.0
2000-01-26,40.31,42.63,40.06,42.38,2031900.0,0.0,1.0,37.2730613993,39.4182735661,37.0418962951,39.187108462,2031900.0
2000-01-27,41.38,42.31,40.13,40.75,1519900.0,0.0,1.0,38.2624480452,39.1223822328,37.1066225243,37.6799119826,1519900.0
2000-01-28,40.06,40.25,38.25,38.69,1970600.0,0.0,1.0,37.0418962951,37.2175817743,35.3682609408,35.7751115241,1970600.0
2000-01-31,38.44,39.56,38.06,39.56,1489600.0,0.0,1.0,35.5439464199,36.5795660867,35.1925754616,36.5795660867,1489600.0
2000-02-01,39.06,39.44,37.94,38.94,1677800.0,0.0,1.0,36.1172358783,36.4686068367,35.0816162116,36.0062766283,1677800.0
2000-02-02,39.0,39.13,38.0,38.56,1539000.0,0.0,1.0,36.0617562533,36.1819621075,35.1370958366,35.65490567,1539000.0
2000-02-03,38.94,40.19,38.25,39.5,1491500.0,0.0,1.0,36.0062766283,37.1621021493,35.3682609408,36.5240864617,1491500.0
2000-02-04,39.63,39.63,38.94,39.19,911100.0,0.0,1.0,36.6442923159,36.6442923159,36.0062766283,36.2374417325,911100.0
2000-02-07,39.25,39.94,38.75,39.19,1038600.0,0.0,1.0,36.2929213575,36.9309370451,35.8305911491,36.2374417325,1038600.0
2000-02-08,39.19,39.94,39.19,39.69,1054400.0,0.0,1.0,36.2374417325,36.9309370451,36.2374417325,36.6997719409,1054400.0
2000-02-09,39.0,39.5,38.63,39.06,1242900.0,0.0,1.0,36.0617562533,36.5240864617,35.7196318991,36.1172358783,1242900.0
2000-02-10,38.88,39.0,37.63,38.69,1463200.0,0.0,1.0,35.9507970033,36.0617562533,34.7949714824,35.7751115241,1463200.0
2000-02-11,38.69,38.69,36.94,37.13,1496000.0,0.0,1.0,35.7751115241,35.7751115241,34.1569557948,34.332641274,1496000.0
2000-02-14,36.56,37.81,36.0,36.31,1834400.0,0.0,1.0,33.8055848365,34.9614103574,33.2877750031,33.5744197323,1834400.0
2000-02-15,36.5,36.56,35.06,35.94,2040700.0,0.0,1.0,33.7501052114,33.8055848365,32.4185942113,33.2322953781,2040700.0
2000-02-16,36.0,37.56,35.38,36.44,1787800.0,0.0,1.0,33.2877750031,34.7302452532,32.7144855447,33.6946255864,1787800.0
2000-02-17,36.06,37.38,35.38,35.63,1452200.0,0.0,1.0,33.3432546281,34.5638063782,32.7144855447,32.9456506489,1452200.0
2000-02-18,36.31,37.44,35.38,36.81,1602000.0,0.0,1.0,33.5744197323,34.6192860032,32.7144855447,34.0367499406,1602000.0
2000-02-22,35.69,37.0,35.69,36.0,1669000.0,0.0,1.0,33.0011302739,34.2124354198,33.0011302739,33.2877750031,1669000.0
2000-02-23,36.06,36.19,35.13,35.38,945600.0,0.0,1.0,33.3432546281,33.4634604823,32.4833204405,32.7144855447,945600.0
2000-02-24,35.13,35.75,34.0,34.13,1451700.0,0.0,1.0,32.4833204405,33.0566098989,31.4384541696,31.5586600237,1451700.0
2000-02-25,34.75,34.94,33.25,33.56,1386500.0,0.0,1.0,32.1319494821,32.3076349613,30.744958857,31.0316035862,1386500.0
2000-02-28,33.31,35.19,33.19,34.75,1390700.0,0.0,1.0,30.800438482,32.5388000655,30.689479232,32.1319494821,1390700.0
2000-02-29,34.5,35.44,34.19,34.94,2101100.0,0.0,1.0,31.9007843779,32.7699651697,31.6141396488,32.3076349613,2101100.0
2000-03-01,35.38,35.69,34.19,34.44,1121500.0,0.0,1.0,32.7144855447,33.0011302739,31.6141396488,31.8453047529,1121500.0
2000-03-02,34.25,34.25,33.38,33.88,1307900.0,0.0,1.0,31.6696192738,31.6696192738,30.8651647112,31.3274949196,1307900.0
2000-03-03,34.13,35.69,33.75,34.75,1691000.0,0.0,1.0,31.5586600237,33.0011302739,31.2072890654,32.1319494821,1691000.0
2000-03-06,34.06,34.56,32.25,32.75,1336900.0,0.0,1.0,31.4939337946,31.9562640029,29.8202984403,30.2826286486,1336900.0
2000-03-07,32.5,33.13,30.56,31.06,2191400.0,0.0,1.0,30.0514635444,30.633999607,28.2576223359,28.7199525443,2191400.0
2000-03-08,32.5,34.25,31.81,33.06,1946000.0,0.0,1.0,30.0514635444,31.6696192738,29.4134478569,30.5692733778,1946000.0
2000-03-09,33.31,34.25,32.38,33.38,1306300.0,0.0,1.0,30.800438482,31.6696192738,29.9405042944,30.8651647112,1306300.0
2000-03-10,33.38,33.88,32.69,33.56,1155700.0,0.0,1.0,30.8651647112,31.3274949196,30.2271490236,31.0316035862,1155700.0
2000-03-13,33.0,33.69,32.69,32.81,1148000.0,0.0,1.0,30.5137937528,31.1518094404,30.2271490236,30.3381082736,1148000.0
2000-03-14,33.0,33.38,32.0,32.5,767900.0,0.0,1.0,30.5137937528,30.8651647112,29.5891333361,30.0514635444,767900.0
2000-03-15,32.06,34.69,32.06,33.81,1697700.0,0.0,1.0,29.6446129611,32.0764698571,29.6446129611,31.2627686904,1697700.0
2000-03-16,34.63,35.94,34.19,35.5,2261200.0,0.0,1.0,32.0209902321,33.2322953781,31.6141396488,32.8254447947,2261200.0
2000-03-17,35.31,36.0,34.19,34.19,2056400.0,0.0,1.0,32.6497593155,33.2877750031,31.6141396488,31.6141396488,2056400.0
2000-03-20,35.63,36.25,35.13,35.44,1455600.0,0.0,1.0,32.9456506489,33.5189401073,32.4833204405,32.7699651697,1455600.0
2000-03-21,35.06,37.44,35.06,36.63,2092000.0,0.0,1.0,32.4185942113,34.6192860032,32.4185942113,33.8703110656,2092000.0
2000-03-22,37.13,38.5,36.69,37.25,2207400.0,0.0,1.0,34.332641274,35.599426045,33.9257906906,34.443600524,2207400.0
2000-03-23,38.38,40.25,37.5,39.75,4524200.0,0.0,1.0,35.4884667949,37.2175817743,34.6747656282,36.7552515659,4524200.0
2000-03-24,40.12,40.81,39.25,39.62,1836100.0,0.0,1.0,37.0973759201,37.7353916076,36.2929213575,36.6350457117,1836100.0
2000-03-27,39.63,39.75,38.5,38.79,991100.0,0.0,1.0,36.6442923159,36.7552515659,35.599426045,35.8675775658,991100.0
2000-03-28,38.25,39.81,38.06,38.38,1256600.0,0.0,1.0,35.3682609408,36.8107311909,35.1925754616,35.4884667949,1256600.0
2000-03-29,39.0,39.44,37.56,38.06,1411800.0,0.0,1.0,36.0617562533,36.4686068367,34.7302452532,35.1925754616,1411800.0
2000-03-30,37.81,39.19,37.75,38.63,1530400.0,0.0,1.0,34.9614103574,36.2374417325,34.9059307324,35.7196318991,1530400.0
2000-03-31,39.5,39.5,38.56,38.81,1351400.0,0.0,1.0,36.5240864617,36.5240864617,35.65490567,35.8860707741,1351400.0
2000-04-03,39.0,39.63,38.69,39.19,1009500.0,0.0,1.0,36.0617562533,36.6442923159,35.7751115241,36.2374417325,1009500.0
2000-04-04,39.19,39.94,36.56,38.5,1714700.0,0.0,1.0,36.2374417325,36.9309370451,33.8055848365,35.599426045,1714700.0
2000-04-05,37.81,39.69,37.81,39.38,1198400.0,0.0,1.0,34.9614103574,36.6997719409,34.9614103574,36.4131272117,1198400.0
2000-04-06,39.5,39.81,38.25,38.94,1193500.0,0.0,1.0,36.5240864617,36.8107311909,35.3682609408,36.0062766283,1193500.0
2000-04-07,38.75,39.69,37.44,38.19,1600000.0,0.0,1.0,35.8305911491,36.6997719409,34.6192860032,35.3127813158,1600000.0
2000-04-10,38.94,41.44,38.75,40.5,3331200.0,0.0,1.0,36.0062766283,38.3179276702,35.8305911491,37.4487468785,3331200.0
2000-04-11,40.94,41.63,40.5,41.13,1422500.0,0.0,1.0,37.8555974618,38.4936131494,37.4487468785,38.031282941,1422500.0
2000-04-12,41.63,42.44,41.19,41.56,2123200.0,0.0,1.0,38.4936131494,39.242588087,38.086762566,38.4288869202,2123200.0
2000-04-13,41.0,41.19,39.88,40.25,1481800.0,0.0,1.0,37.9110770868,38.086762566,36.8754574201,37.2175817743,1481800.0
2000-04-14,39.25,39.31,37.13,37.25,1988600.0,0.0,1.0,36.2929213575,36.3484009825,34.332641274,34.443600524,1988600.0
2000-04-17,37.5,38.0,36.25,36.25,1535100.0,0.0,1.0,34.6747656282,35.1370958366,33.5189401073,33.5189401073,1535100.0
2000-04-18,36.38,37.75,36.31,37.5,1178500.0,0.0,1.0,33.6391459614,34.9059307324,33.5744197323,34.6747656282,1178500.0
2000-04-19,38.0,38.5,37.44,38.19,884300.0,0.0,1.0,35.1370958366,35.599426045,34.6192860032,35.3127813158,884300.0
2000-04-20,38.06,39.13,37.5,38.06,817400.0,0.0,1.0,35.1925754616,36.1819621075,34.6747656282,35.1925754616,817400.0
2000-04-24,38.25,38.31,36.88,37.25,801800.0,0.0,1.0,35.3682609408,35.4237405658,34.1014761698,34.443600524,801800.0
2000-04-25,37.44,39.69,37.06,39.69,1330200.0,0.0,1.0,34.6192860032,36.6997719409,34.2679150448,36.6997719409,1330200.0
2000-04-26,39.13,39.5,38.38,38.38,1109100.0,0.0,1.0,36.1819621075,36.5240864617,35.4884667949,35.4884667949,1109100.0
