Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,72.75,72.75,68.69,69.87,980800.0,0.0,1.0,31.3054907986,31.3054907986,29.5584077382,30.0661806474,1471200.0
2000-01-04,68.31,68.5,65.88,66.94,1047400.0,0.0,1.0,29.3948876488,29.4766476935,28.3492197087,28.8053546949,1571100.0
2000-01-05,67.13,67.44,65.5,66.44,745667.0,0.0,1.0,28.8871147396,29.0205127073,28.1856996193,28.5901966826,1118500.5
2000-01-06,66.0,68.31,65.0,68.25,1189667.0,0.0,1.0,28.4008576317,29.3948876488,27.970541607,29.3690686873,1784500.5
2000-01-07,68.0,69.0,66.81,67.81,565800.0,0.0,1.0,29.2614896811,29.6918057059,28.7494136117,29.1797296364,848700.0
2000-01-10,67.63,68.0,65.31,66.03,616867.0,0.0,1.0,29.102272752,29.2614896811,28.1039395746,28.4137671124,925300.5
2000-01-11,65.75,66.0,63.63,64.06,561600.0,0.0,1.0,28.2932786255,28.4008576317,27.3810086531,27.5660445437,842400.0
2000-01-12,64.0,64.38,63.25,63.69,928867.0,0.0,1.0,27.5402255822,27.7037456716,27.2174885637,27.4068276146,1393300.5
2000-01-13,64.0,65.88,63.88,65.5,1129267.0,0.0,1.0,27.5402255822,28.3492197087,27.4885876593,28.1856996193,1693900.5
2000-01-14,65.94,67.06,65.63,66.38,1210267.0,0.0,1.0,28.3750386702,28.8569926179,28.2416407025,28.5643777211,1815400.5
2000-01-18,66.38,66.38,64.44,65.0,943067.0,0.0,1.0,28.5643777211,28.5643777211,27.7295646331,27.970541607,1414600.5
2000-01-19,65.25,65.75,60.69,61.81,1169200.0,0.0,1.0,28.0781206132,28.2932786255,26.1158795404,26.5978334881,1753800.0
2000-01-20,62.06,62.06,59.69,60.0,1289267.0,0.0,1.0,26.7054124943,26.7054124943,25.6855635157,25.8189614834,1933900.5
2000-01-21,61.0,61.13,59.63,60.13,1259000.0,0.0,1.0,26.2492775081,26.3052185913,25.6597445542,25.8749025666,1888500.0
2000-01-24,60.06,60.63,57.56,57.72,551067.0,0.0,1.0,25.8447804448,26.0900605789,24.768990383,24.837840947,826600.5
2000-01-25,58.25,61.38,58.06,60.56,849867.0,0.0,1.0,25.0659084401,26.4127975975,24.9841483954,26.0599384572,1274800.5
2000-01-26,61.06,63.44,60.5,63.19,914867.0,0.0,1.0,26.2750964696,27.2992486084,26.0341194957,27.1916696022,1372300.5
2000-01-27,63.19,64.69,63.13,63.94,688067.0,0.0,1.0,27.1916696022,27.8371436393,27.1658506407,27.5144066208,1032100.5
