Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,33.62,33.94,33.19,33.38,955500.0,0.0,1.0,11.3318954927,11.4397541053,11.1869604819,11.2510015332,1911000.0
2000-01-04,33.12,34.0,32.0,32.25,1101650.0,0.0,1.0,11.1658328678,11.4625095865,10.7882443167,10.8725274755,2203300.0
2000-01-05,32.5,33.38,32.5,32.75,916100.0,0.0,1.0,10.960251511,11.2570213981,10.960251511,11.0445611381,1832200.0
2000-01-06,33.5,33.62,32.87,33.06,474950.0,0.0,1.0,11.2961486613,11.3366124774,11.0837136268,11.1477813356,949900.0
2000-01-07,32.87,33.31,32.75,32.87,810150.0,0.0,1.0,11.0789678706,11.2272716693,11.03852138,11.0789678706,1620300.0
2000-01-10,34.87,39.0,34.87,38.88,2672400.0,0.0,1.0,11.7569344819,13.1494248579,11.7569344819,13.1089650891,5344800.0
2000-01-11,39.0,39.37,37.63,38.12,3263300.0,0.0,1.0,13.1475778912,13.2723113225,12.6857270781,12.8509145952,6526600.0
2000-01-12,37.69,37.75,36.25,37.19,1219050.0,0.0,1.0,12.7098645699,12.730097838,12.2242661359,12.5412540026,2438100.0
2000-01-13,39.25,39.5,38.31,39.37,2074800.0,0.0,1.0,13.2319427214,13.3162226113,12.9150503352,13.2723970685,4149600.0
2000-01-14,40.0,40.75,38.25,38.75,2076850.0,0.0,1.0,13.4874391468,13.7403286308,12.8973636841,13.0659566734,4153700.0
2000-01-18,38.94,38.94,37.87,38.12,609350.0,0.0,1.0,13.1273508483,13.1273508483,12.7666352498,12.8509145952,1218700.0
2000-01-19,38.0,38.0,37.25,37.44,667650.0,0.0,1.0,12.8074099286,12.8074099286,12.5546321011,12.6186691507,1335300.0
2000-01-20,38.88,38.88,37.75,38.19,1213800.0,0.0,1.0,13.1093705101,13.1093705101,12.7283625709,12.8767196446,2427600.0
2000-01-21,37.75,37.81,37.31,37.44,670450.0,0.0,1.0,12.7231506528,12.743372879,12.5748543273,12.6186691507,1340900.0
2000-01-24,37.75,37.75,35.56,35.69,431500.0,0.0,1.0,12.7283339828,12.7283339828,11.9899220246,12.0337546979,863000.0
2000-01-25,35.94,36.25,35.44,36.12,317500.0,0.0,1.0,12.1192857199,12.2238204604,11.9506812997,12.1799833111,635000.0
2000-01-26,36.06,36.38,36.0,36.38,376700.0,0.0,1.0,12.1581078927,12.2660001424,12.1378780958,12.2660001424,753400.0
2000-01-27,37.87,38.0,37.5,37.75,791000.0,0.0,1.0,12.7709588175,12.814798919,12.6461831438,12.7304910314,1582000.0
2000-01-28,38.25,40.25,38.25,39.06,1680200.0,0.0,1.0,12.8960833414,13.5703883527,12.8960833414,13.169176871,3360400.0
2000-01-31,40.88,41.0,39.69,41.0,1327450.0,0.0,1.0,13.7824475065,13.8229047888,13.3812461236,13.8229047888,2654900.0
2000-02-01,40.88,41.44,40.13,41.44,1483000.0,0.0,1.0,13.780361329,13.969133402,13.5275415884,13.969133402,2966000.0
2000-02-02,44.75,45.0,42.87,44.87,3972600.0,0.0,1.0,15.0898960986,15.1741971942,14.4559518603,15.1303606245,7945200.0
2000-02-03,48.0,48.0,46.06,47.44,3433800.0,0.0,1.0,16.1792872891,16.1792872891,15.5253744279,15.9905289374,6867600.0
2000-02-04,45.75,45.81,44.5,45.25,1340950.0,0.0,1.0,15.42799787,15.4482313098,15.0064678736,15.2593858714,2681900.0
2000-02-07,46.5,46.5,45.63,46.38,1188700.0,0.0,1.0,15.67832011,15.67832011,15.3849837983,15.6378599291,2377400.0
2000-02-08,46.81,48.13,46.81,47.44,828950.0,0.0,1.0,15.7781757917,16.2231061922,15.7781757917,15.9905289374,1657900.0
2000-02-09,51.25,52.5,49.56,49.56,4560350.0,0.0,1.0,17.2829873671,17.7045236444,16.7130703203,16.7130703203,9120700.0
2000-02-10,50.75,50.75,49.5,50.13,1920400.0,0.0,1.0,17.111352443,17.111352443,16.6898905602,16.9023073491,3840800.0
2000-02-11,50.37,50.37,48.88,49.06,1112300.0,0.0,1.0,16.9827153781,16.9827153781,16.4803479786,16.5410366577,2224600.0
2000-02-14,48.0,49.56,47.75,48.75,1455050.0,0.0,1.0,16.1849269761,16.7109371029,16.1006304815,16.4378164601,2910100.0
2000-02-15,49.63,51.0,49.5,50.81,2637650.0,0.0,1.0,16.7366237974,17.1986261066,16.6927841622,17.1345527936,5275300.0
2000-02-16,51.75,51.75,50.69,51.06,1327900.0,0.0,1.0,17.4445621032,17.4445621032,17.0872435364,17.2119679418,2655800.0
2000-02-17,52.0,52.0,50.37,50.75,1241550.0,0.0,1.0,17.5301454719,17.5301454719,16.980642835,17.1087477442,2483100.0
2000-02-18,51.0,51.0,48.88,49.25,639450.0,0.0,1.0,17.1911405161,17.1911405161,16.4765284006,16.6012484396,1278900.0
2000-02-22,48.5,49.38,48.0,49.31,1184250.0,0.0,1.0,16.353926064,16.6506570936,16.1853288881,16.627053489,2368500.0
2000-02-23,50.0,50.0,49.38,49.75,886350.0,0.0,1.0,16.8575699519,16.8575699519,16.6485360845,16.7732821022,1772700.0
2000-02-24,48.13,48.38,47.31,48.0,885450.0,0.0,1.0,16.2235861657,16.3078557802,15.9471818305,16.1797659663,1770900.0
2000-02-25,48.31,48.88,48.25,48.25,619050.0,0.0,1.0,16.2860096777,16.4781650393,16.2657827976,16.2657827976,1238100.0
2000-02-28,50.0,51.31,49.63,51.19,1122450.0,0.0,1.0,16.8538546175,17.2954256085,16.7291360934,17.2549763574,2244900.0
2000-02-29,50.25,50.37,48.81,50.31,578650.0,0.0,1.0,16.9422895316,16.9827487305,16.456779145,16.962519131,1157300.0
2000-03-01,51.5,52.69,51.19,52.37,736550.0,0.0,1.0,17.365889945,17.7671600234,17.2613574036,17.6592554645,1473100.0
2000-03-02,54.12,54.75,53.0,53.75,878950.0,0.0,1.0,18.2485051656,18.4609323322,17.8708568695,18.1237463535,1757900.0
2000-03-03,56.12,57.19,56.06,56.38,1659700.0,0.0,1.0,18.9220551694,19.282828495,18.9018248895,19.0097197158,3319400.0
2000-03-06,56.12,56.12,54.75,54.81,898650.0,0.0,1.0,18.91801551,18.91801551,18.4561894008,18.4764153618,1797300.0
2000-03-07,56.0,56.0,53.0,53.13,1162200.0,0.0,1.0,18.8761046379,18.8761046379,17.8648847466,17.9087042753,2324400.0
2000-03-08,54.25,54.5,53.56,54.25,1184850.0,0.0,1.0,18.2871783329,18.3714510442,18.05458565,18.2871783329,2369700.0
2000-03-09,53.0,53.37,52.31,53.0,694700.0,0.0,1.0,17.8656958596,17.990418642,17.6331047248,17.8656958596,1389400.0
2000-03-10,52.5,53.0,51.31,51.31,533150.0,0.0,1.0,17.699165866,17.8677293505,17.2979847731,17.2979847731,1066300.0
2000-03-13,50.5,50.75,50.13,50.31,696400.0,0.0,1.0,17.0265795293,17.1108695269,16.9018303327,16.962519131,1392800.0
2000-03-14,50.06,50.37,49.19,49.44,755600.0,0.0,1.0,16.8791120337,16.9836370982,16.5857674977,16.6700619046,1511200.0
2000-03-15,49.12,49.12,47.13,47.69,1777450.0,0.0,1.0,16.5586061681,16.5586061681,15.887766871,16.0765457687,3554900.0
2000-03-16,48.25,50.44,48.25,50.31,998950.0,0.0,1.0,16.2679695502,17.0063499298,16.2679695502,16.962519131,1997900.0
2000-03-17,49.81,51.19,49.44,51.12,865850.0,0.0,1.0,16.7960381982,17.2613771404,16.6712734093,17.2377729912,1731700.0
2000-03-20,51.25,52.81,51.25,52.44,505400.0,0.0,1.0,17.2753340022,17.8011783153,17.2753340022,17.6764588308,1010800.0
2000-03-21,53.5,53.75,53.37,53.5,884400.0,0.0,1.0,18.0377295222,18.1220179779,17.9938995252,18.0377295222,1768800.0
2000-03-22,53.5,53.62,52.37,53.25,419150.0,0.0,1.0,18.0359930322,18.076447596,17.6550458896,17.9517126909,838300.0
2000-03-23,52.13,52.69,50.37,52.25,1048100.0,0.0,1.0,17.5757886824,17.7645943924,16.9823993081,17.6162470489,2096200.0
2000-03-24,52.37,52.81,51.5,52.19,437950.0,0.0,1.0,17.6511103183,17.7994106532,17.3578801106,17.5904419995,875900.0
2000-03-27,52.0,52.0,50.5,50.75,555800.0,0.0,1.0,17.5301454719,17.5301454719,17.0244681987,17.1087477442,1111600.0
2000-03-28,50.63,51.38,50.56,50.75,707600.0,0.0,1.0,17.1026189391,17.3559660496,17.0789732088,17.1431544767,1415200.0
2000-03-29,50.5,50.75,50.13,50.56,758100.0,0.0,1.0,17.0540787399,17.1385048723,16.929128064,17.0743410117,1516200.0
2000-03-30,49.63,49.75,48.19,48.62,533250.0,0.0,1.0,16.7617241433,16.8022521888,16.2753875976,16.4206130939,1066500.0
2000-03-31,47.75,48.13,47.19,47.75,600500.0,0.0,1.0,16.1281558675,16.2565055896,15.9390089086,16.1281558675,1201000.0
2000-04-03,48.25,48.5,46.25,46.5,793850.0,0.0,1.0,16.2977847584,16.3822292391,15.6222289135,15.7066733941,1587700.0
2000-04-04,47.0,47.0,44.0,45.69,757300.0,0.0,1.0,15.8738611972,15.8738611972,14.8606360144,15.431419534,1514600.0
2000-04-05,45.0,45.5,44.0,45.13,734300.0,0.0,1.0,15.1982763734,15.3671461109,14.8605368985,15.2421825052,1468600.0
2000-04-06,46.0,47.25,46.0,46.75,980650.0,0.0,1.0,15.5393315587,15.9615960033,15.5393315587,15.7926902254,1961300.0
2000-04-07,47.37,47.37,46.75,47.0,498150.0,0.0,1.0,16.0037096442,16.0037096442,15.794245849,15.8787070567,996300.0
2000-04-10,47.87,47.87,46.88,46.88,790800.0,0.0,1.0,16.1701129255,16.1701129255,15.8356986411,15.8356986411,1581600.0
2000-04-11,46.25,46.25,44.5,44.5,854850.0,0.0,1.0,15.6180953875,15.6180953875,15.0271404269,15.0271404269,1709700.0
2000-04-12,44.38,44.38,41.56,42.75,1780700.0,0.0,1.0,14.9928886253,14.9928886253,14.0402084558,14.4422259741,3561400.0
2000-04-13,42.5,42.94,40.5,40.75,1086350.0,0.0,1.0,14.3537289029,14.5023322139,13.6782593075,13.7626930069,2172700.0
2000-04-14,40.5,40.5,37.25,38.25,871150.0,0.0,1.0,13.6797120638,13.6797120638,12.581957392,12.9197280602,1742300.0
2000-04-17,38.5,38.94,37.44,38.38,1846050.0,0.0,1.0,13.0032661366,13.1518748924,12.6452541339,12.9627364759,3692100.0
2000-04-18,37.5,40.37,37.25,40.37,1947000.0,0.0,1.0,12.6644176616,13.63366776,12.5799882105,13.63366776,3894000.0
2000-04-19,40.62,41.5,40.56,41.12,1591350.0,0.0,1.0,13.7228014463,14.0200950276,13.7025314294,13.8917182539,3182700.0
2000-04-20,41.0,41.0,39.81,39.94,683150.0,0.0,1.0,13.8453932153,13.8453932153,13.4435391195,13.4874391468,1366300.0
2000-04-24,39.81,40.25,39.12,39.75,395050.0,0.0,1.0,13.4474948779,13.5961233066,13.2144184783,13.4272273649,790100.0
2000-04-25,40.25,42.37,40.25,42.06,667300.0,0.0,1.0,13.5984716195,14.3147140999,13.5984716195,14.2099805296,1334600.0
2000-04-26,42.25,43.5,42.25,42.63,437150.0,0.0,1.0,14.2708642235,14.6930791413,14.2708642235,14.3992175585,874300.0
2000-04-27,42.37,43.62,42.25,43.62,593350.0,0.0,1.0,14.3124375792,14.7346832005,14.2719019996,14.7346832005,1186700.0
2000-04-28,43.88,44.25,43.5,44.0,568900.0,0.0,1.0,14.8231710608,14.9481613364,14.6948026697,14.8637084475,1137800.0
2000-05-01,44.0,44.81,43.81,44.5,329400.0,0.0,1.0,14.8582961525,15.1318238771,14.7941353282,15.0271404269,658800.0
2000-05-02,44.5,44.56,43.5,43.5,650400.0,0.0,1.0,15.0294144351,15.0496788141,14.6916747849,14.6916747849,1300800.0
2000-05-03,43.5,43.5,41.94,42.69,502900.0,0.0,1.0,14.6899580751,14.6899580751,14.1631457855,14.4164209247,1005800.0
2000-05-04,42.5,42.63,41.5,41.87,625400.0,0.0,1.0,14.3539431633,14.3978493424,14.0162033241,14.1411670646,1250800.0
2000-05-05,41.75,42.37,41.75,42.37,398800.0,0.0,1.0,14.1037557319,14.3132007272,14.1037557319,14.3132007272,797600.0
2000-05-08,41.75,42.0,41.5,41.87,355200.0,0.0,1.0,14.1006382839,14.1850732437,14.0162033241,14.1411670646,710400.0
2000-05-09,42.0,42.25,41.44,42.19,369700.0,0.0,1.0,14.1888015099,14.2732586617,13.9996174898,14.2529889453,739400.0
2000-05-10,41.5,41.5,40.13,40.69,501350.0,0.0,1.0,14.0191157554,14.0191157554,13.5563160305,13.7454896407,1002700.0
2000-05-11,39.25,40.25,38.62,40.25,1351900.0,0.0,1.0,13.2613911883,13.5992610275,13.0485331896,13.5992610275,2703800.0
2000-05-12,40.0,41.06,40.0,40.56,687000.0,0.0,1.0,13.5132950937,13.8713974137,13.5132950937,13.702481225,1374000.0
2000-05-15,40.75,41.56,40.69,40.69,471000.0,0.0,1.0,13.7657582418,14.0393843565,13.7454896407,13.7454896407,942000.0
2000-05-16,41.38,41.94,41.19,41.69,758650.0,0.0,1.0,13.9762516095,14.1653937289,13.9120783904,14.0809552827,1517300.0
2000-05-17,40.75,41.25,40.37,40.81,628450.0,0.0,1.0,13.768225822,13.9371611081,13.6398350045,13.7884980563,1256900.0
2000-05-18,39.56,40.25,39.56,39.69,332450.0,0.0,1.0,13.3575275082,13.5905076392,13.3575275082,13.4014223155,664900.0
2000-05-19,39.37,39.37,37.69,38.06,646800.0,0.0,1.0,13.3021323142,13.3021323142,12.7345025888,12.8595162783,1293600.0
2000-05-22,37.25,37.25,36.56,36.75,710650.0,0.0,1.0,12.5811026162,12.5811026162,12.3480566886,12.4122287556,1421300.0
2000-05-23,37.13,37.75,37.06,37.13,597450.0,0.0,1.0,12.5412540026,12.750668963,12.517610378,12.5412540026,1194900.0
2000-05-24,36.44,37.0,36.19,36.75,639200.0,0.0,1.0,12.307526962,12.4966656859,12.2230900317,12.4122287556,1278400.0
2000-05-25,37.0,38.25,36.75,36.94,930600.0,0.0,1.0,12.4926989683,12.9147496091,12.4082888401,12.4724405375,1861200.0
2000-05-26,36.25,36.94,35.69,36.75,1393150.0,0.0,1.0,12.243354895,12.4764008227,12.0542161711,12.4122287556,2786300.0
2000-05-30,37.25,40.19,37.25,40.06,664700.0,0.0,1.0,12.5813572566,13.5743556549,12.5813572566,13.5304475624,1329400.0
2000-05-31,38.75,39.56,38.56,39.19,478800.0,0.0,1.0,13.0893627334,13.3629726383,13.0251826322,13.237990336,957600.0
2000-06-01,39.0,41.69,38.94,41.12,995000.0,0.0,1.0,13.1755109898,14.0842834145,13.1552409729,13.8917182539,1990000.0
2000-06-02,43.0,43.69,42.5,43.69,1703750.0,0.0,1.0,14.518908729,14.7518865668,14.3500842089,14.7518865668,3407500.0
2000-06-05,43.5,43.5,42.5,42.94,741000.0,0.0,1.0,14.6915706192,14.6915706192,14.3538333636,14.502437756,1482000.0
2000-06-06,42.94,43.0,42.06,42.63,423900.0,0.0,1.0,14.5039268581,14.5241931742,14.2066875559,14.3992175585,847800.0
