Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,153.0,153.69,149.19,150.0,7356600.0,0.0,1.0,30.1302633604,30.2661449403,29.3799607238,29.5394738828,22069800.0
2000-01-04,147.25,148.0,144.0,144.0,7373800.0,0.0,1.0,28.9979168616,29.145614231,28.3578949274,28.3578949274,22121400.0
2000-01-05,143.75,147.0,142.56,143.75,9097600.0,0.0,1.0,28.308662471,28.9486844051,28.0743159782,28.308662471,27292800.0
2000-01-06,143.13,146.94,142.63,145.67,6624400.0,0.0,1.0,28.1865659789,28.9368686155,28.088101066,28.6867677367,19873200.0
2000-01-07,148.0,151.88,147.0,151.31,6713800.0,0.0,1.0,29.145614231,29.9097019554,28.9486844051,29.7974519547,20141400.0
2000-01-10,152.69,154.06,151.13,151.25,5075500.0,0.0,1.0,30.0692151144,30.3390089758,29.762004586,29.7856361651,15226500.0
2000-01-11,151.0,152.69,150.63,151.5,5041000.0,0.0,1.0,29.7364037086,30.0692151144,29.6635396731,29.8348686216,15123000.0
2000-01-12,151.06,153.25,150.56,152.0,6114100.0,0.0,1.0,29.7482194982,30.1794958169,29.6497545852,29.9333335345,18342300.0
2000-01-13,153.13,154.94,153.0,153.75,4984500.0,0.0,1.0,30.1558642378,30.5123072226,30.1302633604,30.2779607298,14953500.0
2000-01-14,153.38,154.63,149.56,151.0,6160100.0,0.0,1.0,30.2050966942,30.4512589766,29.4528247594,29.7364037086,18480300.0
2000-01-18,149.63,149.63,146.75,148.0,6098900.0,0.0,1.0,29.4666098472,29.4666098472,28.8994519486,29.145614231,18296700.0
2000-01-19,146.5,150.94,146.25,148.72,4949900.0,0.0,1.0,28.8502194922,29.7245879191,28.8009870357,29.2874037056,14849700.0
2000-01-20,149.06,149.75,142.63,145.94,10253000.0,0.0,1.0,29.3543598464,29.4902414263,28.088101066,28.7399387897,30759000.0
2000-01-21,147.94,148.25,143.94,144.13,8001800.0,0.0,1.0,29.1337984414,29.1948466875,28.3460791379,28.3834958048,24005400.0
2000-01-24,145.31,145.94,136.44,138.13,9038700.0,0.0,1.0,28.6158729994,28.7399387897,26.8691054438,27.2019168495,27116100.0
2000-01-25,138.06,140.38,137.0,138.5,8462500.0,0.0,1.0,27.1881317617,27.6450089577,26.9793861462,27.2747808851,25387500.0
2000-01-26,140.5,142.19,138.88,141.44,5285600.0,0.0,1.0,27.6686405368,28.0014519426,27.3496142189,27.8537545732,15856800.0
2000-01-27,141.56,141.75,137.06,141.75,6414500.0,0.0,1.0,27.8773861523,27.9148028192,26.9912019358,27.9148028192,19243500.0
2000-01-28,140.31,140.5,133.63,134.0,9948900.0,0.0,1.0,27.6312238699,27.6686405368,26.315732633,26.3885966686,29846700.0
2000-01-31,134.0,135.94,133.06,134.0,7260900.0,0.0,1.0,26.3885966686,26.7706405308,26.2034826323,26.3885966686,21782700.0
2000-02-01,134.25,137.0,134.0,136.0,9113000.0,0.0,1.0,26.4378291251,26.9793861462,26.3885966686,26.7824563204,27339000.0
2000-02-02,137.13,137.63,134.06,134.06,7273400.0,0.0,1.0,27.0049870236,27.1034519366,26.4004124581,26.4004124581,21820200.0
2000-02-03,135.94,139.81,135.25,139.25,6744000.0,0.0,1.0,26.7706405308,27.532758957,26.6347589509,27.4224782545,20232000.0
