Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,35.38,35.5,34.06,34.44,1039100.0,0.0,1.0,10.5848454253,10.6207465404,10.1899331596,10.303620024,2078200.0
2000-01-04,34.06,34.44,33.56,33.81,773400.0,0.0,1.0,10.1894356717,10.3031169858,10.0398549954,10.1146453336,1546800.0
2000-01-05,33.19,34.19,33.19,34.0,1009400.0,0.0,1.0,9.93197675874,10.2312228196,9.93197675874,10.174366068,2018800.0
2000-01-06,33.56,34.0,32.94,33.56,1646300.0,0.275,1.0,10.290641464,10.425560482,10.1005283023,10.290641464,3292600.0
2000-01-07,34.44,34.56,33.5,33.63,2264500.0,0.0,1.0,10.5604795,10.5972755958,10.2722434161,10.3121058532,4529000.0
2000-01-10,33.63,33.81,32.88,32.94,733100.0,0.0,1.0,10.3121058532,10.367299997,10.0821302544,10.1005283023,1466200.0
2000-01-11,33.0,33.56,32.94,33.38,926200.0,0.0,1.0,10.1189263502,10.290641464,10.1005283023,10.2354473203,1852400.0
2000-01-12,33.25,33.94,33.19,33.31,1093400.0,0.0,1.0,10.1955848831,10.4071624341,10.1771868352,10.2139829311,2186800.0
2000-01-13,33.0,33.88,32.88,33.44,688800.0,0.0,1.0,10.1189263502,10.3887643862,10.0821302544,10.2538453682,1377600.0
2000-01-14,32.94,33.38,32.44,32.69,757500.0,0.0,1.0,10.1005283023,10.2354473203,9.94721123637,10.0238697693,1515000.0
2000-01-18,32.0,33.25,31.81,33.0,941600.0,0.0,1.0,9.81229221836,10.1955848831,9.75403173332,10.1189263502,1883200.0
2000-01-19,32.88,33.31,32.31,32.69,1287700.0,0.0,1.0,10.0821302544,10.2139829311,9.90734879923,10.0238697693,2575400.0
2000-01-20,32.38,32.69,31.81,32.13,968300.0,0.0,1.0,9.92881318846,10.0238697693,9.75403173332,9.8521546555,1936600.0
2000-01-21,32.13,32.25,31.31,31.5,1143600.0,0.0,1.0,9.8521546555,9.88895075132,9.6007146674,9.65897515245,2287200.0
2000-01-24,31.5,32.0,31.0,31.19,981400.0,0.0,1.0,9.65897515245,9.81229221836,9.50565808654,9.56391857159,1962800.0
2000-01-25,30.75,31.31,30.19,30.19,578600.0,0.0,1.0,9.42899955358,9.6007146674,9.25728443976,9.25728443976,1157200.0
2000-01-26,31.44,31.56,30.56,31.0,693800.0,0.0,1.0,9.64057710454,9.67737320036,9.37073906854,9.50565808654,1387600.0
2000-01-27,31.25,31.56,30.31,30.38,660400.0,0.0,1.0,9.58231661949,9.67737320036,9.29408053558,9.31554492481,1320800.0
2000-01-28,30.88,30.94,30.0,30.25,743000.0,0.0,1.0,9.46886199072,9.48726003863,9.19902395472,9.27568248767,1486000.0
2000-01-31,30.13,31.31,30.06,31.19,671500.0,0.0,1.0,9.23888639185,9.6007146674,9.21742200262,9.56391857159,1343000.0
2000-02-01,31.56,31.63,30.0,30.25,1628000.0,0.0,1.0,9.67737320036,9.69883758959,9.19902395472,9.27568248767,3256000.0
2000-02-02,30.25,30.81,29.5,30.13,1287400.0,0.0,1.0,9.27568248767,9.44739760149,9.0457068888,9.23888639185,2574800.0
2000-02-03,30.13,30.69,29.38,30.63,996900.0,0.0,1.0,9.23888639185,9.41060150567,9.00891079298,9.39220345776,1993800.0
2000-02-04,30.5,30.56,30.0,30.38,717500.0,0.0,1.0,9.35234102063,9.37073906854,9.19902395472,9.31554492481,1435000.0
2000-02-07,30.88,31.13,29.5,30.56,1205200.0,0.0,1.0,9.46886199072,9.54552052368,9.0457068888,9.37073906854,2410400.0
2000-02-08,30.94,31.0,30.56,30.81,1179200.0,0.0,1.0,9.48726003863,9.50565808654,9.37073906854,9.44739760149,2358400.0
2000-02-09,30.81,30.94,30.44,30.5,1513400.0,0.0,1.0,9.44739760149,9.48726003863,9.33394297272,9.35234102063,3026800.0
2000-02-10,30.38,30.5,29.75,30.06,1892000.0,0.0,1.0,9.31554492481,9.35234102063,9.12236542176,9.21742200262,3784000.0
2000-02-11,30.44,30.69,30.13,30.44,913700.0,0.0,1.0,9.33394297272,9.41060150567,9.23888639185,9.33394297272,1827400.0
2000-02-14,30.5,31.0,30.5,31.0,1206600.0,0.0,1.0,9.35234102063,9.50565808654,9.35234102063,9.50565808654,2413200.0
2000-02-15,31.25,32.44,31.25,32.44,1401400.0,0.0,1.0,9.58231661949,9.94721123637,9.58231661949,9.94721123637,2802800.0
2000-02-16,32.06,32.25,31.56,32.06,866800.0,0.0,1.0,9.83069026627,9.88895075132,9.67737320036,9.83069026627,1733600.0
2000-02-17,32.13,32.56,31.75,32.38,981600.0,0.0,1.0,9.8521546555,9.98400733218,9.73563368541,9.92881318846,1963200.0
2000-02-18,32.13,32.38,31.69,32.06,714100.0,0.0,1.0,9.8521546555,9.92881318846,9.7172356375,9.83069026627,1428200.0
2000-02-22,32.06,33.56,32.06,33.44,1170100.0,0.0,1.0,9.83069026627,10.290641464,9.83069026627,10.2538453682,2340200.0
2000-02-23,33.19,33.81,32.88,33.44,1564900.0,0.0,1.0,10.1771868352,10.367299997,10.0821302544,10.2538453682,3129800.0
2000-02-24,33.38,33.38,32.63,33.13,1523400.0,0.0,1.0,10.2354473203,10.2354473203,10.0054717214,10.1587887873,3046800.0
2000-02-25,32.94,33.13,32.69,33.0,1681700.0,0.0,1.0,10.1005283023,10.1587887873,10.0238697693,10.1189263502,3363400.0
2000-02-28,32.94,33.13,32.81,32.94,1030800.0,0.0,1.0,10.1005283023,10.1587887873,10.0606658651,10.1005283023,2061600.0
2000-02-29,32.94,33.19,32.75,32.94,1217100.0,0.0,1.0,10.1005283023,10.1771868352,10.0422678172,10.1005283023,2434200.0
2000-03-01,33.06,33.81,32.94,33.19,1431500.0,0.0,1.0,10.1373243981,10.367299997,10.1005283023,10.1771868352,2863000.0
2000-03-02,32.81,32.88,31.5,32.19,1595000.0,0.0,1.0,10.0606658651,10.0821302544,9.65897515245,9.87055270341,3190000.0
2000-03-03,32.19,32.75,31.88,32.38,908000.0,0.0,1.0,9.87055270341,10.0422678172,9.77549612254,9.92881318846,1816000.0
2000-03-06,32.75,32.75,31.56,31.75,1314100.0,0.0,1.0,10.0422678172,10.0422678172,9.67737320036,9.73563368541,2628200.0
2000-03-07,32.0,32.0,30.5,31.0,2457500.0,0.0,1.0,9.81229221836,9.81229221836,9.35234102063,9.50565808654,4915000.0
2000-03-08,30.75,31.69,30.31,31.38,1846200.0,0.0,1.0,9.42899955358,9.7172356375,9.29408053558,9.62217905663,3692400.0
2000-03-09,31.25,31.88,31.06,31.56,1424800.0,0.0,1.0,9.58231661949,9.77549612254,9.52405613445,9.67737320036,2849600.0
2000-03-10,31.31,31.63,30.88,31.38,1221000.0,0.0,1.0,9.6007146674,9.69883758959,9.46886199072,9.62217905663,2442000.0
2000-03-13,30.63,31.44,30.44,31.0,1207600.0,0.0,1.0,9.39220345776,9.64057710454,9.33394297272,9.50565808654,2415200.0
2000-03-14,30.69,31.25,30.56,30.63,741300.0,0.0,1.0,9.41060150567,9.58231661949,9.37073906854,9.39220345776,1482600.0
2000-03-15,30.63,32.94,30.38,32.75,1229300.0,0.0,1.0,9.39220345776,10.1005283023,9.31554492481,10.0422678172,2458600.0
2000-03-16,33.0,35.69,32.88,35.19,1689500.0,0.0,1.0,10.1189263502,10.9437721648,10.0821302544,10.7904550989,3379000.0
2000-03-17,35.13,35.5,34.5,34.5,1398400.0,0.0,1.0,10.772057051,10.8855116797,10.5788775479,10.5788775479,2796800.0
2000-03-20,34.56,35.44,34.5,34.81,1132400.0,0.0,1.0,10.5972755958,10.8671136318,10.5788775479,10.6739341288,2264800.0
2000-03-21,35.06,35.06,34.13,34.75,1406600.0,0.0,1.0,10.7505926617,10.7505926617,10.4654229191,10.6555360809,2813200.0
2000-03-22,34.5,35.19,34.31,34.69,1115600.0,0.0,1.0,10.5788775479,10.7904550989,10.5206170629,10.637138033,2231200.0
2000-03-23,35.06,35.06,34.25,34.94,1401800.0,0.0,1.0,10.7505926617,10.7505926617,10.502219015,10.7137965659,2803600.0
2000-03-24,35.19,35.38,34.25,34.25,555000.0,0.0,1.0,10.7904550989,10.8487155839,10.502219015,10.502219015,1110000.0
2000-03-27,34.0,34.5,34.0,34.13,777900.0,0.0,1.0,10.425560482,10.5788775479,10.425560482,10.4654229191,1555800.0
2000-03-28,34.13,34.75,34.13,34.31,803200.0,0.0,1.0,10.4654229191,10.6555360809,10.4654229191,10.5206170629,1606400.0
2000-03-29,34.0,35.25,34.0,34.81,1517000.0,0.0,1.0,10.425560482,10.8088531468,10.425560482,10.6739341288,3034000.0
2000-03-30,34.63,35.88,34.63,35.88,1740700.0,0.0,1.0,10.6187399851,11.0020326498,10.6187399851,11.0020326498,3481400.0
2000-03-31,36.0,36.69,35.69,36.19,992000.0,0.0,1.0,11.0388287457,11.2504062966,10.9437721648,11.0970892307,1984000.0
2000-04-03,36.06,36.38,35.56,35.81,847400.0,0.0,1.0,11.0572267936,11.1553497158,10.9039097277,10.9805682606,1694800.0
2000-04-04,35.81,37.75,35.81,37.0,1694800.0,0.0,1.0,10.9805682606,11.5754384763,10.9805682606,11.3454628775,3389600.0
2000-04-05,36.88,37.44,36.31,36.5,606800.0,0.0,1.0,11.3086667817,11.4803818955,11.1338853265,11.1921458116,1213600.0
2000-04-06,36.31,36.56,35.81,36.06,542700.0,0.275,1.0,11.2187943244,11.2960374691,11.0643080352,11.1415511798,1085400.0
2000-04-07,35.81,36.0,35.19,35.38,585500.0,0.0,1.0,11.0643080352,11.1230128251,10.8727450365,10.9314498265,1171000.0
2000-04-10,35.13,35.81,34.94,35.06,948800.0,0.0,1.0,10.8542066818,11.0643080352,10.7955018919,10.8325786013,1897600.0
2000-04-11,35.19,35.88,35.06,35.63,1083000.0,0.0,1.0,10.8727450365,11.0859361157,10.8325786013,11.0086929711,2166000.0
2000-04-12,35.88,36.94,35.75,36.5,1330000.0,0.0,1.0,11.0859361157,11.4134470489,11.0457696805,11.2774991143,2660000.0
2000-04-13,36.25,37.5,36.13,37.06,1085100.0,0.0,1.0,11.2002559697,11.5864716928,11.1631792603,11.4505237583,2170200.0
2000-04-14,36.31,37.19,36.06,36.19,1035000.0,0.0,1.0,11.2187943244,11.4906901935,11.1415511798,11.181717615,2070000.0
2000-04-17,36.25,36.81,35.94,36.69,936200.0,0.0,1.0,11.2002559697,11.3732806137,11.1044744704,11.3362039043,1872400.0
2000-04-18,36.69,36.69,35.94,36.13,639600.0,0.0,1.0,11.3362039043,11.3362039043,11.1044744704,11.1631792603,1279200.0
2000-04-19,36.0,36.44,35.81,36.06,834200.0,0.0,1.0,11.1230128251,11.2589607596,11.0643080352,11.1415511798,1668400.0
2000-04-20,36.31,36.31,35.88,36.19,531500.0,0.0,1.0,11.2187943244,11.2187943244,11.0859361157,11.181717615,1063000.0
2000-04-24,36.06,37.0,36.06,36.81,991900.0,0.0,1.0,11.1415511798,11.4319854036,11.1415511798,11.3732806137,1983800.0
2000-04-25,37.06,38.44,36.56,38.0,1658800.0,0.0,1.0,11.4505237583,11.8769059166,11.2960374691,11.7409579821,3317600.0
2000-04-26,37.75,38.0,37.38,37.75,926100.0,0.0,1.0,11.6637148374,11.7409579821,11.5493949834,11.6637148374,1852200.0
2000-04-27,37.25,37.63,37.0,37.13,1095300.0,0.0,1.0,11.5092285482,11.626638128,11.4319854036,11.4721518388,2190600.0
2000-04-28,36.75,36.94,36.31,36.38,1026000.0,0.0,1.0,11.354742259,11.4134470489,11.2187943244,11.2404224049,2052000.0
2000-05-01,36.44,36.88,36.0,36.44,1084700.0,0.0,1.0,11.2589607596,11.3949086942,11.1230128251,11.2589607596,2169400.0
2000-05-02,36.69,36.75,36.06,36.25,921500.0,0.0,1.0,11.3362039043,11.354742259,11.1415511798,11.2002559697,1843000.0
2000-05-03,38.0,38.19,37.25,37.88,2258100.0,0.0,1.0,11.7409579821,11.799662772,11.5092285482,11.7038812726,4516200.0
2000-05-04,37.63,38.56,37.5,38.06,1136100.0,0.0,1.0,11.626638128,11.913982626,11.5864716928,11.7594963368,2272200.0
2000-05-05,37.94,38.38,37.94,38.06,559800.0,0.0,1.0,11.7224196274,11.8583675619,11.7224196274,11.7594963368,1119600.0
2000-05-08,38.13,38.56,38.0,38.19,866700.0,0.0,1.0,11.7811244173,11.913982626,11.7409579821,11.799662772,1733400.0
2000-05-09,37.81,38.75,37.81,38.25,476300.0,0.0,1.0,11.6822531922,11.9726874159,11.6822531922,11.8182011267,952600.0
2000-05-10,38.13,38.63,38.13,38.25,314700.0,0.0,1.0,11.7811244173,11.9356107065,11.7811244173,11.8182011267,629400.0
2000-05-11,38.25,38.81,38.13,38.44,456000.0,0.0,1.0,11.8182011267,11.9912257706,11.7811244173,11.8769059166,912000.0
2000-05-12,38.5,38.69,38.06,38.44,525100.0,0.0,1.0,11.8954442713,11.9541490612,11.7594963368,11.8769059166,1050200.0
2000-05-15,38.0,38.88,38.0,38.5,916000.0,0.0,1.0,11.7409579821,12.0128538511,11.7409579821,11.8954442713,1832000.0
2000-05-16,38.75,39.06,38.31,38.69,886200.0,0.0,1.0,11.9726874159,12.0684689152,11.8367394814,11.9541490612,1772400.0
2000-05-17,38.75,39.44,38.56,39.06,811900.0,0.0,1.0,11.9726874159,12.1858784951,11.913982626,12.0684689152,1623800.0
2000-05-18,38.69,39.19,38.69,38.88,508800.0,0.0,1.0,11.9541490612,12.1086353504,11.9541490612,12.0128538511,1017600.0
2000-05-19,38.5,39.88,38.5,39.81,1091500.0,0.0,1.0,11.8954442713,12.3218264296,11.8954442713,12.3001983491,2183000.0
2000-05-22,39.0,39.88,38.56,39.63,1244300.0,0.0,1.0,12.0499305605,12.3218264296,11.913982626,12.244583285,2488600.0
2000-05-23,39.0,39.69,39.0,39.63,897500.0,0.0,1.0,12.0499305605,12.2631216397,12.0499305605,12.244583285,1795000.0
2000-05-24,39.75,40.25,39.69,40.06,1308100.0,0.0,1.0,12.2816599944,12.4361462836,12.2631216397,12.3774414937,2616200.0
2000-05-25,39.75,40.25,39.63,39.81,1181000.0,0.0,1.0,12.2816599944,12.4361462836,12.244583285,12.3001983491,2362000.0
2000-05-26,39.5,41.38,39.5,41.0,1268100.0,0.0,1.0,12.2044168498,12.7852852973,12.2044168498,12.6678757175,2536200.0
2000-05-30,40.88,41.75,40.38,40.63,958000.0,0.0,1.0,12.6307990081,12.8996051513,12.4763127188,12.5535558635,1916000.0
2000-05-31,40.63,40.63,39.31,39.5,828100.0,0.0,1.0,12.5535558635,12.5535558635,12.1457120599,12.2044168498,1656200.0
2000-06-01,40.0,40.5,39.38,39.63,893500.0,0.0,1.0,12.358903139,12.5133894282,12.1673401404,12.244583285,1787000.0
2000-06-02,39.75,40.06,39.5,39.56,735300.0,0.0,1.0,12.2816599944,12.3774414937,12.2044168498,12.2229552045,1470600.0
2000-06-05,39.31,39.56,38.56,38.75,558300.0,0.0,1.0,12.1457120599,12.2229552045,11.913982626,11.9726874159,1116600.0
2000-06-06,38.5,39.88,38.0,39.75,1154000.0,0.0,1.0,11.8954442713,12.3218264296,11.7409579821,12.2816599944,2308000.0
2000-06-07,39.75,40.44,39.69,40.0,725800.0,0.0,1.0,12.2816599944,12.4948510735,12.2631216397,12.358903139,1451600.0
2000-06-08,39.31,39.44,38.75,39.44,789900.0,0.0,1.0,12.1457120599,12.1858784951,11.9726874159,12.1858784951,1579800.0
2000-06-09,39.19,39.56,38.88,38.94,705600.0,0.0,1.0,12.1086353504,12.2229552045,12.0128538511,12.0313922058,1411200.0
2000-06-12,38.75,39.94,38.75,39.63,637200.0,0.0,1.0,11.9726874159,12.3403647843,11.9726874159,12.244583285,1274400.0
2000-06-13,39.31,40.75,39.31,40.0,874700.0,0.0,1.0,12.1457120599,12.5906325729,12.1457120599,12.358903139,1749400.0
2000-06-14,40.38,40.56,39.88,40.25,690200.0,0.0,1.0,12.4763127188,12.531927783,12.3218264296,12.4361462836,1380400.0
2000-06-15,40.0,40.19,39.56,40.0,878100.0,0.0,1.0,12.358903139,12.4176079289,12.2229552045,12.358903139,1756200.0
