Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,7.88,8.25,7.88,8.0,7500.0,0.0,1.0,0.284241431922,0.297587793574,0.284241431922,0.288569981647,202500.0
2000-01-04,7.88,8.0,7.88,7.88,2400.0,0.0,1.0,0.284241431922,0.288569981647,0.284241431922,0.284241431922,64800.0
2000-01-05,7.88,8.13,7.88,8.13,4800.0,0.0,1.0,0.284241431922,0.293259243849,0.284241431922,0.293259243849,129600.0
2000-01-06,8.13,8.75,8.13,8.38,42600.0,0.0,1.0,0.293259243849,0.315623417427,0.293259243849,0.302277055775,1150200.0
2000-01-07,8.5,8.75,8.44,8.56,16400.0,0.0,1.0,0.3066056055,0.315623417427,0.304441330638,0.308769880362,442800.0
2000-01-10,8.5,9.0,8.5,8.81,44000.0,0.0,1.0,0.3066056055,0.324641229353,0.3066056055,0.317787692289,1188000.0
2000-01-11,8.84,9.0,8.75,8.87,53800.0,0.0,1.0,0.31886982972,0.324641229353,0.315623417427,0.319951967151,1452600.0
2000-01-12,8.94,9.12,8.87,9.0,20900.0,0.0,1.0,0.322476954491,0.328969779078,0.319951967151,0.324641229353,564300.0
2000-01-13,9.12,9.25,9.12,9.12,12900.0,0.0,1.0,0.328969779078,0.33365904128,0.328969779078,0.328969779078,348300.0
2000-01-14,9.12,9.25,9.12,9.19,9000.0,0.0,1.0,0.328969779078,0.33365904128,0.328969779078,0.331494766417,243000.0
2000-01-18,9.12,9.5,9.12,9.44,13400.0,0.0,1.0,0.328969779078,0.342676853206,0.328969779078,0.340512578344,361800.0
2000-01-19,9.25,9.37,9.25,9.25,8300.0,0.0,1.0,0.33365904128,0.337987591004,0.33365904128,0.33365904128,224100.0
2000-01-20,9.25,9.37,9.25,9.25,12800.0,0.0,1.0,0.33365904128,0.337987591004,0.33365904128,0.33365904128,345600.0
2000-01-21,9.25,9.37,9.25,9.37,22700.0,0.0,1.0,0.33365904128,0.337987591004,0.33365904128,0.337987591004,612900.0
2000-01-24,9.31,9.37,9.25,9.37,7000.0,0.0,1.0,0.335823316142,0.337987591004,0.33365904128,0.337987591004,189000.0
2000-01-25,9.25,9.25,9.25,9.25,1500.0,0.0,1.0,0.33365904128,0.33365904128,0.33365904128,0.33365904128,40500.0
2000-01-26,9.25,9.37,9.25,9.25,1800.0,0.0,1.0,0.33365904128,0.337987591004,0.33365904128,0.33365904128,48600.0
2000-01-27,9.37,11.25,9.37,11.13,54500.0,0.0,1.0,0.337987591004,0.405801536691,0.337987591004,0.401472986967,1471500.0
2000-01-28,10.75,11.0,10.75,11.0,13800.0,0.0,1.0,0.387765912838,0.396783724765,0.387765912838,0.396783724765,372600.0
2000-01-31,11.0,11.0,10.88,10.88,20500.0,0.0,1.0,0.396783724765,0.396783724765,0.39245517504,0.39245517504,553500.0
2000-02-01,10.88,10.94,10.88,10.88,12800.0,0.0,1.0,0.39245517504,0.394619449902,0.39245517504,0.39245517504,345600.0
2000-02-02,10.88,10.94,10.88,10.94,13400.0,0.0,1.0,0.39245517504,0.394619449902,0.39245517504,0.394619449902,361800.0
2000-02-03,10.94,11.13,10.88,10.88,19000.0,0.0,1.0,0.394619449902,0.401472986967,0.39245517504,0.39245517504,513000.0
2000-02-04,10.88,11.38,10.88,11.38,22400.0,0.0,1.0,0.39245517504,0.410490798893,0.39245517504,0.410490798893,604800.0
2000-02-07,11.44,12.0,10.5,10.5,22300.0,0.0,1.0,0.412655073755,0.432854972471,0.378748100912,0.378748100912,602100.0
2000-02-08,11.38,11.38,10.88,11.0,1700.0,0.0,1.0,0.410490798893,0.410490798893,0.39245517504,0.396783724765,45900.0
