Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2004-05-25,19.5,19.51,18.75,19.5,39921500.0,0.0,1.0,18.2270605043,18.2364077148,17.5260197157,18.2270605043,39921500.0
2004-05-26,19.5,19.53,19.5,19.5,8131800.0,0.0,1.0,18.2270605043,18.2551021359,18.2270605043,18.2270605043,8131800.0
2004-05-27,19.5,19.51,19.49,19.5,10778100.0,0.0,1.0,18.2270605043,18.2364077148,18.2177132938,18.2270605043,10778100.0
2004-05-28,19.5,19.52,19.5,19.5,5758600.0,0.0,1.0,18.2270605043,18.2457549253,18.2270605043,18.2270605043,5758600.0
2004-06-01,19.5,19.57,19.01,19.53,5799900.0,0.0,1.0,18.2270605043,18.2924909779,17.7690471891,18.2551021359,5799900.0
2004-06-02,19.54,19.65,19.39,19.47,2931200.0,0.0,1.0,18.2644493464,18.367268662,18.1242411886,18.1990188728,2931200.0
2004-06-03,19.46,19.55,19.25,19.51,2040900.0,0.0,1.0,18.1896716623,18.2737965569,17.9933802414,18.2364077148,2040900.0
2004-06-04,19.59,20.04,19.51,19.95,2832600.0,0.0,1.0,18.3111853989,18.7318098721,18.2364077148,18.6476849775,2832600.0
2004-06-07,20.02,20.38,20.0,20.37,3320600.0,0.0,1.0,18.7131154511,19.0496150296,18.6944210301,19.0402678191,3320600.0
2004-06-08,20.34,20.34,19.9,20.09,1971800.0,0.0,1.0,19.0122261876,19.0122261876,18.6009489249,18.7785459247,1971800.0
2004-06-09,19.95,20.08,19.9,20.05,1038900.0,0.0,1.0,18.6476849775,18.7691987142,18.6009489249,18.7411570826,1038900.0
2004-06-10,20.1,20.19,20.05,20.12,1395200.0,0.0,1.0,18.7878931352,18.8720180299,18.7411570826,18.8065875562,1395200.0
2004-06-14,20.1,20.18,20.0,20.15,1161400.0,0.0,1.0,18.7878931352,18.8626708193,18.6944210301,18.8346291878,1161400.0
2004-06-15,20.16,20.17,20.0,20.13,1390100.0,0.0,1.0,18.8439763983,18.8533236088,18.6944210301,18.8159347668,1390100.0
2004-06-16,20.07,20.27,20.07,20.23,1007500.0,0.0,1.0,18.7598515037,18.946795714,18.7598515037,18.9094068719,1007500.0
2004-06-17,20.18,21.1,20.15,20.9,2765300.0,0.0,1.0,18.8626708193,19.7226141867,18.8346291878,19.5356699764,2765300.0
2004-06-18,20.75,21.77,20.5,21.7,3918000.0,0.0,1.0,19.3954618187,20.3488772912,19.1617815558,20.2834468176,3918000.0
2004-06-21,21.6,21.65,21.35,21.44,2146600.0,0.0,1.0,20.1899747125,20.236710765,19.9562944496,20.0404193442,2146600.0
2004-06-22,21.4,21.6,21.0,21.49,1168400.0,0.0,1.0,20.0030305022,20.1899747125,19.6291420816,20.0871553968,1168400.0
2004-06-23,21.39,21.74,21.15,21.74,1261300.0,0.0,1.0,19.9936832917,20.3208356597,19.7693502393,20.3208356597,1261300.0
2004-06-24,21.6,22.25,21.4,21.95,3988000.0,0.0,1.0,20.1899747125,20.7975433959,20.0030305022,20.5171270805,3988000.0
2004-06-25,21.95,22.2,21.82,22.2,6126200.0,0.0,1.0,20.5171270805,20.7508073434,20.3956133438,20.7508073434,6126200.0
2004-06-28,22.15,22.49,21.97,22.36,2912500.0,0.0,1.0,20.7040712908,21.0218764483,20.5358215015,20.9003627116,2912500.0
2004-06-29,22.48,22.88,22.25,22.57,3135200.0,0.0,1.0,21.0125292378,21.3864176584,20.7975433959,21.0966541324,3135200.0
2004-06-30,22.6,23.04,22.45,22.95,4063000.0,0.0,1.0,21.124695764,21.5359730266,20.9844876062,21.451848132,4063000.0
2004-07-01,22.94,22.95,22.56,22.65,1658400.0,0.0,1.0,21.4425009215,21.451848132,21.0873069219,21.1714318165,1658400.0
2004-07-02,22.55,22.56,21.95,22.3,739400.0,0.0,1.0,21.0779597114,21.0873069219,20.5171270805,20.8442794485,739400.0
2004-07-06,22.25,22.35,21.89,22.22,1148400.0,0.0,1.0,20.7975433959,20.8910155011,20.4610438174,20.7695017644,1148400.0
2004-07-07,22.27,22.32,22.14,22.3,1051100.0,0.0,1.0,20.816237817,20.8629738696,20.6947240803,20.8442794485,1051100.0
2004-07-08,22.25,22.33,21.76,21.85,911400.0,0.0,1.0,20.7975433959,20.8723210801,20.3395300807,20.4236549753,911400.0
2004-07-09,22.0,22.0,21.5,21.89,1146500.0,0.0,1.0,20.5638631331,20.5638631331,20.0965026073,20.4610438174,1146500.0
2004-07-12,21.84,22.13,21.79,22.1,954800.0,0.0,1.0,20.4143077648,20.6853768698,20.3675717123,20.6573352382,954800.0
2004-07-13,22.24,23.19,22.23,23.0,2330600.0,0.0,1.0,20.7881961854,21.6761811844,20.7788489749,21.4985841846,2330600.0
2004-07-14,22.9,23.3,22.68,22.79,1535400.0,0.0,1.0,21.4051120794,21.7790005,21.1994734481,21.3022927638,1535400.0
2004-07-15,22.8,22.9,22.72,22.84,570800.0,0.0,1.0,21.3116399743,21.4051120794,21.2368622902,21.3490288163,570800.0
2004-07-16,22.9,23.05,22.43,22.48,770800.0,0.0,1.0,21.4051120794,21.5453202371,20.9657931852,21.0125292378,770800.0
2004-07-19,22.5,22.8,22.45,22.8,837500.0,0.0,1.0,21.0312236588,21.3116399743,20.9844876062,21.3116399743,837500.0
2004-07-20,23.0,23.24,22.62,23.15,1668700.0,0.0,1.0,21.4985841846,21.7229172369,21.143390185,21.6387923423,1668700.0
2004-07-21,23.15,23.5,23.03,23.2,1315700.0,0.0,1.0,21.6387923423,21.9659447103,21.5266258161,21.6855283949,1315700.0
2004-07-22,23.2,23.26,22.83,23.12,979800.0,0.0,1.0,21.6855283949,21.741611658,21.3396816058,21.6107507108,979800.0
2004-07-23,23.2,23.25,22.87,23.05,1063500.0,0.0,1.0,21.6855283949,21.7322644474,21.3770704479,21.5453202371,1063500.0
2004-07-26,22.97,23.17,22.72,22.99,748600.0,0.0,1.0,21.470542553,21.6574867633,21.2368622902,21.4892369741,748600.0
2004-07-27,22.99,23.03,22.38,22.6,1296900.0,0.0,1.0,21.4892369741,21.5266258161,20.9190571326,21.124695764,1296900.0
2004-07-28,22.73,22.76,22.45,22.52,1213900.0,0.0,1.0,21.2462095007,21.2742511322,20.9844876062,21.0499180799,1213900.0
2004-07-29,22.46,22.8,22.4496,22.68,517600.0,0.0,1.0,20.9938348168,21.3116399743,20.9841137178,21.1994734481,517600.0
2004-07-30,22.65,22.9,22.55,22.74,591100.0,0.0,1.0,21.1714318165,21.4051120794,21.0779597114,21.2555567112,591100.0
2004-08-02,22.7,22.85,22.5,22.72,391200.0,0.0,1.0,21.2181678691,21.3583760268,21.0312236588,21.2368622902,391200.0
2004-08-03,22.7,22.84,22.55,22.76,936500.0,0.0,1.0,21.2181678691,21.3490288163,21.0779597114,21.2742511322,936500.0
2004-08-04,22.76,22.99,22.35,22.45,719700.0,0.0,1.0,21.2742511322,21.4892369741,20.8910155011,20.9844876062,719700.0
2004-08-05,22.35,22.4,21.75,21.83,877800.0,0.0,1.0,20.8910155011,20.9377515537,20.3301828702,20.4049605543,877800.0
2004-08-06,21.68,21.94,21.19,21.44,1280900.0,0.0,1.0,20.2647523966,20.50777987,19.8067390814,20.0404193442,1280900.0
2004-08-09,21.5,21.6,21.29,21.41,666700.0,0.0,1.0,20.0965026073,20.1899747125,19.9002111865,20.0123777127,666700.0
2004-08-10,21.46,21.55,21.0,21.2,1137000.0,0.0,1.0,20.0591137653,20.1432386599,19.6291420816,19.8160862919,1137000.0
2004-08-11,21.1,21.28,20.75,21.05,3912300.0,0.0,1.0,19.7226141867,19.890863976,19.3954618187,19.6758781341,3912300.0
2004-08-12,21.05,21.05,20.81,20.98,763900.0,0.0,1.0,19.6758781341,19.6758781341,19.4515450818,19.6104476605,763900.0
2004-08-13,20.99,21.14,20.95,21.07,769300.0,0.0,1.0,19.6197948711,19.7600030288,19.582406029,19.6945725552,769300.0
2004-08-16,21.25,21.48,21.19,21.46,907300.0,0.0,1.0,19.8628223444,20.0778081863,19.8067390814,20.0591137653,907300.0
2004-08-17,21.52,21.7,21.4,21.47,321700.0,0.0,1.0,20.1151970283,20.2834468176,20.0030305022,20.0684609758,321700.0
2004-08-18,21.4,21.91,21.05,21.57,674700.0,0.0,1.0,20.0030305022,20.4797382384,19.6758781341,20.1619330809,674700.0
2004-08-19,21.47,21.69,21.35,21.6,532900.0,0.0,1.0,20.0684609758,20.2740996071,19.9562944496,20.1899747125,532900.0
2004-08-20,21.5,21.86,21.5,21.8,1208600.0,0.0,1.0,20.0965026073,20.4330021859,20.0965026073,20.3769189228,1208600.0
2004-08-23,21.85,21.87,21.64,21.7,480300.0,0.0,1.0,20.4236549753,20.4423493964,20.2273635545,20.2834468176,480300.0
2004-08-24,21.75,21.78,21.53,21.65,704700.0,0.0,1.0,20.3301828702,20.3582245017,20.1245442389,20.236710765,704700.0
2004-08-25,21.68,21.98,21.66,21.9,874800.0,0.0,1.0,20.2647523966,20.545168712,20.2460579756,20.4703910279,874800.0
2004-08-26,21.95,22.4,21.9,22.4,663800.0,0.0,1.0,20.5171270805,20.9377515537,20.4703910279,20.9377515537,663800.0
2004-08-27,22.46,22.49,22.04,22.04,525000.0,0.0,1.0,20.9938348168,21.0218764483,20.6012519751,20.6012519751,525000.0
2004-08-30,22.2,22.4,22.04,22.28,378400.0,0.0,1.0,20.7508073434,20.9377515537,20.6012519751,20.8255850275,378400.0
2004-08-31,22.4,22.73,22.21,22.73,944500.0,0.0,1.0,20.9377515537,21.2462095007,20.7601545539,21.2462095007,944500.0
2004-09-01,22.75,22.82,22.35,22.5,398000.0,0.0,1.0,21.2649039217,21.3303343953,20.8910155011,21.0312236588,398000.0
2004-09-02,22.4,22.7,22.4,22.5,274800.0,0.0,1.0,20.9377515537,21.2181678691,20.9377515537,21.0312236588,274800.0
2004-09-03,22.4,22.72,22.3,22.48,212100.0,0.0,1.0,20.9377515537,21.2368622902,20.8442794485,21.0125292378,212100.0
2004-09-07,22.35,23.06,22.35,22.86,590000.0,0.0,1.0,20.8910155011,21.5546674477,20.8910155011,21.3677232374,590000.0
2004-09-08,22.8,23.25,22.55,23.22,846800.0,0.0,1.0,21.3116399743,21.7322644474,21.0779597114,21.7042228159,846800.0
2004-09-09,23.29,23.3,22.87,22.95,932200.0,0.0,1.0,21.7696532895,21.7790005,21.3770704479,21.451848132,932200.0
2004-09-10,22.95,23.02,22.8,22.88,602300.0,0.0,1.0,21.451848132,21.5172786056,21.3116399743,21.3864176584,602300.0
2004-09-13,23.0,23.0,22.84,22.9,1087900.0,0.0,1.0,21.4985841846,21.4985841846,21.3490288163,21.4051120794,1087900.0
2004-09-14,22.85,22.98,22.78,22.9,932200.0,0.0,1.0,21.3583760268,21.4798897635,21.2929455532,21.4051120794,932200.0
2004-09-15,22.95,23.35,22.85,23.3,817000.0,0.0,1.0,21.451848132,21.8257365526,21.3583760268,21.7790005,817000.0
2004-09-16,23.4,23.95,23.34,23.9,673500.0,0.0,1.0,21.8724726052,22.3865691835,21.8163893421,22.3398331309,673500.0
2004-09-17,23.99,23.99,23.09,23.13,2456300.0,0.0,1.0,22.4239580256,22.4239580256,21.5827090792,21.6200979213,2456300.0
2004-09-20,23.05,23.14,22.59,22.67,828600.0,0.0,1.0,21.5453202371,21.6294451318,21.1153485535,21.1901262376,828600.0
2004-09-21,22.72,23.02,22.7,22.82,531200.0,0.0,1.0,21.2368622902,21.5172786056,21.2181678691,21.3303343953,531200.0
2004-09-22,22.76,22.82,22.35,22.41,706200.0,0.0,1.0,21.2742511322,21.3303343953,20.8910155011,20.9470987642,706200.0
2004-09-23,22.51,22.83,22.35,22.5,1059900.0,0.0,1.0,21.0405708693,21.3396816058,20.8910155011,21.0312236588,1059900.0
2004-09-24,22.7,22.85,22.65,22.8,1122600.0,0.0,1.0,21.2181678691,21.3583760268,21.1714318165,21.3116399743,1122600.0
2004-09-27,22.83,22.84,22.6,22.6,606000.0,0.0,1.0,21.3396816058,21.3490288163,21.124695764,21.124695764,606000.0
2004-09-28,22.68,22.78,22.45,22.6,461000.0,0.0,1.0,21.1994734481,21.2929455532,20.9844876062,21.124695764,461000.0
2004-09-29,22.56,22.76,22.5,22.73,605000.0,0.0,1.0,21.0873069219,21.2742511322,21.0312236588,21.2462095007,605000.0
2004-09-30,22.85,23.55,22.85,23.3,944400.0,0.0,1.0,21.3583760268,22.0126807629,21.3583760268,21.7790005,944400.0
2004-10-01,23.45,24.3,23.41,23.99,1763800.0,0.0,1.0,21.9192086578,22.7137215515,21.8818198157,22.4239580256,1763800.0
2004-10-04,24.05,24.49,23.8,24.45,1389000.0,0.0,1.0,22.4800412887,22.8913185513,22.2463610258,22.8539297093,1389000.0
2004-10-05,24.65,24.69,24.25,24.45,766600.0,0.0,1.0,23.0408739196,23.0782627616,22.666985499,22.8539297093,766600.0
2004-10-06,24.55,24.7,24.32,24.47,702700.0,0.0,1.0,22.9474018144,23.0876099721,22.7324159726,22.8726241303,702700.0
2004-10-07,24.35,24.59,24.05,24.38,516500.0,0.065,1.0,22.8211397101,23.0460708612,22.5399757712,22.849256104,516500.0
2004-10-08,24.6,25.48,24.6,24.88,857900.0,0.0,1.0,23.0554429925,23.8801905468,23.0554429925,23.3178626689,857900.0
2004-10-11,24.87,25.05,24.67,24.75,723200.0,0.0,1.0,23.3084905376,23.4771889009,23.1210479116,23.196024962,723200.0
2004-10-12,24.75,24.75,23.9,23.99,730400.0,0.0,1.0,23.196024962,23.196024962,22.3993938017,22.4837429834,730400.0
2004-10-13,24.11,24.2,23.75,23.79,534800.0,0.0,1.0,22.596208559,22.6805577406,22.2588118322,22.2963003574,534800.0
2004-10-14,23.64,23.9,22.79,23.49,835700.0,0.0,1.0,22.155718388,22.3993938017,21.3590872276,22.0151364185,835700.0
2004-10-15,23.7,24.09,22.77,23.98,1178800.0,0.0,1.0,22.2119511757,22.5774642964,21.3403429651,22.4743708521,1178800.0
2004-10-18,23.83,23.95,23.6,23.72,204900.0,0.0,1.0,22.3337888826,22.4462544582,22.1182298628,22.2306954383,204900.0
2004-10-19,23.71,23.82,22.8,22.91,1104000.0,0.0,1.0,22.221323307,22.3244167513,21.3684593589,21.4715528032,1104000.0
2004-10-20,22.85,23.6,22.8,23.45,448500.0,0.0,1.0,21.4153200154,22.1182298628,21.3684593589,21.9776478933,448500.0
2004-10-21,23.4,23.98,22.96,23.6,340100.0,0.0,1.0,21.9307872368,22.4743708521,21.5184134597,22.1182298628,340100.0
2004-10-22,23.65,24.15,23.39,23.75,478300.0,0.0,1.0,22.1650905193,22.6336970841,21.9214151055,22.2588118322,478300.0
2004-10-25,23.65,23.99,23.4,23.75,336200.0,0.0,1.0,22.1650905193,22.4837429834,21.9307872368,22.2588118322,336200.0
2004-10-26,24.02,24.11,23.48,24.05,558400.0,0.0,1.0,22.5118593773,22.596208559,22.0057642872,22.5399757712,558400.0
2004-10-27,24.06,24.12,23.7,23.97,587100.0,0.0,1.0,22.5493479025,22.6055806903,22.2119511757,22.4649987208,587100.0
2004-10-28,23.9,24.02,23.6,23.97,379800.0,0.0,1.0,22.3993938017,22.5118593773,22.1182298628,22.4649987208,379800.0
2004-10-29,24.05,24.12,23.59,23.86,322200.0,0.0,1.0,22.5399757712,22.6055806903,22.1088577315,22.3619052765,322200.0
2004-11-01,24.0,24.1,23.9,24.05,731800.0,0.0,1.0,22.4931151147,22.5868364277,22.3993938017,22.5399757712,731800.0
2004-11-02,24.3,24.92,24.21,24.62,957100.0,0.0,1.0,22.7742790536,23.3553511941,22.6899298719,23.0741872551,957100.0
2004-11-03,25.0,25.15,24.7,24.85,275500.0,0.0,1.0,23.4303282445,23.5709102139,23.1491643055,23.289746275,275500.0
2004-11-04,25.0,25.36,24.9,25.2,319100.0,0.0,1.0,23.4303282445,23.7677249712,23.3366069315,23.6177708704,319100.0
2004-11-05,25.35,25.92,25.35,25.62,356900.0,0.0,1.0,23.7583528399,24.2925643239,23.7583528399,24.0114003849,356900.0
2004-11-08,25.75,25.85,25.39,25.39,399500.0,0.0,1.0,24.1332380918,24.2269594048,23.7958413651,23.7958413651,399500.0
2004-11-09,25.3,25.8,25.26,25.73,289100.0,0.0,1.0,23.7114921834,24.1800987483,23.6740036582,24.1144938292,289100.0
2004-11-10,25.97,26.65,25.94,26.45,869500.0,0.0,1.0,24.3394249803,24.9767299086,24.3113085865,24.7892872826,869500.0
2004-11-11,26.3,26.4,25.78,26.15,547000.0,0.0,1.0,24.6487053132,24.7424266261,24.1613544857,24.5081233437,547000.0
2004-11-12,26.05,26.4,25.74,25.9,542400.0,0.0,1.0,24.4144020307,24.7424266261,24.1238659605,24.2738200613,542400.0
2004-11-15,26.0,26.69,25.9,26.35,500000.0,0.0,1.0,24.3675413742,25.0142184338,24.2738200613,24.6955659697,500000.0
2004-11-16,26.5,26.58,26.16,26.2,506800.0,0.0,1.0,24.8361479391,24.9111249895,24.517495475,24.5549840002,506800.0
2004-11-17,26.54,26.99,26.18,26.28,751400.0,0.0,1.0,24.8736364643,25.2953823727,24.5362397376,24.6299610506,751400.0
2004-11-18,26.22,26.32,25.4,25.72,382900.0,0.0,1.0,24.5737282628,24.6674495758,23.8052134964,24.1051216979,382900.0
2004-11-19,25.75,25.95,24.99,25.18,856000.0,0.0,1.0,24.1332380918,24.3206807177,23.4209561132,23.5990266078,856000.0
2004-11-22,25.18,25.69,25.18,25.6,1114300.0,0.0,1.0,23.5990266078,24.077005304,23.5990266078,23.9926561223,1114300.0
2004-11-23,25.75,26.06,25.64,25.76,717100.0,0.0,1.0,24.1332380918,24.423774162,24.0301446475,24.1426102231,717100.0
2004-11-24,25.9,26.01,25.78,25.93,391300.0,0.0,1.0,24.2738200613,24.3769135055,24.1613544857,24.3019364552,391300.0
2004-11-26,26.1,26.35,25.86,26.21,96400.0,0.0,1.0,24.4612626872,24.6955659697,24.2363315361,24.5643561315,96400.0
2004-11-29,26.16,26.24,25.6,25.85,825800.0,0.0,1.0,24.517495475,24.5924725254,23.9926561223,24.2269594048,825800.0
2004-11-30,25.88,26.3,25.65,26.3,492500.0,0.0,1.0,24.2550757987,24.6487053132,24.0395167788,24.6487053132,492500.0
