Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,24.88,24.88,23.69,24.06,602300.0,0.0,1.0,13.6426990881,13.6426990881,12.9901744935,13.1930602918,602300.0
2000-01-04,24.0,24.06,23.56,23.81,397200.0,0.0,1.0,13.1601598921,13.1930602918,12.9188902941,13.0559752929,397200.0
2000-01-05,23.81,24.0,23.69,23.69,234900.0,0.0,1.0,13.0559752929,13.1601598921,12.9901744935,12.9901744935,234900.0
2000-01-06,23.69,24.0,23.5,23.69,298400.0,0.0,1.0,12.9901744935,13.1601598921,12.8859898943,12.9901744935,298400.0
2000-01-07,23.94,25.38,23.94,25.25,512400.0,0.0,1.0,13.1272594924,13.9168690859,13.1272594924,13.8455848865,512400.0
2000-01-10,25.12,25.19,24.25,24.94,486800.0,0.0,1.0,13.7743006871,13.8126844867,13.297244891,13.6755994879,486800.0
2000-01-11,25.31,25.38,24.38,24.56,649500.0,0.0,1.0,13.8784852862,13.9168690859,13.3685290904,13.4672302896,649500.0
2000-01-12,24.75,25.5,24.12,24.38,1105000.0,0.0,1.0,13.5714148887,13.9826698853,13.2259606915,13.3685290904,1105000.0
2000-01-13,24.44,25.56,24.12,24.94,561900.0,0.0,1.0,13.4014294901,14.0155702851,13.2259606915,13.6755994879,561900.0
2000-01-14,24.38,25.38,24.19,24.75,510000.0,0.0,1.0,13.3685290904,13.9168690859,13.2643444912,13.5714148887,510000.0
2000-01-18,24.88,25.19,24.56,24.81,308400.0,0.0,1.0,13.6426990881,13.8126844867,13.4672302896,13.6043152884,308400.0
2000-01-19,24.94,25.5,24.69,25.06,321600.0,0.0,1.0,13.6755994879,13.9826698853,13.538514489,13.7414002873,321600.0
2000-01-20,25.12,25.12,24.0,24.31,309400.0,0.0,1.0,13.7743006871,13.7743006871,13.1601598921,13.3301452907,309400.0
2000-01-21,24.62,24.62,24.06,24.19,450800.0,0.0,1.0,13.5001306893,13.5001306893,13.1930602918,13.2643444912,450800.0
2000-01-24,24.44,24.75,24.06,24.06,250800.0,0.0,1.0,13.4014294901,13.5714148887,13.1930602918,13.1930602918,250800.0
2000-01-25,24.12,24.62,23.62,23.69,748600.0,0.0,1.0,13.2259606915,13.5001306893,12.9517906938,12.9901744935,748600.0
2000-01-26,23.69,23.69,23.0,23.19,849200.0,0.0,1.0,12.9901744935,12.9901744935,12.6118198966,12.7160044957,849200.0
2000-01-27,23.31,23.5,23.0,23.0,435400.0,0.0,1.0,12.7818052952,12.8859898943,12.6118198966,12.6118198966,435400.0
2000-01-28,23.06,23.25,22.69,22.75,519100.0,0.0,1.0,12.6447202963,12.7489048955,12.441834498,12.4747348977,519100.0
2000-01-31,22.88,24.81,22.81,24.12,659400.0,0.0,1.0,12.5460190971,13.6043152884,12.5076352974,13.2259606915,659400.0
2000-02-01,24.0,24.06,22.75,23.06,452300.0,0.0,1.0,13.1601598921,13.1930602918,12.4747348977,12.6447202963,452300.0
