Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,44.38,44.69,41.81,43.12,3908500.0,0.0,1.0,33.1318677579,33.3632981095,31.213235488,32.191215361,3908500.0
2000-01-04,42.88,42.88,41.44,41.56,2468700.0,0.0,1.0,32.0120434759,32.0120434759,30.9370121651,31.0265981077,2468700.0
2000-01-05,40.0,40.0,39.13,39.75,4486200.0,0.0,1.0,29.8619808543,29.8619808543,29.2124827708,29.675343474,4486200.0
2000-01-06,43.88,45.0,43.0,44.44,5454800.0,0.0,1.0,32.7585929972,33.5947284611,32.1016294184,33.1766607292,5454800.0
2000-01-07,45.06,46.75,44.5,46.56,3577200.0,0.0,1.0,33.6395214324,34.9011901235,33.2214537005,34.7593457145,3577200.0
2000-01-10,47.44,48.0,47.0,47.75,3890400.0,0.0,1.0,35.4163092932,35.8343770252,35.0878275039,35.6477396449,3890400.0
2000-01-11,48.0,49.88,48.0,49.44,4715900.0,0.0,1.0,35.8343770252,37.2378901254,35.8343770252,36.909408336,4715900.0
2000-01-12,49.25,50.31,48.31,49.94,4199800.0,0.0,1.0,36.7675639269,37.5589064195,36.0658073768,37.2826830966,4199800.0
2000-01-13,49.38,49.63,48.31,49.19,3074200.0,0.0,1.0,36.8646153647,37.051252745,36.0658073768,36.7227709556,3074200.0
2000-01-14,48.56,48.75,47.69,47.81,2287700.0,0.0,1.0,36.2524447572,36.3942891662,35.6029466736,35.6925326162,2287700.0
2000-01-18,47.25,47.88,46.94,47.81,2388800.0,0.0,1.0,35.2744648842,35.7447910826,35.0430345326,35.6925326162,2388800.0
2000-01-19,47.63,48.25,47.44,47.81,2728600.0,0.0,1.0,35.5581537023,36.0210144055,35.4163092932,35.6925326162,2728600.0
2000-01-20,47.81,47.81,46.38,47.0,2087000.0,0.0,1.0,35.6925326162,35.6925326162,34.6249668006,35.0878275039,2087000.0
2000-01-21,46.75,46.94,45.06,45.13,2085800.0,0.0,1.0,34.9011901235,35.0430345326,33.6395214324,33.6917798989,2085800.0
2000-01-24,45.19,45.5,42.31,42.56,2469000.0,0.0,1.0,33.7365728702,33.9680032218,31.5865102487,31.773147629,2469000.0
2000-01-25,43.13,44.44,43.0,44.31,2815900.0,0.0,1.0,32.1986808562,33.1766607292,32.1016294184,33.0796092914,2815900.0
2000-01-26,44.19,45.94,43.75,45.13,2446600.0,0.0,1.0,32.9900233488,34.2964850112,32.6615415594,33.6917798989,2446600.0
2000-01-27,46.0,46.19,44.13,45.0,2130200.0,0.0,1.0,34.3412779825,34.4831223916,32.9452303776,33.5947284611,2130200.0
2000-01-28,44.44,45.31,43.44,43.5,2666600.0,0.0,1.0,33.1766607292,33.8261588128,32.4301112078,32.4749041791,2666600.0
2000-01-31,43.63,44.94,42.75,44.69,2555100.0,0.0,1.0,32.5719556169,33.5499354899,31.9149920381,33.3632981095,2555100.0
2000-02-01,44.94,46.63,44.88,46.0,2413800.0,0.0,1.0,33.5499354899,34.8116041809,33.5051425186,34.3412779825,2413800.0
2000-02-02,45.63,47.44,44.94,46.81,1648300.0,0.0,1.0,34.0650546596,35.4163092932,33.5499354899,34.9459830948,1648300.0
2000-02-03,49.88,53.5,49.69,52.88,8402700.0,0.0,1.0,37.2378901254,39.9403993927,37.0960457163,39.4775386894,8402700.0
2000-02-04,53.06,53.75,51.63,51.69,5117300.0,0.0,1.0,39.6119176033,40.127036773,38.5443517877,38.589144759,5117300.0
2000-02-07,50.13,50.81,48.25,50.0,3890300.0,0.0,1.0,37.4245275057,37.9321811802,36.0210144055,37.3274760679,3890300.0
2000-02-08,50.44,50.5,49.63,50.06,2552700.0,0.0,1.0,37.6559578573,37.7007508286,37.051252745,37.3722690392,2552700.0
2000-02-09,49.81,50.19,49.19,49.19,1885300.0,0.0,1.0,37.1856316589,37.469320477,36.7227709556,36.7227709556,1885300.0
2000-02-10,49.44,49.88,48.38,49.0,1661100.0,0.0,1.0,36.909408336,37.2378901254,36.1180658433,36.5809265466,1661100.0
2000-02-11,48.25,48.94,47.63,48.56,1272100.0,0.0,1.0,36.0210144055,36.5361335753,35.5581537023,36.2524447572,1272100.0
2000-02-14,48.63,50.25,48.56,50.13,1527800.0,0.0,1.0,36.3047032237,37.5141134483,36.2524447572,37.4245275057,1527800.0
2000-02-15,50.25,50.81,49.69,50.69,1980500.0,0.0,1.0,37.5141134483,37.9321811802,37.0960457163,37.8425952377,1980500.0
2000-02-16,49.69,49.69,48.44,49.0,2851300.0,0.0,1.0,37.0960457163,37.0960457163,36.1628588146,36.5809265466,2851300.0
2000-02-17,49.19,49.25,41.06,42.13,5680300.0,0.0,1.0,36.7227709556,36.7675639269,30.653323347,31.4521313348,5680300.0
2000-02-18,42.13,43.44,41.06,43.0,7828000.0,0.0,1.0,31.4521313348,32.4301112078,30.653323347,32.1016294184,7828000.0
2000-02-22,43.13,44.88,43.06,44.69,3167400.0,0.0,1.0,32.1986808562,33.5051425186,32.1464223897,33.3632981095,3167400.0
2000-02-23,44.19,44.25,42.88,42.94,3262200.0,0.0222,1.0,33.0070792063,33.0518953355,32.0285937172,32.0734098465,3262200.0
2000-02-24,42.81,42.94,41.56,42.94,5456300.0,0.0,1.0,31.9763082331,32.0734098465,31.0426388733,32.0734098465,5456300.0
2000-02-25,44.81,47.69,44.31,46.81,4504800.0,0.0,1.0,33.4701792087,35.6213534136,33.0967114648,34.9640501843,4504800.0
2000-02-28,46.44,46.94,45.63,46.13,2128100.0,0.0,1.0,34.6876840538,35.0611517977,34.0826663087,34.4561340526,2128100.0
2000-02-29,46.56,48.38,46.13,48.31,2151700.0,0.0,1.0,34.7773163124,36.1367389002,34.4561340526,36.084453416,2151700.0
2000-03-01,47.81,47.88,46.25,47.88,1571800.0,0.0,1.0,35.7109856721,35.7632711563,34.5457663112,35.7632711563,1571800.0
2000-03-02,42.56,45.06,41.75,44.25,6736700.0,0.0,1.0,31.7895743611,33.6569130807,31.184556616,33.0518953355,6736700.0
2000-03-03,44.88,46.13,44.13,45.5,2646500.0,0.0,1.0,33.5224646929,34.4561340526,32.962263077,33.9855646953,2646500.0
2000-03-06,45.5,45.5,44.5,45.0,1571800.0,0.0,1.0,33.9855646953,33.9855646953,33.2386292075,33.6120969514,1571800.0
2000-03-07,44.75,45.31,42.25,43.0,3111400.0,0.0,1.0,33.4253630794,33.8436469526,31.5580243599,32.1182259758,3111400.0
2000-03-08,42.75,44.56,41.5,43.94,2305500.0,0.0,1.0,31.9314921038,33.2834453368,30.9978227441,32.8203453343,2305500.0
2000-03-09,43.25,45.63,42.63,45.63,1991900.0,0.0,1.0,32.3049598477,34.0826663087,31.8418598453,34.0826663087,1991900.0
2000-03-10,44.88,46.81,44.5,46.13,2283700.0,0.0,1.0,33.5224646929,34.9640501843,33.2386292075,34.4561340526,2283700.0
2000-03-13,45.63,45.94,45.25,45.94,992700.0,0.0,1.0,34.0826663087,34.3142163099,33.7988308233,34.3142163099,992700.0
2000-03-14,44.5,44.81,43.75,43.94,1765600.0,0.0,1.0,33.2386292075,33.4701792087,32.6784275916,32.8203453343,1765600.0
2000-03-15,44.0,45.88,43.56,45.0,3673100.0,0.0,1.0,32.8651614636,34.2694001807,32.536509849,33.6120969514,3673100.0
2000-03-16,45.5,49.0,45.5,48.75,3352700.0,0.0,1.0,33.9855646953,36.5998389026,33.9855646953,36.4131050307,3352700.0
2000-03-17,48.31,48.44,46.44,46.44,2706900.0,0.0,1.0,36.084453416,36.1815550295,34.6876840538,34.6876840538,2706900.0
2000-03-20,46.94,48.38,46.56,47.69,2355700.0,0.0,1.0,35.0611517977,36.1367389002,34.7773163124,35.6213534136,2355700.0
2000-03-21,48.31,50.06,48.13,49.25,3142500.0,0.0,1.0,36.084453416,37.3915905197,35.9500050282,36.7865727746,3142500.0
2000-03-22,48.88,48.88,46.88,47.38,2511100.0,0.0,1.0,36.5102066441,36.5102066441,35.0163356685,35.3898034124,2511100.0
2000-03-23,46.81,48.06,44.69,47.81,2490100.0,0.0,1.0,34.9640501843,35.8977195441,33.3805469502,35.7109856721,2490100.0
2000-03-24,47.81,47.81,46.44,46.75,1782000.0,0.0,1.0,35.7109856721,35.7109856721,34.6876840538,34.9192340551,1782000.0
2000-03-27,46.81,47.25,45.88,46.38,1539700.0,0.0,1.0,34.9640501843,35.292701799,34.2694001807,34.6428679246,1539700.0
2000-03-28,46.0,47.75,45.75,46.06,1279000.0,0.0,1.0,34.3590324392,35.6661695429,34.1722985673,34.4038485685,1279000.0
2000-03-29,47.13,49.38,46.94,48.94,2557900.0,0.0,1.0,35.2030695404,36.883674388,35.0611517977,36.5550227734,2557900.0
2000-03-30,48.94,50.0,48.56,50.0,2670700.0,0.0,1.0,36.5550227734,37.3467743904,36.271187288,37.3467743904,2670700.0
2000-03-31,49.94,50.19,47.94,49.81,2629100.0,0.0,1.0,37.3019582612,37.4886921331,35.8080872856,37.2048566478,2629100.0
2000-04-03,48.5,50.81,48.13,50.0,2688800.0,0.0,1.0,36.2263711587,37.9517921356,35.9500050282,37.3467743904,2688800.0
2000-04-04,50.63,53.13,48.5,51.05,5302500.0,0.0,1.0,37.8173437478,39.6846824673,36.2263711587,38.1310566526,5302500.0
