Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,28.06,28.75,27.12,27.19,1730100.0,0.0,1.0,23.7186213682,24.301866156,22.9240560052,22.9832257663,1730100.0
2000-01-04,27.25,28.0,26.88,27.38,1373300.0,0.0,1.0,23.0339427043,23.6679044302,22.721188253,23.1438294035,1373300.0
2000-01-05,27.38,27.81,27.0,27.06,1450800.0,0.0,1.0,23.1438294035,23.507300793,22.8226221291,22.8733390671,1450800.0
2000-01-06,26.63,27.38,26.5,26.69,1269400.0,0.0,1.0,22.5098676777,23.1438294035,22.3999809785,22.5605846157,1269400.0
2000-01-07,27.69,28.44,26.38,27.69,1509400.0,0.0,1.0,23.4058669168,24.0398286426,22.2985471024,23.4058669168,1509400.0
2000-01-10,29.0,29.0,27.63,28.0,1381500.0,0.0,1.0,24.5131867312,24.5131867312,23.3551499788,23.6679044302,1381500.0
2000-01-11,28.0,28.13,27.56,27.88,1357200.0,0.0,1.0,23.6679044302,23.7777911293,23.2959802177,23.566470554,1357200.0
2000-01-12,28.0,29.13,28.0,28.44,2002200.0,0.0,1.0,23.6679044302,24.6230734304,23.6679044302,24.0398286426,2002200.0
2000-01-13,28.5,28.75,28.13,28.13,1132200.0,0.0,1.0,24.0905455807,24.301866156,23.7777911293,23.7777911293,1132200.0
2000-01-14,28.25,28.38,27.44,27.5,1553000.0,0.0,1.0,23.8792250054,23.9891117046,23.1945463416,23.2452632796,1553000.0
2000-01-18,27.63,28.19,27.5,27.56,1095600.0,0.0,1.0,23.3551499788,23.8285080674,23.2452632796,23.2959802177,1095600.0
2000-01-19,27.88,28.44,27.25,27.25,2531300.0,0.0,1.0,23.566470554,24.0398286426,23.0339427043,23.0339427043,2531300.0
2000-01-20,27.0,27.06,26.13,26.13,1705800.0,0.0,1.0,22.8226221291,22.8733390671,22.0872265271,22.0872265271,1705800.0
2000-01-21,26.13,26.19,24.5,25.25,3337200.0,0.0,1.0,22.0872265271,22.1379434652,20.7094163764,21.3433781022,3337200.0
2000-01-24,25.69,25.75,25.06,25.06,1050900.0,0.0,1.0,21.7153023147,21.7660192527,21.182774465,21.182774465,1050900.0
2000-01-25,25.31,25.44,24.13,24.13,1206900.0,0.0,1.0,21.3940950403,21.5039817394,20.396661925,20.396661925,1206900.0
2000-01-26,24.25,24.88,24.25,24.38,935900.0,0.0,1.0,20.4980958011,21.0306236508,20.4980958011,20.6079825003,935900.0
2000-01-27,24.5,24.88,24.38,24.81,645700.0,0.0,1.0,20.7094163764,21.0306236508,20.6079825003,20.9714538897,645700.0
2000-01-28,24.63,24.69,23.06,23.44,1650000.0,0.0,1.0,20.8193030755,20.8700200136,19.4922098628,19.8134171372,1650000.0
2000-01-31,23.25,23.75,22.75,23.75,1505000.0,0.0,1.0,19.6528135,20.0754546506,19.2301723495,20.0754546506,1505000.0
2000-02-01,23.69,24.5,23.25,24.0,1224500.0,0.0,1.0,20.0247377125,20.7094163764,19.6528135,20.2867752258,1224500.0
2000-02-02,23.94,24.0,22.63,23.25,1013300.0,0.0,1.0,20.2360582878,20.2867752258,19.1287384734,19.6528135,1013300.0
2000-02-03,22.75,23.25,22.44,22.75,1733600.0,0.0,1.0,19.2301723495,19.6528135,18.9681348362,19.2301723495,1733600.0
2000-02-04,22.81,22.81,22.25,22.25,917200.0,0.0,1.0,19.2808892876,19.2808892876,18.807531199,18.807531199,917200.0
2000-02-07,22.63,23.44,22.19,23.0,1357200.0,0.0,1.0,19.1287384734,19.8134171372,18.7568142609,19.4414929248,1357200.0
2000-02-08,23.25,23.44,22.06,22.06,1651700.0,0.0,1.0,19.6528135,19.8134171372,18.6469275618,18.6469275618,1651700.0
2000-02-09,22.13,23.94,22.13,22.75,2877600.0,0.0,1.0,18.7060973228,20.2360582878,18.7060973228,19.2301723495,2877600.0
2000-02-10,23.13,23.63,22.56,23.0,2212100.0,0.0,1.0,19.5513796239,19.9740207745,19.0695687123,19.4414929248,2212100.0
2000-02-11,23.0,23.13,21.88,21.88,1912400.0,0.0,1.0,19.4414929248,19.5513796239,18.4947767476,18.4947767476,1912400.0
2000-02-14,21.63,23.13,21.63,22.0,1925000.0,0.3,1.0,18.5327760292,19.8179893461,18.5327760292,18.849795314,1925000.0
2000-02-15,22.0,25.13,21.94,23.88,2625900.0,0.0,1.0,18.849795314,21.5316071019,18.7983867813,20.4605960045,2625900.0
2000-02-16,25.25,25.25,23.63,23.94,1907700.0,0.0,1.0,21.6344241672,21.6344241672,20.246393785,20.5120045372,1907700.0
2000-02-17,24.38,24.38,23.38,23.38,833300.0,0.0,1.0,20.8890004434,20.8890004434,20.0321915655,20.0321915655,833300.0
2000-02-18,23.44,24.31,22.88,23.63,1730500.0,0.0,1.0,20.0836000982,20.829023822,19.6037871266,20.246393785,1730500.0
2000-02-22,23.69,25.44,23.5,24.38,1546500.0,0.0,1.0,20.2978023177,21.797217854,20.1350086309,20.8890004434,1546500.0
2000-02-23,24.5,24.88,24.13,24.13,1164500.0,0.0,1.0,20.9918175088,21.3174048824,20.674798224,20.674798224,1164500.0
2000-02-24,24.13,24.81,23.44,23.44,1613600.0,0.0,1.0,20.674798224,21.2574282609,20.0836000982,20.0836000982,1613600.0
2000-02-25,23.69,24.44,22.88,22.88,1234700.0,0.0,1.0,20.2978023177,20.9404089761,19.6037871266,19.6037871266,1234700.0
2000-02-28,22.94,23.38,22.63,22.75,1035100.0,0.0,1.0,19.6551956593,20.0321915655,19.3895849071,19.4924019725,1035100.0
2000-02-29,22.38,22.94,22.06,22.88,1413800.0,0.0,1.0,19.1753826876,19.6551956593,18.9012038467,19.6037871266,1413800.0
2000-03-01,22.63,22.75,21.63,21.63,1815700.0,0.0,1.0,19.3895849071,19.4924019725,18.5327760292,18.5327760292,1815700.0
2000-03-02,22.5,22.63,21.75,22.44,1135600.0,0.0,1.0,19.278199753,19.3895849071,18.6355930945,19.2267912203,1135600.0
2000-03-03,22.19,23.13,21.88,22.06,964900.0,0.0,1.0,19.0125890008,19.8179893461,18.7469782487,18.9012038467,964900.0
2000-03-06,22.0,22.31,21.5,21.56,940300.0,0.0,1.0,18.849795314,19.1154060662,18.4213908751,18.4727994077,940300.0
2000-03-07,21.5,21.56,20.75,20.75,1377400.0,0.0,1.0,18.4213908751,18.4727994077,17.7787842166,17.7787842166,1377400.0
2000-03-08,21.0,21.75,20.63,20.69,1512300.0,0.0,1.0,17.9929864361,18.6355930945,17.6759671513,17.727375684,1512300.0
2000-03-09,20.5,21.56,20.38,20.63,1092000.0,0.0,1.0,17.5645819972,18.4727994077,17.4617649318,17.6759671513,1092000.0
2000-03-10,20.88,21.75,20.5,20.88,1306300.0,0.0,1.0,17.8901693708,18.6355930945,17.5645819972,17.8901693708,1306300.0
2000-03-13,20.5,21.0,20.5,20.56,1155500.0,0.0,1.0,17.5645819972,17.9929864361,17.5645819972,17.6159905298,1155500.0
2000-03-14,20.63,20.88,20.38,20.38,1018600.0,0.0,1.0,17.6759671513,17.8901693708,17.4617649318,17.4617649318,1018600.0
