Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,18.74,18.86,18.3,18.37,919500.0,0.0,1.0,12.7233398467,12.8048126738,12.4246061469,12.4721319628,919500.0
2000-01-04,18.3,18.49,17.12,17.18,1595100.0,0.0,1.0,12.4246061469,12.55360479,11.6234566795,11.6641930931,1595100.0
2000-01-05,17.12,17.12,16.31,16.37,1963700.0,0.0,1.0,11.6234566795,11.6234566795,11.073515096,11.1142515096,1963700.0
2000-01-06,16.37,16.37,15.75,15.94,3379300.0,0.0,1.0,11.1142515096,11.1142515096,10.6933085691,10.8223072121,3379300.0
2000-01-07,15.94,16.69,15.81,16.5,2481600.0,0.0,1.0,10.8223072121,11.3315123821,10.7340449827,11.2025137391,2481600.0
2000-01-10,16.5,17.37,16.5,17.25,1366800.0,0.0,1.0,11.2025137391,11.7931917362,11.2025137391,11.711718909,1366800.0
2000-01-11,17.18,17.37,16.81,16.81,1607900.0,0.0,1.0,11.6641930931,11.7931917362,11.4129852093,11.4129852093,1607900.0
2000-01-12,16.93,17.31,16.87,17.06,751200.0,0.0,1.0,11.4944580365,11.7524553226,11.4537216229,11.582720266,751200.0
2000-01-13,17.0,17.31,16.93,16.93,717900.0,0.0,1.0,11.5419838524,11.7524553226,11.4944580365,11.4944580365,717900.0
2000-01-14,17.0,17.06,16.44,16.44,834200.0,0.0,1.0,11.5419838524,11.582720266,11.1617773255,11.1617773255,834200.0
2000-01-18,16.25,16.69,16.25,16.31,585800.0,0.0,1.0,11.0327786824,11.3315123821,11.0327786824,11.073515096,585800.0
2000-01-19,16.31,16.44,15.81,15.94,1707900.0,0.0,1.0,11.073515096,11.1617773255,10.7340449827,10.8223072121,1707900.0
2000-01-20,16.0,16.0,15.32,15.44,1500700.0,0.0,1.0,10.8630436257,10.8630436257,10.4013642717,10.4828370988,1500700.0
2000-01-21,15.56,16.06,15.38,15.44,1731700.0,0.0,1.0,10.564309926,10.9037800393,10.4421006852,10.4828370988,1731700.0
2000-01-24,15.5,16.0,15.44,15.75,1244900.0,0.0,1.0,10.5235735124,10.8630436257,10.4828370988,10.6933085691,1244900.0
2000-01-25,15.69,15.81,15.0,15.32,1172500.0,0.0,1.0,10.6525721555,10.7340449827,10.1841033991,10.4013642717,1172500.0
2000-01-26,15.13,15.63,15.0,15.63,1271900.0,0.0,1.0,10.2723656286,10.6118357419,10.1841033991,10.6118357419,1271900.0
2000-01-27,15.25,15.81,15.25,15.44,556900.0,0.0,1.0,10.3538384558,10.7340449827,10.3538384558,10.4828370988,556900.0
2000-01-28,15.81,15.81,15.19,15.5,610600.0,0.06,1.0,10.7755961246,10.7755961246,10.3530237275,10.564309926,610600.0
2000-01-31,15.5,15.81,15.0,15.0,1270600.0,0.0,1.0,10.564309926,10.7755961246,10.2235257349,10.2235257349,1270600.0
2000-02-01,15.13,15.38,14.94,15.25,1045200.0,0.0,1.0,10.3121296246,10.4825217202,10.1826316319,10.3939178305,1045200.0
