Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,23.69,24.0,21.5,22.44,1184000.0,0.0,1.0,12.2898367621,12.4506577581,11.1537142417,11.6413650038,1184000.0
2000-01-04,22.25,22.5,21.56,21.75,1327800.0,0.0,1.0,11.5466596611,11.6763974101,11.1885834738,11.2871841631,1327800.0
2000-01-05,21.63,21.75,21.25,21.5,838200.0,0.0,1.0,11.2171063066,11.2793371322,11.0200420257,11.1496895789,838200.0
2000-01-06,21.5,22.25,21.31,21.94,401900.0,0.0,1.0,11.1521594084,11.541188225,11.0536054416,11.3803896475,401900.0
2000-01-07,22.13,22.25,21.94,22.13,449500.0,0.0,1.0,11.4829156803,11.5451818295,11.3843276108,11.4829156803,449500.0
2000-01-10,22.25,22.25,21.13,21.19,489000.0,0.0,1.0,11.5386322387,11.5386322387,10.9578112001,10.9889266129,489000.0
2000-01-11,21.19,21.38,20.69,21.31,405300.0,0.0,1.0,10.9919226597,11.0904816642,10.7325568584,11.054170452,405300.0
2000-01-12,21.06,21.88,21.06,21.31,455400.0,0.0,1.0,10.9244875514,11.3498474655,10.9244875514,11.054170452,455400.0
2000-01-13,22.0,22.23,21.25,21.56,1044100.0,0.0,1.0,11.4129164594,11.5322333133,11.0238397619,11.1846581302,1044100.0
2000-01-14,21.75,22.13,21.56,21.94,800200.0,0.0,1.0,11.2818356806,11.4789436143,11.1832817137,11.3803896475,800200.0
2000-01-18,21.94,22.0,20.94,21.19,892100.0,0.0,1.0,11.3778692726,11.4089846854,10.8592790597,10.9889266129,892100.0
2000-01-19,21.06,21.69,21.06,21.25,1050900.0,0.0,1.0,10.9276215279,11.254516189,10.9276215279,11.0262088067,1050900.0
2000-01-20,21.31,21.38,20.81,20.88,886200.0,0.0,1.0,11.0588150952,11.0951415643,10.7993403159,10.835666785,886200.0
2000-01-21,20.94,21.25,20.38,20.5,818200.0,0.0,1.0,10.8630037302,11.023821837,10.5724936018,10.6347457721,818200.0
2000-01-24,20.5,20.94,20.0,20.16,453700.0,0.0,1.0,10.6340245392,10.8622670171,10.374658087,10.4576553517,453700.0
