Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,23.38,24.0,22.81,23.13,440400.0,0.0,1.0,10.9225344322,11.2121824796,10.6562450984,10.8057408647,440400.0
2000-01-04,23.38,23.81,22.75,22.75,972200.0,0.0,1.0,10.924741841,11.1256673753,10.6303625698,10.6303625698,972200.0
2000-01-05,22.63,23.88,22.56,23.56,620200.0,0.0,1.0,10.5713820172,11.155307228,10.5386822054,11.005822374,620200.0
2000-01-06,23.56,23.69,23.44,23.63,415200.0,0.0,1.0,11.005822374,11.066550596,10.9497655538,11.0385221858,415200.0
2000-01-07,23.63,24.69,23.5,24.69,1091200.0,0.0,1.0,11.0354221468,11.5304516633,10.9747109797,11.5304516633,1091200.0
2000-01-10,26.0,26.19,25.0,25.75,1809500.0,0.0,1.0,12.1438200429,12.2325633432,11.6767500413,12.0270525425,1809500.0
2000-01-11,25.75,26.31,25.69,26.31,1137200.0,0.0,1.0,12.0292644549,12.2908717596,12.0012351009,12.2908717596,1137200.0
2000-01-12,26.19,26.38,25.25,25.25,851700.0,0.0,1.0,12.233344727,12.322093696,11.7942708804,11.7942708804,851700.0
2000-01-13,25.25,25.38,24.88,24.94,652300.0,0.0,1.0,11.7916107852,11.8523200685,11.6188228252,11.6468424944,652300.0
2000-01-14,25.0,25.38,24.75,25.13,455100.0,0.0,1.0,11.6838725709,11.861467434,11.5670338452,11.7446287083,455100.0
2000-01-18,25.25,26.69,25.06,26.69,988600.0,0.0,1.0,11.7965821258,12.4693377005,11.7078157653,12.4693377005,988600.0
2000-01-19,26.56,27.75,26.25,26.81,1413400.0,0.0,1.0,12.4068718717,12.9627520497,12.2620627497,12.5236534217,1413400.0
2000-01-20,26.75,26.81,25.56,25.94,834300.0,0.0,1.0,12.4986283461,12.5266626526,11.9426145991,12.1201652074,834300.0
2000-01-21,25.75,25.88,25.25,25.44,808800.0,0.0,1.0,12.0322376686,12.0929829462,11.7986019857,11.8873835452,808800.0
2000-01-24,25.44,25.75,23.75,23.94,709900.0,0.0,1.0,11.8818605718,12.0266473948,11.0925388593,11.1812791702,709900.0
2000-01-25,24.0,24.25,23.69,24.13,585600.0,0.0,1.0,11.2183003333,11.3351576285,11.0733972874,11.2790661268,585600.0
2000-01-26,24.13,24.19,23.38,23.75,429000.0,0.0,1.0,11.2734607084,11.3014925211,10.9230630486,11.0959258941,429000.0
2000-01-27,23.63,25.5,23.56,25.25,2879700.0,0.0,1.0,11.0375691447,11.9110458396,11.0048721561,11.7942708804,2879700.0
2000-01-28,25.5,25.5,24.56,25.38,783600.0,0.0,1.0,11.9124043638,11.9124043638,11.4732804382,11.8563459903,783600.0
2000-01-31,25.31,25.38,24.0,24.0,1051800.0,0.0,1.0,11.8243223464,11.8570249368,11.2123167251,11.2123167251,1051800.0
2000-02-01,24.0,24.31,24.0,24.19,273000.0,0.0,1.0,11.208932618,11.3537146643,11.208932618,11.2976700012,273000.0
2000-02-02,24.25,24.81,24.06,24.75,514000.0,0.0,1.0,11.3279237795,11.5895170709,11.2391689128,11.5614892183,514000.0
