Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-11-02,14.99,15.17,13.86,14.49,40865891.0,0.0,1.0,14.7228843464,14.8996768202,13.6130204831,14.2317941414,40865891.0
2015-11-03,14.07,14.71,13.675,14.36,40205612.0,0.0,1.0,13.8192783692,14.4478738316,13.4313171072,14.1041106881,40205612.0
2015-11-04,14.39,14.51,13.61,13.66,31516491.0,0.0,1.0,14.1335761004,14.2514377496,13.3674753806,13.4165844011,31516491.0
2015-11-05,13.64,13.89,13.12,13.28,22189959.0,0.0,1.0,13.3969407929,13.6424858954,12.8862069796,13.0433558452,22189959.0
2015-11-06,13.18,14.48,13.15,14.4,30049669.0,0.0,1.0,12.9451378042,14.2219723373,12.9156723919,14.1433979045,30049669.0
2015-11-09,14.26,14.48,14.13,14.2,17528088.0,0.0,1.0,14.0058926471,14.2219723373,13.8782091938,13.9469618225,17528088.0
2015-11-10,14.13,14.44,14.01,14.41,14777765.0,0.0,1.0,13.8782091938,14.1826851209,13.7603475446,14.1532197086,14777765.0
2015-11-11,14.2,14.31,14.09,14.11,11009387.0,0.0,1.0,13.9469618225,14.0550016676,13.8389219774,13.8585655856,11009387.0
2015-11-12,13.81,13.82,13.59,13.7,20371666.0,0.0,1.0,13.5639114626,13.5737332667,13.3478317724,13.4558716175,20371666.0
2015-11-13,13.61,13.76,13.15,13.39,14924533.0,0.0,1.0,13.3674753806,13.5148024421,12.9156723919,13.1513956903,14924533.0
2015-11-16,13.37,13.61,13.14,13.38,13781375.0,0.0,1.0,13.1317520821,13.3674753806,12.9058505878,13.1415738862,13781375.0
2015-11-17,13.38,13.49,13.12,13.22,12420759.0,0.0,1.0,13.1415738862,13.2496137313,12.8862069796,12.9844250206,12420759.0
2015-11-18,13.48,13.73,13.1886,13.64,13020475.0,0.0,1.0,13.2397919272,13.4853370298,12.9535845558,13.3969407929,13020475.0
2015-11-19,13.53,13.89,13.52,13.78,13171491.0,0.0,1.0,13.2889009478,13.6424858954,13.2790791437,13.5344460503,13171491.0
2015-11-20,13.78,14.63,13.68,14.21,18558586.0,0.0,1.0,13.5344460503,14.3692993988,13.4362280093,13.9567836266,18558586.0
2015-11-23,14.17,14.21,13.57,13.85,15317345.0,0.0,1.0,13.9174964102,13.9567836266,13.3281881642,13.603198679,15317345.0
2015-11-24,13.58,14.025,13.5,13.69,24108918.0,0.0,1.0,13.3380099683,13.7750802507,13.2594355355,13.4460498134,24108918.0
2015-11-25,13.91,14.86,13.84,14.12,22674894.0,0.0,1.0,13.6621295036,14.5952008931,13.5933768749,13.8683873897,22674894.0
2015-11-27,14.12,14.64,14.05,14.35,6041718.0,0.0,1.0,13.8683873897,14.3791212029,13.799634761,14.094288884,6041718.0
2015-11-30,14.23,15.0,14.18,14.86,29096030.0,0.0,1.0,13.9764272348,14.7327061505,13.9273182143,14.5952008931,29096030.0
2015-12-01,14.88,15.88,14.85,15.61,25106264.0,0.0,1.0,14.6148445013,15.5970249113,14.585379089,15.3318362006,25106264.0
2015-12-02,15.37,15.54,14.87,14.95,12681067.0,0.0,1.0,15.0961129022,15.2630835719,14.6050226972,14.68359713,12681067.0
2015-12-03,15.0,15.34,14.58,14.62,18905240.0,0.0,1.0,14.7327061505,15.0666474899,14.3201903783,14.3594775947,18905240.0
2015-12-04,14.39,15.295,14.24,15.22,12001085.0,0.0,1.0,14.1335761004,15.0224493715,13.9862490389,14.9487858407,12001085.0
2015-12-07,15.0,15.48,14.92,15.45,9545947.0,0.055,1.0,14.7851526772,15.2582775629,14.7062985296,15.2287072576,9545947.0
2015-12-08,15.09,15.29,14.62,15.17,11617601.0,0.0,1.0,14.8738635933,15.0709989623,14.4105954761,14.9527177409,11617601.0
2015-12-09,14.99,15.39,14.68,14.85,14261925.0,0.0,1.0,14.7752959088,15.1695666469,14.4697360868,14.6373011505,14261925.0
2015-12-10,14.79,14.81,14.53,14.72,11350207.0,0.0,1.0,14.5781605398,14.5978740767,14.32188456,14.5091631606,11350207.0
2015-12-11,14.99,15.4,14.14,14.18,10614763.0,0.0,1.0,14.7752959088,15.1794234153,13.9374705904,13.9768976642,10614763.0
2015-12-14,14.3,14.5,13.92,14.44,11527694.0,0.0,1.0,14.0951788856,14.2923142547,13.7206216845,14.233173644,11527694.0
