Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,26.75,26.75,25.56,25.94,335300.0,0.0,1.0,9.443797908,9.443797908,9.02368129079,9.15783617696,670600.0
2000-01-04,25.69,25.69,24.06,24.94,446850.0,0.0,1.0,9.06957638342,9.06957638342,8.49412252959,8.80479700282,893700.0
2000-01-05,25.0,25.0,24.25,24.75,214750.0,0.0,1.0,8.82597935327,8.82597935327,8.56119997267,8.73771955974,429500.0
2000-01-06,24.81,24.88,24.25,24.5,215150.0,0.0,1.0,8.75890191019,8.78361465238,8.56119997267,8.64945976621,430300.0
2000-01-07,24.75,25.0,24.38,25.0,243300.0,0.0,1.0,8.73771955974,8.82597935327,8.60709506531,8.82597935327,486600.0
2000-01-10,25.13,25.38,24.88,25.0,434350.0,0.0,1.0,8.87187444591,8.96013423944,8.78361465238,8.82597935327,868700.0
2000-01-11,24.63,24.88,23.75,24.38,315800.0,0.0,1.0,8.69535485884,8.78361465238,8.38468038561,8.60709506531,631600.0
2000-01-12,25.0,25.5,24.94,25.06,536600.0,0.0,1.0,8.82597935327,9.00249894034,8.80479700282,8.84716170372,1073200.0
2000-01-13,25.06,27.81,24.94,27.5,750800.0,0.0,1.0,8.84716170372,9.81801943258,8.80479700282,9.7085772886,1501600.0
2000-01-14,27.38,29.25,27.0,29.25,535100.0,0.0,1.0,9.6662125877,10.3263958433,9.53205770153,10.3263958433,1070200.0
2000-01-18,28.75,29.56,27.63,28.19,477200.0,0.0,1.0,10.1498762563,10.4358379873,9.75447238124,9.95217431875,954400.0
2000-01-19,27.44,27.75,26.56,27.75,439950.0,0.0,1.0,9.68739493815,9.79683708213,9.37672046492,9.79683708213,879900.0
2000-01-20,27.63,29.63,27.63,29.0,785350.0,0.0,1.0,9.75447238124,10.4605507295,9.75447238124,10.2381360498,1570700.0
2000-01-21,29.5,29.69,28.63,28.81,530550.0,0.0,1.0,10.4146556369,10.4817330799,10.1075115554,10.1710586067,1061100.0
2000-01-24,28.88,29.81,28.13,28.44,678750.0,0.0,1.0,10.1957713489,10.5240977808,9.9309919683,10.0404341123,1357500.0
2000-01-25,28.69,29.13,28.19,29.13,377600.0,0.0,1.0,10.1286939058,10.2840311424,9.95217431875,10.2840311424,755200.0
2000-01-26,28.38,32.25,28.38,32.0,1296100.0,0.0,1.0,10.0192517618,11.3855133657,10.0192517618,11.2972535722,2592200.0
2000-01-27,32.0,33.31,31.94,32.69,995750.0,0.0,1.0,11.2972535722,11.7597348903,11.2760712217,11.5408506023,1991500.0
2000-01-28,32.63,32.63,29.38,30.94,597650.0,0.0,1.0,11.5196682519,11.5196682519,10.372290936,10.9230320476,1195300.0
2000-01-31,30.44,30.5,29.0,29.0,580000.0,0.0,1.0,10.7465124605,10.767694811,10.2381360498,10.2381360498,1160000.0
2000-02-01,29.63,32.0,29.25,31.44,580100.0,0.0,1.0,10.4605507295,11.2972535722,10.3263958433,11.0995516347,1160200.0
2000-02-02,31.44,31.5,30.19,30.81,363650.0,0.0,1.0,11.0995516347,11.1207339851,10.658252667,10.877136955,727300.0
2000-02-03,31.63,32.0,30.56,31.81,466400.0,0.0,1.0,11.1666290778,11.2972535722,10.7888771614,11.2301761291,932800.0
2000-02-04,32.0,32.06,31.44,32.0,384800.0,0.0,1.0,11.2972535722,11.3184359226,11.0995516347,11.2972535722,769600.0
2000-02-07,31.38,32.38,31.38,31.63,238950.0,0.0,1.0,11.0783692842,11.4314084584,11.0783692842,11.1666290778,477900.0
2000-02-08,31.88,32.38,31.56,31.88,295800.0,0.0,1.0,11.2548888713,11.4314084584,11.1419163356,11.2548888713,591600.0
