Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,59.61,60.38,58.13,60.38,2535300.0,0.0,1.0,27.960782037,28.3219597281,27.2665703709,28.3219597281,5070600.0
2000-01-04,57.13,62.13,56.69,60.88,3383200.0,0.0,1.0,26.7975084343,29.142818117,26.5911211823,28.5564906964,6766400.0
2000-01-05,61.94,75.0,61.5,73.31,11276500.0,0.0,1.0,29.0536963491,35.1796452403,28.847309097,34.3869305675,22553000.0
2000-01-06,73.38,75.94,70.0,70.0,4367000.0,0.0,1.0,34.4197649031,35.6205634606,32.8343355576,32.8343355576,8734000.0
2000-01-07,69.63,74.75,63.69,73.56,4268900.0,0.0,1.0,32.660782641,35.0623797561,29.874554738,34.5041960516,8537800.0
2000-01-10,75.0,90.0,73.25,85.13,4198700.0,0.0,1.0,35.1796452403,42.2155742883,34.3587868513,39.9312426574,8397400.0
2000-01-11,82.94,84.38,79.25,82.38,2847100.0,0.0,1.0,38.9039970164,39.579446205,37.1731584705,38.6413223319,5694200.0
2000-01-12,81.75,81.81,66.38,71.13,4172000.0,0.0,1.0,38.3458133119,38.3739570281,31.1363313473,33.3643755459,8344000.0
2000-01-13,73.63,81.75,73.63,80.0,3891100.0,0.0,1.0,34.5370303872,38.3458133119,34.5370303872,37.5249549229,7782200.0
2000-01-14,82.81,85.88,77.63,81.38,2940400.0,0.0,1.0,38.8430189646,40.2830391098,36.4132781333,38.1722603954,5880800.0
2000-01-18,81.31,81.31,75.5,76.75,1760200.0,0.0,1.0,38.1394260598,38.1394260598,35.4141762085,36.0005036292,3520400.0
2000-01-19,77.0,78.13,73.94,74.5,1776800.0,0.0,1.0,36.1177691133,36.6478091016,34.6824395875,34.945114272,3553600.0
2000-01-20,75.5,78.31,74.0,76.38,2210400.0,0.0,1.0,35.4141762085,36.7322402502,34.7105833037,35.8269507127,4420800.0
2000-01-21,79.0,79.25,74.13,75.63,3187200.0,0.0,1.0,37.0558929864,37.1731584705,34.7715613555,35.4751542603,6374400.0
2000-01-24,75.56,75.63,67.38,67.56,2228700.0,0.0,1.0,35.4423199247,35.4751542603,31.6053932838,31.6898244324,4457400.0
2000-01-25,70.0,72.25,68.13,70.31,2531700.0,0.0,1.0,32.8343355576,33.8897249148,31.9571897362,32.9797447579,5063400.0
2000-01-26,71.25,73.0,65.56,65.75,1467800.0,0.0,1.0,33.4206629782,34.2415213672,30.7517005593,30.8408223273,2935600.0
2000-01-27,67.06,70.94,60.44,64.0,3066100.0,0.0,1.0,31.4552934641,33.2752537779,28.3501034443,30.0199639383,6132200.0
2000-01-28,63.06,65.38,56.63,57.75,3572300.0,0.0,1.0,29.579045718,30.6672694108,26.5629774661,27.088326835,7144600.0
2000-01-31,56.88,61.06,55.5,60.31,3046200.0,0.0,1.0,26.6802429502,28.6409218449,26.0329374778,28.2891253925,6092400.0
2000-02-01,62.19,64.88,59.25,64.81,2240700.0,0.0,1.0,29.1709618332,30.4327384425,27.7919197398,30.3999041069,4481400.0
2000-02-02,65.69,71.0,65.5,67.75,3150100.0,0.0,1.0,30.8126786111,33.3033974941,30.7235568432,31.7789462004,6300200.0
2000-02-03,69.19,70.31,65.5,69.63,2576500.0,0.0,1.0,32.454395389,32.9797447579,30.7235568432,32.660782641,5153000.0
2000-02-04,70.98,72.25,68.25,69.25,1921500.0,0.0,1.0,33.2940162554,33.8897249148,32.0134771686,32.4825391052,3843000.0
2000-02-07,69.38,69.38,66.81,67.56,1439400.0,0.0,1.0,32.5435171569,32.5435171569,31.33802798,31.6898244324,2878800.0
2000-02-08,69.94,72.0,68.63,69.0,2210100.0,0.0,1.0,32.8061918414,33.7724594306,32.1917207045,32.365273621,4420200.0
2000-02-09,69.31,70.3,64.94,65.25,2581500.0,0.0,1.0,32.5106828214,32.9750541385,30.4608821587,30.606291359,5163000.0
2000-02-10,64.38,64.69,61.0,63.75,3131100.0,0.0,1.0,30.1982074742,30.3436166746,28.6127781287,29.9026984542,6262200.0
2000-02-11,63.06,63.88,59.88,61.0,2728900.0,0.0,1.0,29.579045718,29.963676506,28.0874287598,28.6127781287,5457800.0
2000-02-14,61.38,61.38,59.0,59.75,1583100.0,0.0,1.0,28.7910216646,28.7910216646,27.6746542557,28.0264507081,3166200.0
2000-02-15,59.38,61.0,55.0,57.44,4472500.0,0.0,1.0,27.8528977915,28.6127781287,25.7984065095,26.9429176347,8945000.0
2000-02-16,59.0,63.0,58.25,61.06,3966400.0,0.0,1.0,27.6746542557,29.5509020018,27.3228578033,28.6409218449,7932800.0
2000-02-17,63.19,64.63,62.0,64.31,2265200.0,0.0,1.0,29.6400237698,30.3154729584,29.0818400653,30.1653731387,4530400.0
2000-02-18,65.75,65.75,59.88,61.19,2044500.0,0.0,1.0,30.8408223273,30.8408223273,28.0874287598,28.7018998967,4089000.0
2000-02-22,60.63,62.63,59.75,62.13,2361800.0,0.0,1.0,28.4392252122,29.3773490853,28.0264507081,29.142818117,4723600.0
2000-02-23,61.69,68.06,61.63,67.56,3771200.0,0.0,1.0,28.9364308649,31.9243554007,28.9082871488,31.6898244324,7542400.0
2000-02-24,68.63,72.75,68.0,72.31,5310500.0,0.0,1.0,32.1917207045,34.124255883,31.8962116845,33.917868631,10621000.0
2000-02-25,63.0,63.5,57.0,58.56,21409100.0,0.0,1.0,29.5509020018,29.7854329701,26.7365303826,27.4682670036,42818200.0
2000-02-28,58.56,59.5,52.69,53.69,5619800.0,0.0,1.0,27.4682670036,27.9091852239,24.7148734361,25.1839353727,11239600.0
2000-02-29,54.75,54.88,51.25,52.5,5443000.0,0.0,1.0,25.6811410254,25.7421190771,24.0394242475,24.6257516682,10886000.0
2000-03-01,52.63,53.88,47.75,48.25,7782400.0,0.0,1.0,24.6867297199,25.2730571406,22.3977074696,22.6322384379,15564800.0
2000-03-02,48.69,49.63,45.5,46.56,5116900.0,0.0,1.0,22.83862569,23.2795439103,21.3423181124,21.8395237651,10233800.0
2000-03-03,51.25,55.0,49.53,52.88,5869700.0,0.0,1.0,24.0394242475,25.7984065095,23.2326377167,24.8039952041,11739400.0
2000-03-06,55.5,57.25,53.81,55.06,4760300.0,0.0,1.0,26.0329374778,26.8537958667,25.240222805,25.8265502257,9520600.0
2000-03-07,56.38,56.75,50.5,51.69,3240200.0,0.0,1.0,26.4457119819,26.6192648985,23.6876277951,24.2458114996,6480400.0
2000-03-08,53.5,53.88,50.75,51.38,2747700.0,0.0,1.0,25.0948136047,25.2730571406,23.8048932792,24.1004022993,5495400.0
2000-03-09,50.5,56.38,50.0,56.25,5311400.0,0.0,1.0,23.6876277951,26.4457119819,23.4530968268,26.3847339302,10622800.0
2000-03-10,55.25,59.63,54.94,58.44,4705900.0,0.0,1.0,25.9156719937,27.9701632757,25.7702627933,27.4119795712,9411800.0
2000-03-13,57.31,57.44,53.44,53.5,3263400.0,0.0,1.0,26.8819395829,26.9429176347,25.0666698885,25.0948136047,6526800.0
2000-03-14,55.25,56.0,51.0,51.06,2438800.0,0.0,1.0,25.9156719937,26.2674684461,23.9221587634,23.9503024796,4877600.0
2000-03-15,53.0,53.0,48.81,50.06,3043000.0,0.0,1.0,24.8602826364,24.8602826364,22.8949131224,23.481240543,6086000.0
2000-03-16,51.75,53.02,46.25,51.94,5205400.0,0.0,1.0,24.2739552158,24.8696638752,21.6941145648,24.3630769837,10410800.0
2000-03-17,53.75,55.0,52.5,54.5,5378100.0,0.0,1.0,25.2120790888,25.7984065095,24.6257516682,25.5638755412,10756200.0
2000-03-20,54.38,54.88,50.25,51.0,2098400.0,0.0,1.0,25.5075881089,25.7421190771,23.570362311,23.9221587634,4196800.0
2000-03-21,51.0,53.06,48.25,52.94,2488000.0,0.0,1.0,23.9221587634,24.8884263526,22.6322384379,24.8321389203,4976000.0
2000-03-22,52.38,52.88,51.0,52.44,2681400.0,0.0,1.0,24.5694642358,24.8039952041,23.9221587634,24.597607952,5362800.0
2000-03-23,51.0,56.75,50.63,55.94,5408800.0,0.0,1.0,23.9221587634,26.6192648985,23.7486058469,26.2393247299,10817600.0
2000-03-24,56.88,61.12,56.75,59.75,9094800.0,0.0,1.0,26.6802429502,28.6690655611,26.6192648985,28.0264507081,18189600.0
2000-03-27,60.0,61.38,58.44,58.94,3272200.0,0.0,1.0,28.1437161922,28.7910216646,27.4119795712,27.6465105395,6544400.0
2000-03-28,58.63,58.63,55.94,56.06,1823000.0,0.0,1.0,27.5011013391,27.5011013391,26.2393247299,26.2956121622,3646000.0
2000-03-29,56.5,56.5,51.5,51.94,3596700.0,0.0,1.0,26.5019994143,26.5019994143,24.1566897316,24.3630769837,7193400.0
2000-03-30,51.13,53.69,50.5,50.94,2828900.0,0.0,1.0,23.9831368151,25.1839353727,23.6876277951,23.8940150472,5657800.0
2000-03-31,52.0,55.0,50.88,54.38,3161900.0,0.0,1.0,24.3912206999,25.7984065095,23.865871331,25.5075881089,6323800.0
2000-04-03,53.0,53.75,49.0,49.31,2320900.0,0.0,1.0,24.8602826364,25.2120790888,22.9840348903,23.1294440906,4641800.0
2000-04-04,50.94,52.63,45.63,51.69,3025500.0,0.0,1.0,23.8940150472,24.6867297199,21.4032961642,24.2458114996,6051000.0
2000-04-05,50.0,52.25,48.56,49.63,2415900.0,0.0,1.0,23.4530968268,24.508486184,22.7776476382,23.2795439103,4831800.0
2000-04-06,50.69,51.0,47.88,48.75,2283900.0,0.0,1.0,23.776749563,23.9221587634,22.4586855214,22.8667694062,4567800.0
2000-04-07,49.19,50.94,48.88,50.31,2540600.0,0.0,1.0,23.0731566582,23.8940150472,22.9277474579,23.5985060272,5081200.0
2000-04-10,47.31,47.31,40.0,41.0,9390200.0,0.0,1.0,22.1913202175,22.1913202175,18.7624774615,19.231539398,18780400.0
2000-04-11,41.19,41.19,37.5,39.5,7920400.0,0.0,1.0,19.3206611659,19.3206611659,17.5898226201,18.5279464932,15840800.0
2000-04-12,40.5,41.0,36.13,37.44,4924400.0,0.0,1.0,18.9970084297,19.231539398,16.9472077671,17.5616789039,9848800.0
