Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,60.5,64.81,60.38,63.88,3125100.0,0.0,1.0,21.2935389784,22.8104836561,21.2513038598,22.4831614866,6250200.0
2000-01-04,63.62,63.69,60.5,61.0,1399800.0,0.0,1.0,22.3916520629,22.4162892155,21.2935389784,21.4695186394,2799600.0
2000-01-05,61.0,62.25,60.06,61.75,1175400.0,0.0,1.0,21.4695186394,21.9094677919,21.1386768768,21.7334881309,2350800.0
2000-01-06,60.88,61.75,60.5,61.31,1019400.0,0.0,1.0,21.4272835208,21.7334881309,21.2935389784,21.5786260292,2038800.0
2000-01-07,62.38,65.38,62.25,65.25,1606900.0,0.0,1.0,21.9552225037,23.0111004696,21.9094677919,22.9653457577,3213800.0
2000-01-10,65.38,66.62,65.31,66.5,928400.0,0.0,1.0,23.0111004696,23.4475300288,22.986463317,23.4052949102,1856800.0
2000-01-11,66.44,67.69,65.19,65.81,849100.0,0.0,1.0,23.3841773509,23.8241265033,22.9442281984,23.162442978,1698200.0
2000-01-12,65.81,66.38,64.81,65.0,676500.0,0.0,1.0,23.162442978,23.3630597915,22.8104836561,22.8773559272,1353000.0
2000-01-13,65.0,69.0,65.0,68.31,1335800.0,0.0,1.0,22.8773559272,24.2851932151,22.8773559272,24.0423412829,2671600.0
2000-01-14,68.56,68.69,67.31,67.5,615100.0,0.0,1.0,24.1303311134,24.1760858253,23.690381961,23.7572542321,1230200.0
2000-01-18,66.25,66.44,64.5,64.56,707600.0,0.0,1.0,23.3173050797,23.3841773509,22.7013762663,22.7224938256,1415200.0
2000-01-19,64.12,64.88,63.5,64.37,624600.0,0.0,1.0,22.5676317239,22.8351208086,22.3494169443,22.6556215544,1249200.0
2000-01-20,65.0,65.12,62.5,62.94,442300.0,0.0,1.0,22.8773559272,22.9195910459,21.9974576223,22.152319724,884600.0
2000-01-21,64.25,64.37,62.12,62.44,1160400.0,0.0,1.0,22.6133864358,22.6556215544,21.86371308,21.976340063,2320800.0
