Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,74.75,75.38,72.12,72.87,8012800.0,0.0,1.0,29.128330795,29.3738270947,28.103481163,28.3957386627,12019200.0
2000-01-04,70.62,71.19,69.19,70.88,7815600.0,0.41,1.0,27.6781475426,27.9015480538,27.117686611,27.7800495301,11723400.0
2000-01-05,70.25,72.56,69.0,70.44,5809667.0,0.0,1.0,27.5331331757,28.438493142,27.043219774,27.6076000127,8714500.5
2000-01-06,70.12,72.94,69.75,71.44,5579467.0,0.0,1.0,27.4821821819,28.5874268161,27.337167815,27.9995307341,8369200.5
2000-01-07,72.63,73.5,71.0,72.75,4381267.0,0.0,1.0,28.4659282925,28.8069080201,27.8270812167,28.5129599791,6571900.5
2000-01-10,72.75,73.38,71.5,71.5,3149000.0,0.0,1.0,28.5129599791,28.7598763335,28.0230465774,28.0230465774,4723500.0
2000-01-11,70.0,70.44,68.25,69.81,5603667.0,0.0,1.0,27.4351504953,27.6076000127,26.7492717329,27.3606836583,8405500.5
2000-01-12,69.69,70.88,69.5,70.25,4847867.0,0.0,1.0,27.3136519717,27.7800495301,27.2391851347,27.5331331757,7271800.5
2000-01-13,71.13,72.5,70.56,71.31,4612600.0,0.0,1.0,27.8780322105,28.4149772987,27.6546316993,27.9485797403,6918900.0
2000-01-14,73.94,75.75,72.81,73.88,6487867.0,0.0,1.0,28.9793575375,29.6887521432,28.5364758224,28.9558416942,9731800.5
2000-01-18,73.94,74.5,70.25,71.0,3531067.0,0.0,1.0,28.9793575375,29.1988387415,27.5331331757,27.8270812167,5296600.5
2000-01-19,72.25,75.38,72.25,74.13,10489800.0,0.0,1.0,28.3169946184,29.5437377763,28.3169946184,29.0538243746,15734700.0
2000-01-20,75.38,76.0,72.75,74.06,5180200.0,0.0,1.0,29.5437377763,29.7867348235,28.5129599791,29.0263892241,7770300.0
2000-01-21,73.88,74.0,72.63,72.94,3440400.0,0.0,1.0,28.9558416942,29.0028733808,28.4659282925,28.5874268161,5160600.0
2000-01-24,74.37,74.56,72.19,73.0,4306067.0,0.0,1.0,29.1478877477,29.2223545847,28.2934787751,28.6109426594,6459100.5
2000-01-25,73.0,75.75,73.0,74.62,5053267.0,0.0,1.0,28.6109426594,29.6887521432,28.6109426594,29.245870428,7579900.5
2000-01-26,75.38,79.0,75.0,78.44,5591067.0,0.0,1.0,29.5437377763,30.9625269876,29.3948041021,30.7430457836,8386600.5
2000-01-27,79.44,81.5,78.56,80.69,5443867.0,0.0,1.0,31.134976505,31.942353791,30.7900774702,31.6248899067,8165800.5
2000-01-28,79.56,79.56,76.62,76.69,5000000.0,0.0,1.0,31.1820081916,31.1820081916,30.0297318707,30.0571670212,7500000.0
2000-01-31,76.81,81.5,76.81,80.69,4773467.0,0.0,1.0,30.1041987078,31.942353791,30.1041987078,31.6248899067,7160200.5
2000-02-01,82.44,84.5,81.31,83.75,6434000.0,0.0,1.0,32.3107686691,33.1181459551,31.8678869539,32.8241979141,9651000.0
2000-02-02,83.0,84.19,81.38,82.38,4750800.0,0.0,1.0,32.530249873,32.9966474315,31.8953221044,32.2872528258,7126200.0
2000-02-03,83.5,84.87,80.25,83.19,6133467.0,0.0,1.0,32.7262152337,33.263160322,31.4524403893,32.6047167101,9200200.5
2000-02-04,82.5,83.31,81.56,81.75,3410067.0,0.0,1.0,32.3342845124,32.6517483967,31.9658696343,32.0403364713,5115100.5
2000-02-07,82.19,83.37,81.75,82.19,3122800.0,0.0,1.0,32.2127859887,32.6752642399,32.0403364713,32.2127859887,4684200.0
2000-02-08,84.06,86.13,84.0,85.06,4212400.0,0.0,1.0,32.9456964377,33.7569930309,32.9221805944,33.337627159,6318600.0
2000-02-09,84.94,86.37,82.44,82.88,6545667.0,0.0,1.0,33.2905954725,33.851056404,32.3107686691,32.4832181865,9818500.5
2000-02-10,83.13,83.75,81.38,83.13,4587000.0,0.0,1.0,32.5812008668,32.8241979141,31.8953221044,32.5812008668,6880500.0
2000-02-11,83.25,85.0,82.0,82.62,4701667.0,0.0,1.0,32.6282325534,33.3141113158,32.1383191517,32.3813161989,7052500.5
2000-02-14,82.25,83.44,79.06,79.06,3936467.0,0.0,1.0,32.236301832,32.7026993904,30.9860428309,30.9860428309,5904700.5
2000-02-15,80.06,82.5,79.62,81.06,5977000.0,0.0,1.0,31.3779735522,32.3342845124,31.2055240348,31.7699042736,8965500.0
2000-02-16,81.0,82.19,79.0,79.5,3219800.0,0.0,1.0,31.7463884303,32.2127859887,30.9625269876,31.1584923483,4829700.0
2000-02-17,80.62,81.5,77.81,78.38,3810800.0,0.0,1.0,31.5974547562,31.942353791,30.4961294292,30.7195299403,5716200.0
2000-02-18,78.06,78.56,74.56,74.75,5414200.0,0.0,1.0,30.5941121095,30.7900774702,29.2223545847,29.2968214218,8121300.0
2000-02-22,76.0,78.87,75.12,77.25,4712400.0,0.0,1.0,29.7867348235,30.9115759938,29.4418357887,30.2766482252,7068600.0
2000-02-23,77.37,79.19,76.56,77.37,2968600.0,0.0,1.0,30.3236799118,31.0369938246,30.0062160275,30.3236799118,4452900.0
2000-02-24,77.25,77.56,74.62,76.0,3466600.0,0.0,1.0,30.2766482252,30.3981467488,29.245870428,29.7867348235,5199900.0
2000-02-25,76.62,78.75,74.88,75.87,3096200.0,0.0,1.0,30.0297318707,30.8645443072,29.3477724156,29.7357838297,4644300.0
2000-02-28,76.75,80.25,76.38,77.94,4034000.0,0.0,1.0,30.0806828645,31.4524403893,29.9356684976,30.5470804229,6051000.0
2000-02-29,77.69,81.0,77.69,79.62,4111267.0,0.0,1.0,30.4490977426,31.7463884303,30.4490977426,31.2055240348,6166900.5
2000-03-01,79.88,82.0,78.87,82.0,3244200.0,0.0,1.0,31.3074260224,32.1383191517,30.9115759938,32.1383191517,4866300.0
2000-03-02,80.5,81.12,79.75,80.56,2389200.0,0.0,1.0,31.5504230696,31.7934201169,31.2564750286,31.5739389129,3583800.0
2000-03-03,82.0,82.38,79.38,81.12,3987600.0,0.0,1.0,32.1383191517,32.2872528258,31.1114606617,31.7934201169,5981400.0
2000-03-06,82.94,84.38,82.25,83.44,3794267.0,0.0,1.0,32.5067340298,33.0711142685,32.236301832,32.7026993904,5691400.5
2000-03-07,83.44,84.19,81.0,81.81,3044600.0,0.0,1.0,32.7026993904,32.9966474315,31.7463884303,32.0638523146,4566900.0
2000-03-08,80.75,81.44,78.63,79.0,3498467.0,0.0,1.0,31.64840575,31.9188379477,30.8175126207,30.9625269876,5247700.5
2000-03-09,78.75,81.25,78.06,81.12,2653000.0,0.0,1.0,30.8645443072,31.8443711107,30.5941121095,31.7934201169,3979500.0
2000-03-10,80.0,81.56,77.75,78.69,3540867.0,0.0,1.0,31.354457709,31.9658696343,30.4726135859,30.841028464,5311300.5
2000-03-13,77.62,81.19,77.13,80.06,3148867.0,0.0,1.0,30.4216625921,31.8208552674,30.2296165386,31.3779735522,4723300.5
2000-03-14,80.5,80.94,78.5,79.0,2753067.0,0.0,1.0,31.5504230696,31.722872587,30.7665616269,30.9625269876,4129600.5
2000-03-15,77.88,84.19,77.19,83.13,5907800.0,0.0,1.0,30.5235645797,32.9966474315,30.2531323819,32.5812008668,8861700.0
2000-03-16,84.94,90.38,84.19,90.12,10423267.0,0.0,1.0,33.2905954725,35.4226985967,32.9966474315,35.3207966091,15634900.5
2000-03-17,89.25,92.25,88.5,91.0,7926067.0,0.0,1.0,34.9798168815,36.1556090456,34.6858688405,35.6656956439,11889100.5
2000-03-20,90.0,90.5,84.5,86.56,5384067.0,0.0,1.0,35.2737649226,35.4697302833,33.1181459551,33.9255232411,8076100.5
2000-03-21,86.44,92.5,85.5,92.0,5563667.0,0.0,1.0,33.8784915545,36.253591726,33.5100766764,36.0576263653,8345500.5
2000-03-22,90.63,92.13,88.75,91.56,5736067.0,0.0,1.0,35.520681277,36.1085773591,34.7838515209,35.8851768479,8604100.5
2000-03-23,91.0,99.19,90.94,98.5,6954267.0,0.0,1.0,35.6656956439,38.8756082519,35.6421798006,38.6051760541,10431400.5
2000-03-24,97.0,100.75,96.0,96.19,6326000.0,0.0,1.0,38.0172799721,39.4870201772,37.6253492507,37.6998160878,9489000.0
2000-03-27,96.0,96.87,93.56,94.69,3219267.0,0.0,1.0,37.6253492507,37.9663289783,36.6690382906,37.1119200058,4828900.5
2000-03-28,93.75,95.75,93.12,94.25,4883800.0,0.0,1.0,36.7435051277,37.5273665704,36.4965887732,36.9394704884,7325700.0
2000-03-29,94.25,94.5,89.31,90.38,6058867.0,0.0,1.0,36.9394704884,37.0374531687,35.0033327248,35.4226985967,9088300.5
2000-03-30,89.44,90.75,85.94,87.0,5344800.0,0.0,1.0,35.0542837186,35.5677129636,33.6825261938,34.0979727585,8017200.0
2000-03-31,88.0,88.38,86.0,87.19,4536667.0,0.0,1.0,34.4899034798,34.638837154,33.7060420371,34.1724395955,6805000.5
2000-04-03,87.94,93.0,87.81,92.5,5673000.0,0.0,1.0,34.4663876366,36.4495570867,34.4154366428,36.253591726,8509500.0
2000-04-04,91.5,91.88,83.0,86.75,8425800.0,0.48,1.0,36.060088639,36.2098463842,32.7102443392,34.1881168244,12638700.0
2000-04-05,84.25,86.94,84.25,86.37,4873800.0,0.0,1.0,33.2028685009,34.262995697,33.2028685009,34.0383590792,7310700.0
2000-04-06,87.0,88.25,86.81,87.44,3235600.0,0.0,1.0,34.2866416567,34.7792658185,34.2117627842,34.4600453617,4853400.0
2000-04-07,88.25,88.25,86.0,86.37,3276067.0,0.0,1.0,34.7792658185,34.7792658185,33.8925423274,34.0383590792,4914100.5
2000-04-10,85.5,89.06,85.12,88.12,5243267.0,0.0,1.0,33.6954926627,35.0984862753,33.5457349175,34.7280329057,7864900.5
2000-04-11,87.0,87.87,85.0,86.0,5478067.0,0.0,1.0,34.2866416567,34.6295080733,33.498442998,33.8925423274,8217100.5
2000-04-12,87.94,90.94,86.5,86.81,6088867.0,0.0,1.0,34.6570950264,35.8393930145,34.0895919921,34.2117627842,9133300.5
2000-04-13,86.0,86.75,84.25,84.5,4520667.0,0.0,1.0,33.8925423274,34.1881168244,33.2028685009,33.3013933333,6781000.5
2000-04-14,82.0,82.38,75.75,78.87,8723000.0,0.0,1.0,32.3161450098,32.465902755,29.8530242011,31.0826141088,13084500.0
2000-04-17,77.5,79.44,74.94,78.63,5805800.0,0.0,1.0,30.5426980276,31.3072507266,29.5338037443,30.9880302698,8708700.0
2000-04-18,78.25,80.94,78.06,80.5,4555600.0,0.0,1.0,30.8382725246,31.8983997207,30.763393652,31.7249960157,6833400.0
2000-04-19,80.75,81.0,75.63,78.0,6038067.0,0.0,1.0,31.8235208481,31.9220456804,29.8057322816,30.7397476923,9057100.5
2000-04-20,78.12,78.19,76.25,77.31,3027067.0,0.0,1.0,30.7870396118,30.8146265648,30.0500738658,30.467819155,4540600.5
2000-04-24,76.0,76.44,74.44,74.75,5195200.0,0.0,1.0,29.9515490335,30.1249527384,29.3367540796,29.4589248717,7792800.0
2000-04-25,75.75,78.56,75.25,78.06,4218067.0,0.0,1.0,29.8530242011,30.9604433167,29.6559745364,30.763393652,6327100.5
2000-04-26,78.75,78.75,76.19,76.44,3667000.0,0.0,1.0,31.0353221893,31.0353221893,30.0264279061,30.1249527384,5500500.0
2000-04-27,75.12,75.5,73.31,73.88,6198800.0,0.0,1.0,29.6047416236,29.7544993688,28.8914218374,29.1160584552,9298200.0
2000-04-28,74.25,74.69,71.75,72.12,5735467.0,0.0,1.0,29.261875207,29.435278912,28.2766268836,28.4224436355,8603200.5
2000-05-01,72.5,75.38,71.56,73.75,5626467.0,0.0,1.0,28.5722013806,29.7072074493,28.201748011,29.0648255424,8439700.5
2000-05-02,73.81,77.0,73.38,76.12,5607467.0,0.0,1.0,29.0884715021,30.3456483629,28.9190087905,29.998840953,8411200.5
2000-05-03,75.19,76.75,74.25,74.25,6213667.0,0.0,1.0,29.6323285767,30.2471235305,29.261875207,29.261875207,9320500.5
