Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2011-02-11,31.7,32.14,30.75,31.05,50610600.0,0.0,1.0,25.0242844531,25.3716246789,24.2743453291,24.5111682103,50610600.0
2011-02-14,31.05,31.3,30.7,30.7,6275900.0,0.0,1.0,24.5111682103,24.7085206114,24.2348748489,24.2348748489,6275900.0
2011-02-15,30.9,31.15,30.73,30.94,4337800.0,0.0,1.0,24.3927567697,24.5901091707,24.258557137,24.4243331539,4337800.0
2011-02-16,31.05,31.44,30.66,30.72,4627100.0,0.0,1.0,24.5111682103,24.819037956,24.2032984647,24.2506630409,4627100.0
2011-02-17,30.68,31.09,30.51,30.55,3290700.0,0.0,1.0,24.2190866568,24.5427445945,24.0848870241,24.1164634082,3290700.0
2011-02-18,30.65,31.39,30.4,31.37,2583800.0,0.0,1.0,24.1954043686,24.7795674757,23.9980519676,24.7637792837,2583800.0
2011-02-22,31.14,31.43,30.71,30.72,2454300.0,0.0,1.0,24.5822150747,24.8111438599,24.2427689449,24.2506630409,2454300.0
2011-02-23,30.76,30.9,30.25,30.42,2671200.0,0.0,1.0,24.2822394251,24.3927567697,23.879640527,24.0138401597,2671200.0
2011-02-24,30.55,30.65,30.3,30.46,1698000.0,0.0,1.0,24.1164634082,24.1954043686,23.9191110072,24.0454165438,1698000.0
2011-02-25,30.53,30.75,30.3,30.5,2225900.0,0.0,1.0,24.1006752161,24.2743453291,23.9191110072,24.076992928,2225900.0
2011-02-28,30.57,30.79,30.42,30.5,2380400.0,0.0,1.0,24.1322516003,24.3059217132,24.0138401597,24.076992928,2380400.0
2011-03-01,30.65,30.78,30.23,30.45,1908000.0,0.0,1.0,24.1954043686,24.2980276172,23.8638523349,24.0375224478,1908000.0
2011-03-02,30.57,30.69,30.26,30.57,2197000.0,0.0,1.0,24.1322516003,24.2269807528,23.887534623,24.1322516003,2197000.0
2011-03-03,30.68,30.77,30.53,30.77,1901800.0,0.0,1.0,24.2190866568,24.2901335211,24.1006752161,24.2901335211,1901800.0
2011-03-04,30.8,30.9392,30.66,30.85,892300.0,0.0,1.0,24.3138158093,24.4237016262,24.2032984647,24.3532862895,892300.0
2011-03-07,30.94,31.04,30.7,30.9,1049600.0,0.0,1.0,24.4243331539,24.5032741143,24.2348748489,24.3927567697,1049600.0
2011-03-08,30.8,31.04,30.8,30.97,827400.0,0.0,1.0,24.3138158093,24.5032741143,24.3138158093,24.448015442,827400.0
2011-03-09,30.9,30.98,30.74,30.75,294100.0,0.0,1.0,24.3927567697,24.455909538,24.266451233,24.2743453291,294100.0
2011-03-10,30.71,30.71,29.75,30.1,2715200.0,0.0,1.0,24.2427689449,24.2427689449,23.4849357249,23.7612290863,2715200.0
2011-03-11,30.1,30.48,29.97,30.1,1896900.0,0.0,1.0,23.7612290863,24.0612047359,23.6586058378,23.7612290863,1896900.0
2011-03-14,30.0,30.22,29.8,29.99,1967700.0,0.0,1.0,23.6822881259,23.8559582388,23.5244062051,23.6743940299,1967700.0
2011-03-15,29.81,30.2,29.6,29.88,1968400.0,0.0,1.0,23.5323003011,23.8401700468,23.3665242842,23.5875589734,1968400.0
2011-03-16,29.89,30.16,29.76,30.05,2062200.0,0.0,1.0,23.5954530695,23.8085936626,23.4928298209,23.7217586061,2062200.0
2011-03-17,30.2,30.41,30.06,30.15,1511400.0,0.0,1.0,23.8401700468,24.0059460636,23.7296527022,23.8006995665,1511400.0
2011-03-18,30.21,30.5,30.08,30.5,1906600.0,0.0,1.0,23.8480641428,24.076992928,23.7454408943,24.076992928,1906600.0
2011-03-21,30.53,31.0,30.4,30.82,1253000.0,0.0,1.0,24.1006752161,24.4716977301,23.9980519676,24.3296040014,1253000.0
2011-03-22,30.9,30.98,30.57,30.7,1014700.0,0.0,1.0,24.3927567697,24.455909538,24.1322516003,24.2348748489,1014700.0
2011-03-23,30.53,30.67,29.95,30.02,2570500.0,0.0,1.0,24.1006752161,24.2111925607,23.6428176457,23.698076318,2570500.0
2011-03-24,30.1,30.25,29.9,30.05,1411600.0,0.0,1.0,23.7612290863,23.879640527,23.6033471655,23.7217586061,1411600.0
2011-03-25,30.01,30.0899,29.5,29.52,2687100.0,0.0,1.0,23.690182222,23.7532560493,23.2875833238,23.3033715159,2687100.0
2011-03-28,29.74,29.93,29.56,29.62,1552900.0,0.0,1.0,23.4770416288,23.6270294536,23.3349479001,23.3823124763,1552900.0
2011-03-29,29.75,29.8846,29.54,29.79,1313800.0,0.0,1.0,23.4849357249,23.5911902576,23.319159708,23.516512109,1313800.0
2011-03-30,29.87,29.89,29.58,29.69,769700.0,0.0,1.0,23.5796648774,23.5954530695,23.3507360922,23.4375711486,769700.0
2011-03-31,29.8,29.87,29.51,29.64,884400.0,0.0,1.0,23.5244062051,23.5796648774,23.2954774199,23.3981006684,884400.0
2011-04-01,29.79,29.85,29.49,29.5,1869200.0,0.0,1.0,23.516512109,23.5638766853,23.2796892278,23.2875833238,1869200.0
2011-04-04,29.44,29.7,29.25,29.44,1177900.0,0.0,1.0,23.2402187476,23.4454652447,23.0902309228,23.2402187476,1177900.0
2011-04-05,29.49,29.64,29.0,29.44,1021200.0,0.0,1.0,23.2796892278,23.3981006684,22.8928785217,23.2402187476,1021200.0
2011-04-06,29.46,29.49,29.21,29.46,725100.0,0.0,1.0,23.2560069396,23.2796892278,23.0586545386,23.2560069396,725100.0
