Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,71.03,72.0,70.38,72.0,1434900.0,0.0,1.0,25.2125613028,25.5568691229,24.9818395676,25.5568691229,2869800.0
2000-01-04,70.88,75.75,70.88,74.0,3358600.0,0.0,1.0,25.1593178254,26.8879560564,25.1593178254,26.2667821541,6717200.0
2000-01-05,73.5,79.625,73.125,77.5,3962900.0,0.0,1.0,26.0893038963,28.2634125543,25.9561952029,27.5091299587,7925800.0
2000-01-06,76.44,81.19,75.63,77.75,2664900.0,0.0,1.0,27.1328760521,28.8189195012,26.8453612745,27.5978690876,5329800.0
2000-01-07,77.69,83.0,77.69,82.0,1647200.0,0.0,1.0,27.5765716966,29.4613907944,27.5765716966,29.1064342788,3294400.0
2000-01-10,82.0,88.38,82.0,86.94,1368800.0,0.0,1.0,29.1064342788,31.3710568483,29.1064342788,30.8599194659,2737600.0
2000-01-11,84.63,86.75,80.5,81.38,1496800.0,0.0,1.0,30.0399699148,30.7924777279,28.5739995054,28.8863612392,2993600.0
2000-01-12,80.69,85.88,80.5,83.75,1137400.0,0.0,1.0,28.6414412434,30.4836655593,28.5739995054,29.7276081811,2274800.0
2000-01-13,84.19,86.25,81.75,86.0,809900.0,0.0,1.0,29.883789048,30.6149994701,29.0176951499,30.5262603412,1619800.0
2000-01-14,86.84,91.5,86.81,89.63,1297100.0,0.0,1.0,30.8244238143,32.478521177,30.8137751188,31.8147524928,2594200.0
2000-01-18,88.0,92.81,87.38,91.38,1426000.0,0.0,1.0,31.2361733724,32.9435142124,31.0161003327,32.4359263951,2852000.0
2000-01-19,93.5,97.25,90.44,95.06,2124500.0,0.0,1.0,33.1884342082,34.5195211417,32.1022672705,33.7421663725,4249000.0
2000-01-20,95.94,99.69,89.88,90.88,2094300.0,0.0,1.0,34.0545281062,35.3856150397,31.9034916217,32.2584481373,4188600.0
2000-01-21,91.0,91.56,89.0,89.69,2014200.0,0.0,1.0,32.3010429192,32.4998185679,31.591129888,31.8360498838,4028400.0
2000-01-24,89.81,94.5,89.5,89.69,1585400.0,0.0,1.0,31.8786446656,33.5433907238,31.7686081458,31.8360498838,3170800.0
2000-01-25,90.19,94.13,86.88,94.0,1768900.0,0.0,1.0,32.0135281416,33.412056813,30.8386220749,33.365912466,3537800.0
2000-01-26,93.0,93.75,88.5,88.88,1610300.0,0.04,1.0,33.0258123662,33.2921495627,31.4277891872,31.5627333668,3220600.0
2000-01-27,89.47,93.88,89.06,92.75,2274000.0,0.0,1.0,31.7722519613,33.3383146768,31.6266542939,32.9370333007,4548000.0
2000-01-28,91.38,94.19,89.63,90.75,1710100.0,0.0,1.0,32.4505240218,33.448400718,31.8290705633,32.2268007767,3420200.0
2000-01-31,90.25,95.5,90.19,94.69,2340000.0,0.0,1.0,32.0492426457,33.9136030212,32.02793567,33.625958849,4680000.0
2000-02-01,95.38,98.25,93.63,97.69,1660100.0,0.0,1.0,33.8709890698,34.8901727417,33.2495356113,34.691307635,3320200.0
2000-02-02,98.0,100.4,96.63,100.1,1641300.0,0.0,1.0,34.8013936762,35.653672705,34.3148843973,35.5471378264,3282600.0
2000-02-03,101.0,102.7,97.0,102.0,1932400.0,0.0,1.0,35.8667424622,36.4704401076,34.4462774142,36.2218587242,3864800.0
2000-02-04,102.3,102.3,100.1,101.4,1012500.0,0.0,1.0,36.3283936028,36.3283936028,35.5471378264,36.008788967,2025000.0
2000-02-07,101.1,105.0,100.3,104.9,1059400.0,0.0,1.0,35.9022540884,37.2872075102,35.6181610788,37.251695884,2118800.0
2000-02-08,105.3,108.5,104.5,108.0,1884100.0,0.0,1.0,37.3937423888,38.5301144272,37.1096493792,38.3525562962,3768200.0
2000-02-09,108.0,109.6,105.1,105.5,1368000.0,0.0,1.0,38.3525562962,38.9207423154,37.3227191364,37.4647656412,2736000.0
2000-02-10,105.6,110.8,104.6,110.2,1342100.0,0.0,1.0,37.5002772674,39.3468818298,37.1451610054,39.1338120726,2684200.0
2000-02-11,110.5,111.5,104.7,105.5,1757600.0,0.0,1.0,39.2403469512,39.5954632132,37.1806726316,37.4647656412,3515200.0
2000-02-14,105.9,109.0,101.1,108.1,1484400.0,0.0,1.0,37.606812146,38.7076725582,35.9022540884,38.3880679224,2968800.0
2000-02-15,107.3,107.4,101.6,105.0,1481700.0,0.0,1.0,38.1039749128,38.139486539,36.0798122194,37.2872075102,2963400.0
2000-02-16,104.6,105.6,101.0,101.8,1721100.0,0.0,1.0,37.1451610054,37.5002772674,35.8667424622,36.1508354718,3442200.0
2000-02-17,103.1,103.4,99.38,102.3,1748400.0,0.0,1.0,36.6124866124,36.719021491,35.2914541178,36.3283936028,3496800.0
2000-02-18,101.0,104.0,100.1,101.9,2055000.0,0.0,1.0,35.8667424622,36.9320912482,35.5471378264,36.186347098,4110000.0
2000-02-22,100.9,101.3,96.0,98.44,1527100.0,0.0,1.0,35.831230836,35.9732773408,34.0911611522,34.9576448315,3054200.0
2000-02-23,98.31,103.1,97.13,102.9,1850300.0,0.0,1.0,34.9114797174,36.6124866124,34.4924425283,36.54146336,3700600.0
2000-02-24,103.4,107.5,100.1,106.8,1434200.0,0.0,1.0,36.719021491,38.1749981652,35.5471378264,37.9264167818,2868400.0
2000-02-25,107.1,108.5,103.9,104.1,1777900.0,0.0,1.0,38.0329516604,38.5301144272,36.896579622,36.9676028744,3555800.0
2000-02-28,103.5,105.8,97.25,102.9,1871100.0,0.0,1.0,36.7545331172,37.5713005198,34.5350564797,36.54146336,3742200.0
2000-02-29,103.2,106.5,103.0,104.9,1904200.0,0.0,1.0,36.6479982386,37.8198819032,36.5769749862,37.251695884,3808400.0
2000-03-01,106.0,108.3,102.1,102.1,1606400.0,0.0,1.0,37.6423237722,38.4590911748,36.2573703504,36.2573703504,3212800.0
2000-03-02,102.7,103.0,95.5,95.5,2246500.0,0.0,1.0,36.4704401076,36.5769749862,33.9136030212,33.9136030212,4493000.0
2000-03-03,97.94,99.63,96.56,98.5,2875500.0,0.0,1.0,34.7800867005,35.3802331833,34.2900262589,34.9789518072,5751000.0
2000-03-06,98.5,99.38,94.0,94.06,1841900.0,0.0,1.0,34.9789518072,35.2914541178,33.3809286282,33.4022356039,3683800.0
2000-03-07,95.88,96.38,90.25,91.0,2329200.0,0.0,1.0,34.0485472008,34.2261053318,32.0492426457,32.3155798422,4658400.0
2000-03-08,91.44,97.63,88.0,97.56,2402500.0,0.0,1.0,32.4718309975,34.6700006593,31.2502310562,34.6451425209,4805000.0
2000-03-09,96.94,101.0,95.5,100.8,1782200.0,0.0,1.0,34.4249704385,35.8667424622,33.9136030212,35.7957192098,3564400.0
2000-03-10,100.3,103.4,98.77,101.6,1239900.0,0.0,1.0,35.6181610788,36.719021491,35.074833198,36.0798122194,2479800.0
2000-03-13,100.5,100.5,94.0,94.5,2143800.0,0.0,1.0,35.6891843312,35.6891843312,33.3809286282,33.5584867592,4287600.0
2000-03-14,96.38,97.38,86.0,86.44,2301000.0,0.0,1.0,34.2261053318,34.5812215938,30.5399985322,30.6962496875,4602000.0
2000-03-15,87.19,90.5,84.88,85.94,1825700.0,0.0,1.0,30.962586884,32.1380217112,30.1422683187,30.5186915565,3651400.0
2000-03-16,86.88,95.25,83.94,94.19,2464200.0,0.0,1.0,30.8525008427,33.8248239557,29.8084590325,33.448400718,4928400.0
2000-03-17,93.0,94.88,90.06,94.31,2055700.0,0.0,1.0,33.0258123662,33.6934309388,31.9817705559,33.4910146694,4111400.0
2000-03-20,93.13,96.75,89.38,89.63,1147300.0,0.0,1.0,33.0719774803,34.3574983487,31.7402914978,31.8290705633,2294600.0
2000-03-21,90.5,97.0,88.75,96.63,1433000.0,0.0,1.0,32.1380217112,34.4462774142,31.5165682527,34.3148843973,2866000.0
2000-03-22,96.56,105.0,96.56,103.4,2216900.0,0.0,1.0,34.2900262589,37.2872075102,34.2900262589,36.719021491,4433800.0
2000-03-23,102.8,103.9,98.5,101.8,1721600.0,0.0,1.0,36.5059517338,36.896579622,34.9789518072,36.1508354718,3443200.0
2000-03-24,101.81,106.62,100.0,104.38,2006500.0,0.0,1.0,36.1543866344,37.8624958547,35.5116262002,37.0670354278,4013000.0
2000-03-27,105.1,106.5,101.3,102.1,1154500.0,0.0,1.0,37.3227191364,37.8198819032,35.9732773408,36.2573703504,2309000.0
2000-03-28,56.19,60.5,55.75,58.06,4828950.0,0.0,2.0,39.9079655238,42.9690677023,39.5954632132,41.2361003437,4828950.0
2000-03-29,59.13,62.5,56.5,58.06,6949600.0,0.0,1.0,41.9960491444,44.3895327503,40.1281376062,41.2361003437,6949600.0
2000-03-30,57.88,60.75,56.38,56.63,9716300.0,0.0,1.0,41.1082584894,43.1466258333,40.0429097034,40.2204678344,9716300.0
2000-03-31,58.69,60.63,52.0,55.0,41217100.0,0.0,1.0,41.6835468338,43.0613979304,36.9320912482,39.0627888202,41217100.0
2000-04-03,52.81,53.0,48.63,49.75,7311300.0,0.0,1.0,37.5073795927,37.6423237722,34.5386076423,35.3340680692,7311300.0
2000-04-04,50.13,52.25,41.75,48.69,8591500.0,0.0,1.0,35.6039564283,37.1096493792,29.6522078772,34.5812215938,8591500.0
2000-04-05,49.31,52.38,47.19,50.0,4115100.0,0.0,1.0,35.0215657587,37.2019796073,33.5158728078,35.5116262002,4115100.0
2000-04-06,50.0,51.94,47.0,49.25,3694400.0,0.0,1.0,35.5116262002,36.8894772968,33.3809286282,34.9789518072,3694400.0
2000-04-07,49.72,51.5,49.5,51.31,2638600.0,0.0,1.0,35.3127610935,36.5769749862,35.1565099382,36.4420308067,2638600.0
2000-04-10,52.69,53.0,47.0,47.88,3148000.0,0.0,1.0,37.4221516898,37.6423237722,33.3809286282,34.0059332493,3148000.0
2000-04-11,47.0,50.5,45.0,47.75,3586500.0,0.0,1.0,33.3809286282,35.8667424622,31.9604635802,33.9136030212,3586500.0
2000-04-12,47.44,47.94,45.0,45.0,2965300.0,0.0,1.0,33.6934309388,34.0485472008,31.9604635802,31.9604635802,2965300.0
2000-04-13,46.38,49.44,44.06,44.31,3491800.0,0.0,1.0,32.9405844633,35.1138959868,31.2928450076,31.4704031386,3491800.0
2000-04-14,43.88,43.94,39.88,41.0,3887500.0,0.0,1.0,31.1650031533,31.2076171048,28.3240730573,29.1195334842,3887500.0
2000-04-17,40.25,46.31,39.75,45.94,4628800.0,0.0,1.0,28.5868590912,32.8908681866,28.2317428292,32.6280821528,4628800.0
2000-04-18,46.05,49.86,43.44,49.5,3916900.0,0.0,1.0,32.7062077304,35.4121936469,30.8525008427,35.1565099382,3916900.0
2000-04-19,49.69,51.75,45.38,47.25,5186700.0,0.0,1.0,35.2914541178,36.7545331172,32.2303519393,33.5584867592,5186700.0
2000-04-20,47.94,49.88,47.0,47.31,3515200.0,0.0,1.0,34.0485472008,35.4263982973,33.3809286282,33.6011007106,3515200.0
2000-04-24,46.63,50.13,45.88,49.06,3867200.0,0.0,1.0,33.1181425943,35.6039564283,32.5854682013,34.8440076277,3867200.0
2000-04-25,49.56,54.0,49.5,53.5,3861800.0,0.0,1.0,35.1991238897,38.3525562962,35.1565099382,37.9974400342,3861800.0
2000-04-26,53.0,53.56,49.25,49.63,3289100.0,0.03,1.0,37.6650775444,38.0630481751,35.0000956427,35.2701471421,3289100.0
2000-04-27,48.0,53.5,47.0,53.5,2840100.0,0.0,1.0,34.1117683421,38.0204084646,33.4011065016,38.0204084646,2840100.0
2000-04-28,54.06,57.38,52.0,57.13,3435300.0,0.0,1.0,38.4183790953,40.7777764056,36.9544157039,40.6001109455,3435300.0
2000-05-01,57.06,57.13,53.5,56.13,2695200.0,0.0,1.0,40.5503646167,40.6001109455,38.0204084646,39.8894491051,2695200.0
2000-05-02,55.69,57.47,52.38,53.06,2687200.0,0.0,1.0,39.5767578952,40.8417359713,37.2244672033,37.7077172548,2687200.0
2000-05-03,53.06,54.06,50.25,51.75,2394200.0,0.0,1.0,37.7077172548,38.4183790953,35.7107574831,36.7767502438,2394200.0
2000-05-04,52.0,54.0,49.69,53.88,2890200.0,0.0,1.0,36.9544157039,38.3757393849,35.3127868525,38.290459964,2890200.0
2000-05-05,52.75,57.31,52.56,56.0,2689500.0,0.0,1.0,37.4874120843,40.7280300768,37.3523863346,39.7970630658,2689500.0
2000-05-08,55.25,55.69,52.13,52.56,2836100.0,0.0,1.0,39.2640666854,39.5767578952,37.0468017432,37.3523863346,2836100.0
2000-05-09,52.69,53.75,50.56,50.67,2112100.0,0.0,1.0,37.4447723739,38.1980739248,35.9310626537,36.0092354561,2112100.0
2000-05-10,49.69,50.81,47.0,47.19,3877500.0,0.0,1.0,35.3127868525,36.1087281138,33.4011065016,33.5361322513,3877500.0
2000-05-11,47.94,53.19,47.0,53.0,2848200.0,0.0,1.0,34.0691286317,37.8001032941,33.4011065016,37.6650775444,2848200.0
2000-05-12,52.5,55.75,52.25,55.38,3149500.0,0.0,1.0,37.3097466242,39.6193976057,37.1320811641,39.3564527247,3149500.0
