Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,58.81,59.44,55.0,55.75,2023400.0,0.0,1.0,12.0804825096,12.2098942419,11.2978496519,11.451911238,8093600.0
2000-01-04,55.0,55.06,51.38,52.75,1955500.0,0.0,1.0,11.2978496519,11.3101745788,10.5542457293,10.8356648934,7822000.0
2000-01-05,52.63,53.94,51.75,52.88,1230300.0,0.0,1.0,10.8110150396,11.0801092768,10.6302494452,10.8623689017,4921200.0
2000-01-06,52.0,54.0,51.88,52.56,1129900.0,0.0,1.0,10.6816033072,11.0924342037,10.6569534534,10.7966359582,4519600.0
2000-01-07,52.94,54.44,52.75,53.75,917100.0,0.0,1.0,10.8746938285,11.1828170009,10.8356648934,11.0410803416,3668400.0
2000-01-10,54.0,55.5,53.81,55.38,1121400.0,0.0,1.0,11.0924342037,11.400557376,11.0534052685,11.3759075222,4485600.0
2000-01-11,54.63,55.75,53.44,53.88,1047900.0,0.0,1.0,11.221845936,11.451911238,10.9774015527,11.0677843499,4191600.0
2000-01-12,53.81,54.19,51.75,52.94,2261100.0,0.035,1.0,11.0607129599,11.1388224363,10.6372773774,10.8818833692,9044400.0
2000-01-13,53.0,53.0,52.0,52.38,1307000.0,0.0,1.0,10.8942164445,10.8942164445,10.6886651908,10.7667746672,5228000.0
2000-01-14,53.0,54.88,52.88,54.13,2269700.0,0.0,1.0,10.8942164445,11.2806528013,10.869550294,11.1264893611,9078800.0
2000-01-18,54.75,54.75,52.88,53.25,1155300.0,0.0,1.0,11.2539311384,11.2539311384,10.869550294,10.9456042579,4621200.0
2000-01-19,53.5,53.69,52.75,52.88,1125700.0,0.0,1.0,10.9969920713,11.0360468095,10.842828631,10.869550294,4502800.0
2000-01-20,52.88,52.94,49.0,50.75,2999300.0,0.0,1.0,10.869550294,10.8818833692,10.0720114298,10.4317261237,11997200.0
2000-01-21,50.63,50.69,46.69,47.38,3900000.0,0.0,1.0,10.4070599733,10.4193930485,9.5971880338,9.73901839883,15600000.0
2000-01-24,47.5,48.88,46.19,46.75,2165000.0,0.0,1.0,9.76368454927,10.0473452793,9.49441240697,9.60952110902,8660000.0
2000-01-25,47.0,47.19,45.0,46.0,2283400.0,0.0,1.0,9.66090892244,9.69996366064,9.2498064151,9.45535766877,9133600.0
2000-01-26,45.75,47.0,44.25,46.63,2747900.0,0.0,1.0,9.40396985535,9.66090892244,9.09564297485,9.58485495858,10991600.0
2000-01-27,46.75,46.94,45.06,45.81,2376700.0,0.0,1.0,9.60952110902,9.64857584722,9.26213949032,9.41630293057,9506800.0
2000-01-28,45.63,45.69,43.31,44.56,1738300.0,0.0,1.0,9.37930370491,9.39163678013,8.9024247964,9.15936386349,6953200.0
2000-01-31,44.69,45.31,43.06,44.63,2493500.0,0.0,1.0,9.18608552646,9.31352730374,8.85103698298,9.17375245124,9974000.0
2000-02-01,44.88,47.5,44.88,47.06,2948000.0,0.0,1.0,9.22514026466,9.76368454927,9.22514026466,9.67324199766,11792000.0
2000-02-02,46.63,48.25,45.81,47.25,2657100.0,0.0,1.0,9.58485495858,9.91784798952,9.41630293057,9.71229673586,10628400.0
2000-02-03,47.5,48.25,46.5,47.13,1493600.0,0.0,1.0,9.76368454927,9.91784798952,9.5581332956,9.68763058542,5974400.0
2000-02-04,47.06,48.81,47.06,48.38,2500200.0,0.0,1.0,9.67324199766,10.0329566916,9.67324199766,9.9445696525,10000800.0
2000-02-07,47.63,47.63,46.69,46.94,1766900.0,0.0,1.0,9.79040621225,9.79040621225,9.5971880338,9.64857584722,7067600.0
2000-02-08,47.0,48.75,45.19,48.44,1683800.0,0.0,1.0,9.66090892244,10.0206236164,9.2888611533,9.95690272772,6735200.0
2000-02-09,48.44,48.44,46.06,46.38,1239200.0,0.0,1.0,9.95690272772,9.95690272772,9.46769074399,9.53346714516,4956800.0
2000-02-10,46.25,46.31,45.19,46.06,948500.0,0.0,1.0,9.50674548219,9.51907855741,9.2888611533,9.46769074399,3794000.0
2000-02-11,46.13,47.0,45.94,46.0,834600.0,0.0,1.0,9.48207933175,9.66090892244,9.44302459355,9.45535766877,3338400.0
2000-02-14,46.06,47.31,45.63,46.81,1009000.0,0.0,1.0,9.46769074399,9.72462981108,9.37930370491,9.62185418424,4036000.0
2000-02-15,46.56,46.75,45.63,46.0,1385000.0,0.0,1.0,9.57046637082,9.60952110902,9.37930370491,9.45535766877,5540000.0
2000-02-16,45.5,45.69,43.44,43.75,1611300.0,0.0,1.0,9.35258204193,9.39163678013,8.92914645938,8.99286734801,6445200.0
2000-02-17,45.19,45.19,41.19,42.5,2781500.0,0.0,1.0,9.2888611533,9.2888611533,8.46665613862,8.73592828093,11126000.0
2000-02-18,42.56,44.44,42.5,43.5,2881900.0,0.0,1.0,8.74826135615,9.13469771305,8.73592828093,8.9414795346,11527600.0
2000-02-22,44.13,45.19,42.25,43.06,2502900.0,0.0,1.0,9.07097682441,9.2888611533,8.68454046751,8.85103698298,10011600.0
2000-02-23,42.75,43.13,41.0,42.56,2322000.0,0.0,1.0,8.78731609435,8.86542557074,8.42760140042,8.74826135615,9288000.0
2000-02-24,43.56,43.56,40.75,40.75,1812000.0,0.0,1.0,8.95381260982,8.95381260982,8.37621358701,8.37621358701,7248000.0
2000-02-25,42.5,42.88,41.38,41.75,1799600.0,0.0,1.0,8.73592828093,8.81403775732,8.50571087682,8.58176484068,7198400.0
2000-02-28,42.38,46.25,41.75,45.69,2595700.0,0.0,1.0,8.71126213049,9.50674548219,8.58176484068,9.39163678013,10382800.0
2000-02-29,47.63,47.94,46.25,47.81,2425100.0,0.0,1.0,9.79040621225,9.85412710089,9.50674548219,9.82740543791,9700400.0
2000-03-01,48.5,48.56,45.63,47.81,2506200.0,0.0,1.0,9.96923580294,9.98156887816,9.37930370491,9.82740543791,10024800.0
2000-03-02,46.88,47.19,45.75,46.0,1469400.0,0.0,1.0,9.636242772,9.69996366064,9.40396985535,9.45535766877,5877600.0
2000-03-03,46.5,47.44,46.38,47.0,1961000.0,0.0,1.0,9.5581332956,9.75135147405,9.53346714516,9.66090892244,7844000.0
2000-03-06,47.5,47.5,44.5,45.0,1556400.0,0.0,1.0,9.76368454927,9.76368454927,9.14703078827,9.2498064151,6225600.0
2000-03-07,45.5,45.56,41.06,41.63,3415100.0,0.0,1.0,9.35258204193,9.36491511715,8.43993447564,8.55709869024,13660400.0
2000-03-08,42.44,44.81,41.94,43.88,2076800.0,0.0,1.0,8.72359520571,9.2107516769,8.62081957887,9.01958901099,8307200.0
2000-03-09,43.88,47.0,43.31,46.44,1511300.0,0.0,1.0,9.01958901099,9.66090892244,8.9024247964,9.54580022038,6045200.0
2000-03-10,46.38,47.13,45.0,45.0,818100.0,0.0,1.0,9.53346714516,9.68763058542,9.2498064151,9.2498064151,3272400.0
2000-03-13,43.0,44.38,43.0,43.5,1270500.0,0.0,1.0,8.83870390776,9.12236463783,8.83870390776,8.9414795346,5082000.0
2000-03-14,43.75,43.75,42.13,42.38,4197800.0,0.0,1.0,8.99286734801,8.99286734801,8.65987431707,8.71126213049,16791200.0
2000-03-15,42.5,45.5,41.88,45.31,2181800.0,0.0,1.0,8.73592828093,9.35258204193,8.60848650365,9.31352730374,8727200.0
2000-03-16,46.19,50.13,46.06,50.06,3745400.0,0.0,1.0,9.49441240697,10.3042843464,9.46769074399,10.2898957587,14981600.0
2000-03-17,50.06,51.81,49.13,51.44,2838100.0,0.0,1.0,10.2898957587,10.6496104526,10.0987330928,10.5735564887,11352400.0
2000-03-20,50.25,51.19,49.0,50.56,1488700.0,0.0,1.0,10.3289504969,10.5221686753,10.0720114298,10.3926713855,5954800.0
2000-03-21,50.56,52.06,50.13,50.88,1692000.0,0.0,1.0,10.3926713855,10.700998266,10.3042843464,10.4584477867,6768000.0
2000-03-22,50.88,51.38,49.44,50.44,1443200.0,0.0,1.0,10.4584477867,10.5612234135,10.1624539814,10.3680052351,5772800.0
2000-03-23,50.38,52.69,49.94,52.56,1637900.0,0.0,1.0,10.3556721598,10.8304955558,10.2652296082,10.8037738928,6551600.0
2000-03-24,52.56,54.5,52.06,53.75,1625400.0,0.0,1.0,10.8037738928,11.202543325,10.700998266,11.0483798847,6501600.0
2000-03-27,52.81,53.81,52.75,53.44,1211600.0,0.0,1.0,10.8551617063,11.0607129599,10.842828631,10.9846589961,4846400.0
2000-03-28,52.81,54.44,52.81,53.5,1223800.0,0.0,1.0,10.8551617063,11.1902102497,10.8551617063,10.9969920713,4895200.0
2000-03-29,53.38,55.13,53.06,55.06,2184100.0,0.0,1.0,10.9723259208,11.3320406148,10.9065495197,11.317652027,8736400.0
2000-03-30,54.88,58.06,54.63,58.0,2606000.0,0.0,1.0,11.2806528013,11.934305788,11.2292649879,11.9219727128,10424000.0
2000-03-31,59.88,59.88,57.31,58.38,2165600.0,0.0,1.0,12.3084090697,12.3084090697,11.7801423478,12.0000821892,8662400.0
2000-04-03,58.44,60.63,58.44,60.5,2433300.0,0.0,1.0,12.0124152644,12.4625725099,12.0124152644,12.435850847,9733200.0
