Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,31.56,31.63,30.44,30.5,1239689.0,0.0,1.0,12.4369578975,12.4645430386,11.9955956401,12.0192400467,2479378.0
2000-01-04,30.31,30.75,30.06,30.31,512494.0,0.0,1.0,11.9443660923,12.1177584078,11.8458477313,11.9443660923,1024988.0
2000-01-05,30.31,31.06,30.31,30.94,475053.0,0.0,1.0,11.9443660923,12.2399211754,11.9443660923,12.1926323621,950106.0
2000-01-06,30.88,31.25,30.69,31.25,439888.0,0.0,1.0,12.1689879555,12.3147951298,12.0941140011,12.3147951298,879776.0
2000-01-07,31.25,32.31,31.25,32.13,551220.0,0.0,1.0,12.3147951298,12.7325129806,12.3147951298,12.6615797607,1102440.0
2000-01-10,33.0,34.75,32.88,33.81,1368975.0,0.0,1.0,13.0044236571,13.6940521844,12.9571348438,13.3236231469,2737950.0
2000-01-11,33.56,34.13,32.63,32.63,777693.0,0.0,1.0,13.2251047858,13.449726649,12.8586164828,12.8586164828,1555386.0
2000-01-12,32.63,33.19,32.0,32.94,504778.0,0.0,1.0,12.8586164828,13.0792976115,12.6103502129,12.9807792504,1009556.0
2000-01-13,32.94,33.5,32.88,33.0,465755.0,0.0,1.0,12.9807792504,13.2014603792,12.9571348438,13.0044236571,931510.0
2000-01-14,33.0,33.44,32.69,32.75,394781.0,0.0,1.0,13.0044236571,13.1778159725,12.8822608894,12.9059052961,789562.0
2000-01-18,32.5,32.94,32.13,32.31,469761.0,0.0,1.0,12.807386935,12.9807792504,12.6615797607,12.7325129806,939522.0
2000-01-19,32.06,32.94,32.06,32.5,461749.0,0.0,1.0,12.6339946196,12.9807792504,12.6339946196,12.807386935,923498.0
2000-01-20,32.13,32.56,32.0,32.19,435437.0,0.0,1.0,12.6615797607,12.8310313417,12.6103502129,12.6852241673,870874.0
2000-01-21,32.19,32.38,31.94,32.06,587325.0,0.0,1.0,12.6852241673,12.7600981217,12.5867058063,12.6339946196,1174650.0
2000-01-24,32.06,32.06,30.13,30.19,761767.0,0.0,1.0,12.6339946196,12.6339946196,11.8734328724,11.897077279,1523534.0
2000-01-25,30.13,31.94,30.13,30.94,626398.0,0.0,1.0,11.8734328724,12.5867058063,11.8734328724,12.1926323621,1252796.0
2000-01-26,31.0,31.13,30.25,31.13,512395.0,0.0,1.0,12.2162767688,12.2675063165,11.9207216857,12.2675063165,1024790.0
2000-01-27,31.0,31.88,31.0,31.25,509378.0,0.0,1.0,12.2162767688,12.5630613996,12.2162767688,12.3147951298,1018756.0
2000-01-28,31.06,32.13,30.75,30.81,1012623.0,0.0,1.0,12.2399211754,12.6615797607,12.1177584078,12.1414028144,2025246.0
2000-01-31,31.0,31.19,30.44,31.06,523721.0,0.0,1.0,12.2162767688,12.2911507232,11.9955956401,12.2399211754,1047442.0
2000-02-01,31.0,32.63,30.94,31.94,477971.0,0.0,1.0,12.2162767688,12.8586164828,12.1926323621,12.5867058063,955942.0
2000-02-02,31.69,32.25,31.38,31.44,379647.0,0.0,1.0,12.4881874453,12.708868574,12.3660246776,12.3896690842,759294.0
2000-02-03,31.44,32.5,31.38,32.25,779127.0,0.0,1.0,12.3896690842,12.807386935,12.3660246776,12.708868574,1558254.0
2000-02-04,32.13,33.94,32.0,33.88,723881.0,0.0,1.0,12.6615797607,13.3748526946,12.6103502129,13.351208288,1447762.0
2000-02-07,33.44,33.88,32.5,33.25,658694.0,0.0,1.0,13.1778159725,13.351208288,12.807386935,13.1029420181,1317388.0
2000-02-08,33.25,33.94,32.88,33.5,965934.0,0.0,1.0,13.1029420181,13.3748526946,12.9571348438,13.2014603792,1931868.0
2000-02-09,33.13,33.69,32.63,32.69,853662.0,0.0,1.0,13.0556532048,13.2763343336,12.8586164828,12.8822608894,1707324.0
2000-02-10,32.81,32.81,31.94,32.06,890904.0,0.0,1.0,12.9295497027,12.9295497027,12.5867058063,12.6339946196,1781808.0
