Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2001-06-13,31.5,32.0,31.09,31.25,69567200.0,0.0,1.0,13.7297930774,13.9477263008,13.5510878341,13.6208264656,69567200.0
2001-06-14,30.5,31.0,29.5,30.15,31979800.0,0.0,1.0,13.2939266305,13.5118598539,12.8580601836,13.141373374,31979800.0
2001-06-15,30.0,30.75,29.95,30.6,14369300.0,0.0,1.0,13.075993407,13.4028932422,13.0542000847,13.3375132752,14369300.0
2001-06-18,30.5,30.6,30.06,30.32,4019800.0,0.0,1.0,13.2939266305,13.3375132752,13.1021453938,13.21547067,4019800.0
2001-06-19,30.6,30.71,30.21,30.4,5690300.0,0.0,1.0,13.3375132752,13.3854585843,13.1675253609,13.2503399858,5690300.0
2001-06-20,30.4,30.59,30.18,30.3,3791600.0,0.0,1.0,13.2503399858,13.3331546107,13.1544493675,13.2067533411,3791600.0
2001-06-21,30.35,30.35,30.0,30.0,6027200.0,0.0,1.0,13.2285466634,13.2285466634,13.075993407,13.075993407,6027200.0
2001-06-22,30.0,30.02,29.76,30.0,4847700.0,0.0,1.0,13.075993407,13.084710736,12.9713854598,13.075993407,4847700.0
2001-06-25,30.0,30.15,29.85,30.15,2420300.0,0.0,1.0,13.075993407,13.141373374,13.01061344,13.141373374,2420300.0
2001-06-26,30.0,30.08,29.81,30.04,3333300.0,0.0,1.0,13.075993407,13.1108627228,12.9931787821,13.0934280649,3333300.0
2001-06-27,29.95,30.0,29.81,29.94,3182300.0,0.0,1.0,13.0542000847,13.075993407,12.9931787821,13.0498414202,3182300.0
2001-06-28,29.98,30.44,29.97,30.41,2778100.0,0.0,1.0,13.0672760781,13.2677746436,13.0629174136,13.2546986502,2778100.0
2001-06-29,30.5,31.0,30.33,31.0,5777800.0,0.0,1.0,13.2939266305,13.5118598539,13.2198293345,13.5118598539,5777800.0
2001-07-02,30.7,30.7,30.42,30.47,3167600.0,0.0,1.0,13.3810999198,13.3810999198,13.2590573147,13.2808506371,3167600.0
2001-07-03,30.46,30.64,30.42,30.56,608700.0,0.0,1.0,13.2764919726,13.354947933,13.2590573147,13.3200786173,608700.0
2001-07-05,30.75,31.03,30.63,30.93,2085500.0,0.0,1.0,13.4028932422,13.5249358473,13.3505892686,13.4813492026,2085500.0
2001-07-06,30.98,30.98,30.5,30.65,945300.0,0.0,1.0,13.503142525,13.503142525,13.2939266305,13.3593065975,945300.0
2001-07-09,30.6,30.74,30.25,30.38,2295300.0,0.0,1.0,13.3375132752,13.3985345777,13.1849600187,13.2416226568,2295300.0
2001-07-10,30.45,30.85,30.28,30.35,3301300.0,0.0,1.0,13.2721333081,13.4464798869,13.1980360121,13.2285466634,3301300.0
2001-07-11,30.36,30.36,30.0,30.3,2023000.0,0.0,1.0,13.2329053279,13.2329053279,13.075993407,13.2067533411,2023000.0
2001-07-12,30.65,30.9,30.2,30.9,1912500.0,0.0,1.0,13.3593065975,13.4682732092,13.1631666964,13.4682732092,1912500.0
2001-07-13,30.9,30.98,30.46,30.73,995400.0,0.0,1.0,13.4682732092,13.503142525,13.2764919726,13.3941759133,995400.0
2001-07-16,30.73,31.01,30.65,30.71,1198100.0,0.0,1.0,13.3941759133,13.5162185184,13.3593065975,13.3854585843,1198100.0
2001-07-17,30.89,31.45,30.85,31.45,3792700.0,0.0,1.0,13.4639145448,13.707999755,13.4464798869,13.707999755,3792700.0
2001-07-18,31.45,31.5,30.8,31.49,5645100.0,0.0,1.0,13.707999755,13.7297930774,13.4246865645,13.7254344129,5645100.0
2001-07-19,31.74,31.74,30.19,31.32,3326000.0,0.0,1.0,13.8344010246,13.8344010246,13.1588080319,13.6513371169,3326000.0
2001-07-20,31.25,31.34,31.01,31.2,1390900.0,0.0,1.0,13.6208264656,13.6600544459,13.5162185184,13.5990331433,1390900.0
2001-07-23,31.1,31.19,30.92,31.0,1756000.0,0.0,1.0,13.5554464986,13.5946744788,13.4769905382,13.5118598539,1756000.0
2001-07-24,31.18,31.19,30.9,31.07,1146500.0,0.0,1.0,13.5903158144,13.5946744788,13.4682732092,13.5423705052,1146500.0
2001-07-25,31.0,31.0,30.51,30.7,860600.0,0.0,1.0,13.5118598539,13.5118598539,13.2982852949,13.3810999198,860600.0
2001-07-26,30.95,31.19,30.62,31.12,1901900.0,0.0,1.0,13.4900665316,13.5946744788,13.3462306041,13.5641638275,1901900.0
2001-07-27,31.2,31.2,30.81,30.91,1541800.0,0.0,1.0,13.5990331433,13.5990331433,13.429045229,13.4726318737,1541800.0
2001-07-30,31.09,31.1,30.5,30.6,1233900.0,0.0,1.0,13.5510878341,13.5554464986,13.2939266305,13.3375132752,1233900.0
2001-07-31,30.5,31.16,30.5,30.95,2020200.0,0.0,1.0,13.2939266305,13.5815984854,13.2939266305,13.4900665316,2020200.0
2001-08-01,30.9,31.01,30.58,30.78,2302200.0,0.0,1.0,13.4682732092,13.5162185184,13.3287959462,13.4159692356,2302200.0
2001-08-02,30.7,31.17,30.65,30.95,2700000.0,0.0,1.0,13.3810999198,13.5859571499,13.3593065975,13.4900665316,2700000.0
2001-08-03,30.86,30.98,30.5,30.7,456800.0,0.0,1.0,13.4508385513,13.503142525,13.2939266305,13.3810999198,456800.0
2001-08-06,30.71,30.84,30.25,30.35,847600.0,0.0,1.0,13.3854585843,13.4421212224,13.1849600187,13.2285466634,847600.0
2001-08-07,30.45,30.54,30.28,30.5,991400.0,0.0,1.0,13.2721333081,13.3113612883,13.1980360121,13.2939266305,991400.0
2001-08-08,30.7,30.7,30.0,30.01,1517200.0,0.0,1.0,13.3810999198,13.3810999198,13.075993407,13.0803520715,1517200.0
2001-08-09,30.05,30.37,30.0,30.37,752900.0,0.0,1.0,13.0977867294,13.2372639924,13.075993407,13.2372639924,752900.0
2001-08-10,30.25,31.12,30.15,30.8,1119700.0,0.0,1.0,13.1849600187,13.5641638275,13.141373374,13.4246865645,1119700.0
2001-08-13,30.96,31.19,30.92,31.1,1749200.0,0.0,1.0,13.494425196,13.5946744788,13.4769905382,13.5554464986,1749200.0
2001-08-14,31.2,31.25,31.0,31.1,1365300.0,0.0,1.0,13.5990331433,13.6208264656,13.5118598539,13.5554464986,1365300.0
2001-08-15,31.1,31.2,30.97,30.98,2106500.0,0.0,1.0,13.5554464986,13.5990331433,13.4987838605,13.503142525,2106500.0
2001-08-16,30.98,31.27,30.95,31.15,1351200.0,0.0,1.0,13.503142525,13.6295437946,13.4900665316,13.5772398209,1351200.0
2001-08-17,31.15,31.35,30.91,31.35,1164200.0,0.0,1.0,13.5772398209,13.6644131103,13.4726318737,13.6644131103,1164200.0
2001-08-20,31.39,31.76,31.27,31.72,2020900.0,0.0,1.0,13.6818477682,13.8431183536,13.6295437946,13.8256836957,2020900.0
