Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-01-03,33.0,35.25,32.75,34.25,9266900.0,0.0,1.0,25.6960012423,27.448001327,25.5013345663,26.6693346227,9266900.0
2000-01-04,34.31,35.5,34.25,34.5,5109300.0,0.0,1.0,26.716054625,27.6426680031,26.6693346227,26.8640012988,5109300.0
2000-01-05,35.0,36.44,34.63,35.94,5841200.0,0.04,1.0,27.2836666873,28.4061946882,26.9952393538,28.0164280212,5841200.0
2000-01-06,36.56,38.31,36.31,38.0,6130500.0,0.0,1.0,28.4997386882,29.8639220226,28.3048553547,29.6222666891,6130500.0
2000-01-07,39.75,43.0,39.31,42.25,11537600.0,0.0,1.0,30.9864500234,33.5199333587,30.6434553565,32.9352833583,11537600.0
2000-01-10,41.63,43.25,41.44,41.94,6966700.0,0.0,1.0,32.4519726912,33.7148166922,32.3038613578,32.6936280247,6966700.0
2000-01-11,41.56,43.06,41.44,42.13,4413700.0,0.0,1.0,32.3974053578,33.5667053587,32.3038613578,32.8417393582,4413700.0
2000-01-12,41.63,42.06,41.31,42.06,3243300.0,0.0,1.0,32.4519726912,32.7871720248,32.2025220244,32.7871720248,3243300.0
2000-01-13,42.0,44.13,41.94,43.5,5029300.0,0.0,1.0,32.7404000248,34.400806026,32.6936280247,33.9097000257,5029300.0
2000-01-14,44.75,44.94,43.63,43.88,5759600.0,0.0,1.0,34.8841166931,35.0322280265,34.0110393591,34.2059226925,5759600.0
2000-01-18,44.5,44.88,43.88,44.38,5947800.0,0.0,1.0,34.6892333596,34.9854560265,34.2059226925,34.5956893595,5947800.0
2000-01-19,44.63,45.63,44.25,44.94,4288100.0,0.0,1.0,34.790572693,35.5701060269,34.4943500261,35.0322280265,4288100.0
2000-01-20,45.75,46.13,44.0,44.0,6083200.0,0.0,1.0,35.663650027,35.9598726939,34.2994666926,34.2994666926,6083200.0
2000-01-21,45.0,45.0,43.31,43.56,6105200.0,0.0,1.0,35.0790000265,35.0790000265,33.7615886922,33.9564720257,6105200.0
2000-01-24,44.25,44.94,42.38,43.06,5749800.0,0.0,1.0,34.4943500261,35.0322280265,33.0366226917,33.5667053587,5749800.0
2000-01-25,43.75,45.0,43.63,44.56,3742800.0,0.0,1.0,34.1045833591,35.0790000265,34.0110393591,34.7360053596,3742800.0
2000-01-26,44.75,46.31,44.5,46.13,6589300.0,0.0,1.0,34.8841166931,36.100188694,34.6892333596,35.9598726939,6589300.0
2000-01-27,46.88,47.5,45.31,46.44,4539700.0,0.0,1.0,36.5445226943,37.0278333613,35.3206553601,36.2015280274,4539700.0
2000-01-28,46.19,46.19,44.31,44.81,3981200.0,0.0,1.0,36.0066446939,36.0066446939,34.5411220261,34.9308886931,3981200.0
2000-01-31,44.81,45.75,43.25,45.75,3717100.0,0.0,1.0,34.9308886931,35.663650027,33.7148166922,35.663650027,3717100.0
2000-02-01,45.5,46.5,44.97,46.38,2960700.0,0.0,1.0,35.4687666935,36.2483000274,35.0556140265,36.1547560274,2960700.0
2000-02-02,46.13,46.56,44.75,45.0,3099000.0,0.0,1.0,35.9598726939,36.2950720275,34.8841166931,35.0790000265,3099000.0
2000-02-03,45.38,45.81,44.0,45.75,3275900.0,0.0,1.0,35.3752226934,35.710422027,34.2994666926,35.663650027,3275900.0
2000-02-04,46.0,49.63,46.0,48.06,5717100.0,0.0,1.0,35.8585333605,38.6882393626,35.8585333605,37.4643720283,5717100.0
2000-02-07,47.88,49.25,47.5,49.25,4373700.0,0.0,1.0,37.3240560282,38.3920166957,37.0278333613,38.3920166957,4373700.0
2000-02-08,49.0,49.69,48.69,49.63,3328600.0,0.0,1.0,38.1971333622,38.7350113626,37.9554780287,38.6882393626,3328600.0
2000-02-09,49.5,49.69,48.75,48.88,3685400.0,0.0,1.0,38.5869000292,38.7350113626,38.0022500288,38.1035893622,3685400.0
2000-02-10,49.0,49.19,48.0,48.0,2088800.0,0.0,1.0,38.1971333622,38.3452446957,37.4176000283,37.4176000283,2088800.0
2000-02-11,48.75,48.75,45.0,46.0,6163300.0,0.0,1.0,38.0022500288,38.0022500288,35.0790000265,35.8585333605,6163300.0
2000-02-14,46.38,48.06,46.19,46.38,4625300.0,0.0,1.0,36.1547560274,37.4643720283,36.0066446939,36.1547560274,4625300.0
2000-02-15,46.63,46.63,44.88,45.44,4631000.0,0.0,1.0,36.3496393608,36.3496393608,34.9854560265,35.4219946935,4631000.0
2000-02-16,45.44,46.0,44.06,44.25,4768700.0,0.0,1.0,35.4219946935,35.8585333605,34.3462386927,34.4943500261,4768700.0
2000-02-17,46.25,47.25,46.19,46.56,5653400.0,0.0,1.0,36.0534166939,36.8329500279,36.0066446939,36.2950720275,5653400.0
2000-02-18,47.5,48.38,47.38,47.69,5579200.0,0.0,1.0,37.0278333613,37.7138226952,36.9342893613,37.1759446948,5579200.0
2000-02-22,48.0,49.88,47.69,49.19,4152000.0,0.0,1.0,37.4176000283,38.8831226961,37.1759446948,38.3452446957,4152000.0
2000-02-23,49.19,49.25,47.56,48.5,3148900.0,0.0,1.0,38.3452446957,38.3920166957,37.0746053614,37.8073666953,3148900.0
2000-02-24,49.0,49.94,48.13,49.5,6309100.0,0.0,1.0,38.1971333622,38.9298946961,37.5189393617,38.5869000292,6309100.0
2000-02-25,49.75,49.81,46.38,47.44,3017400.0,0.0,1.0,38.7817833627,38.8285553627,36.1547560274,36.9810613613,3017400.0
2000-02-28,47.44,49.56,45.56,48.0,5692500.0,0.0,1.0,36.9810613613,38.6336720292,35.5155386935,37.4176000283,5692500.0
2000-02-29,48.13,49.0,47.19,48.44,3287800.0,0.0,1.0,37.5189393617,38.1971333622,36.7861780278,37.7605946952,3287800.0
2000-03-01,48.38,49.31,47.44,49.13,2397400.0,0.0,1.0,37.7138226952,38.4387886957,36.9810613613,38.2984726956,2397400.0
2000-03-02,49.0,50.5,48.69,49.0,3221400.0,0.0,1.0,38.1971333622,39.3664333631,37.9554780287,38.1971333622,3221400.0
2000-03-03,49.25,51.5,49.13,51.38,3125600.0,0.0,1.0,38.3920166957,40.145966697,38.2984726956,40.052422697,3125600.0
2000-03-06,52.25,52.94,49.06,49.5,6101200.0,0.0,1.0,40.7306166975,41.2684946979,38.2439053623,38.5869000292,6101200.0
2000-03-07,50.5,50.5,49.06,49.5,3503100.0,0.0,1.0,39.3664333631,39.3664333631,38.2439053623,38.5869000292,3503100.0
2000-03-08,49.0,49.38,48.19,48.94,3249500.0,0.0,1.0,38.1971333622,38.4933560291,37.5657113618,38.1503613622,3249500.0
2000-03-09,48.5,50.19,48.5,50.0,3474500.0,0.0,1.0,37.8073666953,39.1247780296,37.8073666953,38.9766666962,3474500.0
2000-03-10,50.0,52.19,49.75,51.25,2983400.0,0.0,1.0,38.9766666962,40.6838446974,38.7817833627,39.9510833636,2983400.0
2000-03-13,50.25,51.94,49.81,50.19,2100300.0,0.0,1.0,39.1715500296,40.488961364,38.8285553627,39.1247780296,2100300.0
2000-03-14,50.38,50.56,46.0,46.88,5478100.0,0.0,1.0,39.272889363,39.4132053632,35.8585333605,36.5445226943,5478100.0
2000-03-15,47.5,49.75,46.56,49.0,4447500.0,0.0,1.0,37.0278333613,38.7817833627,36.2950720275,38.1971333622,4447500.0
2000-03-16,49.75,53.75,49.31,52.63,4219900.0,0.0,1.0,38.7817833627,41.8999166984,38.4387886957,41.0268393644,4219900.0
