Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2000-04-05,14.5,15.75,14.31,15.5,68703000.0,0.0,1.0,10.6411697927,11.5585120162,10.5017337747,11.3750435715,68703000.0
2000-04-06,15.38,15.88,15.25,15.56,15301000.0,0.0,1.0,11.2869787181,11.6539156075,11.1915751268,11.4190759982,15301000.0
2000-04-07,15.38,15.56,15.13,15.31,13486200.0,0.0,1.0,11.2869787181,11.4190759982,11.1035102734,11.2356075535,13486200.0
2000-04-10,15.44,15.5,15.25,15.31,5637200.0,0.0,1.0,11.3310111448,11.3750435715,11.1915751268,11.2356075535,5637200.0
2000-04-11,15.31,15.38,15.06,15.13,5425900.0,0.0,1.0,11.2356075535,11.2869787181,11.0521391088,11.1035102734,5425900.0
2000-04-12,15.25,16.75,15.13,16.19,10846600.0,0.0,1.0,11.1915751268,12.292385795,11.1035102734,11.8814164789,10846600.0
2000-04-13,16.25,17.25,15.94,17.0,10626100.0,0.0,1.0,11.9254489056,12.6593226844,11.6979480342,12.4758542397,10626100.0
2000-04-14,16.94,17.0,15.81,15.88,9500300.0,0.0,1.0,12.431821813,12.4758542397,11.6025444429,11.6539156075,9500300.0
2000-04-17,16.0,16.44,16.0,16.13,3522200.0,0.0,1.0,11.7419804609,12.0648849236,11.7419804609,11.8373840522,3522200.0
2000-04-18,16.19,16.31,15.5,16.13,5422400.0,0.0,1.0,11.8814164789,11.9694813323,11.3750435715,11.8373840522,5422400.0
2000-04-19,16.19,16.19,15.75,16.0,5348800.0,0.0,1.0,11.8814164789,11.8814164789,11.5585120162,11.7419804609,5348800.0
2000-04-20,15.75,15.94,15.38,15.5,6912000.0,0.0,1.0,11.5585120162,11.6979480342,11.2869787181,11.3750435715,6912000.0
2000-04-24,15.5,16.0,15.44,15.94,3114800.0,0.0,1.0,11.3750435715,11.7419804609,11.3310111448,11.6979480342,3114800.0
2000-04-25,15.94,16.19,15.88,16.0,7407400.0,0.0,1.0,11.6979480342,11.8814164789,11.6539156075,11.7419804609,7407400.0
2000-04-26,15.94,16.06,15.88,16.06,5941700.0,0.0,1.0,11.6979480342,11.7860128876,11.6539156075,11.7860128876,5941700.0
2000-04-27,15.94,16.0,15.5,15.94,2484900.0,0.0,1.0,11.6979480342,11.7419804609,11.3750435715,11.6979480342,2484900.0
2000-04-28,15.94,16.88,15.38,16.56,6218800.0,0.0,1.0,11.6979480342,12.3877893863,11.2869787181,12.152949777,6218800.0
2000-05-01,17.13,18.0,16.88,18.0,5887100.0,0.0,1.0,12.571257831,13.2097280185,12.3877893863,13.2097280185,5887100.0
2000-05-02,17.63,17.94,17.38,17.81,3132600.0,0.0,1.0,12.9381947204,13.1656955918,12.7547262757,13.0702920006,3132600.0
2000-05-03,17.75,17.81,17.25,17.5,1981800.0,0.0,1.0,13.0262595738,13.0702920006,12.6593226844,12.8427911291,1981800.0
2000-05-04,17.38,17.5,16.19,17.5,3429800.0,0.0,1.0,12.7547262757,12.8427911291,11.8814164789,12.8427911291,3429800.0
2000-05-05,17.25,17.81,17.06,17.56,1821500.0,0.0,1.0,12.6593226844,13.0702920006,12.5198866665,12.8868235559,1821500.0
2000-05-08,17.88,18.56,17.81,18.0,2897500.0,0.0,1.0,13.1216631651,13.6206973347,13.0702920006,13.2097280185,2897500.0
2000-05-09,18.19,18.38,16.75,17.19,4234300.0,0.0,1.0,13.3491640365,13.4886000545,12.292385795,12.6152902577,4234300.0
2000-05-10,17.0,17.81,17.0,17.56,3283500.0,0.0,1.0,12.4758542397,13.0702920006,12.4758542397,12.8868235559,3283500.0
2000-05-11,17.63,18.31,17.38,18.0,2997400.0,0.0,1.0,12.9381947204,13.43722889,12.7547262757,13.2097280185,2997400.0
2000-05-12,18.13,18.56,18.06,18.44,1927200.0,0.0,1.0,13.3051316098,13.6206973347,13.2537604453,13.5326324812,1927200.0
2000-05-15,19.0,19.25,18.63,18.94,2696800.0,0.0,1.0,13.9436017973,14.127070242,13.6720684992,13.8995693706,2696800.0
2000-05-16,19.0,19.56,18.81,19.06,4982700.0,0.0,1.0,13.9436017973,14.3545711135,13.8041657794,13.9876342241,4982700.0
2000-05-17,19.06,19.69,18.38,19.06,1577200.0,0.0,1.0,13.9876342241,14.4499747047,13.4886000545,13.9876342241,1577200.0
2000-05-18,19.0,19.13,18.69,18.94,2858600.0,0.0,1.0,13.9436017973,14.0390053886,13.7161009259,13.8995693706,2858600.0
2000-05-19,18.5,19.13,17.94,18.19,3832600.0,0.0,1.0,13.5766649079,14.0390053886,13.1656955918,13.3491640365,3832600.0
2000-05-22,18.25,19.13,17.38,18.25,1712700.0,0.0,1.0,13.3931964632,14.0390053886,12.7547262757,13.3931964632,1712700.0
2000-05-23,18.25,19.0,18.25,18.88,2093900.0,0.0,1.0,13.3931964632,13.9436017973,13.3931964632,13.8555369439,2093900.0
2000-05-24,18.88,19.5,18.63,19.38,1573100.0,0.0,1.0,13.8555369439,14.3105386867,13.6720684992,14.2224738333,1573100.0
2000-05-25,19.31,19.38,18.75,19.19,1732700.0,0.0,1.0,14.1711026688,14.2224738333,13.7601333526,14.0830378153,1732700.0
2000-05-26,19.13,19.81,18.94,19.75,2644600.0,0.0,1.0,14.0390053886,14.5380395582,13.8995693706,14.4940071314,2644600.0
2000-05-30,19.94,20.13,19.5,19.88,3229000.0,0.0,1.0,14.6334431494,14.7728791674,14.3105386867,14.5894107227,3229000.0
2000-05-31,19.88,20.5,19.38,20.5,3549600.0,0.0,1.0,14.5894107227,15.0444124655,14.2224738333,15.0444124655,3549600.0
2000-06-01,20.44,20.5,19.94,20.0,2878400.0,0.0,1.0,15.0003800388,15.0444124655,14.6334431494,14.6774755761,2878400.0
2000-06-02,21.0,21.06,20.38,21.0,3446100.0,0.0,1.0,15.411349355,15.4553817817,14.9563476121,15.411349355,3446100.0
2000-06-05,20.5,20.88,20.38,20.56,2376300.0,0.0,1.0,15.0444124655,15.3232845015,14.9563476121,15.0884448923,2376300.0
2000-06-06,20.88,20.88,20.38,20.44,2953900.0,0.0,1.0,15.3232845015,15.3232845015,14.9563476121,15.0003800388,2953900.0
2000-06-07,20.5,20.69,20.31,20.69,922400.0,0.0,1.0,15.0444124655,15.1838484835,14.9049764476,15.1838484835,922400.0
2000-06-08,20.56,20.63,20.25,20.44,965300.0,0.0,1.0,15.0884448923,15.1398160568,14.8609440208,15.0003800388,965300.0
2000-06-09,20.5,21.0,20.5,21.0,1196800.0,0.0,1.0,15.0444124655,15.411349355,15.0444124655,15.411349355,1196800.0
2000-06-12,20.75,20.81,19.69,20.44,1072600.0,0.0,1.0,15.2278809103,15.271913337,14.4499747047,15.0003800388,1072600.0
2000-06-13,20.69,20.81,20.19,20.81,974900.0,0.0,1.0,15.1838484835,15.271913337,14.8169115941,15.271913337,974900.0
2000-06-14,20.56,20.63,19.81,20.0,2310400.0,0.0,1.0,15.0884448923,15.1398160568,14.5380395582,14.6774755761,2310400.0
2000-06-15,20.0,20.25,19.88,20.0,2504400.0,0.0,1.0,14.6774755761,14.8609440208,14.5894107227,14.6774755761,2504400.0
2000-06-16,20.19,20.25,19.75,20.06,3202100.0,0.0,1.0,14.8169115941,14.8609440208,14.4940071314,14.7215080029,3202100.0
2000-06-19,20.0,20.13,19.75,20.0,1275500.0,0.0,1.0,14.6774755761,14.7728791674,14.4940071314,14.6774755761,1275500.0
2000-06-20,19.88,20.06,18.56,18.81,2922100.0,0.0,1.0,14.5894107227,14.7215080029,13.6206973347,13.8041657794,2922100.0
2000-06-21,18.81,19.13,18.13,18.5,2443500.0,0.0,1.0,13.8041657794,14.0390053886,13.3051316098,13.5766649079,2443500.0
2000-06-22,18.69,19.5,18.5,19.19,1963300.0,0.0,1.0,13.7161009259,14.3105386867,13.5766649079,14.0830378153,1963300.0
2000-06-23,19.0,19.5,18.75,19.31,2161600.0,0.0,1.0,13.9436017973,14.3105386867,13.7601333526,14.1711026688,2161600.0
2000-06-26,20.0,20.13,19.13,19.19,1691700.0,0.0,1.0,14.6774755761,14.7728791674,14.0390053886,14.0830378153,1691700.0
2000-06-27,19.44,20.5,19.19,19.88,2042300.0,0.0,1.0,14.26650626,15.0444124655,14.0830378153,14.5894107227,2042300.0
2000-06-28,20.25,20.44,19.38,19.63,3522900.0,0.0,1.0,14.8609440208,15.0003800388,14.2224738333,14.405942278,3522900.0
2000-06-29,19.88,21.56,19.63,21.31,4914700.0,0.0,1.0,14.5894107227,15.8223186711,14.405942278,15.6388502264,4914700.0
2000-06-30,21.75,21.94,19.0,21.06,4415400.0,0.0,1.0,15.9617546891,16.101190707,13.9436017973,15.4553817817,4415400.0
2000-07-03,20.75,21.5,20.69,21.38,822000.0,0.0,1.0,15.2278809103,15.7782862444,15.1838484835,15.6902213909,822000.0
